=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQOybgDGe4AxAdTeAL7ECM6C4mE08jAbEgsWXiUAhqLH1i-RgBZwAXXQAoMFDwBmQsVzwAtMgCcGLIKwUS5ixKz8ATGzgc8ADiTcG19I0bylKznEZNLG04PSRDd3B+VklPe0cuZDdYxjt2UnIKMXFiAHc8G0ipNQAdADty8uj41XgNAiLPUoqWqXtwaU9GSta4hWUE-DUjHDwwxkibFhr-HiRpSc9Zfr88RjUtMYMRk0oLS0jmLx8B2oDUTd1tgUzs0Xb8rlRDuPTds32yF7SHM8ZkBAvVLtI5qGrvO7CB5rZ5MJYnVbwZCMEYhcaRDasFaDQIbYJbcJ5GEEFCLbxvTKfL7EKY-Qb6JDDMnkrBTYEUoRUGjUaHwGxIGykmlNBE4vg7W53XlwfmCjGvX7vKlWcAbOlnFxOeXHYgbdmKyXZaWBEnasHYv4EJDMfFXQgSzncnna5a+MUIVEEwU3TmQ42wrCdbwW2a8G2jO0kn2mJ0EFVBn4dEXEIOu04AJzW-Cw-mkhNtoV4Huje0+Kv4YNisliKHa-G4orOeYWcMrWGY1fb6FrcIbIbwee4QtZ6Db4CmnfH3faUz7brOKGt8rHG0nGx7WA2c9O-l4wyJfIFw6TG4gEKlkU628RcDzTk9dsMB-Ox865vnmd0-2I-k1l1C-LFsYlJlo0caxE4dboPoUH-I2v6Mi84FdpBcIwXCcH9vALhoIsyFTqhI7oSOmHzghEy6ug+EbIRqrQe0epYmRzjWs+-Kmim6CQVhATIE43D-mET7Ab6UrPoEr6eFichAA
13:33:14: [INFO] Placing additional elements for SW54
13:33:14: [INFO] Placing additional elements for SW53
13:33:14: [INFO] Placing additional elements for SW52
13:33:14: [INFO] Placing additional elements for SW51
13:33:14: [INFO] Placing additional elements for SW50
13:33:14: [INFO] Placing additional elements for SW49
13:33:14: [INFO] Placing additional elements for SW48
13:33:14: [INFO] Placing additional elements for SW47
13:33:14: [INFO] Placing additional elements for SW46
13:33:14: [INFO] Placing additional elements for SW45
13:33:14: [INFO] Placing additional elements for SW44
13:33:14: [INFO] Placing additional elements for SW43
13:33:14: [INFO] Placing additional elements for SW42
13:33:14: [INFO] Placing additional elements for SW41
13:33:14: [INFO] Placing additional elements for SW40
13:33:14: [INFO] Placing additional elements for SW39
13:33:14: [INFO] Placing additional elements for SW38
13:33:14: [INFO] Placing additional elements for SW37
13:33:14: [INFO] Placing additional elements for SW36
13:33:14: [INFO] Placing additional elements for SW35
13:33:14: [INFO] Placing additional elements for SW34
13:33:14: [INFO] Placing additional elements for SW33
13:33:14: [INFO] Placing additional elements for SW32
13:33:14: [INFO] Placing additional elements for SW31
13:33:14: [INFO] Placing additional elements for SW30
13:33:14: [INFO] Placing additional elements for SW29
13:33:14: [INFO] Placing additional elements for SW28
13:33:14: [INFO] Placing additional elements for SW27
13:33:14: [INFO] Placing additional elements for SW26
13:33:14: [INFO] Placing additional elements for SW25
13:33:14: [INFO] Placing additional elements for SW24
13:33:14: [INFO] Placing additional elements for SW23
13:33:14: [INFO] Placing additional elements for SW22
13:33:14: [INFO] Placing additional elements for SW21
13:33:14: [INFO] Placing additional elements for SW20
13:33:14: [INFO] Placing additional elements for SW19
13:33:14: [INFO] Placing additional elements for SW18
