=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgCYCM3OgXwDQIAw77h7gCMRJBOZVEAHrHPgHQBMArLghbaYWyrkcg-jgDMQipLEAWKTnliOClWIBsCzWIDsQtjj0BdHAChg4A8VLjKpA3zgMmrTqQDuTMuy42a+kSFbUQQDGQRbcMtFIJj7HDUIhIDtJNSIT3hvHV8EWUNwE3NwfOsEDjs8-zxneFcKhEy4bNzwCscSwNIKkM6oiqj8pXK4qsS25NJ81In08CbvTm5wdQKisCgmJDZxAE4ADl3d8GXV-AAdADsrq8Iy8B0iG+vLu7pN+CQMdGxSVcdaswfB4vD5lo8yM8rhQyhlQUs-iIoZcYe8FmDSI82MjUTUPghEDsDkchE02BiEKtxDjKnD4OScuDFDTYfN4a1VhwWe9oJ8UOgfidMQluYj1KKEI9xS9oZR1hAAJ4uYEIXkEomHY4g+mnJ4y17VJzgRhZFX4r4CzCk9lMyH63hom2I7H2w105oUh5I10A82Evaa63wdSex6yGm+tUWjC-SUin1CVbS54O4XJl4O+XGpjiM3o1oQmm9VYulNdI35pmljPliBR-3ErWNJjkhGUiRFx30liM4Xh10hOtbfkxoMejnxsu9R5cgdd8e69OywRGIxAA
13:33:30: [INFO] Add Net-(D58-A) net
13:33:30: [INFO] Add Net-(D6-A) net
13:33:30: [INFO] Add Net-(D7-A) net
13:33:30: [INFO] Add Net-(D8-A) net
13:33:30: [INFO] Add Net-(D9-A) net
13:33:30: [INFO] Add ROW0 net
13:33:30: [INFO] Add ROW1 net
13:33:30: [INFO] Add ROW2 net
13:33:30: [INFO] Add ROW3 net
13:33:30: [INFO] Add ROW4 net
13:33:30: [INFO] Add ROW5 net
13:33:30: [INFO] Add ROW6 net
13:33:30: [INFO] Add ROW7 net
13:33:30: [INFO] Add SW1 footprint
13:33:30: [INFO] Add D1 footprint
13:33:30: [INFO] Add SW2 footprint
13:33:30: [INFO] Add D2 footprint
13:33:30: [INFO] Add SW3 footprint
13:33:30: [INFO] Add D3 footprint
13:33:30: [INFO] Add SW4 footprint
13:33:30: [INFO] Add D4 footprint
13:33:30: [INFO] Add SW5 footprint
13:33:30: [INFO] Add D5 footprint
13:33:30: [INFO] Add SW6 footprint
13:33:30: [INFO] Add D6 footprint
13:33:31: [INFO] Add SW7 footprint
13:33:31: [INFO] Add D7 footprint
13:33:31: [INFO] Add SW8 footprint
13:33:31: [INFO] Add D8 footprint
13:33:31: [INFO] Add SW9 footprint
13:33:31: [INFO] Add D9 footprint
13:33:31: [INFO] Add SW10 footprint
13:33:31: [INFO] Add D10 footprint
13:33:31: [INFO] Add SW11 footprint
13:33:31: [INFO] Add D11 footprint
13:33:31: [INFO] Add SW12 footprint
13:33:31: [INFO] Add D12 footprint
13:33:31: [INFO] Add SW13 footprint
13:33:31: [INFO] Add D13 footprint
13:33:31: [INFO] Add SW14 footprint
13:33:31: [INFO] Add D14 footprint
13:33:31: [INFO] Add SW15 footprint
13:33:31: [INFO] Add D15 footprint
13:33:31: [INFO] Add SW16 footprint
13:33:31: [INFO] Add D16 footprint
13:33:31: [INFO] Add SW17 footprint
13:33:31: [INFO] Add D17 footprint
13:33:31: [INFO] Add SW18 footprint
13:33:31: [INFO] Add D18 footprint
13:33:31: [INFO] Add SW19 footprint
