=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:32: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheORDPEieeCpEBVAEydKpAMwTBpACwSIAD14UAdKICsZSVtlUAbAdIB2EwA4TAThP4OAraWOOzsp1de3X92adLCSP7iAv4yoQrgALqkAFDA4PgBskkhSEnh6ZECSfox8Sq8WppOSACevAC0Gqal4Li84ADEpq1t-FkuCBANiM24A4MdiW45pJ5Z3lm+AobOsnPms+MLpFPgczNIFskCO2ngO5k9jU0AhheXwzvyrHRUDkGkWncPSuCqiBp1AO68orpwP4Xix7sl8glRLtuvVToMhoCoQcoZlwFDFFxYX1zpcLsMofpMZ8EBptAI-oh8OodAIoV0Ttj4QN8aMkFCJmi1rIoVsgfMIksnhz-Ot-LzrNDwBKDhLjh81CUBL0kC02q1ZBSEFSyUgABb-cniSnUgS6o1agTKc3VEqAiW3UFJR6FY1UJDK-pMjW8Kk09JUKR3JJECEMlW4vGAqTQsOe+HDaMHaOo6MYmEenG4hPPd7E0m-H3qWpR-npuFekuC8DRjnR9bR3k7LqHVktjk7dY7Xn2SU9g49wOO6i5wt1DNq9Xk-62gT2oPguJgLHhiPDeQx5dxhECdcHdeo9dp2OZq6A9eEmF5xVITWiGdIdeGO5Q52bppMhpnlY7rk-8WlqVWwlDkJXWCVuyoNNEioC9AJBJho1fDMIzOb1jWLPZnjuRDokXcAnECY8P2GJwDicOVxwnEjsjLbEUOoi8XRJe8NklOYDjmVE5iPN8JyrTVDEBOZGLfejAR7ZseyrHsOR7dYe18UN5UQYodXACovmvcBNW1P1wEfZ8NwzYiv1MQzCOUrUNDdUTVynRA7ww7YsNBBtoiiIA
13:28:36: [INFO] Add SW37 footprint
13:28:36: [INFO] Add D37 footprint
13:28:36: [INFO] Add SW38 footprint
13:28:36: [INFO] Add D38 footprint
13:28:36: [INFO] Add SW39 footprint
13:28:36: [INFO] Add D39 footprint
13:28:36: [INFO] Add SW40 footprint
13:28:36: [INFO] Add D40 footprint
13:28:36: [INFO] Add SW41 footprint
13:28:36: [INFO] Add D41 footprint
13:28:36: [INFO] Add SW42 footprint
13:28:36: [INFO] Add D42 footprint
13:28:36: [INFO] Add SW43 footprint
13:28:36: [INFO] Add D43 footprint
13:28:36: [INFO] Add SW44 footprint
13:28:36: [INFO] Add D44 footprint
13:28:36: [INFO] Add SW45 footprint
13:28:36: [INFO] Add D45 footprint
13:28:36: [INFO] Add SW46 footprint
13:28:36: [INFO] Add D46 footprint
13:28:36: [INFO] Add SW47 footprint
13:28:36: [INFO] Add D47 footprint
13:28:36: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:36: [INFO] Add ST47 footprint
13:28:36: [INFO] Add SW47a footprint
13:28:36: [INFO] Add SW48 footprint
13:28:36: [INFO] Add D48 footprint
13:28:36: [INFO] Add SW49 footprint
13:28:36: [INFO] Add D49 footprint
13:28:36: [INFO] Add SW50 footprint
13:28:37: [INFO] Add D50 footprint
13:28:37: [INFO] Add SW51 footprint
13:28:37: [INFO] Add D51 footprint
13:28:37: [INFO] Add SW52 footprint
13:28:37: [INFO] Add D52 footprint
13:28:37: [INFO] Add SW53 footprint
13:28:37: [INFO] Add D53 footprint
13:28:37: [INFO] Add SW54 footprint
13:28:37: [INFO] Add D54 footprint
13:28:37: [INFO] Add SW55 footprint
13:28:37: [INFO] Add D55 footprint
13:28:37: [INFO] Add SW56 footprint
13:28:37: [INFO] Add D56 footprint
