=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgJwDoDsBWANHcBjW2BiFYk8AXy3AA4MAGcAXQwCgwp9l0LsaBGRlm2jxOabtQwAmAawjC4VJJMzYAnvl6U88cARz6D4SgGcAtvnAAnAPYAXAPoBTHL37iaaADoA7Hz8kYvH6+IcGO-FgQACb4tpYAro7uGF6h3gG0wVkhjtJMsrgWRCTERthmFuSUAMx02bSBZRAVOjYOzq5V2LWZaQ292WH0kezwvNVKYpQoKdmaA2lh0iMt2F3gM6nBmvz5Qvgok5Tq8LRH2NqEBobitQAsZRt1aT2PM7uCcviKyibmrXYnC43NNnsFakFFmlHNUZGxLBoGth5BMVOATnAALSKXgBcr-NbiBqwvZfeCSJBojGYs5UKhEqRNUZwXhIWgMh6UBpoOFkuBnKn4GmoNGXXQlUoM4ZwCBivTXPAMj4FFGU45Cs7VFDiTQkz7MimC+DCuk6xkjeSs9mUTSc7CaHmk5kC9XGs7oLRFACGPt963mTLlCsVNsaTtVRqxmu1lACepV+ENrqjSFNsfNMuZVvEATt4ACjv18hdag1Is9OgIvr9ObogaKwfWAWV+3gADZzuj8CXCpXqz7HgALDSU24YeOtuB3TvU91o4djUc1RojBcspfdRlOhHG3hIqyW6do+SYo-Js-YNesqbYGZ5ItC1HJ4Uey8jm9PWGr9-iGYPbeWmg5bIo+bLJpqNAXA2CrrHcW4PsaQH7rOqb0pQcHSuAcERJmlpsuIcETnymJWs+c4ERgdqyt6-awSkvLMpiEzIWWWoVlcMHiJg94JohYGlm6qFcXWlCYDhfLZqJ44MSepECSmXBSVRvaEBKKDrJgha8VizFkUgbFQZWjbiG28HaZiSF6Wm2CmZhpniVm+GUKZRGMXJXaCYpNmUfWfa0SZ9EMAwQA
13:39:57: [INFO] Add D39 footprint
13:39:57: [INFO] Add SW40 footprint
13:39:57: [INFO] Add D40 footprint
13:39:57: [INFO] Add SW41 footprint
13:39:57: [INFO] Add D41 footprint
13:39:57: [INFO] Add SW42 footprint
13:39:57: [INFO] Add D42 footprint
13:39:57: [INFO] Add SW42a footprint
13:39:57: [INFO] Add SW43 footprint
13:39:57: [INFO] Add D43 footprint
13:39:57: [INFO] Add SW44 footprint
13:39:57: [INFO] Add D44 footprint
13:39:57: [INFO] Add SW45 footprint
13:39:57: [INFO] Add D45 footprint
13:39:57: [INFO] Add SW46 footprint
13:39:57: [INFO] Add D46 footprint
13:39:57: [INFO] Add SW47 footprint
13:39:57: [INFO] Add D47 footprint
13:39:57: [INFO] Add SW47a footprint
13:39:57: [INFO] Add SW48 footprint
13:39:57: [INFO] Add D48 footprint
13:39:57: [INFO] Add SW49 footprint
13:39:57: [INFO] Add D49 footprint
13:39:57: [INFO] Add SW50 footprint
13:39:57: [INFO] Add D50 footprint
13:39:57: [INFO] Add SW51 footprint
13:39:57: [INFO] Add D51 footprint
13:39:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:57: [INFO] Layout offset: (33337500, 28575000)
13:39:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:57: [INFO] Placing additional elements for SW51
13:39:57: [INFO] Placing additional elements for SW50
13:39:57: [INFO] Placing additional elements for SW49
13:39:57: [INFO] Placing additional elements for SW48
13:39:57: [INFO] Placing additional elements for SW47a
13:39:57: [INFO] Placing additional elements for SW47
13:39:57: [INFO] Placing additional elements for SW46
13:39:57: [INFO] Placing additional elements for SW45
13:39:57: [INFO] Placing additional elements for SW44
13:39:57: [INFO] Placing additional elements for SW43
13:39:57: [INFO] Placing additional elements for SW42a
13:39:57: [INFO] Placing additional elements for SW42
13:39:57: [INFO] Placing additional elements for SW41
13:39:57: [INFO] Placing additional elements for SW40
13:39:57: [INFO] Placing additional elements for SW39
13:39:57: [INFO] Placing additional elements for SW38
13:39:57: [INFO] Placing additional elements for SW37
13:39:57: [INFO] Placing additional elements for SW36
13:39:57: [INFO] Placing additional elements for SW35
13:39:57: [INFO] Placing additional elements for SW34
13:39:57: [INFO] Placing additional elements for SW33
13:39:57: [INFO] Placing additional elements for SW32
13:39:57: [INFO] Placing additional elements for SW31
13:39:57: [INFO] Placing additional elements for SW30
13:39:57: [INFO] Placing additional elements for SW29
