=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoBMBWAvgGjuADFiuDhNPAOxLmY7hqHgC6WAUGFLHGqvbgJ6cAtHiQAOatlwEAzMTilOARiR5J+LIrkL43CbXqaSHeMtX6ss5m21xRPWgPjCxeqVjxbjcaVRq56HlbsjnDO4n7qonLq5NEECJ5kcCLoagRocVgALIlKyq502dH0GUE2yOgOQiLSBYoMRkmUBQgMZV7clfzVLhH1so1KKmr1hvIdvmqtYzamUxZMrOxJdl3gIWF17rnwPi3b7Rsi4SNYUbT1sRdYCYPwKX1YGdc5d3CK+RGtr7itpUvlezdJw1AooBrjJqTWjkNoAiZrI69NTggaQoZmXDgmYTAqwnFJOYwhbtFZA9Y9E60cEeN57CKwwLwwlVEHI6lYK7okw8FFPaLgn6zT5qWE-cCw-7WLwVXgUtm1CLSCE2ZoRURw6VJTpypFU3DKtGzYa0ZUEzi6dUaHbvE24DWWZmcVa6ykFZW07neaH2g7wvXus7RZVc8DK25eh5qZXPA1FN4fH3gDXijVS5YW3ys0IiRRrADGnHAAGIAIblivgNRZBa0GtEN7IAoATgh4Fbjq1nDV2ecBRr5vgWSTrc07QATpxpARcOOks2s7OQsO1klnIienLC-AS+Q9-vogALTgoat+6WTpzT2hzpTcOXj5dIOVrnwbpwocnH+Cn2itwKMEAA
13:33:34: [INFO] Add SW61 footprint
13:33:34: [INFO] Add D61 footprint
13:33:34: [INFO] Add SW62 footprint
13:33:34: [INFO] Add D62 footprint
13:33:34: [INFO] Add SW63 footprint
13:33:34: [INFO] Add D63 footprint
13:33:34: [INFO] Add ST63 footprint
13:33:34: [INFO] Add SW64 footprint
13:33:34: [INFO] Add D64 footprint
13:33:34: [INFO] Add SW65 footprint
13:33:34: [INFO] Add D65 footprint
13:33:34: [INFO] Add SW66 footprint
13:33:34: [INFO] Add D66 footprint
13:33:34: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:34: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:34: [INFO] Layout offset: (23812500, 28575000)
13:33:34: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:34: [INFO] Placing additional elements for SW66
13:33:34: [INFO] Placing additional elements for SW65
13:33:34: [INFO] Placing additional elements for SW64
13:33:34: [INFO] Placing additional elements for SW63
13:33:34: [INFO] Placing additional elements for SW62
13:33:34: [INFO] Placing additional elements for SW61
13:33:34: [INFO] Placing additional elements for SW60
13:33:34: [INFO] Placing additional elements for SW59
13:33:34: [INFO] Placing additional elements for SW58
13:33:34: [INFO] Placing additional elements for SW57
13:33:34: [INFO] Placing additional elements for SW56
13:33:34: [INFO] Placing additional elements for SW55
13:33:34: [INFO] Placing additional elements for SW54
13:33:34: [INFO] Placing additional elements for SW53
13:33:34: [INFO] Placing additional elements for SW52
13:33:34: [INFO] Placing additional elements for SW51
13:33:34: [INFO] Placing additional elements for SW50
13:33:34: [INFO] Placing additional elements for SW49
13:33:34: [INFO] Placing additional elements for SW48
13:33:34: [INFO] Placing additional elements for SW47
13:33:34: [INFO] Placing additional elements for SW46
13:33:34: [INFO] Placing additional elements for SW45
13:33:34: [INFO] Placing additional elements for SW44
13:33:34: [INFO] Placing additional elements for SW43
13:33:34: [INFO] Placing additional elements for SW42
13:33:34: [INFO] Placing additional elements for SW41
13:33:34: [INFO] Placing additional elements for SW40
13:33:34: [INFO] Placing additional elements for SW39
13:33:34: [INFO] Placing additional elements for SW38
13:33:34: [INFO] Placing additional elements for SW37
13:33:34: [INFO] Placing additional elements for SW36
13:33:34: [INFO] Placing additional elements for SW35
13:33:34: [INFO] Placing additional elements for SW34
13:33:34: [INFO] Placing additional elements for SW33
13:33:34: [INFO] Placing additional elements for SW32
13:33:34: [INFO] Placing additional elements for SW31
13:33:34: [INFO] Placing additional elements for SW30
13:33:34: [INFO] Placing additional elements for SW29
13:33:34: [INFO] Placing additional elements for SW28
13:33:34: [INFO] Placing additional elements for SW27
13:33:34: [INFO] Placing additional elements for SW26
13:33:34: [INFO] Placing additional elements for SW25
13:33:34: [INFO] Placing additional elements for SW24
13:33:34: [INFO] Placing additional elements for SW23
13:33:34: [INFO] Placing additional elements for SW22
13:33:34: [INFO] Placing additional elements for SW21
13:33:34: [INFO] Placing additional elements for SW20
13:33:34: [INFO] Placing additional elements for SW19
13:33:34: [INFO] Placing additional elements for SW18
13:33:34: [INFO] Placing additional elements for SW17
13:33:34: [INFO] Placing additional elements for SW16
13:33:34: [INFO] Placing additional elements for SW15
13:33:34: [INFO] Placing additional elements for SW14
13:33:34: [INFO] Placing additional elements for SW13
13:33:34: [INFO] Placing additional elements for SW12
13:33:34: [INFO] Placing additional elements for SW11
13:33:34: [INFO] Placing additional elements for SW10
13:33:34: [INFO] Placing additional elements for SW9
13:33:34: [INFO] Placing additional elements for SW8
13:33:34: [INFO] Placing additional elements for SW7
13:33:34: [INFO] Placing additional elements for SW6
13:33:34: [INFO] Placing additional elements for SW5
13:33:34: [INFO] Placing additional elements for SW4
13:33:34: [INFO] Placing additional elements for SW3
13:33:34: [INFO] Placing additional elements for SW2
13:33:34: [INFO] Placing additional elements for SW1
13:33:34: [INFO] Routing SW66 with D66
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW66:2' at (331152500, 113982500) with pad 'D66:2' at (333692500, 121662500) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(331152500, 113982500), (331152500, 119122500)]
13:33:34: [INFO] Adding track segment (B.Cu): [(331152500, 119122500), (333692500, 121662500)]
13:33:34: [INFO] Routing SW65 with D65
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW65:2' at (312102500, 113982500) with pad 'D65:2' at (314642500, 121662500) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(312102500, 113982500), (312102500, 119122500)]
13:33:34: [INFO] Adding track segment (B.Cu): [(312102500, 119122500), (314642500, 121662500)]
13:33:34: [INFO] Routing SW64 with D64
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW64:2' at (293052500, 118745000) with pad 'D64:2' at (295592500, 126425000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(293052500, 118745000), (293052500, 123885000)]
13:33:34: [INFO] Adding track segment (B.Cu): [(293052500, 123885000), (295592500, 126425000)]
13:33:34: [INFO] Routing SW63 with D63
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW63:2' at (261472049, 114202111) with pad 'D63:2' at (267511753, 119583185) using coordinate system rotated by 330.0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(261472049, 114202111), (264042047, 118653480)]
13:33:34: [INFO] Adding track segment (B.Cu): [(264042047, 118653480), (267511753, 119583185)]
13:33:34: [INFO] Routing SW62 with D62
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW62:2' at (378777500, 97313750) with pad 'D62:2' at (381317500, 104993750) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(378777500, 97313750), (378777500, 102453750)]
13:33:34: [INFO] Adding track segment (B.Cu): [(378777500, 102453750), (381317500, 104993750)]
13:33:34: [INFO] Routing SW61 with D61
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW61:2' at (359727500, 97313750) with pad 'D61:2' at (362267500, 104993750) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(359727500, 97313750), (359727500, 102453750)]
13:33:34: [INFO] Adding track segment (B.Cu): [(359727500, 102453750), (362267500, 104993750)]
13:33:34: [INFO] Routing SW60 with D60
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW60:2' at (340677500, 92551250) with pad 'D60:2' at (343217500, 100231250) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(340677500, 92551250), (340677500, 97691250)]
13:33:34: [INFO] Adding track segment (B.Cu): [(340677500, 97691250), (343217500, 100231250)]
13:33:34: [INFO] Routing SW59 with D59
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW59:2' at (321627500, 90170000) with pad 'D59:2' at (324167500, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(321627500, 90170000), (321627500, 95310000)]
13:33:34: [INFO] Adding track segment (B.Cu): [(321627500, 95310000), (324167500, 97850000)]
13:33:34: [INFO] Routing SW58 with D58
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW58:2' at (302577500, 92551250) with pad 'D58:2' at (305117500, 100231250) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(302577500, 92551250), (302577500, 97691250)]
13:33:34: [INFO] Adding track segment (B.Cu): [(302577500, 97691250), (305117500, 100231250)]
13:33:34: [INFO] Routing SW57 with D57
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW57:2' at (283527500, 94932500) with pad 'D57:2' at (286067500, 102612500) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(283527500, 94932500), (283527500, 100072500)]
13:33:34: [INFO] Adding track segment (B.Cu): [(283527500, 100072500), (286067500, 102612500)]
13:33:34: [INFO] Routing SW56 with D56
