=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgBwDoDsBWANHcBPWcAmAXy3AAYMBGM8AXQwCgwp9kDNs94BmVD8AMb5wAYhTiJ4EtgAsGBHUbNo8NmmnhMC+kwgAnFYiSVSernF7pShssf7mAtLfakh8UQEMv3qaRPalCBs7V2ERAQjI32wCeUVdcANWJG5+M3w0JH5ggE5ScwIkF2w3bDEJcWjNDBz45iT4ahTY7HT4bPwHQrQUfPxbflLRSKiNbgwUOv1DJu45bEMHSiy8zn6ssZqpxJnbVOtO3gA2PvgHbg0KNHBSCiObuCD8ZbJLqkptxd4TNfgZPlC7nKFSqmEmOnqzzShmQ4gOZ2QaBauE6hXQbxoEKeZxQSDIyMctisJTCIwiVQoH1uGAID3IGG4dIoMk+nURBPWxUEYW8Pg0JhoWGxFiKg1JZKqJhZWJYZ0yBF6vzgTj4-IZD2FLzV1xli1xCtOyqJ6j8VDpJlpQtlItepvuus6-wNSpVJpiGGlgWtDnZhpVxO5QN5XiqsUFj2thS5Q3CEo0sUZVpmePjGB1Xr1RUVKLOxsBZWDHlDZqtMbJQlTlojhl4tvd9ozjqzfoGm09CUWvpdeZJQeDVXG4eFUbFQPLA-VSeeKdI43THc6+uzhIBvYL-c2VIjZbjs5pGuttc2DYXZydy86rdIcnbyk68ovudV18n1endfAcnnd5xqEfRtXQN115OkAHdpzdT8S23cURiqOQq2FI8XxPH9lXPFssnzTwN1ITBb2FBwH0w9E8NfTUZ2wTBv0Io4-xI-hwMaDYyMQw88VIJi4GWdgNEwVD9E6ShoWSFBVmtXEZBOF00UgykBMjJAcmknMAIDHc4LeSgq3pShE2wSkWWpYTWR4IoflU5xIJMbTTMIcyGLVSgtwoj8bP04dRWwkRC0lKgFOTAgLJXdTYNGU1qAPGtKPAGyjOwGyaPYoLMMg2JbIdeAo2Cy9n3dZyovfVM9LsnicqfUj8qHdiP3S+LwHSpLopS7sWOwcZbKnMzozCCpKmKgL8GyhjvPHTcXOtLU9xKzLuIc1rKvADrquij8OvqjqmvwXgWtU10NDkDLGyy+a9uNA73kK5iP0OxlZrKxyX0irqbQuyh4ogGNfM4iC3q27ryoAyDMCO097N2kLgcul6pqoqg7uOuBbGUkbsC4nioeet8zIoNHfrI966FoIA
13:36:57: [INFO] Add D16 footprint
13:36:57: [INFO] Add SW17 footprint
13:36:57: [INFO] Add D17 footprint
13:36:57: [INFO] Add SW18 footprint
13:36:57: [INFO] Add D18 footprint
13:36:57: [INFO] Add SW19 footprint
13:36:57: [INFO] Add D19 footprint
13:36:57: [INFO] Add SW20 footprint
13:36:57: [INFO] Add D20 footprint
13:36:57: [INFO] Add SW21 footprint
13:36:57: [INFO] Add D21 footprint
13:36:57: [INFO] Add SW22 footprint
13:36:57: [INFO] Add D22 footprint
13:36:57: [INFO] Add SW23 footprint
13:36:57: [INFO] Add D23 footprint
13:36:57: [INFO] Add SW24 footprint
13:36:57: [INFO] Add D24 footprint
13:36:57: [INFO] Add SW25 footprint
13:36:57: [INFO] Add D25 footprint
13:36:57: [INFO] Add SW26 footprint
13:36:57: [INFO] Add D26 footprint
13:36:57: [INFO] Add SW27 footprint
13:36:58: [INFO] Add D27 footprint
13:36:58: [INFO] Add SW28 footprint
13:36:58: [INFO] Add D28 footprint
13:36:58: [INFO] Add SW29 footprint
13:36:58: [INFO] Add D29 footprint
13:36:58: [INFO] Add SW30 footprint
13:36:58: [INFO] Add D30 footprint
13:36:58: [INFO] Add SW31 footprint
13:36:58: [INFO] Add D31 footprint
13:36:58: [INFO] Add SW32 footprint
13:36:58: [INFO] Add D32 footprint
13:36:58: [INFO] Add SW33 footprint
13:36:58: [INFO] Add D33 footprint
13:36:58: [INFO] Add SW34 footprint
13:36:58: [INFO] Add D34 footprint
13:36:58: [INFO] Add SW35 footprint
13:36:58: [INFO] Add D35 footprint
13:36:58: [INFO] Add SW36 footprint
13:36:58: [INFO] Add D36 footprint
13:36:58: [INFO] Add SW37 footprint
13:36:58: [INFO] Add D37 footprint
13:36:58: [INFO] Add SW38 footprint
13:36:58: [INFO] Add D38 footprint
13:36:58: [INFO] Add SW39 footprint
13:36:58: [INFO] Add D39 footprint
13:36:58: [INFO] Add SW40 footprint
13:36:58: [INFO] Add D40 footprint
13:36:58: [INFO] Add SW41 footprint
13:36:58: [INFO] Add D41 footprint
13:36:58: [INFO] Add SW42 footprint
13:36:58: [INFO] Add D42 footprint
13:36:58: [INFO] Add SW43 footprint
13:36:58: [INFO] Add D43 footprint
13:36:58: [INFO] Add SW44 footprint
13:36:58: [INFO] Add D44 footprint
13:36:58: [INFO] Add SW45 footprint
13:36:58: [INFO] Add D45 footprint
13:36:58: [INFO] Add SW46 footprint
13:36:59: [INFO] Add D46 footprint
13:36:59: [INFO] Add SW47 footprint
13:36:59: [INFO] Add D47 footprint
13:36:59: [INFO] Add SW48 footprint
13:36:59: [INFO] Add D48 footprint
13:36:59: [INFO] Add SW49 footprint
13:36:59: [INFO] Add D49 footprint
13:36:59: [INFO] Add SW50 footprint
13:36:59: [INFO] Add D50 footprint
13:36:59: [INFO] Add SW51 footprint
13:36:59: [INFO] Add D51 footprint
13:36:59: [INFO] Add SW52 footprint
13:36:59: [INFO] Add D52 footprint
13:36:59: [INFO] Add SW53 footprint
13:36:59: [INFO] Add D53 footprint
13:36:59: [INFO] Add SW54 footprint
13:36:59: [INFO] Add D54 footprint
13:36:59: [INFO] Add SW55 footprint
13:36:59: [INFO] Add D55 footprint
13:36:59: [INFO] Add SW56 footprint
13:36:59: [INFO] Add D56 footprint
13:36:59: [INFO] Add SW57 footprint
13:36:59: [INFO] Add D57 footprint
13:36:59: [INFO] Add SW58 footprint
13:36:59: [INFO] Add D58 footprint
13:36:59: [INFO] Add SW59 footprint
13:36:59: [INFO] Add D59 footprint
13:36:59: [INFO] Add SW60 footprint
13:36:59: [INFO] Add D60 footprint
13:36:59: [INFO] Add SW61 footprint
13:36:59: [INFO] Add D61 footprint
13:36:59: [INFO] Add SW62 footprint
13:36:59: [INFO] Add D62 footprint
13:36:59: [INFO] Add SW63 footprint
13:36:59: [INFO] Add D63 footprint
13:36:59: [INFO] Add SW64 footprint
13:37:00: [INFO] Add D64 footprint
13:37:00: [INFO] Add SW65 footprint
13:37:00: [INFO] Add D65 footprint
13:37:00: [INFO] Add SW66 footprint
13:37:00: [INFO] Add D66 footprint
13:37:00: [INFO] Add SW67 footprint
13:37:00: [INFO] Add D67 footprint
13:37:00: [INFO] Add SW68 footprint
13:37:00: [INFO] Add D68 footprint
13:37:00: [INFO] Add SW69 footprint
13:37:00: [INFO] Add D69 footprint
13:37:00: [INFO] Add SW70 footprint
13:37:00: [INFO] Add D70 footprint
13:37:00: [INFO] Add SW71 footprint
13:37:00: [INFO] Add D71 footprint
13:37:00: [INFO] Add SW72 footprint
13:37:00: [INFO] Add D72 footprint
13:37:00: [INFO] Add SW73 footprint
13:37:00: [INFO] Add D73 footprint
13:37:00: [INFO] Add SW74 footprint
13:37:00: [INFO] Add D74 footprint
13:37:00: [INFO] Add SW75 footprint
13:37:00: [INFO] Add D75 footprint
13:37:00: [INFO] Add SW76 footprint
13:37:00: [INFO] Add D76 footprint
13:37:00: [INFO] Add SW77 footprint
13:37:00: [INFO] Add D77 footprint
13:37:00: [INFO] Add SW78 footprint
13:37:00: [INFO] Add D78 footprint
13:37:00: [INFO] Add SW79 footprint
13:37:00: [INFO] Add D79 footprint
13:37:00: [INFO] Add SW80 footprint
13:37:00: [INFO] Add D80 footprint
13:37:00: [INFO] Add SW81 footprint
13:37:00: [INFO] Add D81 footprint
13:37:00: [INFO] Add SW82 footprint
13:37:00: [INFO] Add D82 footprint
13:37:01: [INFO] Add SW83 footprint
13:37:01: [INFO] Add D83 footprint
13:37:01: [INFO] Add SW84 footprint
13:37:01: [INFO] Add D84 footprint
13:37:01: [INFO] Add SW85 footprint
13:37:01: [INFO] Add D85 footprint
13:37:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:01: [INFO] Layout offset: (33337500, 28575000)
13:37:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:01: [INFO] Placing additional elements for SW85
13:37:01: [INFO] Placing additional elements for SW84
13:37:01: [INFO] Placing additional elements for SW83
13:37:01: [INFO] Placing additional elements for SW82
13:37:01: [INFO] Placing additional elements for SW81
13:37:01: [INFO] Placing additional elements for SW80
13:37:01: [INFO] Placing additional elements for SW79
13:37:01: [INFO] Placing additional elements for SW78
13:37:01: [INFO] Placing additional elements for SW77
13:37:01: [INFO] Placing additional elements for SW76
13:37:01: [INFO] Placing additional elements for SW75
13:37:01: [INFO] Placing additional elements for SW74
13:37:01: [INFO] Placing additional elements for SW73
13:37:01: [INFO] Placing additional elements for SW72
13:37:01: [INFO] Placing additional elements for SW71
13:37:01: [INFO] Placing additional elements for SW70
13:37:01: [INFO] Placing additional elements for SW69
13:37:01: [INFO] Placing additional elements for SW68
13:37:01: [INFO] Placing additional elements for SW67
13:37:01: [INFO] Placing additional elements for SW66
13:37:01: [INFO] Placing additional elements for SW65
13:37:01: [INFO] Placing additional elements for SW64
13:37:01: [INFO] Placing additional elements for SW63
13:37:01: [INFO] Placing additional elements for SW62
13:37:01: [INFO] Placing additional elements for SW61
13:37:01: [INFO] Placing additional elements for SW60
13:37:01: [INFO] Placing additional elements for SW59
13:37:01: [INFO] Placing additional elements for SW58
13:37:01: [INFO] Placing additional elements for SW57
13:37:01: [INFO] Placing additional elements for SW56
13:37:01: [INFO] Placing additional elements for SW55
13:37:01: [INFO] Placing additional elements for SW54
13:37:01: [INFO] Placing additional elements for SW53
13:37:01: [INFO] Placing additional elements for SW52
13:37:01: [INFO] Placing additional elements for SW51
13:37:01: [INFO] Placing additional elements for SW50
13:37:01: [INFO] Placing additional elements for SW49
13:37:01: [INFO] Placing additional elements for SW48
13:37:01: [INFO] Placing additional elements for SW47
13:37:01: [INFO] Placing additional elements for SW46
13:37:01: [INFO] Placing additional elements for SW45
13:37:01: [INFO] Placing additional elements for SW44
13:37:01: [INFO] Placing additional elements for SW43
13:37:01: [INFO] Placing additional elements for SW42
13:37:01: [INFO] Placing additional elements for SW41
13:37:01: [INFO] Placing additional elements for SW40
13:37:01: [INFO] Placing additional elements for SW39
13:37:01: [INFO] Placing additional elements for SW38
13:37:01: [INFO] Placing additional elements for SW37
13:37:01: [INFO] Placing additional elements for SW36
13:37:01: [INFO] Placing additional elements for SW35
13:37:01: [INFO] Placing additional elements for SW34
13:37:01: [INFO] Placing additional elements for SW33
13:37:01: [INFO] Placing additional elements for SW32
13:37:01: [INFO] Placing additional elements for SW31
13:37:01: [INFO] Placing additional elements for SW30
13:37:01: [INFO] Placing additional elements for SW29
13:37:01: [INFO] Placing additional elements for SW28
13:37:01: [INFO] Placing additional elements for SW27
13:37:01: [INFO] Placing additional elements for SW26
13:37:01: [INFO] Placing additional elements for SW25
13:37:01: [INFO] Placing additional elements for SW24
13:37:01: [INFO] Placing additional elements for SW23
13:37:01: [INFO] Placing additional elements for SW22
13:37:01: [INFO] Placing additional elements for SW21
13:37:01: [INFO] Placing additional elements for SW20
13:37:01: [INFO] Placing additional elements for SW19
13:37:01: [INFO] Placing additional elements for SW18
13:37:01: [INFO] Placing additional elements for SW17
13:37:01: [INFO] Placing additional elements for SW16
13:37:01: [INFO] Placing additional elements for SW15
13:37:01: [INFO] Placing additional elements for SW14
13:37:01: [INFO] Placing additional elements for SW13
13:37:01: [INFO] Placing additional elements for SW12
13:37:01: [INFO] Placing additional elements for SW11
13:37:01: [INFO] Placing additional elements for SW10
13:37:01: [INFO] Placing additional elements for SW9
13:37:01: [INFO] Placing additional elements for SW8
13:37:01: [INFO] Placing additional elements for SW7
13:37:01: [INFO] Placing additional elements for SW6
13:37:01: [INFO] Placing additional elements for SW5
13:37:01: [INFO] Placing additional elements for SW4
13:37:01: [INFO] Placing additional elements for SW3
13:37:01: [INFO] Placing additional elements for SW2
13:37:01: [INFO] Placing additional elements for SW1
13:37:01: [INFO] Routing SW85 with D85
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW85:2' at (330084323, 157878225) with pad 'D85:2' at (334525504, 164639135) using coordinate system rotated by 345.0 degree(s)
