=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:41:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbFfcAXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMrcaaoqzIKlNKQ2Ya4KLtj7xBSUeOx4U6g3ABs26hldmWJHDyNDYCwmJKeKRugaQq3uA00foAxmzgAMQAhjm54MYYOPRMAWwUIbxhSACc1U7KRf4WXhW2cPZCQtxp8Jkp-QP5EhgeMWzx9TSjTe7IrVX1pLT6seVKHrQzgZzzduGLGFIrckbcS3oy7lr1GxcW8orcG6YlFla77ftKS67H8C3rXzFczuYLcNodCJnDDJS6xCaA2HgDaNV7ucrgqq1Co9bDZXI5IbYJaokGBFqYvYOLrYXF9Ab9IngJajP5wBFPEbA0rwOaUz4JdjLOFyNbcESbNHbayVKmOJRCo4iwyPbBCu5XBISjWxU7YCUvMlsd78yH1IW-ZWeLVArYnD5mhUwsZkDn653iwrciwY0JU7HddL4glMoWknnWh3CGngOkZBmMp2sq1u8AS6ZSth8v0C+oIYX3MXYLoEO3wHamr7cfNK+568D5nVsa5KLpNlWtw7e9wmnOO6tAtkA7hdPyZwxRhxQ7D52H3VNdOexoMiVdrpldcM+mUQijYpT5regj4Udj1aqSkEAJ0CKm4V7apAqgXsDvISAQIiUd9LaKvbA2bAX19WV2geQNemDPJv1Ubt-zIIUgIWU1wNpFc11XJk7zHa85AqG8AJlB9xiQM9KxlOMCUJA8uRmeCghjAj4DvbBiLIZ9kL7d9PwgvEEzSGCM1wuxSEY2Je3cV8UIoT8lAvISWHo-gn3vWJ81Ytp4jIpCRPInEgyorIN1ov8BFIRDwCYoIJLY6zuGAnczJkiU0MgjDMLk21TLsQDJJAiFUOXSDDKZC81DoOggA
14:41:18: [INFO] Add D31 footprint
14:41:18: [INFO] Add SW32 footprint
14:41:18: [INFO] Add D32 footprint
14:41:18: [INFO] Add SW33 footprint
14:41:18: [INFO] Add D33 footprint
14:41:18: [INFO] Add SW34 footprint
14:41:18: [INFO] Add D34 footprint
14:41:18: [INFO] Add SW35 footprint
14:41:18: [INFO] Add D35 footprint
14:41:18: [INFO] Add SW36 footprint
14:41:18: [INFO] Add D36 footprint
14:41:18: [INFO] Add SW37 footprint
14:41:18: [INFO] Add D37 footprint
14:41:18: [INFO] Add SW38 footprint
14:41:18: [INFO] Add D38 footprint
14:41:18: [INFO] Add SW39 footprint
14:41:18: [INFO] Add D39 footprint
14:41:18: [INFO] Add SW40 footprint
14:41:18: [INFO] Add D40 footprint
14:41:18: [INFO] Add SW41 footprint
14:41:18: [INFO] Add D41 footprint
14:41:18: [INFO] Add SW42 footprint
14:41:18: [INFO] Add D42 footprint
14:41:18: [INFO] Add SW43 footprint
14:41:18: [INFO] Add D43 footprint
14:41:18: [INFO] Add SW44 footprint
14:41:18: [INFO] Add D44 footprint
14:41:18: [INFO] Add SW45 footprint
14:41:18: [INFO] Add D45 footprint
14:41:18: [INFO] Add SW46 footprint
14:41:18: [INFO] Add D46 footprint
14:41:18: [INFO] Add SW47 footprint
14:41:18: [INFO] Add D47 footprint
14:41:18: [INFO] Add SW48 footprint
14:41:19: [INFO] Add D48 footprint
14:41:19: [INFO] Add SW49 footprint
14:41:19: [INFO] Add D49 footprint
14:41:19: [INFO] Add SW50 footprint
14:41:19: [INFO] Add D50 footprint
14:41:19: [INFO] Add SW51 footprint
14:41:19: [INFO] Add D51 footprint
14:41:19: [INFO] Add SW52 footprint
14:41:19: [INFO] Add D52 footprint
14:41:19: [INFO] Add SW53 footprint
14:41:19: [INFO] Add D53 footprint
14:41:19: [INFO] Add SW54 footprint
14:41:19: [INFO] Add D54 footprint
14:41:19: [INFO] Add SW55 footprint
14:41:19: [INFO] Add D55 footprint
14:41:19: [INFO] Add SW56 footprint
14:41:19: [INFO] Add D56 footprint
14:41:19: [INFO] Add SW57 footprint
14:41:19: [INFO] Add D57 footprint
14:41:19: [INFO] Add SW58 footprint
14:41:19: [INFO] Add D58 footprint
14:41:19: [INFO] Add SW59 footprint
14:41:19: [INFO] Add D59 footprint
14:41:19: [INFO] Add SW60 footprint
14:41:19: [INFO] Add D60 footprint
14:41:19: [INFO] Add SW61 footprint
14:41:19: [INFO] Add D61 footprint
14:41:19: [INFO] Add SW62 footprint
14:41:19: [INFO] Add D62 footprint
14:41:19: [INFO] Add SW63 footprint
14:41:19: [INFO] Add D63 footprint
14:41:19: [INFO] Add SW64 footprint
14:41:20: [INFO] Add D64 footprint
14:41:20: [INFO] Detected layout convertible to matrix annotated keyboard
14:41:20: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:41:20: [INFO] Layout offset: (38100000, 28575000)
14:41:20: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:41:20: [INFO] Placing additional elements for SW64
14:41:20: [INFO] Placing additional elements for SW63
14:41:20: [INFO] Placing additional elements for SW62
14:41:20: [INFO] Placing additional elements for SW61
14:41:20: [INFO] Placing additional elements for SW60
14:41:20: [INFO] Placing additional elements for SW59
14:41:20: [INFO] Placing additional elements for SW58
14:41:20: [INFO] Placing additional elements for SW57
14:41:20: [INFO] Placing additional elements for SW56
14:41:20: [INFO] Placing additional elements for SW55
14:41:20: [INFO] Placing additional elements for SW54
14:41:20: [INFO] Placing additional elements for SW53
14:41:20: [INFO] Placing additional elements for SW52
14:41:20: [INFO] Placing additional elements for SW51
14:41:20: [INFO] Placing additional elements for SW50
14:41:20: [INFO] Placing additional elements for SW49
14:41:20: [INFO] Placing additional elements for SW48
14:41:20: [INFO] Placing additional elements for SW47
14:41:20: [INFO] Placing additional elements for SW46
14:41:20: [INFO] Placing additional elements for SW45
14:41:20: [INFO] Placing additional elements for SW44
14:41:20: [INFO] Placing additional elements for SW43
14:41:20: [INFO] Placing additional elements for SW42
14:41:20: [INFO] Placing additional elements for SW41
