=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbPc8AXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMoSMATnWsyCpTVL0mLEnBRdsfeIKSjx1DCgNWAbNtdDzzCHs4R2duAGM2cABiEVi46XAAdzkfZRwDCPhosJzc8BMMMyJDOFIVVJopYszsKIBDBsaE5KMXZVICBgCS7xRuIMdPdj7sGuzcnPydTw82cra8EX9LNmQR3gEKMSVSfFmyCjbd2i6V+E51geFt7l2qmRL5RVvVfbgtI703p53Cs1ONNZbBsHNdPu5il5Urs-ACQcEweFIvVGg1milPulqsiJpNfkUHlYytDCvcIGMUaj0a18Z0LIDev1NkghusKbiItwABYY34zSFzYE8mkvJZwqxrJmgpA3bDsPYCg6peUneklC5ShFOWXgeVkx7GbjytSK97Kr6mn5Gv7LQE2S7M5xKeUQwlsXrOjCwtVXbVs5GotHcFqlc1Yh7s3FTOWFb7zT2kfUUwN1amhtoqundCXA30IMRIrJRDnR8AIBVupVtcuq7NsDV2R068v6omG7Dlk2Vs3Vi3dq0dm3itj2zUhZtuN4e7jl73dX2hUYBwNp+S98PknFRpQ1uOpGtJ5dU4O8meFLNnRC55n5toqCuA8ipe+1y8N+Hju8YVtyC5KF--GqViHGOWxfuG4AvnuX6JgkL4Xo+kqNtKIgqF++jDvANjDKBMpfmocIAE6rHg2CEVC6yEUE5Q4dgbakR+A66hg-KDjMmGhgxFJxPE3L1v+k7YkWKYJMKHACexarEQ4CAMeRcjlnRAiKYx7ZlhgSzWmKQHKXx5wCZpEbIjxsSifx3D3rCdBAA
13:30:01: [INFO] Add SW17 footprint
13:30:01: [INFO] Add D17 footprint
13:30:01: [INFO] Add SW18 footprint
13:30:01: [INFO] Add D18 footprint
13:30:01: [INFO] Add SW19 footprint
13:30:01: [INFO] Add D19 footprint
13:30:01: [INFO] Add SW20 footprint
13:30:01: [INFO] Add D20 footprint
13:30:01: [INFO] Add SW21 footprint
13:30:01: [INFO] Add D21 footprint
13:30:01: [INFO] Add SW22 footprint
13:30:01: [INFO] Add D22 footprint
13:30:01: [INFO] Add SW23 footprint
13:30:01: [INFO] Add D23 footprint
13:30:01: [INFO] Add SW24 footprint
13:30:01: [INFO] Add D24 footprint
13:30:01: [INFO] Add SW25 footprint
13:30:01: [INFO] Add D25 footprint
13:30:01: [INFO] Add SW26 footprint
13:30:01: [INFO] Add D26 footprint
13:30:01: [INFO] Add SW27 footprint
13:30:01: [INFO] Add D27 footprint
13:30:01: [INFO] Add SW28 footprint
13:30:01: [INFO] Add D28 footprint
13:30:02: [INFO] Add SW29 footprint
13:30:02: [INFO] Add D29 footprint
13:30:02: [INFO] Add SW30 footprint
13:30:02: [INFO] Add D30 footprint
13:30:02: [INFO] Add SW31 footprint
13:30:02: [INFO] Add D31 footprint
13:30:02: [INFO] Add SW32 footprint
13:30:02: [INFO] Add D32 footprint
13:30:02: [INFO] Add SW33 footprint
13:30:02: [INFO] Add D33 footprint
13:30:02: [INFO] Add SW34 footprint
13:30:02: [INFO] Add D34 footprint
13:30:02: [INFO] Add SW35 footprint
13:30:02: [INFO] Add D35 footprint
13:30:02: [INFO] Add SW36 footprint
13:30:02: [INFO] Add D36 footprint
13:30:02: [INFO] Add SW37 footprint
13:30:02: [INFO] Add D37 footprint
13:30:02: [INFO] Add SW38 footprint
13:30:02: [INFO] Add D38 footprint
13:30:02: [INFO] Add SW39 footprint
13:30:02: [INFO] Add D39 footprint
13:30:02: [INFO] Add SW40 footprint
13:30:02: [INFO] Add D40 footprint
13:30:02: [INFO] Add SW41 footprint
13:30:02: [INFO] Add D41 footprint
13:30:02: [INFO] Add SW42 footprint
13:30:02: [INFO] Add D42 footprint
13:30:02: [INFO] Add SW43 footprint
13:30:02: [INFO] Add D43 footprint
13:30:02: [INFO] Add SW44 footprint
13:30:02: [INFO] Add D44 footprint
13:30:02: [INFO] Add SW45 footprint
13:30:02: [INFO] Add D45 footprint
13:30:02: [INFO] Add SW46 footprint
13:30:03: [INFO] Add D46 footprint
13:30:03: [INFO] Add SW47 footprint
13:30:03: [INFO] Add D47 footprint
13:30:03: [INFO] Add SW48 footprint
