=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14BGQ1dAFhQCZwBdFAKDCljkrXAE8WBaDAOgAcANlKYquOPhYl2WMhKnwAnKIqEFzIquy0GTAnACs7LvF6CRslIY0GA7Noy7GEU3HPD2AYxbgAxACGQcHgolhOeOA+8P5ecfGhVuqRBoSG2vKR0eiBwUGJ5NbO+iwIJjz8ZGzo2bHxcQXghDop0jLoxtR0Lpqs5Wb8wqLN1K1a7M2Zkr0q7MbJ06mixjjdJfDG6G4elujNNmNwDnMoTmuuFRbevrl5jc0R07V+9Q3DKAuKcGnLKFMQzzy+V+NnOvTKW0uVWuMRer0abBwh2IoiE4jBBmqnEuQ3YbFGi2kojY-xmqI+tiJ7DRqz0X022IGFmJRUOx3QaLOdMZ7kGaJqNyBAQRpw0z1ePhZn16P2pfzFgqBjTRoO5BgQfAZ234hAEojKjy+hH4GFEdnR3IATtIGZaDIY+JRbW4NUp2AZzFrLul2GV1GDrfAEFh0HaWEI+HZnSwyHwEPzeuYo-1eZGGQALaSa-UWnqB9zB9hhohY7Vp9iZojZ9jmrl5nhpIupDXJ0Muvhu9Ae-hepk+9Dm-00IA
13:37:15: [INFO] Placing additional elements for SW4
13:37:15: [INFO] Placing additional elements for SW3
13:37:15: [INFO] Placing additional elements for SW2
13:37:15: [INFO] Placing additional elements for SW1
13:37:15: [INFO] Routing SW42 with D42
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW42:2' at (316865000, 94742000) with pad 'D42:2' at (319405000, 102422000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(316865000, 94742000), (316865000, 99882000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(316865000, 99882000), (319405000, 102422000)]
13:37:15: [INFO] Routing SW41 with D41
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW41:2' at (291651151, 97305696) with pad 'D41:2' at (296092332, 104066606) using coordinate system rotated by 345.0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(291651151, 97305696), (292981480, 102270555)]
13:37:15: [INFO] Adding track segment (B.Cu): [(292981480, 102270555), (296092332, 104066606)]
13:37:15: [INFO] Routing SW40 with D40
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW40:2' at (265083596, 101201090) with pad 'D40:2' at (271123300, 106582164) using coordinate system rotated by 330.0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(265083596, 101201090), (267653594, 105652459)]
13:37:15: [INFO] Adding track segment (B.Cu): [(267653594, 105652459), (271123300, 106582164)]
13:37:15: [INFO] Routing SW39 with D39
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW39:2' at (383540000, 79121000) with pad 'D39:2' at (386080000, 86801000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 79121000), (383540000, 84261000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 84261000), (386080000, 86801000)]
13:37:15: [INFO] Routing SW38 with D38
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW38:2' at (364490000, 79121000) with pad 'D38:2' at (367030000, 86801000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 79121000), (364490000, 84261000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 84261000), (367030000, 86801000)]
13:37:15: [INFO] Routing SW37 with D37
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW37:2' at (345440000, 73787000) with pad 'D37:2' at (347980000, 81467000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 73787000), (345440000, 78927000)]
