=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ArDlOUpE85nfgIxF5YBMX4+AMz98AFhFZqEgGwTkEgBwSAnBPa4AOgDtt2-ITZZ27XTq36uEaPCRp0dAO7ke2butN6j4ALpYAUGDgAJ7kVDy0CNYIiACGcfGsCOwE-MmcdMl8GVjC2eLZUtmy2fLZStmq2eqW9DYodqUITvDsNK7gaSZm2skGcBDNcK3U7Z0eWmk1ZC2UyBHgg63hdAAWzo58M-Mrm0N0JLsAtGEjVV2mmT7+gYuU4e08KcS10fEJD150j1kIj7m-WHyAMKAOKAMa4Ee5QBlQB7m6Eye-Retga-Fu9y+RnOZl6U3Ix1m80GPDupzhOJ6n2R0woRLoUUYzCYiUhRk0CMuvgCVgY9Ts6PIrTm7UESN5dWZLNF1PAYp+cpy-DFQMVIMVYMVELF0MVsIl0QaENuIroYuq3MCtKopoQoiR4HtCvtgnGjz6A2cZPa9tEbvFCy9tsdWGk-r6IeQ4Zqg2QPsB-vSNIJyEouHjuvtqm83iAA
13:32:31: [INFO] Adding track segment (B.Cu): [(171608750, 119122500), (174148750, 121662500)]
13:32:31: [INFO] Routing SW51a with D51
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW51a:2' at (150177500, 113982500) with pad 'D51:2' at (126523750, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(150177500, 113982500), (134203750, 113982500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(134203750, 113982500), (126523750, 121662500)]
13:32:31: [INFO] Routing SW51 with D51
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW51:2' at (123983750, 113982500) with pad 'D51:2' at (126523750, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(123983750, 113982500), (123983750, 119122500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(123983750, 119122500), (126523750, 121662500)]
13:32:31: [INFO] Routing SW50 with D50
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW50:2' at (93027500, 113982500) with pad 'D50:2' at (95567500, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(93027500, 113982500), (93027500, 119122500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(93027500, 119122500), (95567500, 121662500)]
13:32:31: [INFO] Routing SW49 with D49
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW49:2' at (73977500, 113982500) with pad 'D49:2' at (76517500, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(73977500, 113982500), (73977500, 119122500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(73977500, 119122500), (76517500, 121662500)]
13:32:31: [INFO] Routing SW48 with D48
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW48:2' at (54927500, 113982500) with pad 'D48:2' at (57467500, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(54927500, 113982500), (54927500, 119122500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(54927500, 119122500), (57467500, 121662500)]
13:32:31: [INFO] Routing SW47 with D47
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW47:2' at (252571250, 94932500) with pad 'D47:2' at (255111250, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(252571250, 94932500), (252571250, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(252571250, 100072500), (255111250, 102612500)]
13:32:31: [INFO] Routing SW46 with D46
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW46:2' at (226377500, 94932500) with pad 'D46:2' at (228917500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(226377500, 94932500), (226377500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(226377500, 100072500), (228917500, 102612500)]
13:32:31: [INFO] Routing SW45 with D45
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW45:2' at (207327500, 94932500) with pad 'D45:2' at (209867500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(207327500, 94932500), (207327500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(207327500, 100072500), (209867500, 102612500)]
13:32:31: [INFO] Routing SW44 with D44
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW44:2' at (188277500, 94932500) with pad 'D44:2' at (190817500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(188277500, 94932500), (188277500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(188277500, 100072500), (190817500, 102612500)]
13:32:31: [INFO] Routing SW43 with D43
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW43:2' at (169227500, 94932500) with pad 'D43:2' at (171767500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(169227500, 94932500), (169227500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(169227500, 100072500), (171767500, 102612500)]
13:32:31: [INFO] Routing SW42 with D42
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW42:2' at (150177500, 94932500) with pad 'D42:2' at (152717500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(150177500, 94932500), (150177500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(150177500, 100072500), (152717500, 102612500)]
13:32:31: [INFO] Routing SW41 with D41
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW41:2' at (131127500, 94932500) with pad 'D41:2' at (133667500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(131127500, 94932500), (131127500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(131127500, 100072500), (133667500, 102612500)]
13:32:31: [INFO] Routing SW40 with D40
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW40:2' at (112077500, 94932500) with pad 'D40:2' at (114617500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(112077500, 94932500), (112077500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(112077500, 100072500), (114617500, 102612500)]
13:32:31: [INFO] Routing SW39 with D39
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW39:2' at (93027500, 94932500) with pad 'D39:2' at (95567500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(93027500, 94932500), (93027500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(93027500, 100072500), (95567500, 102612500)]
13:32:31: [INFO] Routing SW38 with D38
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW38:2' at (73977500, 94932500) with pad 'D38:2' at (76517500, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(73977500, 94932500), (73977500, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(73977500, 100072500), (76517500, 102612500)]
13:32:31: [INFO] Routing SW37 with D37
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW37:2' at (47783750, 94932500) with pad 'D37:2' at (50323750, 102612500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(47783750, 94932500), (47783750, 100072500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(47783750, 100072500), (50323750, 102612500)]
13:32:31: [INFO] Routing SW36a with D36
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW36a:2' at (247808750, 75882500) with pad 'D36:2' at (259873750, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Routing SW36 with D36
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW36:2' at (257333750, 75882500) with pad 'D36:2' at (259873750, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(257333750, 75882500), (257333750, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(257333750, 81022500), (259873750, 83562500)]
13:32:31: [INFO] Routing SW35 with D35
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW35:2' at (235902500, 75882500) with pad 'D35:2' at (238442500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(235902500, 75882500), (235902500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(235902500, 81022500), (238442500, 83562500)]
13:32:31: [INFO] Routing SW34 with D34
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW34:2' at (216852500, 75882500) with pad 'D34:2' at (219392500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(216852500, 75882500), (216852500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(216852500, 81022500), (219392500, 83562500)]
13:32:31: [INFO] Routing SW33 with D33
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW33:2' at (197802500, 75882500) with pad 'D33:2' at (200342500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(197802500, 75882500), (197802500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(197802500, 81022500), (200342500, 83562500)]
13:32:31: [INFO] Routing SW32 with D32
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW32:2' at (178752500, 75882500) with pad 'D32:2' at (181292500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(178752500, 75882500), (178752500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(178752500, 81022500), (181292500, 83562500)]
13:32:31: [INFO] Routing SW31 with D31
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW31:2' at (159702500, 75882500) with pad 'D31:2' at (162242500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(159702500, 75882500), (159702500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(159702500, 81022500), (162242500, 83562500)]
13:32:31: [INFO] Routing SW30 with D30
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW30:2' at (140652500, 75882500) with pad 'D30:2' at (143192500, 83562500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(140652500, 75882500), (140652500, 81022500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(140652500, 81022500), (143192500, 83562500)]
13:32:31: [INFO] Routing SW29 with D29
13:32:31: [INFO] Using internal autorouter method
