=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwBo7gMa1QYgOx-+AL4rgAMSAjAEzgoTTykB0VArCRvOFmr30SXIUKtVENKiySCYMqj6mZmw6ZuAQw2aBYpDVkBmSeQRGkreVEUt2qTtj79iOgGymcpgBymAnBYZxmG3RVLE0tJykKEwBdJAAoMEt4KiYcIIBPK2VbEIdebXAKShMSIopDUso9VDKRSooZGulJMpbdNoqmkqbzStdK9zpgrlCwtUkAd0wqCKKPAB0AOyWl8kaIO248jAj2XxJ2LwOkQbgFRiZWWaQF5buhNu8V+7lYhPO4FLSVEbHxkim8AolwiVGKFk2PDyBTB5UksOq4FhdVQsMaSOaJFh8PaWKQnQx3QxvVRSH6pNOEEBcGBVzxt2eRXRYP2qHY5PA7BJH2B2WG2HwBABmF5QQAFtMATQgZcSGLpTSSJAFQBaJR01D6E7PJatN6JfxfIKQv6TEWpDXgLVRCG5aERa0E62I60oq2UdFaz1yEhal34yRaolaknu8kbEKCvBm5LWB3au66zFnflbe2+pCs8A4MmSHPcpIBOP0nWLPXxRImsYxmnF1DIKKl7FDSHbAoN-RNn0p-yBH7YU3C2NsCINhBd9apqEOdtVSQNt0N9HIZfd8DIRHIAnIInIUPIcNTweoalG0cJ55e20jNtDz7np6JxYrvMnPxZY0hY-ganAtLnnBS2ta97HTesbiA7sPnVB9SwbV8GTueD9Q+ZAcl+as71FCJnEoToqXNEcSFw6gQLTGc72cFhnBwqDCzVJhSCKdCB0wk9CMtXDxyfdhJ1-OtwFw1hS14sjp34O8+1QAATTAABcACcAFcAFMIhE5MIwwsJJFk+BFNU9SeM08A9LgAy1JIDTJzMiyjOeUShls5TLNQazwBQwtqAtEhMguIJ+KI1AuI0lECJlILBLMUKxNvdj-JIZzDKs4ywqPataMA1LJFwxClnYN1cMfBy1xzYq7gKjyKx5M9iKQbiSsRISNKaskWpyi8KtxYKIOM1ryvy7rs0zdromiIA
13:39:02: [INFO] Add D7 footprint
13:39:02: [INFO] Add SW8 footprint
13:39:02: [INFO] Add D8 footprint
13:39:02: [INFO] Add SW9 footprint
13:39:02: [INFO] Add D9 footprint
13:39:02: [INFO] Add SW10 footprint
13:39:03: [INFO] Add D10 footprint
13:39:03: [INFO] Add SW11 footprint
13:39:03: [INFO] Add D11 footprint
13:39:03: [INFO] Add SW12 footprint
13:39:03: [INFO] Add D12 footprint
13:39:03: [INFO] Add SW13 footprint
13:39:03: [INFO] Add D13 footprint
13:39:03: [INFO] Add SW14 footprint
13:39:03: [INFO] Add D14 footprint
13:39:03: [INFO] Add SW15 footprint
13:39:03: [INFO] Add D15 footprint
13:39:03: [INFO] Add SW16 footprint
13:39:03: [INFO] Add D16 footprint
13:39:03: [INFO] Add SW17 footprint
13:39:03: [INFO] Add D17 footprint
13:39:03: [INFO] Add SW18 footprint
13:39:03: [INFO] Add D18 footprint
13:39:03: [INFO] Add SW19 footprint
13:39:03: [INFO] Add D19 footprint
13:39:03: [INFO] Add SW20 footprint
13:39:03: [INFO] Add D20 footprint
13:39:03: [INFO] Add SW21 footprint
13:39:03: [INFO] Add D21 footprint
13:39:03: [INFO] Add SW22 footprint
13:39:03: [INFO] Add D22 footprint
13:39:03: [INFO] Add SW23 footprint
13:39:03: [INFO] Add D23 footprint
13:39:03: [INFO] Add ST23 footprint
13:39:03: [INFO] Add SW23a footprint
13:39:03: [INFO] Add SW24 footprint
13:39:03: [INFO] Add D24 footprint
13:39:03: [INFO] Add SW25 footprint
13:39:04: [INFO] Add D25 footprint
13:39:04: [INFO] Add SW26 footprint
13:39:04: [INFO] Add D26 footprint
13:39:04: [INFO] Add SW27 footprint
13:39:04: [INFO] Add D27 footprint
13:39:04: [INFO] Add SW28 footprint
13:39:04: [INFO] Add D28 footprint
13:39:04: [INFO] Add SW29 footprint
13:39:04: [INFO] Add D29 footprint
13:39:04: [INFO] Add SW30 footprint
13:39:04: [INFO] Add D30 footprint
13:39:04: [INFO] Add SW31 footprint
13:39:04: [INFO] Add D31 footprint
13:39:04: [INFO] Add SW32 footprint
13:39:04: [INFO] Add D32 footprint
13:39:04: [INFO] Add SW33 footprint
13:39:04: [INFO] Add D33 footprint
13:39:04: [INFO] Add SW34 footprint
13:39:04: [INFO] Add D34 footprint
13:39:04: [INFO] Add SW35 footprint
13:39:04: [INFO] Add D35 footprint
13:39:04: [INFO] Add SW36 footprint
13:39:04: [INFO] Add D36 footprint
13:39:04: [INFO] Add SW37 footprint
13:39:04: [INFO] Add D37 footprint
13:39:04: [INFO] Add SW38 footprint
13:39:04: [INFO] Add D38 footprint
13:39:04: [INFO] Add SW38a footprint
13:39:04: [INFO] Add SW39 footprint
13:39:04: [INFO] Add D39 footprint
13:39:04: [INFO] Add SW40 footprint
13:39:04: [INFO] Add D40 footprint
13:39:05: [INFO] Add SW41 footprint
13:39:05: [INFO] Add D41 footprint
13:39:05: [INFO] Add SW42 footprint
13:39:05: [INFO] Add D42 footprint
13:39:05: [INFO] Add SW43 footprint
13:39:05: [INFO] Add D43 footprint
13:39:05: [INFO] Add SW44 footprint
13:39:05: [INFO] Add D44 footprint
13:39:05: [INFO] Add SW45 footprint
13:39:05: [INFO] Add D45 footprint
13:39:05: [INFO] Add SW46 footprint
13:39:05: [INFO] Add D46 footprint
13:39:05: [INFO] Add SW47 footprint
13:39:05: [INFO] Add D47 footprint
13:39:05: [INFO] Add SW48 footprint
13:39:05: [INFO] Add D48 footprint
13:39:05: [INFO] Add SW49 footprint
13:39:05: [INFO] Add D49 footprint
13:39:05: [INFO] Add SW50 footprint
13:39:05: [INFO] Add D50 footprint
13:39:05: [INFO] Add SW51 footprint
13:39:05: [INFO] Add D51 footprint
13:39:05: [INFO] Add SW52 footprint
13:39:05: [INFO] Add D52 footprint
13:39:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:05: [INFO] Add ST52 footprint
13:39:05: [INFO] Add SW52a footprint
13:39:05: [INFO] Add ST52a footprint
13:39:05: [INFO] Add SW53 footprint
13:39:05: [INFO] Add D53 footprint
13:39:05: [INFO] Add SW54 footprint
13:39:05: [INFO] Add D54 footprint
13:39:05: [INFO] Add SW55 footprint
13:39:05: [INFO] Add D55 footprint
13:39:05: [INFO] Add SW56 footprint
13:39:05: [INFO] Add D56 footprint
13:39:06: [INFO] Add SW57 footprint
13:39:06: [INFO] Add D57 footprint
13:39:06: [INFO] Add SW58 footprint
13:39:06: [INFO] Add D58 footprint
13:39:06: [INFO] Add SW59 footprint
13:39:06: [INFO] Add D59 footprint
13:39:06: [INFO] Add SW60 footprint
13:39:06: [INFO] Add D60 footprint
13:39:06: [INFO] Add SW61 footprint
13:39:06: [INFO] Add D61 footprint
13:39:06: [INFO] Add SW62 footprint
13:39:06: [INFO] Add D62 footprint
13:39:06: [INFO] Add SW63 footprint
13:39:06: [INFO] Add D63 footprint
13:39:06: [INFO] Add SW64 footprint
13:39:06: [INFO] Add D64 footprint
13:39:06: [INFO] Add SW65 footprint
13:39:06: [INFO] Add D65 footprint
13:39:06: [INFO] Add SW66 footprint
13:39:06: [INFO] Add D66 footprint
13:39:06: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:39:06: [INFO] Add ST66 footprint
13:39:06: [INFO] Add SW66a footprint
13:39:06: [INFO] Add SW67 footprint
13:39:06: [INFO] Add D67 footprint
13:39:06: [INFO] Add SW68 footprint
13:39:06: [INFO] Add D68 footprint
13:39:06: [INFO] Add ST68 footprint
13:39:06: [INFO] Add SW68a footprint
13:39:06: [INFO] Add SW69 footprint
13:39:06: [INFO] Add D69 footprint
13:39:06: [INFO] Add SW70 footprint
13:39:06: [INFO] Add D70 footprint
13:39:06: [INFO] Add SW71 footprint
13:39:07: [INFO] Add D71 footprint
13:39:07: [INFO] Add SW72 footprint
13:39:07: [INFO] Add D72 footprint
13:39:07: [INFO] Add SW73 footprint
13:39:07: [INFO] Add D73 footprint
13:39:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:07: [INFO] Add ST73 footprint
13:39:07: [INFO] Add SW73a footprint
13:39:07: [INFO] Add SW74 footprint
13:39:07: [INFO] Add D74 footprint
13:39:07: [INFO] Add SW75 footprint
13:39:07: [INFO] Add D75 footprint
13:39:07: [INFO] Add SW76 footprint
13:39:07: [INFO] Add D76 footprint
13:39:07: [INFO] Add SW77 footprint
13:39:07: [INFO] Add D77 footprint
13:39:07: [INFO] Add SW78 footprint
13:39:07: [INFO] Add D78 footprint
