=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQFiwOzg7j4CMADOALpYBQY4AHrHBQHQCsJAnqx2WwJuANmJwILeGXYUS0eEgLKVmEnKo4IChIkj6Da4Vk0I5ZceDkAmS3IDMdrLiecnY9YScAOJwE4nSkCLLShWJDR0EgB3VmshKywyW08yR1oGSTiuGNYZTgTuEIkwxT0DfSNwMhNLGuLqrBSEGscSGpd2rDcujxavLt8ugK6g0eLtcJRI5EtY6S4E+ubGtJp6YHBuHoRrWtCpNhyEebgZAgKSbmbJsorKhL2GvZW9tt3nSz2d8D2+34GHyGHxGHzGYImpV0KlUuXg1nY1kuYJuUIiMyqT3SG1IWH++E6JUOHG4J2ySIS9n2JR0SHu0EpSUsVJWVPe4CphI53WZeN5RBIVOB3NB3PBt10M1mcLO7AujLIDSpyV5awym3Ilnw7yy8BJMpkFKun1Cp0NyNxpggZsRFvwqNp5Qqc1YIltCXwOwl6MiLoWRrwWGB1ry7pI+FBuqOdqSDXIK3I6WoQA
13:37:40: [INFO] Add SW24 footprint
13:37:40: [INFO] Add D24 footprint
13:37:40: [INFO] Add SW25 footprint
13:37:40: [INFO] Add D25 footprint
13:37:40: [INFO] Add SW26 footprint
13:37:40: [INFO] Add D26 footprint
13:37:40: [INFO] Add SW27 footprint
13:37:40: [INFO] Add D27 footprint
13:37:40: [INFO] Add SW28 footprint
13:37:40: [INFO] Add D28 footprint
13:37:40: [INFO] Add SW29 footprint
13:37:40: [INFO] Add D29 footprint
13:37:41: [INFO] Add SW30 footprint
13:37:41: [INFO] Add D30 footprint
13:37:41: [INFO] Add SW31 footprint
13:37:41: [INFO] Add D31 footprint
13:37:41: [INFO] Add SW32 footprint
13:37:41: [INFO] Add D32 footprint
13:37:41: [INFO] Add SW33 footprint
13:37:41: [INFO] Add D33 footprint
13:37:41: [INFO] Add SW34 footprint
13:37:41: [INFO] Add D34 footprint
13:37:41: [INFO] Add SW35 footprint
13:37:41: [INFO] Add D35 footprint
13:37:41: [INFO] Add SW36 footprint
13:37:41: [INFO] Add D36 footprint
13:37:41: [INFO] Add SW37 footprint
13:37:41: [INFO] Add D37 footprint
13:37:41: [INFO] Add SW38 footprint
13:37:41: [INFO] Add D38 footprint
13:37:41: [INFO] Add SW39 footprint
13:37:41: [INFO] Add D39 footprint
13:37:41: [INFO] Add SW40 footprint
13:37:41: [INFO] Add D40 footprint
13:37:41: [INFO] Add SW41 footprint
13:37:41: [INFO] Add D41 footprint
13:37:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:41: [INFO] Add ST41 footprint
13:37:41: [INFO] Add SW42 footprint
13:37:41: [INFO] Add D42 footprint
13:37:41: [INFO] Add SW43 footprint
13:37:41: [INFO] Add D43 footprint
13:37:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:41: [INFO] Add ST43 footprint
13:37:41: [INFO] Add SW44 footprint
13:37:41: [INFO] Add D44 footprint
13:37:41: [INFO] Add SW45 footprint
13:37:41: [INFO] Add D45 footprint
13:37:41: [INFO] Add SW46 footprint
13:37:41: [INFO] Add D46 footprint
13:37:41: [INFO] Add SW47 footprint
13:37:41: [INFO] Add D47 footprint
13:37:41: [INFO] Add SW48 footprint
13:37:41: [INFO] Add D48 footprint
13:37:41: [INFO] Add SW49 footprint
13:37:42: [INFO] Add D49 footprint
13:37:42: [INFO] Add SW50 footprint
13:37:42: [INFO] Add D50 footprint
13:37:42: [INFO] Add SW51 footprint
13:37:42: [INFO] Add D51 footprint
13:37:42: [INFO] Add SW52 footprint
13:37:42: [INFO] Add D52 footprint
13:37:42: [INFO] Add SW53 footprint
13:37:42: [INFO] Add D53 footprint
13:37:42: [INFO] Add SW54 footprint
13:37:42: [INFO] Add D54 footprint
13:37:42: [INFO] Add SW55 footprint
13:37:42: [INFO] Add D55 footprint
13:37:42: [INFO] Add SW56 footprint
13:37:42: [INFO] Add D56 footprint
13:37:42: [INFO] Add SW57 footprint
13:37:42: [INFO] Add D57 footprint
13:37:42: [INFO] Add SW58 footprint
13:37:42: [INFO] Add D58 footprint
13:37:42: [INFO] Add SW59 footprint
13:37:42: [INFO] Add D59 footprint
13:37:42: [INFO] Add SW60 footprint
13:37:42: [INFO] Add D60 footprint
13:37:42: [INFO] Add SW61 footprint
13:37:42: [INFO] Add D61 footprint
13:37:42: [INFO] Add SW62 footprint
13:37:42: [INFO] Add D62 footprint
13:37:42: [INFO] Add ST62 footprint
13:37:42: [INFO] Add SW63 footprint
13:37:42: [INFO] Add D63 footprint
13:37:42: [INFO] Add SW64 footprint
13:37:42: [INFO] Add D64 footprint
13:37:42: [INFO] Add SW65 footprint
13:37:42: [INFO] Add D65 footprint
13:37:42: [INFO] Add SW66 footprint
13:37:42: [INFO] Add D66 footprint
13:37:42: [INFO] Add SW67 footprint
13:37:42: [INFO] Add D67 footprint
13:37:42: [INFO] Add SW68 footprint
13:37:42: [INFO] Add D68 footprint
13:37:43: [INFO] Add SW69 footprint
13:37:43: [INFO] Add D69 footprint
13:37:43: [INFO] Add SW70 footprint
13:37:43: [INFO] Add D70 footprint
13:37:43: [INFO] Add SW71 footprint
13:37:43: [INFO] Add D71 footprint
13:37:43: [INFO] Add SW72 footprint
13:37:43: [INFO] Add D72 footprint
13:37:43: [INFO] Add SW73 footprint
13:37:43: [INFO] Add D73 footprint
13:37:43: [INFO] Add SW74 footprint
13:37:43: [INFO] Add D74 footprint
13:37:43: [INFO] Add SW75 footprint
13:37:43: [INFO] Add D75 footprint
13:37:43: [INFO] Add SW76 footprint
13:37:43: [INFO] Add D76 footprint
13:37:43: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:43: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:43: [INFO] Layout offset: (28575000, 28575000)
13:37:43: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:43: [INFO] Placing additional elements for SW76
13:37:43: [INFO] Placing additional elements for SW75
13:37:43: [INFO] Placing additional elements for SW74
13:37:43: [INFO] Placing additional elements for SW73
13:37:43: [INFO] Placing additional elements for SW72
13:37:43: [INFO] Placing additional elements for SW71
13:37:43: [INFO] Placing additional elements for SW70
13:37:43: [INFO] Placing additional elements for SW69
13:37:43: [INFO] Placing additional elements for SW68
13:37:43: [INFO] Placing additional elements for SW67
13:37:43: [INFO] Placing additional elements for SW66
13:37:43: [INFO] Placing additional elements for SW65
13:37:43: [INFO] Placing additional elements for SW64
13:37:43: [INFO] Placing additional elements for SW63
13:37:43: [INFO] Placing additional elements for SW62
13:37:43: [INFO] Placing additional elements for SW61
13:37:43: [INFO] Placing additional elements for SW60
13:37:43: [INFO] Placing additional elements for SW59
13:37:43: [INFO] Placing additional elements for SW58
13:37:43: [INFO] Placing additional elements for SW57
13:37:43: [INFO] Placing additional elements for SW56
13:37:43: [INFO] Placing additional elements for SW55
13:37:43: [INFO] Placing additional elements for SW54
13:37:43: [INFO] Placing additional elements for SW53
13:37:43: [INFO] Placing additional elements for SW52
13:37:43: [INFO] Placing additional elements for SW51
13:37:43: [INFO] Placing additional elements for SW50
13:37:43: [INFO] Placing additional elements for SW49
13:37:43: [INFO] Placing additional elements for SW48
13:37:43: [INFO] Placing additional elements for SW47
13:37:43: [INFO] Placing additional elements for SW46
13:37:43: [INFO] Placing additional elements for SW45
13:37:43: [INFO] Placing additional elements for SW44
13:37:43: [INFO] Placing additional elements for SW43
13:37:43: [INFO] Placing additional elements for SW42
13:37:43: [INFO] Placing additional elements for SW41
13:37:43: [INFO] Placing additional elements for SW40
13:37:43: [INFO] Placing additional elements for SW39
13:37:43: [INFO] Placing additional elements for SW38
13:37:43: [INFO] Placing additional elements for SW37
13:37:43: [INFO] Placing additional elements for SW36
13:37:43: [INFO] Placing additional elements for SW35
13:37:43: [INFO] Placing additional elements for SW34
13:37:43: [INFO] Placing additional elements for SW33
13:37:43: [INFO] Placing additional elements for SW32
13:37:43: [INFO] Placing additional elements for SW31
13:37:43: [INFO] Placing additional elements for SW30
13:37:43: [INFO] Placing additional elements for SW29
13:37:43: [INFO] Placing additional elements for SW28
13:37:43: [INFO] Placing additional elements for SW27
13:37:43: [INFO] Placing additional elements for SW26
13:37:43: [INFO] Placing additional elements for SW25
13:37:43: [INFO] Placing additional elements for SW24
13:37:43: [INFO] Placing additional elements for SW23
13:37:43: [INFO] Placing additional elements for SW22
13:37:43: [INFO] Placing additional elements for SW21
13:37:43: [INFO] Placing additional elements for SW20
13:37:43: [INFO] Placing additional elements for SW19
13:37:43: [INFO] Placing additional elements for SW18
13:37:43: [INFO] Placing additional elements for SW17
13:37:43: [INFO] Placing additional elements for SW16
13:37:43: [INFO] Placing additional elements for SW15
13:37:43: [INFO] Placing additional elements for SW14
13:37:43: [INFO] Placing additional elements for SW13
13:37:43: [INFO] Placing additional elements for SW12
13:37:43: [INFO] Placing additional elements for SW11
13:37:43: [INFO] Placing additional elements for SW10
13:37:43: [INFO] Placing additional elements for SW9
13:37:43: [INFO] Placing additional elements for SW8
13:37:43: [INFO] Placing additional elements for SW7
13:37:43: [INFO] Placing additional elements for SW6
13:37:43: [INFO] Placing additional elements for SW5
13:37:43: [INFO] Placing additional elements for SW4
13:37:43: [INFO] Placing additional elements for SW3
13:37:43: [INFO] Placing additional elements for SW2
13:37:43: [INFO] Placing additional elements for SW1
13:37:43: [INFO] Routing SW76 with D76
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW76:2' at (50165000, 53975000) with pad 'D76:2' at (52705000, 61655000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(50165000, 53975000), (50165000, 59115000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(50165000, 59115000), (52705000, 61655000)]
13:37:43: [INFO] Routing SW75 with D75
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW75:2' at (40640000, 92075000) with pad 'D75:2' at (43180000, 99755000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 92075000), (40640000, 97215000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 97215000), (43180000, 99755000)]
13:37:43: [INFO] Routing SW74 with D74
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW74:2' at (90646250, 130175000) with pad 'D74:2' at (93186250, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(90646250, 130175000), (90646250, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(90646250, 135315000), (93186250, 137855000)]
13:37:43: [INFO] Routing SW73 with D73
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW73:2' at (95408750, 92075000) with pad 'D73:2' at (97948750, 99755000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(95408750, 92075000), (95408750, 97215000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(95408750, 97215000), (97948750, 99755000)]
13:37:43: [INFO] Routing SW72 with D72
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW72:2' at (93027500, 73025000) with pad 'D72:2' at (95567500, 80705000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(93027500, 73025000), (93027500, 78165000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(93027500, 78165000), (95567500, 80705000)]
13:37:43: [INFO] Routing SW71 with D71
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW71:2' at (107315000, 53975000) with pad 'D71:2' at (109855000, 61655000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(107315000, 53975000), (107315000, 59115000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(107315000, 59115000), (109855000, 61655000)]
13:37:43: [INFO] Routing SW70 with D70
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW70:2' at (374015000, 130175000) with pad 'D70:2' at (376555000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(374015000, 130175000), (374015000, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(374015000, 135315000), (376555000, 137855000)]
13:37:43: [INFO] Routing SW69 with D69
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW69:2' at (354965000, 130175000) with pad 'D69:2' at (357505000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(354965000, 130175000), (354965000, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(354965000, 135315000), (357505000, 137855000)]
13:37:43: [INFO] Routing SW68 with D68
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW68:2' at (335915000, 130175000) with pad 'D68:2' at (338455000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(335915000, 130175000), (335915000, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(335915000, 135315000), (338455000, 137855000)]
13:37:43: [INFO] Routing SW67 with D67
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW67:2' at (59690000, 33020000) with pad 'D67:2' at (62230000, 40700000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 33020000), (59690000, 38160000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 38160000), (62230000, 40700000)]
13:37:43: [INFO] Routing SW66 with D66
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW66:2' at (304958750, 130175000) with pad 'D66:2' at (307498750, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(304958750, 130175000), (304958750, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(304958750, 135315000), (307498750, 137855000)]
13:37:43: [INFO] Routing SW65 with D65
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW65:2' at (281146250, 130175000) with pad 'D65:2' at (283686250, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(281146250, 130175000), (281146250, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(281146250, 135315000), (283686250, 137855000)]
13:37:43: [INFO] Routing SW64 with D64
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW64:2' at (40640000, 33020000) with pad 'D64:2' at (43180000, 40700000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 33020000), (40640000, 38160000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 38160000), (43180000, 40700000)]
13:37:43: [INFO] Routing SW63 with D63
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW63:2' at (40640000, 111125000) with pad 'D63:2' at (43180000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 111125000), (40640000, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 116265000), (43180000, 118805000)]
13:37:43: [INFO] Routing SW62 with D62
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW62:2' at (209708750, 130175000) with pad 'D62:2' at (212248750, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(209708750, 130175000), (209708750, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(209708750, 135315000), (212248750, 137855000)]
13:37:43: [INFO] Routing SW61 with D61
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW61:2' at (59690000, 111125000) with pad 'D61:2' at (62230000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 111125000), (59690000, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 116265000), (62230000, 118805000)]
13:37:43: [INFO] Routing SW60 with D60
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW60:2' at (59690000, 130175000) with pad 'D60:2' at (62230000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 130175000), (59690000, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(59690000, 135315000), (62230000, 137855000)]
13:37:43: [INFO] Routing SW59 with D59
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW59:2' at (138271250, 130175000) with pad 'D59:2' at (140811250, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(138271250, 130175000), (138271250, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(138271250, 135315000), (140811250, 137855000)]
13:37:43: [INFO] Routing SW58 with D58
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW58:2' at (40640000, 130175000) with pad 'D58:2' at (43180000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 130175000), (40640000, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(40640000, 135315000), (43180000, 137855000)]
13:37:43: [INFO] Routing SW57 with D57
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW57:2' at (114458750, 130175000) with pad 'D57:2' at (116998750, 137855000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(114458750, 130175000), (114458750, 135315000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(114458750, 135315000), (116998750, 137855000)]
13:37:43: [INFO] Routing SW56 with D56
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW56:2' at (374015000, 111125000) with pad 'D56:2' at (376555000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(374015000, 111125000), (374015000, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(374015000, 116265000), (376555000, 118805000)]
13:37:43: [INFO] Routing SW55 with D55
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW55:2' at (354965000, 111125000) with pad 'D55:2' at (357505000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(354965000, 111125000), (354965000, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(354965000, 116265000), (357505000, 118805000)]
13:37:43: [INFO] Routing SW54 with D54
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW54:2' at (328771250, 111125000) with pad 'D54:2' at (331311250, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(328771250, 111125000), (328771250, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(328771250, 116265000), (331311250, 118805000)]
13:37:43: [INFO] Routing SW53 with D53
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW53:2' at (302577500, 111125000) with pad 'D53:2' at (305117500, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(302577500, 111125000), (302577500, 116265000)]
13:37:43: [INFO] Adding track segment (B.Cu): [(302577500, 116265000), (305117500, 118805000)]
13:37:43: [INFO] Routing SW52 with D52
13:37:43: [INFO] Using internal autorouter method
13:37:43: [INFO] Routing pad 'SW52:2' at (283527500, 111125000) with pad 'D52:2' at (286067500, 118805000) using coordinate system rotated by 0 degree(s)
13:37:43: [INFO] Adding track segment (B.Cu): [(283527500, 111125000), (283527500, 116265000)]
