=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0BWANHcBPWcAGFAdi3AGN9wBiAQ3ofAF8yCME0AdAOx57YLgsEAM4BbKgCcA9gBcA+gFNyCBM1bsuvbWwR9t+nosEBdDACgwUfACYSmbHngBaIgE4yleDXK+-Q7HEqdWw2GwCIaHgADhQAFhZQ9jUzS0j8ImIHXHxXFGjsr2xqYlKykPABCIoqaj9-RMr2aqjEIgSNBHDhGu86BnoA8AB3W0bdAGZwVKtW5HsyJzg8mzRGhE1pi1mM9EXczOzR+AR0dYxBHqKfespztR7WtxQ3e+7sDYQpq9qBwbJjogzmRPnEtmlrCdSI4DihVo0bJsZul4ERVvsXIcAfhTlkERdqtc6rcKoiHnAUXBnmsyGTyeAye8IES-rQhoC7PDaewpsiRrY4TTsBMCT8+rc7mQReTKQgsdgWX92Tj7I1pUzIcs7FlPLUJRVpSltrKkBjlvLesUyuU1ewwXylitCr8ldiTsDsHECXy5tlHRaidbShUvV8hqGwWRQ2hwVZJDi7NlJEs0dlWl6YZiUBsFXqSeMMN8kpGkjGNEhY5SJh7wBt3rXC0MNiWGzGffhq3jufXEUWGRgW4i28bNXFBbb6yK+yKWyLhxD07q+qzle6heAvRqifq3XBOeuvUXmS6BiGMBW+fGXF09thWsRbzlr+hneL8xpiEM2NEvxg3L+5UrTViHOT8QQwH9wP-cDAJgo0F3wB8uWwREwJQiChkRaD0MA9t4AfdcRTQ8ARUg4U-yGaVTBHe9BV3bUDwwNDj2XV1sEBU5GNwkwgA
13:34:17: [INFO] Routing SW64 with D64
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW64:2' at (335915000, 137795000) with pad 'D64:2' at (338455000, 145475000) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(335915000, 137795000), (335915000, 142935000)]
13:34:17: [INFO] Adding track segment (B.Cu): [(335915000, 142935000), (338455000, 145475000)]
13:34:17: [INFO] Routing SW63 with D63
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW63:2' at (271780419, 135216778) with pad 'D63:2' at (275922467, 142164974) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(271780419, 135216778), (272892917, 140234938)]
13:34:17: [INFO] Adding track segment (B.Cu): [(272892917, 140234938), (275922467, 142164974)]
13:34:17: [INFO] Routing SW62 with D62
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW62:2' at (232258736, 143978524) with pad 'D62:2' at (236400784, 150926720) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(232258736, 143978524), (233371234, 148996684)]
13:34:17: [INFO] Adding track segment (B.Cu): [(233371234, 148996684), (236400784, 150926720)]
13:34:17: [INFO] Routing SW61 with D61
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW61:2' at (176974458, 150491995) with pad 'D61:2' at (177791993, 158539705) using coordinate system rotated by 12.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(176974458, 150491995), (175861958, 155510157)]
