=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4AOVTbFfcAXQwCgwpY4AmVLcAT1YFocSUgHZ0XPG0JxirAIxIclXBgAsUmfABsFLtTVEW8eYt0ZJ9JhrgpO2XvAFDRSvCnWG4KnVQxuLzEjh5ajt+QRExbDxZd0DZDkjwahj-K0EQnjCnDIBjVnAAYmFikvAXDBxYuS9c-IKchsay00rUj2QM+zhHRNkaA0DyRM0aNsCEri7HCKU+yQG5BVnVKq1vcBH9aQ9jJRHzRgDWG06sma4+twX4Gr3fOkOrYMmz5wuMGOughLuUx490i8HOFRFw8vBCgBDaEw5rYPqVL6yGpguqNJp3Vr-QIdIHddJKNj9baDdbCUbY1gTULA7KEsyrIJLLhErZWbSJclsnbM7Dkg6WDwnPHTN7YIlXEmsW5ccl+SlGWyZWnncUfRnxMnqsasQE0-HZVEQgow2H0xFSowo7Dg7D1dF5JTkrGCwIckWCMXgFT3L4-LgATnuOvguP1ji9CGJViGSlIFNdVKVUxBiSj80tTJM2Cj3Ld63jecW2fA8YFR3gwvDqaUUclVhl2Hj8sTitOKsj6qR-qb2oVcD1yoNESNdtN0Lh4CjFqejdLFQercQHqQCC9Pr+S591aQAfXDK+wnWQYz4CDm4r1hXAaUPoIX0HtsKJVKXAAFotEj6i-BqeAP22ShBj+A5Kk+JrjpOQYELQtBAA
13:33:02: [INFO] Add D27 footprint
13:33:02: [INFO] Add SW28 footprint
13:33:02: [INFO] Add D28 footprint
13:33:02: [INFO] Add SW29 footprint
13:33:02: [INFO] Add D29 footprint
13:33:02: [INFO] Add SW30 footprint
13:33:02: [INFO] Add D30 footprint
13:33:02: [INFO] Add SW31 footprint
13:33:02: [INFO] Add D31 footprint
13:33:02: [INFO] Add SW32 footprint
13:33:02: [INFO] Add D32 footprint
13:33:03: [INFO] Add SW33 footprint
13:33:03: [INFO] Add D33 footprint
13:33:03: [INFO] Add SW34 footprint
13:33:03: [INFO] Add D34 footprint
13:33:03: [INFO] Add SW35 footprint
13:33:03: [INFO] Add D35 footprint
13:33:03: [INFO] Add SW36 footprint
13:33:03: [INFO] Add D36 footprint
13:33:03: [INFO] Add SW37 footprint
13:33:03: [INFO] Add D37 footprint
13:33:03: [INFO] Add SW38 footprint
13:33:03: [INFO] Add D38 footprint
13:33:03: [INFO] Add SW39 footprint
13:33:03: [INFO] Add D39 footprint
13:33:03: [INFO] Add SW40 footprint
13:33:03: [INFO] Add D40 footprint
13:33:03: [INFO] Add SW41 footprint
13:33:03: [INFO] Add D41 footprint
13:33:03: [INFO] Add SW42 footprint
13:33:03: [INFO] Add D42 footprint
13:33:03: [INFO] Add SW43 footprint
13:33:03: [INFO] Add D43 footprint
13:33:03: [INFO] Add SW44 footprint
13:33:03: [INFO] Add D44 footprint
13:33:03: [INFO] Add SW45 footprint
13:33:03: [INFO] Add D45 footprint
13:33:03: [INFO] Add SW46 footprint
13:33:03: [INFO] Add D46 footprint
13:33:03: [INFO] Add SW47 footprint
13:33:03: [INFO] Add D47 footprint
13:33:03: [INFO] Add SW48 footprint
13:33:03: [INFO] Add D48 footprint
13:33:03: [INFO] Add SW49 footprint
13:33:04: [INFO] Add D49 footprint
13:33:04: [INFO] Add SW50 footprint
13:33:04: [INFO] Add D50 footprint
13:33:04: [INFO] Add SW51 footprint
13:33:04: [INFO] Add D51 footprint
13:33:04: [INFO] Add SW52 footprint
13:33:04: [INFO] Add D52 footprint
13:33:04: [INFO] Add SW53 footprint
13:33:04: [INFO] Add D53 footprint
13:33:04: [INFO] Add SW54 footprint
13:33:04: [INFO] Add D54 footprint
13:33:04: [INFO] Add SW55 footprint
13:33:04: [INFO] Add D55 footprint
13:33:04: [INFO] Add SW56 footprint
13:33:04: [INFO] Add D56 footprint
13:33:04: [INFO] Add SW57 footprint
13:33:04: [INFO] Add D57 footprint
13:33:04: [INFO] Add SW58 footprint
13:33:04: [INFO] Add D58 footprint
13:33:04: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:04: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:04: [INFO] Layout offset: (38100000, 28575000)
13:33:04: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:04: [INFO] Placing additional elements for SW58
13:33:04: [INFO] Placing additional elements for SW57
13:33:04: [INFO] Placing additional elements for SW56
13:33:04: [INFO] Placing additional elements for SW55
13:33:04: [INFO] Placing additional elements for SW54
13:33:04: [INFO] Placing additional elements for SW53
13:33:04: [INFO] Placing additional elements for SW52
13:33:04: [INFO] Placing additional elements for SW51
13:33:04: [INFO] Placing additional elements for SW50
13:33:04: [INFO] Placing additional elements for SW49
13:33:04: [INFO] Placing additional elements for SW48
13:33:04: [INFO] Placing additional elements for SW47
13:33:04: [INFO] Placing additional elements for SW46
13:33:04: [INFO] Placing additional elements for SW45
13:33:04: [INFO] Placing additional elements for SW44
13:33:04: [INFO] Placing additional elements for SW43
13:33:04: [INFO] Placing additional elements for SW42
13:33:04: [INFO] Placing additional elements for SW41
13:33:04: [INFO] Placing additional elements for SW40
13:33:04: [INFO] Placing additional elements for SW39
13:33:04: [INFO] Placing additional elements for SW38
13:33:04: [INFO] Placing additional elements for SW37
13:33:04: [INFO] Placing additional elements for SW36
13:33:04: [INFO] Placing additional elements for SW35
13:33:04: [INFO] Placing additional elements for SW34
13:33:04: [INFO] Placing additional elements for SW33
13:33:04: [INFO] Placing additional elements for SW32
13:33:04: [INFO] Placing additional elements for SW31
13:33:04: [INFO] Placing additional elements for SW30
