=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwGYB0CCsAaO4Ces4AGFARm3AGcBbA8AJwHsAXAfQFMBjEk8AX3MKYAnAB0AduMkTpU8W0LgAupgBQYKAQQosOfPAC0xMjg60AxAHYr18OWq0+AzAuwRo8YhnKn44MxwDAxxxBHnIyMLg3AiEUC3R+EMwANlscMlTXDQ80BPDBTKSLJVV1d0RPHTwCQxRkvPTMYqcADjTwEkE28OEStWj4EnRc8j04WqHEjsF0PrKCVGNqg2IhBo7nds7N5X7suBJkkd0a1amEFLSIHxwzAEMHx-aAd00poUus8pIUQRNzQJBc5NLaYbo4D7giAACze5BaYLmA0QKBaVTGE285keT3Ir0G2mBLii4BufkBAWC4A+xORCCMVTJlmsVheBB+XhwsPgFxwzwQ7O05GhAsG5EgovGlSmFhSsjEoSR+0Oo1OKA+-18-gpVKQnxwCMKEHxB0J5FlFnlglp+2I8SmeuaOAu4PAsrau3mPLi6LVSyZOIebIJ9vIeptTIppimCJt31ihCmyTlMgVmB4nuRQ2Oyyl6pjmFm5AALPrruYWay8ZpcjKU1JrVdbT6sVqo1TS07wHrXcmoeBuYgplgPaUIBijK3boG7sHTRgpqXCPKIk3Izq68vU6uvgRKlO-DO51oFyXnCvNll14CqVgM2Plb6Vvmz0WcLK3+WtUfq97QzgsCNZUhU1W52ymbYu1LUc9nKelVWfCxS1AvxK2KYcQUzfYtCfPMkGTFD7kDOcOXWLAbRNUikx2B9vmGeIELzDVwEo2tyCwT8WMFU8cGTWYsPjRjagYwi0KpZMuwRLsPmKLC6HZP56HKPUcDoMZixzOCQNzfRUBE0kAQ3JwBR6EySXKaUnCQUFrIEzRGMs510y2RVyAuMzpkwDyLls2ia3WPVImpZywy89oPgFOy-3WUsgoRILSw8hFIr8+BUB4t0QoAsLzRynA9V82CFm0gNiN-ed1mTSIvzAnVyq0f9wGTFK9nkgxtlU74cPINSCGQ-Z9B+RSMRw95MGs-JxqbCy2KSYt2hmJVevgDTOQG0ihJ+dYEQmxp5sm-bGn41Lxh+RrZV28ALkO4KbouN9guOor2rNXiptCm6ERuvUnq9cYtETdj3pwUsbqwG7ZXmqLTpbPkawy0tdpqw8yrhgkMuTKHFCAA
13:32:42: [INFO] Add SW3 footprint
13:32:42: [INFO] Add D3 footprint
13:32:42: [INFO] Add SW4 footprint
13:32:42: [INFO] Add D4 footprint
13:32:42: [INFO] Add SW5 footprint
13:32:42: [INFO] Add D5 footprint
13:32:42: [INFO] Add SW6 footprint
13:32:42: [INFO] Add D6 footprint
13:32:42: [INFO] Add SW7 footprint
13:32:42: [INFO] Add D7 footprint
13:32:42: [INFO] Add SW8 footprint
13:32:42: [INFO] Add D8 footprint
13:32:42: [INFO] Add SW9 footprint
13:32:42: [INFO] Add D9 footprint
13:32:42: [INFO] Add SW10 footprint
13:32:42: [INFO] Add D10 footprint
13:32:42: [INFO] Add SW11 footprint
13:32:42: [INFO] Add D11 footprint
13:32:42: [INFO] Add SW12 footprint
13:32:42: [INFO] Add D12 footprint
13:32:42: [INFO] Add SW13 footprint
13:32:42: [INFO] Add D13 footprint
13:32:43: [INFO] Add SW14 footprint
13:32:43: [INFO] Add D14 footprint
13:32:43: [INFO] Add SW15 footprint
13:32:43: [INFO] Add D15 footprint
13:32:43: [INFO] Add SW16 footprint
13:32:43: [INFO] Add D16 footprint
13:32:43: [INFO] Add SW17 footprint
13:32:43: [INFO] Add D17 footprint
13:32:43: [INFO] Add SW18 footprint
13:32:43: [INFO] Add D18 footprint
13:32:43: [INFO] Add SW19 footprint
13:32:43: [INFO] Add D19 footprint
13:32:43: [INFO] Add SW20 footprint
13:32:43: [INFO] Add D20 footprint
13:32:43: [INFO] Add SW21 footprint
13:32:43: [INFO] Add D21 footprint
13:32:43: [INFO] Add SW22 footprint
13:32:43: [INFO] Add D22 footprint
13:32:43: [INFO] Add SW23 footprint
13:32:43: [INFO] Add D23 footprint
13:32:43: [INFO] Add SW24 footprint
13:32:43: [INFO] Add D24 footprint
13:32:43: [INFO] Add SW25 footprint
13:32:43: [INFO] Add D25 footprint
13:32:43: [INFO] Add SW26 footprint
13:32:43: [INFO] Add D26 footprint
13:32:43: [INFO] Add SW27 footprint
13:32:43: [INFO] Add D27 footprint
13:32:43: [INFO] Add SW28 footprint
13:32:43: [INFO] Add D28 footprint
13:32:43: [INFO] Add SW29 footprint
13:32:43: [INFO] Add D29 footprint
13:32:43: [INFO] Add SW30 footprint
13:32:43: [INFO] Add D30 footprint
13:32:44: [INFO] Add SW31 footprint
