=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:06: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIJwbgDGu4AxAOzU3gC+RCaC4AumgFBhS4DMSldJhzwAtMnxCSZcsTnz6RAIxol4DBGjwAHEgAsDTEwBsbTty1wlAqSLjiCKQ+BUtGq9XE24lyA8rRTDWl4CgBDCMjPcAB3XAAmZz1AgB0AO3T0pjcvHnhkXiciZONMjLSmNSJtVTKsj3Yub3ykeNtcBxVMUlDZeTlFTHjmMya8q14iOwdJZ0mUUYsfVCmOiSkezHJIqKI4+GsizEmciE2KfoHnYarcy18kBGvA6Mmg3P2rVGd0U0buabIJRJEb-ZpfNqrMQSIjnbY7MLRT7WQQ-EbBOGXUgg27g-D6NELIjGF4YmQ0Wh7BKtI7gSgvMHjLohLYIxFU+DxGnOEmnFkXS6DOnou64XTaWkkomYenSs4yNlI5ao6qkzCEP7mcHM5HfVV8+7WCUcr60mp6aKEC3Be6PZyEBaMgBOdmQkMw92MSGNwlwehszhqjq14CdPmGmBduCYHtwKCQzMxgucTHi0RUafcvHTaGzjMs-uMcw8RGGmeOaHL4GGeZDBe9tPQt3AySr6CryVrY0s8d4PJLMoH4BJVfpafzuC9KCkn0SqvL4OQCA2CoRSoO3KIhHHdbjUPsyG0hEwutphDUzo6Sgj410enaYkOiZkWKFTGtmBUH-ATGlLjQwbdmKjy0pM2almg36TN+wyAUsOitGi4GYMk37oN+yRweClABsSubRPSyHDpBBEkRO8A4YIJpciqmA1F28FWMg077jMsKrjs66mva+GsKwQA
13:31:10: [INFO] Placing additional elements for SW13
13:31:10: [INFO] Placing additional elements for SW12
13:31:10: [INFO] Placing additional elements for SW11
13:31:10: [INFO] Placing additional elements for SW10
13:31:10: [INFO] Placing additional elements for SW9
13:31:10: [INFO] Placing additional elements for SW8
13:31:10: [INFO] Placing additional elements for SW7
13:31:10: [INFO] Placing additional elements for SW6
13:31:10: [INFO] Placing additional elements for SW5
13:31:10: [INFO] Placing additional elements for SW4
13:31:10: [INFO] Placing additional elements for SW3
13:31:10: [INFO] Placing additional elements for SW2
13:31:10: [INFO] Placing additional elements for SW1
13:31:10: [INFO] Routing SW69 with D69
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW69:2' at (371157500, 111125000) with pad 'D69:2' at (373697500, 118805000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(371157500, 111125000), (371157500, 116265000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(371157500, 116265000), (373697500, 118805000)]
13:31:10: [INFO] Routing SW68 with D68
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW68:2' at (390207500, 130175000) with pad 'D68:2' at (392747500, 137855000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(390207500, 130175000), (390207500, 135315000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(390207500, 135315000), (392747500, 137855000)]
13:31:10: [INFO] Routing SW67 with D67
13:31:10: [INFO] Using internal autorouter method
