=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgFZV1TtwBdFAKDCljgBY1wBPFgWg2IAcFTCla44+FqTLCqYuo0nwATB27w+xAJzCsy8UrjLdKUgebwEMjlTN4LR4hlkp9CpuribWJjOJEAjOYEcAEB1pQoQTYofu6GCGq8-DocAdT2ISTkHABs1PEO7OiemkJposFSEeD58gxMIaolydrC6fqZLMYVdhIOVjno+X2Gyk7C+W4NEKX8PhV+FdH9IWE1+Su1sbQzA0kaKcKqOF1ENYQFeyHFXK3l6KpiZ3DSQ+CX9YoOzXeHbRxVJ1Vt1jqYqpYLuCXuNnBxLtNvnNiAtHjtAVEIaFwu9LltLnFrixEi1-ql0IlTiDzu8BFdvjcDl5+A9wIlntTXjU6V9Gt0mZpyWzXFiehToZzBsI6aMfhMOHTER5WqjhUtxStDOtaZiFTtCiErCS-nB+FR0ABnAC2LHAACcAPYAFwA+gBTADGYXAwnYCAAOgA7INBrABEPByMRt3qwy5AHoLTYCNB9LhqMZoNuoKFO2G7QcO2eLTEAKEc0OTT5UleViCcsca22n0cP0pwNYQnfPMsdbVyvzAV1gTl4RJgMZ9Jdph23sVnuQpPoEJVof197sHN7WeWLDL1r90rhOHodhKiA7tgVlf8Q+8Y++yq53isedrcL9m8otcj95J3kXrwCB7gO341jwD4cEm572ve14qgKkGJpiNA0EAA
13:38:17: [INFO] Add D32 footprint
13:38:17: [INFO] Add SW33 footprint
13:38:17: [INFO] Add D33 footprint
13:38:17: [INFO] Add SW34 footprint
13:38:17: [INFO] Add D34 footprint
13:38:17: [INFO] Add SW35 footprint
13:38:17: [INFO] Add D35 footprint
13:38:17: [INFO] Add SW36 footprint
13:38:17: [INFO] Add D36 footprint
13:38:17: [INFO] Add SW37 footprint
13:38:18: [INFO] Add D37 footprint
13:38:18: [INFO] Add SW38 footprint
13:38:18: [INFO] Add D38 footprint
13:38:18: [INFO] Add SW39 footprint
13:38:18: [INFO] Add D39 footprint
13:38:18: [INFO] Add SW40 footprint
13:38:18: [INFO] Add D40 footprint
13:38:18: [INFO] Add SW41 footprint
13:38:18: [INFO] Add D41 footprint
13:38:18: [INFO] Add SW42 footprint
13:38:18: [INFO] Add D42 footprint
13:38:18: [INFO] Add SW43 footprint
13:38:18: [INFO] Add D43 footprint
13:38:18: [INFO] Add SW44 footprint
13:38:18: [INFO] Add D44 footprint
13:38:18: [INFO] Add SW45 footprint
13:38:18: [INFO] Add D45 footprint
13:38:18: [INFO] Add SW46 footprint
13:38:18: [INFO] Add D46 footprint
13:38:18: [INFO] Add SW47 footprint
13:38:18: [INFO] Add D47 footprint
13:38:18: [INFO] Add SW48 footprint
13:38:18: [INFO] Add D48 footprint
13:38:18: [INFO] Add SW49 footprint
13:38:18: [INFO] Add D49 footprint
13:38:18: [INFO] Add SW50 footprint
13:38:18: [INFO] Add D50 footprint
13:38:18: [INFO] Add SW51 footprint
13:38:18: [INFO] Add D51 footprint
13:38:18: [INFO] Add SW52 footprint
13:38:18: [INFO] Add D52 footprint
13:38:18: [INFO] Add SW53 footprint
13:38:18: [INFO] Add D53 footprint
13:38:19: [INFO] Add SW54 footprint
13:38:19: [INFO] Add D54 footprint
13:38:19: [INFO] Add SW55 footprint
13:38:19: [INFO] Add D55 footprint
13:38:19: [INFO] Add SW55a footprint
13:38:19: [INFO] Add SW56 footprint
13:38:19: [INFO] Add D56 footprint
13:38:19: [INFO] Detected layout convertible to matrix annotated keyboard
13:38:19: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:38:19: [INFO] Layout offset: (28575000, 28575000)
13:38:19: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:38:19: [INFO] Placing additional elements for SW56
13:38:19: [INFO] Placing additional elements for SW55a
13:38:19: [INFO] Placing additional elements for SW55
13:38:19: [INFO] Placing additional elements for SW54
13:38:19: [INFO] Placing additional elements for SW53
13:38:19: [INFO] Placing additional elements for SW52
13:38:19: [INFO] Placing additional elements for SW51
13:38:19: [INFO] Placing additional elements for SW50
13:38:19: [INFO] Placing additional elements for SW49
13:38:19: [INFO] Placing additional elements for SW48
13:38:19: [INFO] Placing additional elements for SW47
13:38:19: [INFO] Placing additional elements for SW46
13:38:19: [INFO] Placing additional elements for SW45
13:38:19: [INFO] Placing additional elements for SW44
13:38:19: [INFO] Placing additional elements for SW43
13:38:19: [INFO] Placing additional elements for SW42
13:38:19: [INFO] Placing additional elements for SW41
13:38:19: [INFO] Placing additional elements for SW40
13:38:19: [INFO] Placing additional elements for SW39
13:38:19: [INFO] Placing additional elements for SW38
13:38:19: [INFO] Placing additional elements for SW37
13:38:19: [INFO] Placing additional elements for SW36
13:38:19: [INFO] Placing additional elements for SW35
13:38:19: [INFO] Placing additional elements for SW34
13:38:19: [INFO] Placing additional elements for SW33
13:38:19: [INFO] Placing additional elements for SW32
13:38:19: [INFO] Placing additional elements for SW31
13:38:19: [INFO] Placing additional elements for SW30
13:38:19: [INFO] Placing additional elements for SW29
13:38:19: [INFO] Placing additional elements for SW28
13:38:19: [INFO] Placing additional elements for SW27a
13:38:19: [INFO] Placing additional elements for SW27
13:38:19: [INFO] Placing additional elements for SW26
13:38:19: [INFO] Placing additional elements for SW25
13:38:19: [INFO] Placing additional elements for SW24
13:38:19: [INFO] Placing additional elements for SW23
13:38:19: [INFO] Placing additional elements for SW22
13:38:19: [INFO] Placing additional elements for SW21
13:38:19: [INFO] Placing additional elements for SW20
13:38:19: [INFO] Placing additional elements for SW19
13:38:19: [INFO] Placing additional elements for SW18
13:38:19: [INFO] Placing additional elements for SW17
13:38:19: [INFO] Placing additional elements for SW16
13:38:19: [INFO] Placing additional elements for SW15
13:38:19: [INFO] Placing additional elements for SW14
13:38:19: [INFO] Placing additional elements for SW13
13:38:19: [INFO] Placing additional elements for SW12
13:38:19: [INFO] Placing additional elements for SW11
13:38:19: [INFO] Placing additional elements for SW10
13:38:19: [INFO] Placing additional elements for SW9
13:38:19: [INFO] Placing additional elements for SW8
13:38:19: [INFO] Placing additional elements for SW7
13:38:19: [INFO] Placing additional elements for SW6
13:38:19: [INFO] Placing additional elements for SW5
13:38:19: [INFO] Placing additional elements for SW4
13:38:19: [INFO] Placing additional elements for SW3
13:38:19: [INFO] Placing additional elements for SW2
13:38:19: [INFO] Placing additional elements for SW1
13:38:19: [INFO] Routing SW56 with D56
