=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4Ces4AYkAmDcAY13AGIBDWu8AXxLzQXAwmngWRScxYJC4ALpoAUGCi4CxTDngBaAgE50mcvCoB2XXsbM0ednE64EAFiQIAbOrIUadWgYGsAzCbPwC7930NLUQkpLkQbJDV+cHdWC2DJb3wkbXsFOGUU+01MSlJ8gtdwYmMSYjYOaW5VAMxy4TKPLwctJ2ci8vixRKrEbSISdMzCWvALOITQmVRB3EzUkgB3c1Ro2NLTFtyCwrXWZrCEAgtR2J4TGNYGzZyqZxclldOm7qnufpPZpVlR9CDXpI-L4ZAgLTDLbhZaLjDYQW55HbkaH7SphFSRUbjI4XLEVG6OPT6R7wQhETFXSZwxz3agXCFwUkjaLoWFbKiIpEkP4HcyyZmsVnwml0lapfnnAG9WxIT7yOag7IEwnaIp-TySoZAjTU+4iyGjGxGSlSlAytLyrIkeHKlXRQ1CC72zwke1dEIQABOhxYmDCin65p8A21rWF0RY1yS6NGgjYkr9-RGwIICEVrQ5HTQkd6AA4MdFynH3eAPeY5CWwnn7B70u4Zr65qb-MDFIy07kw4ZnW54qjpkzDCgLiwbMa-VYc4HkkmQ9tEZnu8U0L26mgh41R-HG0h-HtrpdF7EV5ch1ulKaEMj9+NF+Nj+NT8Xx0gbPz9+hF+hj+hHz1n4bZzuXViUQVYXSzZp4QzEgAAcKAAZQABQAQQAYQAUT1Bk7WXSCdXaHDfykUslCEEga1wOsZ16OscxbUk8BjAUeSUKwBzcFVDBzFjpyYlQx2mWI5SDaioPnAs0E41duMafjGmxM8QSIPZRxIWIpMuGTMFiOTtOYxSCEY5FVMwcYNPGLSxjQfiDJ3fkTPAdANPQSz0Bsp8LXLelSTFcCpKpUNgPBJ4cJskQgA
13:36:17: [INFO] Add SW35 footprint
13:36:17: [INFO] Add D35 footprint
13:36:18: [INFO] Add SW36 footprint
13:36:18: [INFO] Add D36 footprint
13:36:18: [INFO] Add SW37 footprint
13:36:18: [INFO] Add D37 footprint
13:36:18: [INFO] Add SW38 footprint
13:36:18: [INFO] Add D38 footprint
13:36:18: [INFO] Add SW39 footprint
13:36:18: [INFO] Add D39 footprint
13:36:18: [INFO] Add SW40 footprint
13:36:18: [INFO] Add D40 footprint
13:36:18: [INFO] Add SW41 footprint
13:36:18: [INFO] Add D41 footprint
13:36:18: [INFO] Add SW42 footprint
13:36:18: [INFO] Add D42 footprint
13:36:18: [INFO] Add SW43 footprint
13:36:18: [INFO] Add D43 footprint
13:36:18: [INFO] Add SW44 footprint
13:36:18: [INFO] Add D44 footprint
13:36:18: [INFO] Add SW45 footprint
13:36:18: [INFO] Add D45 footprint
13:36:18: [INFO] Add SW46 footprint
13:36:18: [INFO] Add D46 footprint
13:36:18: [INFO] Add SW47 footprint
13:36:18: [INFO] Add D47 footprint
13:36:18: [INFO] Add SW48 footprint
13:36:18: [INFO] Add D48 footprint
13:36:18: [INFO] Add SW49 footprint
13:36:18: [INFO] Add D49 footprint
13:36:18: [INFO] Add SW50 footprint
13:36:18: [INFO] Add D50 footprint
13:36:18: [INFO] Add SW51 footprint
13:36:19: [INFO] Add D51 footprint
13:36:19: [INFO] Add SW52 footprint
13:36:19: [INFO] Add D52 footprint
13:36:19: [INFO] Add SW53 footprint
13:36:19: [INFO] Add D53 footprint
13:36:19: [INFO] Add SW54 footprint
13:36:19: [INFO] Add D54 footprint
13:36:19: [INFO] Add SW55 footprint
13:36:19: [INFO] Add D55 footprint
13:36:19: [INFO] Add SW56 footprint
13:36:19: [INFO] Add D56 footprint
13:36:19: [INFO] Add SW57 footprint
13:36:19: [INFO] Add D57 footprint
13:36:19: [INFO] Add SW58 footprint
13:36:19: [INFO] Add D58 footprint
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [INFO] Add ST58 footprint
13:36:19: [INFO] Add SW59 footprint
13:36:19: [INFO] Add D59 footprint
13:36:19: [INFO] Add SW60 footprint
13:36:19: [INFO] Add D60 footprint
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [INFO] Add ST60 footprint
13:36:19: [INFO] Add SW61 footprint
13:36:19: [INFO] Add D61 footprint
13:36:19: [INFO] Add SW62 footprint
13:36:19: [INFO] Add D62 footprint
13:36:19: [INFO] Add SW63 footprint
13:36:19: [INFO] Add D63 footprint
13:36:19: [INFO] Add SW64 footprint
13:36:19: [INFO] Add D64 footprint
13:36:19: [INFO] Add SW65 footprint
13:36:19: [INFO] Add D65 footprint
13:36:19: [INFO] Add SW66 footprint
13:36:19: [INFO] Add D66 footprint
13:36:20: [INFO] Add SW67 footprint
13:36:20: [INFO] Add D67 footprint
13:36:20: [INFO] Add SW68 footprint
13:36:20: [INFO] Add D68 footprint
13:36:20: [INFO] Add SW69 footprint
13:36:20: [INFO] Add D69 footprint
13:36:20: [INFO] Add SW70 footprint
13:36:20: [INFO] Add D70 footprint
13:36:20: [INFO] Add SW71 footprint
13:36:20: [INFO] Add D71 footprint
13:36:20: [INFO] Add SW72 footprint
13:36:20: [INFO] Add D72 footprint
13:36:20: [INFO] Add SW73 footprint
13:36:20: [INFO] Add D73 footprint
13:36:20: [INFO] Add SW74 footprint
13:36:20: [INFO] Add D74 footprint
13:36:20: [INFO] Add SW75 footprint
13:36:20: [INFO] Add D75 footprint
13:36:20: [INFO] Add SW76 footprint
13:36:20: [INFO] Add D76 footprint
13:36:20: [INFO] Add ST76 footprint
13:36:20: [INFO] Add SW77 footprint
13:36:20: [INFO] Add D77 footprint
13:36:20: [INFO] Add SW78 footprint
13:36:20: [INFO] Add D78 footprint
13:36:20: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:20: [INFO] Add ST78 footprint
13:36:20: [INFO] Add SW79 footprint
13:36:20: [INFO] Add D79 footprint
13:36:20: [INFO] Add SW80 footprint
13:36:20: [INFO] Add D80 footprint
13:36:20: [INFO] Add SW81 footprint
