=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0dwA9ZwEwDoB2AVjXAE9sBaJPBAX1NQGZwBdFAKDE2wUJPQV41PADYiDdKhzg0ELPD5JJ4VABY2nbgrgicA8lRrEVqJLKkoEmrvOxr+pIbpoBOUyiI3t2fMSdGhCoIKCzstjyKjoKB4sEoMnKRiHjKpCEa4T7CNPoBOfzx5ulW3nbwDv4xBe4lXlnluNGGBQQqOKFlyXxVLS5iEqQdiXCNSu0omVqNegbOIiZDKMXoHdYNyZVzgbWrnl06ftutKkydGzo9x-1xpGcjY6mnkweBedX9i+hnK+Bn69NNs15m5nvVAYdgYECKQAMbYcAAYgAhqi0eAVGpzhDeFCCrd0FiHt0nqQsVMIjpZvlPoNCcsLOAsQDKfY8f1dkz9hdsER2ZQ+AAOAwAC1xdL+KFEXWgwmQpEgOlEeAMkGcIXQkPefREGvA8PgSNhxpNGMYKFcryi2pBAw8gosjzSlmQVrgDht0IlqAQ1nNCBkPPguWuIk5qAIbvwnpOJUtQZSMZuEpCDqSl1J6BCroTHtDxhTVj9WasgZxwbwSbD8UjCej+aCS3j5cTDYJ4A6adGJOdHas5lzlYbXz7vsZazLrIrVdBS1rLfrNIWz2bU9bS5o7bOXadzxzLbzG8KdyLjP+k+ycBDR85Z3na8XHwWcIRKLRqLN9NXl74M7tZJQHce0xfs3UPJ8CxAscAIDN1rwgvBOSxe9LwWUMhVFcUQOlVhWCAA
13:37:00: [INFO] Add SW47 footprint
13:37:00: [INFO] Add D47 footprint
13:37:00: [INFO] Add SW48 footprint
13:37:00: [INFO] Add D48 footprint
13:37:00: [INFO] Add SW49 footprint
13:37:00: [INFO] Add D49 footprint
13:37:00: [INFO] Add SW50 footprint
13:37:00: [INFO] Add D50 footprint
13:37:00: [INFO] Add SW51 footprint
13:37:00: [INFO] Add D51 footprint
13:37:00: [INFO] Add SW52 footprint
13:37:00: [INFO] Add D52 footprint
13:37:01: [INFO] Add SW53 footprint
13:37:01: [INFO] Add D53 footprint
13:37:01: [INFO] Add SW54 footprint
13:37:01: [INFO] Add D54 footprint
13:37:01: [INFO] Add SW55 footprint
13:37:01: [INFO] Add D55 footprint
13:37:01: [INFO] Add SW56 footprint
13:37:01: [INFO] Add D56 footprint
13:37:01: [INFO] Add SW57 footprint
13:37:01: [INFO] Add D57 footprint
13:37:01: [INFO] Add SW58 footprint
13:37:01: [INFO] Add D58 footprint
13:37:01: [INFO] Add SW59 footprint
13:37:01: [INFO] Add D59 footprint
13:37:01: [INFO] Add SW60 footprint
13:37:01: [INFO] Add D60 footprint
13:37:01: [INFO] Add SW61 footprint
13:37:01: [INFO] Add D61 footprint
13:37:01: [INFO] Add SW62 footprint
13:37:01: [INFO] Add D62 footprint
13:37:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:01: [INFO] Layout offset: (33337500, 30480000)
13:37:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:01: [INFO] Placing additional elements for SW62
13:37:01: [INFO] Placing additional elements for SW61
13:37:01: [INFO] Placing additional elements for SW60
13:37:01: [INFO] Placing additional elements for SW59
13:37:01: [INFO] Placing additional elements for SW58
13:37:01: [INFO] Placing additional elements for SW57
13:37:01: [INFO] Placing additional elements for SW56
13:37:01: [INFO] Placing additional elements for SW55
13:37:01: [INFO] Placing additional elements for SW54
13:37:01: [INFO] Placing additional elements for SW53
13:37:01: [INFO] Placing additional elements for SW52
13:37:01: [INFO] Placing additional elements for SW51
13:37:01: [INFO] Placing additional elements for SW50
13:37:01: [INFO] Placing additional elements for SW49
13:37:01: [INFO] Placing additional elements for SW48
13:37:01: [INFO] Placing additional elements for SW47
13:37:01: [INFO] Placing additional elements for SW46
13:37:01: [INFO] Placing additional elements for SW45
13:37:01: [INFO] Placing additional elements for SW44
13:37:01: [INFO] Placing additional elements for SW43
13:37:01: [INFO] Placing additional elements for SW42
13:37:01: [INFO] Placing additional elements for SW41
13:37:01: [INFO] Placing additional elements for SW40
13:37:01: [INFO] Placing additional elements for SW39
13:37:01: [INFO] Placing additional elements for SW38
13:37:01: [INFO] Placing additional elements for SW37
13:37:01: [INFO] Placing additional elements for SW36
13:37:01: [INFO] Placing additional elements for SW35
13:37:01: [INFO] Placing additional elements for SW34
13:37:01: [INFO] Placing additional elements for SW33
13:37:01: [INFO] Placing additional elements for SW32
13:37:01: [INFO] Placing additional elements for SW31
13:37:01: [INFO] Placing additional elements for SW30
13:37:01: [INFO] Placing additional elements for SW29
13:37:01: [INFO] Placing additional elements for SW28
13:37:01: [INFO] Placing additional elements for SW27
13:37:01: [INFO] Placing additional elements for SW26
13:37:01: [INFO] Placing additional elements for SW25
13:37:01: [INFO] Placing additional elements for SW24
13:37:01: [INFO] Placing additional elements for SW23
13:37:01: [INFO] Placing additional elements for SW22
13:37:01: [INFO] Placing additional elements for SW21
13:37:01: [INFO] Placing additional elements for SW20
13:37:01: [INFO] Placing additional elements for SW19
13:37:01: [INFO] Placing additional elements for SW18
13:37:01: [INFO] Placing additional elements for SW17
13:37:01: [INFO] Placing additional elements for SW16
13:37:01: [INFO] Placing additional elements for SW15
13:37:01: [INFO] Placing additional elements for SW14
13:37:01: [INFO] Placing additional elements for SW13
13:37:01: [INFO] Placing additional elements for SW12
13:37:01: [INFO] Placing additional elements for SW11
13:37:01: [INFO] Placing additional elements for SW10
13:37:01: [INFO] Placing additional elements for SW9
13:37:01: [INFO] Placing additional elements for SW8
13:37:01: [INFO] Placing additional elements for SW7
13:37:01: [INFO] Placing additional elements for SW6
13:37:01: [INFO] Placing additional elements for SW5
13:37:01: [INFO] Placing additional elements for SW4
13:37:01: [INFO] Placing additional elements for SW3
13:37:01: [INFO] Placing additional elements for SW2
13:37:01: [INFO] Placing additional elements for SW1
13:37:01: [INFO] Routing SW62 with D62
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW62:2' at (283195147, 118868061) with pad 'D62:2' at (287030177, 125990318) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(283195147, 118868061), (284087698, 123929972)]
13:37:01: [INFO] Adding track segment (B.Cu): [(284087698, 123929972), (287030177, 125990318)]
13:37:01: [INFO] Routing SW61 with D61
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW61:2' at (264434559, 122176059) with pad 'D61:2' at (268269589, 129298316) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(264434559, 122176059), (265327109, 127237969)]
13:37:01: [INFO] Adding track segment (B.Cu): [(265327109, 127237969), (268269589, 129298316)]
13:37:01: [INFO] Routing SW60 with D60
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW60:2' at (244846972, 120793910) with pad 'D60:2' at (248682002, 127916167) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(244846972, 120793910), (245739522, 125855820)]
13:37:01: [INFO] Adding track segment (B.Cu): [(245739522, 125855820), (248682002, 127916167)]
13:37:01: [INFO] Routing SW59 with D59
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW59:2' at (224928585, 117535702) with pad 'D59:2' at (228763615, 124657959) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(224928585, 117535702), (225821135, 122597612)]
13:37:01: [INFO] Adding track segment (B.Cu): [(225821135, 122597612), (228763615, 124657959)]
13:37:01: [INFO] Routing SW58 with D58
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW58:2' at (207325797, 127409905) with pad 'D58:2' at (211160827, 134532162) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(207325797, 127409905), (208218347, 132471815)]
13:37:01: [INFO] Adding track segment (B.Cu): [(208218347, 132471815), (211160827, 134532162)]
13:37:01: [INFO] Routing SW57 with D57
