=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICcA9wLgAQAYB0BWANAqBPez0txZEBaVTbPMigXyKQyXAF0MAoMKEggdktz4AjIWw9yKfkWoIJAgO7D09bEKasOXGPlQAOXUUgyATKOL4J+6RYpFFiEfxXhj6tpwjaHKIQGZDMr5m4iJ+1jRm9gimxmjO-szuWjwiAkY6wTZmMnLOjEIaHtz4rtjpiAAsmRECOXREFRgFSZ48AGwoAJxtAfhVSALitlRZcUT+bYVaMmg+g6PhsvXYjZMtxQ4iup29iMPmNYu5DE3Nmq3CpkKNZYHVS9mj8adTFw6mvju3SvOHIzXONRCM5FcoIKq-B61J4NF7rLwIISmNo3QSIUyQuRHZYuOHnDaI0zbXYETH7OrKE5I14EvwoT4k1JEIaPAFEIHGGkIuloUpohBBMkoKz-KF2JROcZNTnwlJBYnfPb3LGi47YfK+LkpKrGXgkjHMiyhfyq-ZRGJjbCuamy4RVFGM5WoKSmyI-QFNTW2hxVBX8-Ys6Fsq2erl3IVBqHPPxcjK+VEI0xINSKxFO1lR9lNWPeYwJ9qSFP8kQDQ1-cAUy3gRhrfGQEo+IuJ+n69BFwPYykhkFaBvGE0EjoVBN3JCojuutBCZyuNA5gWGHgYnqpijthaTvIYGV1-BBNp6soFoSH-lJvkTisw1QYOfwvo+Rf4WadAdg-rr8uV5533eIWa6Keza6COe7oOOG5XsG4D+DuoL4B0Y5PogQRIAYqapCuBxipuWZwb2iBDuhBKzG0xFgqgnSnpe34nL+8GESgbRfCRKCgeiXRYTR164hU866CgfIIlUnRNncLHcdB-h8d6CCzMYWHvl0xEhD4fKVuKHGxM4jT0QRCACcYTY8Pub4yKgbQXpBtHqhgXp-gZbHGWBvhASYTFljhUGZiG+GePgAkVCxCKzNcjqiZ5KreWq4BqDJDnAigSDBTwVQMqmpi8BJ1k8a49kMYiTJHi5wUyPaXFZC60Vmu6sJ+VAwiOM5lRMYp5nCp+Xk2dWGDxQViVVcJPjsWmvBWV+PFqPl+lIi2xUoV0JJBLwnVRd1-jTf5ZCzW+KSoMmS2SAOkk+TBGCdPOpCJclyEIJ06BCe5uireSuUYLol1CM65E8PdCmOiBkWvdBagffe23Oopv2SG5GQrUDGYxYwF3g7If27QFMMkpRL2IzijBgw5pD3Uh82IqguqOg6Yg5SD52XSTGObElYkPtT2ESFVGnYFEqQ6U0iRE4FzXk+BrZtLjkYxa4KNC4Jt0CaVD6dJiIi+MR3PgOakhVo0vBavgSsLRFNMTVJ72XR0zEK22rbdAjUs4q4+uo6QL5Q5jebhdlZunWoLtEwBQEpCWsMLWgEadlW-hfZdpG3V9wqPRkaAVb7SMC5dVQi7wykkv041dTx-gBwVpBBJ0KX4LnvAjSWhdrTxjCl-p5f0vmjXt46vIO1HHqx67MRMwgucVGHApJRB6dOxgtZl1cIuJRLrZTr3uHdoLZehB3iC58nHGlqbRd02sLBAA
13:31:43: [INFO] Add SW28 footprint
13:31:43: [INFO] Add D28 footprint
13:31:43: [INFO] Add SW29 footprint
13:31:43: [INFO] Add D29 footprint
13:31:43: [INFO] Add SW30 footprint
13:31:43: [INFO] Add D30 footprint
13:31:43: [INFO] Add SW31 footprint
13:31:43: [INFO] Add D31 footprint
13:31:43: [INFO] Add SW32 footprint
13:31:43: [INFO] Add D32 footprint
13:31:44: [INFO] Add SW33 footprint
13:31:44: [INFO] Add D33 footprint
13:31:44: [INFO] Add SW34 footprint
13:31:44: [INFO] Add D34 footprint
13:31:44: [INFO] Add SW35 footprint
13:31:44: [INFO] Add D35 footprint
13:31:44: [INFO] Add SW36 footprint
13:31:44: [INFO] Add D36 footprint
13:31:44: [INFO] Add SW37 footprint
13:31:44: [INFO] Add D37 footprint
13:31:44: [INFO] Add SW38 footprint
13:31:44: [INFO] Add D38 footprint
13:31:44: [INFO] Add SW39 footprint
13:31:44: [INFO] Add D39 footprint
13:31:44: [INFO] Add SW40 footprint
13:31:44: [INFO] Add D40 footprint
13:31:44: [INFO] Add SW41 footprint
13:31:44: [INFO] Add D41 footprint
13:31:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:44: [INFO] Add ST41 footprint
13:31:44: [INFO] Add SW42 footprint
13:31:44: [INFO] Add D42 footprint
13:31:44: [INFO] Add SW43 footprint
13:31:44: [INFO] Add D43 footprint
13:31:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:44: [INFO] Add ST43 footprint
13:31:44: [INFO] Add SW44 footprint
13:31:44: [INFO] Add D44 footprint
13:31:44: [INFO] Add SW45 footprint
13:31:44: [INFO] Add D45 footprint
13:31:44: [INFO] Add SW46 footprint
13:31:44: [INFO] Add D46 footprint
13:31:44: [INFO] Add SW47 footprint
13:31:44: [INFO] Add D47 footprint
13:31:44: [INFO] Add SW48 footprint
13:31:44: [INFO] Add D48 footprint
13:31:44: [INFO] Add SW49 footprint
13:31:44: [INFO] Add D49 footprint
13:31:44: [INFO] Add SW50 footprint
13:31:44: [INFO] Add D50 footprint
13:31:45: [INFO] Add SW51 footprint
13:31:45: [INFO] Add D51 footprint
13:31:45: [INFO] Add SW52 footprint
13:31:45: [INFO] Add D52 footprint
13:31:45: [INFO] Add SW53 footprint
13:31:45: [INFO] Add D53 footprint
13:31:45: [INFO] Add SW54 footprint
13:31:45: [INFO] Add D54 footprint
13:31:45: [INFO] Add SW55 footprint
13:31:45: [INFO] Add D55 footprint
13:31:45: [INFO] Add SW56 footprint
13:31:45: [INFO] Add D56 footprint
13:31:45: [INFO] Add SW57 footprint
13:31:45: [INFO] Add D57 footprint
13:31:45: [INFO] Add SW58 footprint
13:31:45: [INFO] Add D58 footprint
13:31:45: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:45: [INFO] Add ST58 footprint
13:31:45: [INFO] Add SW59 footprint
13:31:45: [INFO] Add D59 footprint
13:31:45: [INFO] Add SW60 footprint
13:31:45: [INFO] Add D60 footprint
13:31:45: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:45: [INFO] Add ST60 footprint
13:31:45: [INFO] Add SW61 footprint
13:31:45: [INFO] Add D61 footprint
13:31:45: [INFO] Add SW62 footprint
13:31:45: [INFO] Add D62 footprint
13:31:45: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:45: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:45: [INFO] Layout offset: (28575000, 28575000)
13:31:45: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:45: [INFO] Placing additional elements for SW62
13:31:45: [INFO] Placing additional elements for SW61
13:31:45: [INFO] Placing additional elements for SW60
13:31:45: [INFO] Placing additional elements for SW59
13:31:45: [INFO] Placing additional elements for SW58
13:31:45: [INFO] Placing additional elements for SW57
13:31:45: [INFO] Placing additional elements for SW56
13:31:45: [INFO] Placing additional elements for SW55
13:31:45: [INFO] Placing additional elements for SW54
13:31:45: [INFO] Placing additional elements for SW53
13:31:45: [INFO] Placing additional elements for SW52
13:31:45: [INFO] Placing additional elements for SW51
13:31:45: [INFO] Placing additional elements for SW50
13:31:45: [INFO] Placing additional elements for SW49
13:31:45: [INFO] Placing additional elements for SW48
13:31:45: [INFO] Placing additional elements for SW47
13:31:45: [INFO] Placing additional elements for SW46
