=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:31: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIBDI48AXw3AAY1KAdAOwYeoEZwMJp5KkF1Mc8cHiyixZCqyaN6rdpmoJpzNG0loAzMtmr5VNABZtcjlFw8+FQfmIlyCtCmO71ANmdqHAdg97qADl9TLjgLfmxcYTFxe30ATiCHFjoZFU99FhZEjKVUnU9Oc15w62EvcoqJJK08uQBdNAAoMDN4ZHCATyLLAUjCWwIq-RTpakp5QvgWJGpeoRFonFjFZ3H1GtGaP0NV7adareCikr6BweW0dwO17131QOvthMej7lQrPsWl9WS7pKyXklcpsbhkNjIxhNWqFih95mchqwDNsWCgUa5wA1mpNEO9MF03id5l8hixDpgyekyQg9GSNLTDAy0RQyRiWWgvAz-Ay4gzknyqaoaaZSv1bHoAO64BCxBCqIx5Mk3HFhWKU5Hs1F8tlwFXFNWqTma7ma3nshDjLEtELtChSqaoWXkiCiklO9Jy4WYOX0ihyjXexx6OU68Byo2Bk2Bs2B-l+1QeoVQ+1waYod3ghgGZ3QsJwmwDIYaeXB1TM2M6vU9CLExZDOUsCNh1RR5ssGMu06FigAC2lsWLFu0rhzIVV8aHeRHbCtONtmBT0y86YoxeVNfwbtXLkwg70xd9u8Z2-L4GLoeLTeLreLMbPqlBxcyUNFCLt0v125Ymfo2fXIQ0PENyiOsB0NfcWwg9soRCaZq1fQswMnaRp0xJoWkXT9MD-bQGxfT5QIobMAWkPDXhheCu3Fd82iw8AcLyOV11dQjsLQL16M0PRswDTjT2zUNsybbNW2zO9iNBYiCmAsUSBo3Fl1iYjgRkNcYNwOCiU3VjOK1cjNKU8CiMg4zoJFKi5MwPs2lidBkJkLxR26Fc2PshhHJndC5yAzCXPAdARhkAK9HQEigpzXzbPY7RgvM2toklXAvCiq5pFi3UZLfBcNMdChQrChh0v8oUYoinK-NCn90qrLSQISqKWF40LT1Cytc1hbKbLylttH8clirMjLYI6zLEO6tz6A8tDsWhedwAJCjwki7rAsKndO3i8QKAAE1wAAXAAnABXABTBrSukhDqM61NcswOyLvwzbRES+Bku61LwsuiyiFe26KoTR64u0hKdv246zu6lgVLW774W7G60waqr1uhaZZhkrcKVUH9KSegtxXdBVpDx8ieFqhZ6qhnw8j69JQoeaQ6em60NLiEarss8BMOrazEDtGkHXCHtBdTChIFFgBaccj2-bRiJZ7zOlwaWkGXfM6q2xGgN2+BDtOqLVvoOz8eEBFzryE3TGW+7ost9jTcprXuaSlLSq9DaCa5m2BoK42HahmH-Y9zG63ktMwb1iHkfdxW0f8EaFtVvgwOh+XdFnWagKT8mNdk37w7ogLSsPCAeYBv30FLl2HRT8aS8dkl5NcIvLgb4GzYRmvbrr23fnt6vy4ayuuOtnLe4GoOq+TceK5R+lM9grw1eV+BVaWnLFNMoOn0bnTiJ-Xe6jqIA
13:35:32: [INFO] Add Net-(D96-A) net
13:35:32: [INFO] Add Net-(D97-A) net
13:35:32: [INFO] Add Net-(D98-A) net
13:35:32: [INFO] Add Net-(D99-A) net
13:35:32: [INFO] Add ROW0 net
13:35:32: [INFO] Add ROW1 net
13:35:32: [INFO] Add ROW2 net
13:35:32: [INFO] Add ROW3 net
13:35:32: [INFO] Add ROW4 net
13:35:32: [INFO] Add ROW5 net
13:35:32: [INFO] Add SW1 footprint
13:35:32: [INFO] Add D1 footprint
13:35:32: [INFO] Add SW2 footprint
13:35:32: [INFO] Add D2 footprint
13:35:32: [INFO] Add SW3 footprint
13:35:32: [INFO] Add D3 footprint
13:35:32: [INFO] Add SW3a footprint
13:35:32: [INFO] Add SW4 footprint
13:35:32: [INFO] Add D4 footprint
13:35:32: [INFO] Add SW4a footprint
13:35:32: [INFO] Add SW5 footprint
13:35:32: [INFO] Add D5 footprint
13:35:32: [INFO] Add SW5a footprint
13:35:32: [INFO] Add SW6 footprint
13:35:32: [INFO] Add D6 footprint
13:35:32: [INFO] Add SW6a footprint
13:35:32: [INFO] Add SW7 footprint
13:35:32: [INFO] Add D7 footprint
13:35:32: [INFO] Add SW8 footprint
13:35:32: [INFO] Add D8 footprint
13:35:32: [INFO] Add SW9 footprint
13:35:32: [INFO] Add D9 footprint
13:35:32: [INFO] Add SW10 footprint
13:35:32: [INFO] Add D10 footprint
13:35:32: [INFO] Add SW10a footprint
13:35:32: [INFO] Add SW11 footprint
13:35:33: [INFO] Add D11 footprint
13:35:33: [INFO] Add SW11a footprint
13:35:33: [INFO] Add SW12 footprint
13:35:33: [INFO] Add D12 footprint
13:35:33: [INFO] Add SW12a footprint
13:35:33: [INFO] Add SW13 footprint
13:35:33: [INFO] Add D13 footprint
13:35:33: [INFO] Add SW13a footprint
13:35:33: [INFO] Add SW14 footprint
13:35:33: [INFO] Add D14 footprint
13:35:33: [INFO] Add SW15 footprint
13:35:33: [INFO] Add D15 footprint
13:35:33: [INFO] Add SW16 footprint
13:35:33: [INFO] Add D16 footprint
13:35:33: [INFO] Add SW17 footprint
13:35:33: [INFO] Add D17 footprint
13:35:33: [INFO] Add SW18 footprint
13:35:33: [INFO] Add D18 footprint
13:35:33: [INFO] Add SW19 footprint
13:35:33: [INFO] Add D19 footprint
13:35:33: [INFO] Add SW20 footprint
13:35:33: [INFO] Add D20 footprint
13:35:33: [INFO] Add SW21 footprint
13:35:33: [INFO] Add D21 footprint
13:35:33: [INFO] Add SW22 footprint
13:35:33: [INFO] Add D22 footprint
13:35:33: [INFO] Add SW23 footprint
13:35:33: [INFO] Add D23 footprint
13:35:33: [INFO] Add SW24 footprint
13:35:33: [INFO] Add D24 footprint
13:35:33: [INFO] Add SW25 footprint
13:35:33: [INFO] Add D25 footprint
13:35:33: [INFO] Add SW26 footprint
13:35:33: [INFO] Add D26 footprint
13:35:33: [INFO] Add SW27 footprint
