=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:53: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwGYB0BWANHcBjW2BiAQxNPAF8twEM1wBdDAKDCnwCZ0q95wCB2QUIpUADBlHgsEHoRzyFI7DUliMCKcvWbw49jpr61SAxhNqALKatq603Pj6kylbEloNmraPE6ZsAO74CCjsaK7g7BKaMo4ECooR7qrYURpU7umpGEZuOTpR5nlFkRg2eeWxvAJCgjpB8CH84VRRdIwsED5wftxxziT1wSjNERbR9rJ8CfJK4ONZ4JiL47lL+VTjJZgl4+Xr++N2cFWEA0RDjaEt2JjtXl0c6BEAbBIAOgB2X1-iKeD8D7fYF-HRvBA-EETE4OaozPBUBo9a4RQEQ4G-aEAnKQzEpCBIzijKhvCy4z6gyb9AZzQFkjEUrFvNDkynYQEshmgjreJ7+cAAT3wohRJKBkPEi0BolZ2nsSJCYVe6llWVO0xmlzgL1F7JxXLlMKmxBpiOGSrFnIlhoJ5pu2KtUI09HoQA
13:27:56: [INFO] Placing additional elements for SW27
13:27:56: [INFO] Placing additional elements for SW26
13:27:56: [INFO] Placing additional elements for SW25
13:27:56: [INFO] Placing additional elements for SW24
13:27:56: [INFO] Placing additional elements for SW23
13:27:56: [INFO] Placing additional elements for SW22
13:27:56: [INFO] Placing additional elements for SW21
13:27:56: [INFO] Placing additional elements for SW20
13:27:56: [INFO] Placing additional elements for SW19
13:27:56: [INFO] Placing additional elements for SW18
13:27:56: [INFO] Placing additional elements for SW17
13:27:56: [INFO] Placing additional elements for SW16
13:27:56: [INFO] Placing additional elements for SW15
13:27:56: [INFO] Placing additional elements for SW14
13:27:56: [INFO] Placing additional elements for SW13
13:27:56: [INFO] Placing additional elements for SW12
13:27:56: [INFO] Placing additional elements for SW11
13:27:56: [INFO] Placing additional elements for SW10
13:27:56: [INFO] Placing additional elements for SW9
13:27:56: [INFO] Placing additional elements for SW8
13:27:56: [INFO] Placing additional elements for SW7
13:27:56: [INFO] Placing additional elements for SW6
13:27:56: [INFO] Placing additional elements for SW5
13:27:56: [INFO] Placing additional elements for SW4
13:27:56: [INFO] Placing additional elements for SW3
13:27:56: [INFO] Placing additional elements for SW2
13:27:56: [INFO] Placing additional elements for SW1
13:27:56: [INFO] Routing SW44a with D44
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW44a:2' at (304958750, 109220000) with pad 'D44:2' at (309880000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Routing SW44 with D44
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW44:2' at (307340000, 109220000) with pad 'D44:2' at (309880000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Routing SW43 with D43
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW43:2' at (269240000, 109220000) with pad 'D43:2' at (271780000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Adding track segment (B.Cu): [(269240000, 109220000), (269240000, 114360000)]
13:27:56: [INFO] Adding track segment (B.Cu): [(269240000, 114360000), (271780000, 116900000)]
13:27:56: [INFO] Routing SW42a with D42
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW42a:2' at (209708750, 109220000) with pad 'D42:2' at (200342500, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Routing SW42 with D42
13:27:56: [INFO] Using internal autorouter method
13:27:56: [INFO] Routing pad 'SW42:2' at (197802500, 109220000) with pad 'D42:2' at (200342500, 116900000) using coordinate system rotated by 0 degree(s)
13:27:56: [INFO] Adding track segment (B.Cu): [(197802500, 109220000), (197802500, 114360000)]
