=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQViwAwA6AdqaQCxYCM4OEAHrHNQHQBM+C08Sk-AuggAmzAC4AnAK4BTbHkLkyJKgSGNmbLlGZIA7AcOYc4fO3Xgm8Ah208EiAYPmmsAZiGuKn-Lh9YANgsrOBtOE3skNHQXfD1-AA5gzVYCF2pqGk8MrHN6S2Ywu11HJ2h0zI8THO9qzL86wOTrWwqsePzReElZNoSlUjdCZrhcVL6BkiHaAF0sACgwcABPQtsIkujUYwQCRWVKLJM96kmqWnyQoo3eUqdPLrgeuWP9pVULR+eXE7Phy7WxVuW2QO3AezycAgkTuzleVV2WFqiIaiKCrw6iKSAPgbDSJgC-wQhIuxNynkJCPAhOR1KwqOhmy2ngA7sx2C5CXpJns1PkYWVoCYvtIXmT+gcpkSNC09ECHCCwYSAjyjmTuZKTiN2K0CVgJUppuA5otwJliJLztkaH9STLQutuCVBQ9xKL0m9lB9Om7etUbZbpQUWvKosyTGzcaxcB7IYzbi6PVTMrT6tb0QhMpj7XiXHoieB86TC+STPmqfnafnUSWMxBIyxo3n2pNzZ9fWKSwblEM+VDg3AdXsnbdDEYIylwggABbsiPmKPaacLlgmBgrgC0RRcCRbksydoHbDlNwVzOb3cGWRNwHA7E9h2L99OgcPV0dOgTZVd3XdJnvFrvEGIp+ggz5-H29o2KGKDhggDbHjG-6lv2Arfi495UvetL3jW94Zne7QjLmJi7n24C7sWu6QhR7ieLutK7gyn4OGOBisuyuoILuGpKG2-LOt+wodju+qTL2xHjKRgStmq9puKkp5htEYK7peUqzAst69ranjTLpOIOlOLF8EJIgiSYOmBpB4AgZ2+nWSM0FKbBKkTvAOqcC4QzsJMAEWGh9zeUien0qFBFDJi4BDNi-YhCRCAAJwFslxbJTRyVUslFCTPgNkwoq7mDqwcouMlKqSnlAWCfcwm-qB4DJepEmGTYpUmNluVySZrnoEViFlTJlVqo1e5KPgb6AoNzXXlp4CqAZCDnItUEfoFgh1U8f5LQ+KjARZO0vkBNnvjBhXwZOSE7XG4AIVx810fkd1eSYVDIvWl0uFQuCTGR1VfrVF0efdVC8cof2GXiRU6u1ma-JKhL5UyblA42L1w7kkz5jZz1XWaexuFjQa4+kewVUo2MWCT1R7GDpCUwJAMbeZ9WdtQewzSdawniOZ4o7dKSw6NOXDRlQ3jSho10yQZhOU2NNiZKRo3vaFAldo1MID5fkjUMhOSs+kka5x6MPT9kqUVTn2vWN4PdfFimo2wpvs7tJJW4upMBko7sK75kpFtkBNE8WrsixTI2u+TyiBwr0uByrA4JNG-Ug-Sv2S1Q0ekNRHto3joMZ+YMwzEAA
13:36:17: [INFO] Add D2 footprint
13:36:17: [INFO] Add SW3 footprint
13:36:17: [INFO] Add D3 footprint
13:36:17: [INFO] Add SW4 footprint
13:36:17: [INFO] Add D4 footprint
13:36:17: [INFO] Add SW5 footprint
13:36:17: [INFO] Add D5 footprint
13:36:17: [INFO] Add SW6 footprint
13:36:17: [INFO] Add D6 footprint
13:36:17: [INFO] Add SW7 footprint
13:36:17: [INFO] Add D7 footprint
13:36:17: [INFO] Add SW8 footprint
13:36:17: [INFO] Add D8 footprint
13:36:17: [INFO] Add SW9 footprint
13:36:17: [INFO] Add D9 footprint
13:36:17: [INFO] Add SW10 footprint
13:36:17: [INFO] Add D10 footprint
13:36:17: [INFO] Add SW11 footprint
13:36:17: [INFO] Add D11 footprint
13:36:17: [INFO] Add SW12 footprint
13:36:17: [INFO] Add D12 footprint
13:36:18: [INFO] Add SW13 footprint
13:36:18: [INFO] Add D13 footprint
13:36:18: [INFO] Add SW14 footprint
13:36:18: [INFO] Add D14 footprint
13:36:18: [INFO] Add SW15 footprint
13:36:18: [INFO] Add D15 footprint
13:36:18: [INFO] Add SW16 footprint
13:36:18: [INFO] Add D16 footprint
13:36:18: [INFO] Add SW17 footprint
13:36:18: [INFO] Add D17 footprint
13:36:18: [INFO] Add SW18 footprint
13:36:18: [INFO] Add D18 footprint
13:36:18: [INFO] Add SW19 footprint
13:36:18: [INFO] Add D19 footprint
13:36:18: [INFO] Add SW20 footprint
13:36:18: [INFO] Add D20 footprint
13:36:18: [INFO] Add SW21 footprint
13:36:18: [INFO] Add D21 footprint
13:36:18: [INFO] Add SW22 footprint
13:36:18: [INFO] Add D22 footprint
13:36:18: [INFO] Add SW23 footprint
13:36:18: [INFO] Add D23 footprint
13:36:18: [INFO] Add SW24 footprint
13:36:18: [INFO] Add D24 footprint
13:36:18: [INFO] Add SW25 footprint
13:36:18: [INFO] Add D25 footprint
13:36:18: [INFO] Add SW26 footprint
13:36:18: [INFO] Add D26 footprint
13:36:18: [INFO] Add SW27 footprint
13:36:18: [INFO] Add D27 footprint
13:36:18: [INFO] Add SW28 footprint
13:36:18: [INFO] Add D28 footprint
13:36:18: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:18: [INFO] Add ST28 footprint
13:36:18: [INFO] Add SW28a footprint
13:36:18: [INFO] Add SW29 footprint
13:36:18: [INFO] Add D29 footprint
13:36:19: [INFO] Add SW30 footprint
13:36:19: [INFO] Add D30 footprint
13:36:19: [INFO] Add SW31 footprint
13:36:19: [INFO] Add D31 footprint
13:36:19: [INFO] Add SW32 footprint
13:36:19: [INFO] Add D32 footprint
13:36:19: [INFO] Add SW33 footprint
13:36:19: [INFO] Add D33 footprint
13:36:19: [INFO] Add SW34 footprint
13:36:19: [INFO] Add D34 footprint
13:36:19: [INFO] Add SW35 footprint
13:36:19: [INFO] Add D35 footprint
13:36:19: [INFO] Add SW36 footprint
13:36:19: [INFO] Add D36 footprint
13:36:19: [INFO] Add SW37 footprint
13:36:19: [INFO] Add D37 footprint
13:36:19: [INFO] Add SW38 footprint
13:36:19: [INFO] Add D38 footprint
13:36:19: [INFO] Add SW39 footprint
13:36:19: [INFO] Add D39 footprint
13:36:19: [INFO] Add SW40 footprint
13:36:19: [INFO] Add D40 footprint
13:36:19: [INFO] Add SW40a footprint
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [INFO] Add ST40a footprint
13:36:19: [INFO] Add SW41 footprint
13:36:19: [INFO] Add D41 footprint
13:36:19: [INFO] Add SW42 footprint
13:36:19: [INFO] Add D42 footprint
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [INFO] Add ST42 footprint
13:36:19: [INFO] Add SW42a footprint
