=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuArFgAwA6AdmWQIxYBM4OEAxrLgMQCGnX42uBJ5QdUr04EAB4tCAOhoFcAZwC2LcEgD2CAPppGlEb3xEKQ44JMm0hURJaVp88M3jhWAdg+fR4Zap44jOgZwSXgZOQDnNkYY2P8+LABmbwIAFhSsPAyANhsQqVlHKNcubkMCNwyADjzQuHtCQ30sEQDmoLF8sMLI1VZYuKbqZLbqdNHM72bc4LrwvCGsSuDfFw1tXX148Gaqi1JEs33LVs656TdHVdxt3f3DkQBdLAAoMHAATwKI3Gh4ZHQhkIR0EwNOED+iFQmACYP2YNq3yKfVKnG2wIEJgx3jh5lI2NmBQWsNoeWK-QGzCBSRxWHGuGBWRJMwZS1pNUJ8AahmyRG8vNO4F5HSFNICvPpoqZnXJqPY2152X2qT54qWytVuF5HLOBUuAQA7iwaDz1XiVU9Xu9yZTmAFIQCYbhqJjQS08g7oU0WvD3Zy4PNei4OKjbiCyATnT68ZHbN1HEauQ5vR0mH1bWGRlHJdRpTssCz88tdUnGgE3JrwBXBRWRRWs1W6d4K3mKyyIIn6sny2aTPwySjQ4YKzq412E3YergABbGw10JOOacL+oBcQrgC082HvcEBEtbzTwYz9pYjsMNHD+L9nU9gICl8ovvBXQDU6cg9K20vrojlcfvrWP6MgTkmlwXqSwQ2pS35irgl6SpeeaXoWl7FmO3IBFUlbYYK2EithDbYZK2HSkebCeF4hrGoUhjYW4+z9lBn5lFhWCjq+IFBtEMF0QWjHus8h5QGeXoBIcv7Xi+d5OuADzPoi3Q-B+wZytsEmAd48kxpqY5cbgnY0LR4m0PsP4DsevEmZKhx5ochaHMWcnsYpXZlrgACclZeYKXkil5DZefS5ElKG1FgcSnn8XivJAVFDExd5LnAQ44VwEZ4EBF5SqJQe1rpjBp7-GJuAqpJCLBDJhgWgpKXKbKQ4BGVmlNdGWK6ZxqUGZOcjVZBnSdvYvWtVmHY9ZF4AqsF4CDcZpWTMxlkDN4hlzZNbL+g0aUZRNlAVTKLFok0wI0PsFZxTswKJGdlZ7XSN0XXdhZ3U5d01EJ7x1KkFygV2w24Icp14o+WlJGZN5jlUP1pUNu0nTdL6zf9l1g3i1bgI8jxAA
13:36:21: [INFO] Add D4 footprint
13:36:21: [INFO] Add SW5 footprint
13:36:21: [INFO] Add D5 footprint
13:36:21: [INFO] Add SW6 footprint
13:36:21: [INFO] Add D6 footprint
13:36:21: [INFO] Add SW7 footprint
13:36:21: [INFO] Add D7 footprint
13:36:21: [INFO] Add SW8 footprint
13:36:21: [INFO] Add D8 footprint
13:36:21: [INFO] Add SW9 footprint
13:36:21: [INFO] Add D9 footprint
13:36:21: [INFO] Add SW10 footprint
13:36:21: [INFO] Add D10 footprint
13:36:21: [INFO] Add SW11 footprint
13:36:21: [INFO] Add D11 footprint
13:36:21: [INFO] Add SW12 footprint
13:36:21: [INFO] Add D12 footprint
13:36:22: [INFO] Add SW13 footprint
13:36:22: [INFO] Add D13 footprint
13:36:22: [INFO] Add SW14 footprint
13:36:22: [INFO] Add D14 footprint
13:36:22: [INFO] Add SW15 footprint
13:36:22: [INFO] Add D15 footprint
13:36:22: [INFO] Add SW16 footprint
13:36:22: [INFO] Add D16 footprint
13:36:22: [INFO] Add SW17 footprint
13:36:22: [INFO] Add D17 footprint
13:36:22: [INFO] Add SW18 footprint
13:36:22: [INFO] Add D18 footprint
13:36:22: [INFO] Add SW19 footprint
13:36:22: [INFO] Add D19 footprint
13:36:22: [INFO] Add SW20 footprint
13:36:22: [INFO] Add D20 footprint
13:36:22: [INFO] Add SW21 footprint
13:36:22: [INFO] Add D21 footprint
13:36:22: [INFO] Add SW22 footprint
13:36:22: [INFO] Add D22 footprint
13:36:22: [INFO] Add SW23 footprint
13:36:22: [INFO] Add D23 footprint
13:36:22: [INFO] Add SW24 footprint
13:36:22: [INFO] Add D24 footprint
13:36:22: [INFO] Add SW25 footprint
13:36:22: [INFO] Add D25 footprint
13:36:22: [INFO] Add SW26 footprint
13:36:22: [INFO] Add D26 footprint
13:36:22: [INFO] Add SW27 footprint
13:36:22: [INFO] Add D27 footprint
13:36:22: [INFO] Add SW28 footprint
13:36:22: [INFO] Add D28 footprint
13:36:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:22: [INFO] Add ST28 footprint
13:36:22: [INFO] Add SW28a footprint
13:36:22: [INFO] Add SW29 footprint
13:36:22: [INFO] Add D29 footprint
13:36:22: [INFO] Add SW30 footprint
13:36:23: [INFO] Add D30 footprint
13:36:23: [INFO] Add SW31 footprint
13:36:23: [INFO] Add D31 footprint
13:36:23: [INFO] Add SW32 footprint
13:36:23: [INFO] Add D32 footprint
13:36:23: [INFO] Add SW33 footprint
13:36:23: [INFO] Add D33 footprint
13:36:23: [INFO] Add SW34 footprint
13:36:23: [INFO] Add D34 footprint
13:36:23: [INFO] Add SW35 footprint
13:36:23: [INFO] Add D35 footprint
13:36:23: [INFO] Add SW36 footprint
13:36:23: [INFO] Add D36 footprint
13:36:23: [INFO] Add SW37 footprint
13:36:23: [INFO] Add D37 footprint
13:36:23: [INFO] Add SW38 footprint
13:36:23: [INFO] Add D38 footprint
13:36:23: [INFO] Add SW39 footprint
13:36:23: [INFO] Add D39 footprint
13:36:23: [INFO] Add SW40 footprint
13:36:23: [INFO] Add D40 footprint
13:36:23: [INFO] Add SW41 footprint
13:36:23: [INFO] Add D41 footprint
13:36:23: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:23: [INFO] Add ST41 footprint
13:36:23: [INFO] Add SW42 footprint
13:36:23: [INFO] Add D42 footprint
13:36:23: [INFO] Add SW42a footprint
13:36:23: [INFO] Add SW43 footprint
13:36:23: [INFO] Add D43 footprint
13:36:23: [INFO] Add SW44 footprint
13:36:23: [INFO] Add D44 footprint
13:36:23: [INFO] Add SW45 footprint
13:36:23: [INFO] Add D45 footprint
13:36:23: [INFO] Add SW46 footprint
13:36:23: [INFO] Add D46 footprint
13:36:23: [INFO] Add SW47 footprint
13:36:24: [INFO] Add D47 footprint
13:36:24: [INFO] Add SW48 footprint
13:36:24: [INFO] Add D48 footprint
13:36:24: [INFO] Add SW49 footprint
13:36:24: [INFO] Add D49 footprint
13:36:24: [INFO] Add SW50 footprint
13:36:24: [INFO] Add D50 footprint
13:36:24: [INFO] Add SW51 footprint
13:36:24: [INFO] Add D51 footprint
13:36:24: [INFO] Add SW52 footprint
13:36:24: [INFO] Add D52 footprint
