=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgoTnWE+GnSNNEVjYOcB8db34eHxEKHwlYjCkE2QSFBOUEtQSNKL1w-wREOWKSnjc+Qj4vUL0BB2cCk1NkMrwKqpC+X0MoY0Cg6E69Hi6DBC6Y8fERxJmUqbSpjKms+l6A5pbzPCJPIfx8AB0AOxOT6k01xkKS0v2+M9Pji791ws32Ci7bR-PutYAHnhKJViBRrswBp8pgdfs9hj0IShmq14BU9l9anCuOB6i43EQOhQhDQ4V1LhACaCQiSjk8TuTXlSiQgSQ96cdGYi+gNoNs0dTiRghGT-o1kaZUe4WeASWJRRS3pCglL0dUSdIFa8kR8aRgVHCfJdZXpKIaxUqircFHrYRyjTxaezHg6hT97b48RAAJ7A0HgvoffnS9WkjnfJk7QWsvSi-KuKMytlxyOWaMmkXhhFXHlQ4PtUPyrPxnUo4OE0PEFPcgK8qVWPWa4vawNlnCJ0MGj3x5mhu0u7OUju251PMKpkO2zMD7he8C++Agqrl9Mks1ZsZDtNJ2MbicVvWjhmRGuFOvB6Sr8SiupOFwLuBLsEIUuSleh9ePCb7ki20WTcVz3beA5D1Isv2FXE7CAA
13:37:31: [INFO] Add SW23 footprint
13:37:31: [INFO] Add D23 footprint
13:37:31: [INFO] Add SW24 footprint
13:37:31: [INFO] Add D24 footprint
13:37:31: [INFO] Add SW25 footprint
13:37:31: [INFO] Add D25 footprint
13:37:31: [INFO] Add SW26 footprint
13:37:31: [INFO] Add D26 footprint
13:37:31: [INFO] Add SW27 footprint
13:37:31: [INFO] Add D27 footprint
13:37:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:31: [INFO] Add ST27 footprint
13:37:31: [INFO] Add SW28 footprint
13:37:31: [INFO] Add D28 footprint
13:37:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:31: [INFO] Add ST28 footprint
13:37:31: [INFO] Add SW29 footprint
13:37:31: [INFO] Add D29 footprint
13:37:31: [INFO] Add SW30 footprint
13:37:31: [INFO] Add D30 footprint
13:37:32: [INFO] Add SW31 footprint
13:37:32: [INFO] Add D31 footprint
13:37:32: [INFO] Add SW32 footprint
13:37:32: [INFO] Add D32 footprint
13:37:32: [INFO] Add SW33 footprint
13:37:32: [INFO] Add D33 footprint
13:37:32: [INFO] Add SW34 footprint
13:37:32: [INFO] Add D34 footprint
13:37:32: [INFO] Add SW35 footprint
13:37:32: [INFO] Add D35 footprint
13:37:32: [INFO] Add SW36 footprint
13:37:32: [INFO] Add D36 footprint
13:37:32: [INFO] Add SW37 footprint
13:37:32: [INFO] Add D37 footprint
13:37:32: [INFO] Add SW38 footprint
13:37:32: [INFO] Add D38 footprint
13:37:32: [INFO] Add SW38a footprint
13:37:32: [INFO] Add SW39 footprint
13:37:32: [INFO] Add D39 footprint
13:37:32: [INFO] Add SW39a footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:32: [INFO] Add ST39a footprint
13:37:32: [INFO] Add SW40 footprint
13:37:32: [INFO] Add D40 footprint
13:37:32: [INFO] Add SW41 footprint
13:37:32: [INFO] Add D41 footprint
13:37:32: [INFO] Add SW41a footprint
13:37:32: [INFO] Add SW42 footprint
13:37:32: [INFO] Add D42 footprint
13:37:32: [INFO] Add SW42a footprint
13:37:32: [INFO] Add SW43 footprint
13:37:32: [INFO] Add D43 footprint
13:37:32: [INFO] Add SW44 footprint
13:37:32: [INFO] Add D44 footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:32: [INFO] Add ST44 footprint
13:37:32: [INFO] Add SW44a footprint
13:37:32: [INFO] Add SW45 footprint
13:37:32: [INFO] Add D45 footprint
13:37:32: [INFO] Add SW45a footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:32: [INFO] Add ST45a footprint
13:37:32: [INFO] Add SW45b footprint
13:37:32: [INFO] Add ST45b footprint
13:37:32: [INFO] Add SW45c footprint
13:37:32: [INFO] Add ST45c footprint
13:37:32: [INFO] Add SW46 footprint
13:37:32: [INFO] Add D46 footprint
13:37:32: [INFO] Add SW47 footprint
13:37:32: [INFO] Add D47 footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:32: [INFO] Add ST47 footprint
13:37:32: [INFO] Add SW47a footprint
13:37:33: [INFO] Add SW48 footprint
13:37:33: [INFO] Add D48 footprint
13:37:33: [INFO] Add SW48a footprint
13:37:33: [INFO] Add SW49 footprint
13:37:33: [INFO] Add D49 footprint
13:37:33: [INFO] Add SW50 footprint
13:37:33: [INFO] Add D50 footprint
13:37:33: [INFO] Add SW50a footprint
13:37:33: [INFO] Add SW51 footprint
13:37:33: [INFO] Add D51 footprint
13:37:33: [INFO] Add SW51a footprint
13:37:33: [INFO] Add SW52 footprint
13:37:33: [INFO] Add D52 footprint
13:37:33: [INFO] Add SW52a footprint
13:37:33: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:33: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:33: [INFO] Layout offset: (23812500, 28575000)
13:37:33: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:33: [INFO] Placing additional elements for SW52a
13:37:33: [INFO] Placing additional elements for SW52
13:37:33: [INFO] Placing additional elements for SW51a
13:37:33: [INFO] Placing additional elements for SW51
13:37:33: [INFO] Placing additional elements for SW50a
13:37:33: [INFO] Placing additional elements for SW50
13:37:33: [INFO] Placing additional elements for SW49
13:37:33: [INFO] Placing additional elements for SW48a
13:37:33: [INFO] Placing additional elements for SW48
13:37:33: [INFO] Placing additional elements for SW47a
13:37:33: [INFO] Placing additional elements for SW47
13:37:33: [INFO] Placing additional elements for SW46
13:37:33: [INFO] Placing additional elements for SW45c
13:37:33: [INFO] Placing additional elements for SW45b
13:37:33: [INFO] Placing additional elements for SW45a
13:37:33: [INFO] Placing additional elements for SW45
13:37:33: [INFO] Placing additional elements for SW44a
13:37:33: [INFO] Placing additional elements for SW44
13:37:33: [INFO] Placing additional elements for SW43
13:37:33: [INFO] Placing additional elements for SW42a
13:37:33: [INFO] Placing additional elements for SW42
13:37:33: [INFO] Placing additional elements for SW41a
13:37:33: [INFO] Placing additional elements for SW41
13:37:33: [INFO] Placing additional elements for SW40
13:37:33: [INFO] Placing additional elements for SW39a
13:37:33: [INFO] Placing additional elements for SW39
13:37:33: [INFO] Placing additional elements for SW38a
13:37:33: [INFO] Placing additional elements for SW38
13:37:33: [INFO] Placing additional elements for SW37
13:37:33: [INFO] Placing additional elements for SW36
13:37:33: [INFO] Placing additional elements for SW35
13:37:33: [INFO] Placing additional elements for SW34
13:37:33: [INFO] Placing additional elements for SW33
13:37:33: [INFO] Placing additional elements for SW32
13:37:33: [INFO] Placing additional elements for SW31
13:37:33: [INFO] Placing additional elements for SW30
13:37:33: [INFO] Placing additional elements for SW29
13:37:33: [INFO] Placing additional elements for SW28
13:37:33: [INFO] Placing additional elements for SW27
13:37:33: [INFO] Placing additional elements for SW26
13:37:33: [INFO] Placing additional elements for SW25
13:37:33: [INFO] Placing additional elements for SW24
13:37:33: [INFO] Placing additional elements for SW23
13:37:33: [INFO] Placing additional elements for SW22
13:37:33: [INFO] Placing additional elements for SW21
13:37:33: [INFO] Placing additional elements for SW20
13:37:33: [INFO] Placing additional elements for SW19
13:37:33: [INFO] Placing additional elements for SW18
13:37:33: [INFO] Placing additional elements for SW17
13:37:33: [INFO] Placing additional elements for SW16
13:37:33: [INFO] Placing additional elements for SW15
13:37:33: [INFO] Placing additional elements for SW14
13:37:33: [INFO] Placing additional elements for SW13
13:37:33: [INFO] Placing additional elements for SW12
13:37:33: [INFO] Placing additional elements for SW11
13:37:33: [INFO] Placing additional elements for SW10
13:37:33: [INFO] Placing additional elements for SW9
13:37:33: [INFO] Placing additional elements for SW8
13:37:33: [INFO] Placing additional elements for SW7
13:37:33: [INFO] Placing additional elements for SW6
13:37:33: [INFO] Placing additional elements for SW5
13:37:33: [INFO] Placing additional elements for SW4
13:37:33: [INFO] Placing additional elements for SW3
13:37:33: [INFO] Placing additional elements for SW2
13:37:33: [INFO] Placing additional elements for SW1
13:37:33: [INFO] Routing SW52a with D52
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW52a:2' at (300196250, 90170000) with pad 'D52:2' at (305117500, 97850000) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Routing SW52 with D52
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW52:2' at (302577500, 90170000) with pad 'D52:2' at (305117500, 97850000) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Routing SW51a with D51
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW51a:2' at (276383750, 90170000) with pad 'D51:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Routing SW51 with D51
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW51:2' at (283527500, 90170000) with pad 'D51:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
13:37:33: [INFO] Adding track segment (B.Cu): [(283527500, 95310000), (286067500, 97850000)]
