=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArFkiagN6gAeoAXHEgHTrEC+8ox0WPKXHpkGRcIwiNLxqAYwYIAxAEMVqrAHd56Tgh4A2ADoA7Y8agxpteSygI5jUApnOXoHd0iGT3qALiz5R1U1dx4AdlMfZFAAXUgAKGBqTUYWDi5yC39Qe0UXV3dyP1ByYQRyMXLICQR0Cks6VNZ0hD1eLjbitrLQNsre6qw2qVbPKlAUpmYWgbDYhKScwOVgpQ1rZjCZuqyAhyd8uXc64rqeuv66mtBseuzGqbZ3MPaEF+KXnpf+l+uXkb2ijCwJB60Y6Gaz0gcziiUBQVWYLgEKeXFuuyW+0ORzR0VxPVu-Vu13wd2oDxYqIQAA5XqBacVaT1af1aTV4StgkiIVt3LSvJFMuMHuBmlxJixeVx+ZFjEVxrlHNi3NLobKjPLYYtFZy1OKNjNSeB1UasKS-MkDe5SWUOcr9YxsNbROqdsKNmwHXAnVwAJzIdXohXLVZrL1pdz+7CBun+-AxrKgf0C7w8DES6aRtXeYxp+ZwiYGrgAE3kABcAE4AVwAps7jTmjOb84sHqSEABPeQAWlFWy4OvtCEm2i4pOjjZOZuqrrx9w9M39DcitwthfBWaQMbXOtDSIjfpdjdXWDj2-GpcYldrWZTubnlqaPAQl7g17rh4ijf4LfJ8mpYqdvIoqenYyzKlmy7eLctrrt6m4xrBu6IuGmaHvGx6QJgWp-owAGgaAXaMCBz6YnkhwqggS4xpUj7IghmH9FGNHBvse6oYuM6MbEMRAA
13:34:18: [INFO] Placing additional elements for SW34
13:34:18: [INFO] Placing additional elements for SW33
13:34:18: [INFO] Placing additional elements for SW32
13:34:18: [INFO] Placing additional elements for SW31
13:34:18: [INFO] Placing additional elements for SW30
13:34:18: [INFO] Placing additional elements for SW29
13:34:18: [INFO] Placing additional elements for SW28a
13:34:18: [INFO] Placing additional elements for SW28
13:34:18: [INFO] Placing additional elements for SW27
13:34:18: [INFO] Placing additional elements for SW26
13:34:18: [INFO] Placing additional elements for SW25
13:34:18: [INFO] Placing additional elements for SW24
13:34:18: [INFO] Placing additional elements for SW23
13:34:18: [INFO] Placing additional elements for SW22
13:34:18: [INFO] Placing additional elements for SW21
13:34:18: [INFO] Placing additional elements for SW20
13:34:18: [INFO] Placing additional elements for SW19
13:34:18: [INFO] Placing additional elements for SW18
13:34:18: [INFO] Placing additional elements for SW17
13:34:18: [INFO] Placing additional elements for SW16
13:34:18: [INFO] Placing additional elements for SW15
13:34:18: [INFO] Placing additional elements for SW14
13:34:18: [INFO] Placing additional elements for SW13
13:34:18: [INFO] Placing additional elements for SW12
13:34:18: [INFO] Placing additional elements for SW11
13:34:18: [INFO] Placing additional elements for SW10
13:34:18: [INFO] Placing additional elements for SW9
13:34:18: [INFO] Placing additional elements for SW8
13:34:18: [INFO] Placing additional elements for SW7
13:34:18: [INFO] Placing additional elements for SW6
13:34:18: [INFO] Placing additional elements for SW5
13:34:18: [INFO] Placing additional elements for SW4
13:34:18: [INFO] Placing additional elements for SW3
13:34:18: [INFO] Placing additional elements for SW2
13:34:18: [INFO] Placing additional elements for SW1
13:34:18: [INFO] Routing SW66 with D66
