=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGcC2ssAnAewBcB9AUwGMEFwBfTcABnWQB0A7b3n-vt0otwAXXQAoMOACeBALQsUAdgxZqBcAGJluveGZ5NjZmxGYIG+Nuq27JrG3qn0AJgOP0AZg+t0AFl82JCD0ADZQ5VCADlCATlCEc086RPcLcCssLQBDPPzfAHcCVyYU-0EuMw8IaHhXZiybO1sHPwQvSqdEioEq9jFJaSbc-LyiggQ0MvAEdGTLTS0W1pm55yw59M3vXznA5jmQw-C99CiT2JOEk6Sz1NvtiGL4KaQ19k6+uYWoAiV3rdjnBapMUK41Jklnp9MwXohwZCABYlOHuV5oZhI9GIZiQHGKREzBodSrrQZSRbWUZjCYY1TE+Y1KHUlYaRkbcANbZc3bMBoHLANYG8iL886+BpXIXoG4yu7ih4glnZGG6OlwVxExVfPg-Zl1OAAxpLNltEnA0HwJQQjmuMkDcSUlXaMbjOElbVYLzzSoNX4jM0zH08n0+Zg+wXgH0in1i70SiPoaXR2W+H0KhNKqnZN05DVTBlJhBPP4YyGBlZtDMhJ3SQ0IfyI5hyeCE1Qm6lqqLB9iBOsQVtwQkQzu5t0Fr3gfxMjLwqa25gzjbPMGLrAz0uVloasJTmfxnOuice8szZe-efTJfsegDsuILzNrBD9sV6FqtrL8Mbvu+Ze1kMg7-Ji6hLHmk7rqmLB+gMGTbvYvYILBd6iEAA
13:39:07: [INFO] Add D27 footprint
13:39:07: [INFO] Add SW28 footprint
13:39:07: [INFO] Add D28 footprint
13:39:08: [INFO] Add SW29 footprint
13:39:08: [INFO] Add D29 footprint
13:39:08: [INFO] Add SW30 footprint
13:39:08: [INFO] Add D30 footprint
13:39:08: [INFO] Add SW31 footprint
13:39:08: [INFO] Add D31 footprint
13:39:08: [INFO] Add SW32 footprint
13:39:08: [INFO] Add D32 footprint
13:39:08: [INFO] Add SW33 footprint
13:39:08: [INFO] Add D33 footprint
13:39:08: [INFO] Add SW34 footprint
13:39:08: [INFO] Add D34 footprint
13:39:08: [INFO] Add SW35 footprint
13:39:08: [INFO] Add D35 footprint
13:39:08: [INFO] Add SW36 footprint
13:39:08: [INFO] Add D36 footprint
13:39:08: [INFO] Add SW37 footprint
13:39:08: [INFO] Add D37 footprint
13:39:08: [INFO] Add SW38 footprint
13:39:08: [INFO] Add D38 footprint
13:39:08: [INFO] Add SW39 footprint
13:39:08: [INFO] Add D39 footprint
13:39:08: [INFO] Add SW40 footprint
13:39:08: [INFO] Add D40 footprint
13:39:08: [INFO] Add SW41 footprint
13:39:08: [INFO] Add D41 footprint
13:39:08: [INFO] Add SW42 footprint
13:39:08: [INFO] Add D42 footprint
13:39:08: [INFO] Add SW43 footprint
13:39:08: [INFO] Add D43 footprint
13:39:08: [INFO] Add SW44 footprint
13:39:08: [INFO] Add D44 footprint
13:39:08: [INFO] Add SW45 footprint
13:39:08: [INFO] Add D45 footprint
13:39:08: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:08: [INFO] Add ST45 footprint
13:39:08: [INFO] Add SW45a footprint
13:39:08: [INFO] Add ST45a footprint
13:39:09: [INFO] Add SW46 footprint
13:39:09: [INFO] Add D46 footprint
13:39:09: [INFO] Add SW47 footprint
13:39:09: [INFO] Add D47 footprint
13:39:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:09: [INFO] Add ST47 footprint
13:39:09: [INFO] Add SW47a footprint
13:39:09: [INFO] Add SW48 footprint
13:39:09: [INFO] Add D48 footprint
13:39:09: [INFO] Add SW49 footprint
13:39:09: [INFO] Add D49 footprint
13:39:09: [INFO] Add SW50 footprint
13:39:09: [INFO] Add D50 footprint
13:39:09: [INFO] Add SW51 footprint
13:39:09: [INFO] Add D51 footprint
13:39:09: [INFO] Add SW52 footprint
13:39:09: [INFO] Add D52 footprint
13:39:09: [INFO] Add SW53 footprint
13:39:09: [INFO] Add D53 footprint
13:39:09: [INFO] Add SW54 footprint
13:39:09: [INFO] Add D54 footprint
13:39:09: [INFO] Add SW55 footprint
13:39:09: [INFO] Add D55 footprint
13:39:09: [INFO] Add SW56 footprint
13:39:09: [INFO] Add D56 footprint
13:39:09: [INFO] Add SW57 footprint
13:39:09: [INFO] Add D57 footprint
13:39:09: [INFO] Add SW58 footprint
13:39:09: [INFO] Add D58 footprint
13:39:09: [INFO] Add SW59 footprint
13:39:09: [INFO] Add D59 footprint
13:39:09: [INFO] Add SW60 footprint
13:39:09: [INFO] Add D60 footprint
13:39:09: [INFO] Add SW61 footprint
13:39:10: [INFO] Add D61 footprint
13:39:10: [INFO] Add SW62 footprint
13:39:10: [INFO] Add D62 footprint
13:39:10: [INFO] Add SW63 footprint
13:39:10: [INFO] Add D63 footprint
13:39:10: [INFO] Add SW64 footprint
13:39:10: [INFO] Add D64 footprint
13:39:10: [INFO] Add SW65 footprint
13:39:10: [INFO] Add D65 footprint
13:39:10: [INFO] Add ST65 footprint
13:39:10: [INFO] Add SW66 footprint
13:39:10: [INFO] Add D66 footprint
