=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATE3VgMxMmwKKRBQmswAs7fAFYJWAGwzkMgBwyAnDPqFaDRtqz02e+t2JQ+FKpREd64o9IC6WAFBgzZAUMHX6Bdr90EX0M4Xg9LK2wgrh53fi9vKPBfO2jpWl95DKxFbJVs9WzNf31A5P0Q8uNY0n4I8h99VKrHFzdapAToJJY-Wl6y3pCwuoj2AHc+egA6FkkemNMOzy9rXube9IRerO2c9l78vcK94v7Sg4rL6qXzFDRUCanp5Hnz+lbXEc6E604+hD-Mr-YZxCyWJ7wGavJL-EyhMErYSwrBbcD-Xbo-a0f5HLEnLFnQEXHFXUk3Ym2Gp3eqQuAzOYoj7gJxfRFdayiAHgLllLmg5a02iTKGzN4ILnwiAi+lipJctFczFc3II5Yc4V8FjyrBHaVauW0XlaNU0sY6gzsXnwnlNWIyhni23MhwOIA
13:40:41: [INFO] Add D7 footprint
13:40:41: [INFO] Add SW8 footprint
13:40:41: [INFO] Add D8 footprint
13:40:41: [INFO] Add SW9 footprint
13:40:41: [INFO] Add D9 footprint
13:40:41: [INFO] Add SW10 footprint
13:40:41: [INFO] Add D10 footprint
13:40:41: [INFO] Add SW11 footprint
13:40:41: [INFO] Add D11 footprint
13:40:41: [INFO] Add SW12 footprint
13:40:41: [INFO] Add D12 footprint
13:40:41: [INFO] Add SW13 footprint
13:40:41: [INFO] Add D13 footprint
13:40:41: [INFO] Add SW14 footprint
13:40:41: [INFO] Add D14 footprint
13:40:41: [INFO] Add SW15 footprint
13:40:41: [INFO] Add D15 footprint
13:40:41: [INFO] Add SW16 footprint
13:40:41: [INFO] Add D16 footprint
13:40:41: [INFO] Add SW17 footprint
13:40:41: [INFO] Add D17 footprint
13:40:41: [INFO] Add SW18 footprint
13:40:41: [INFO] Add D18 footprint
13:40:42: [INFO] Add SW19 footprint
13:40:42: [INFO] Add D19 footprint
13:40:42: [INFO] Add SW20 footprint
13:40:42: [INFO] Add D20 footprint
13:40:42: [INFO] Add SW21 footprint
13:40:42: [INFO] Add D21 footprint
13:40:42: [INFO] Add SW22 footprint
13:40:42: [INFO] Add D22 footprint
13:40:42: [INFO] Add SW23 footprint
13:40:42: [INFO] Add D23 footprint
13:40:42: [INFO] Add SW24 footprint
13:40:42: [INFO] Add D24 footprint
13:40:42: [INFO] Add SW25 footprint
13:40:42: [INFO] Add D25 footprint
13:40:42: [INFO] Add SW26 footprint
13:40:42: [INFO] Add D26 footprint
13:40:42: [INFO] Add SW27 footprint
13:40:42: [INFO] Add D27 footprint
13:40:42: [INFO] Add SW28 footprint
13:40:42: [INFO] Add D28 footprint
13:40:42: [INFO] Add SW29 footprint
13:40:42: [INFO] Add D29 footprint
13:40:42: [INFO] Add SW30 footprint
13:40:42: [INFO] Add D30 footprint
13:40:42: [INFO] Add SW31 footprint
13:40:42: [INFO] Add D31 footprint
13:40:42: [INFO] Add SW32 footprint
13:40:42: [INFO] Add D32 footprint
13:40:42: [INFO] Add SW33 footprint
13:40:42: [INFO] Add D33 footprint
13:40:42: [INFO] Add SW34 footprint
13:40:42: [INFO] Add D34 footprint
13:40:42: [INFO] Add SW35 footprint
13:40:43: [INFO] Add D35 footprint
13:40:43: [INFO] Add SW36 footprint
13:40:43: [INFO] Add D36 footprint
13:40:43: [INFO] Add SW37 footprint
13:40:43: [INFO] Add D37 footprint
13:40:43: [INFO] Add SW38 footprint
13:40:43: [INFO] Add D38 footprint
13:40:43: [INFO] Add SW39 footprint
13:40:43: [INFO] Add D39 footprint
13:40:43: [INFO] Add SW40 footprint
13:40:43: [INFO] Add D40 footprint
13:40:43: [INFO] Add SW41 footprint
13:40:43: [INFO] Add D41 footprint
13:40:43: [INFO] Add SW42 footprint
13:40:43: [INFO] Add D42 footprint
13:40:43: [INFO] Add SW43 footprint
13:40:43: [INFO] Add D43 footprint
13:40:43: [INFO] Add SW44 footprint
13:40:43: [INFO] Add D44 footprint
13:40:43: [INFO] Add SW45 footprint
13:40:43: [INFO] Add D45 footprint
13:40:43: [INFO] Add SW46 footprint
13:40:43: [INFO] Add D46 footprint
13:40:43: [INFO] Add SW47 footprint
13:40:43: [INFO] Add D47 footprint
13:40:43: [INFO] Add SW48 footprint
13:40:43: [INFO] Add D48 footprint
13:40:43: [INFO] Add SW49 footprint
13:40:43: [INFO] Add D49 footprint
13:40:43: [INFO] Add SW50 footprint
13:40:43: [INFO] Add D50 footprint
13:40:43: [INFO] Add SW51 footprint
13:40:44: [INFO] Add D51 footprint
13:40:44: [INFO] Add SW52 footprint
13:40:44: [INFO] Add D52 footprint
13:40:44: [INFO] Add SW53 footprint
13:40:44: [INFO] Add D53 footprint
13:40:44: [INFO] Add SW54 footprint
13:40:44: [INFO] Add D54 footprint
13:40:44: [INFO] Add SW55 footprint
13:40:44: [INFO] Add D55 footprint
13:40:44: [INFO] Add SW56 footprint
13:40:44: [INFO] Add D56 footprint
13:40:44: [INFO] Add SW57 footprint
13:40:44: [INFO] Add D57 footprint
13:40:44: [INFO] Add SW58 footprint
13:40:44: [INFO] Add D58 footprint
13:40:44: [INFO] Add SW59 footprint
13:40:44: [INFO] Add D59 footprint
13:40:44: [INFO] Add SW60 footprint
13:40:44: [INFO] Add D60 footprint
13:40:44: [INFO] Add SW61 footprint
13:40:44: [INFO] Add D61 footprint
13:40:44: [INFO] Add SW62 footprint
13:40:44: [INFO] Add D62 footprint
13:40:44: [INFO] Add SW63 footprint
13:40:44: [INFO] Add D63 footprint
13:40:44: [INFO] Add SW64 footprint
13:40:44: [INFO] Add D64 footprint
13:40:44: [INFO] Add SW65 footprint
13:40:44: [INFO] Add D65 footprint
13:40:44: [INFO] Add SW66 footprint
13:40:44: [INFO] Add D66 footprint
13:40:44: [INFO] Add SW67 footprint
13:40:45: [INFO] Add D67 footprint
13:40:45: [INFO] Add SW68 footprint
13:40:45: [INFO] Add D68 footprint
13:40:45: [INFO] Add SW69 footprint
13:40:45: [INFO] Add D69 footprint
13:40:45: [INFO] Add SW70 footprint
13:40:45: [INFO] Add D70 footprint
13:40:45: [INFO] Add ST70 footprint
13:40:45: [INFO] Add SW71 footprint
13:40:45: [INFO] Add D71 footprint
13:40:45: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:45: [INFO] Add ST71 footprint
13:40:45: [INFO] Add SW72 footprint
13:40:45: [INFO] Add D72 footprint
13:40:45: [INFO] Add SW73 footprint
13:40:45: [INFO] Add D73 footprint
13:40:45: [INFO] Add SW74 footprint
13:40:45: [INFO] Add D74 footprint
13:40:45: [INFO] Add SW75 footprint
13:40:45: [INFO] Add D75 footprint
13:40:45: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:45: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:45: [INFO] Layout offset: (28575000, 28575000)
13:40:45: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:45: [INFO] Placing additional elements for SW75
13:40:45: [INFO] Placing additional elements for SW74
13:40:45: [INFO] Placing additional elements for SW73
13:40:45: [INFO] Placing additional elements for SW72
13:40:45: [INFO] Placing additional elements for SW71
13:40:45: [INFO] Placing additional elements for SW70
13:40:45: [INFO] Placing additional elements for SW69
13:40:45: [INFO] Placing additional elements for SW68
13:40:45: [INFO] Placing additional elements for SW67
13:40:45: [INFO] Placing additional elements for SW66
13:40:45: [INFO] Placing additional elements for SW65
13:40:45: [INFO] Placing additional elements for SW64
13:40:45: [INFO] Placing additional elements for SW63
13:40:45: [INFO] Placing additional elements for SW62
13:40:45: [INFO] Placing additional elements for SW61
13:40:45: [INFO] Placing additional elements for SW60
13:40:45: [INFO] Placing additional elements for SW59
13:40:45: [INFO] Placing additional elements for SW58
13:40:45: [INFO] Placing additional elements for SW57
13:40:45: [INFO] Placing additional elements for SW56
13:40:45: [INFO] Placing additional elements for SW55
13:40:45: [INFO] Placing additional elements for SW54
13:40:45: [INFO] Placing additional elements for SW53
13:40:45: [INFO] Placing additional elements for SW52
13:40:45: [INFO] Placing additional elements for SW51
13:40:45: [INFO] Placing additional elements for SW50
13:40:45: [INFO] Placing additional elements for SW49
13:40:45: [INFO] Placing additional elements for SW48
13:40:45: [INFO] Placing additional elements for SW47
13:40:45: [INFO] Placing additional elements for SW46
13:40:45: [INFO] Placing additional elements for SW45
13:40:45: [INFO] Placing additional elements for SW44
13:40:45: [INFO] Placing additional elements for SW43
13:40:45: [INFO] Placing additional elements for SW42
13:40:45: [INFO] Placing additional elements for SW41
