=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DOBbWmAnAewBcB9AUwGMEFwNwB3fZAJnUwAsWl2BfBgE40CADoA7CVMkzpEigAZwAXTQAoMFHyskAdg7gAnvgW8DVfOADEu23fqZcl8AMwK0SjBAvxrVfwEuDAgeDuDudMEiYe6sYSFxDO4AzPFoqUloACxpOZkoaQWZAGwO3pZWAIbVNWHM8Kyu4Wi6cuLunpghumVa8Kb6DD6YVgGBTSHFbRG9w9Y1tU3urbLt0aoaENANegb1iKhNrKFe4HOjYxZNySeYx5GYNw-gx4mPaG8v6WE3GXfZPwBDGORXeoK+pVO5wW1TqPBQ1zQU1WIU64BuPVO2wO5gqdnsDH2bAM3AahLi8GQJIpiAYkBpAFpTPwGFkWm0QnQNppsTpBphoTC4ZTdk02Z1yr4LmMgph0Gi2c90M82Z90J82X9wOgtWy8nKgZg2eD0KDJSN8bZhXAdCyDcjpKjZhUYZVZdqWr1saZcVLLldWUiOet1JpBQtrcSmsUPG17s6-Zd3bpY6t41iTKghi6hYTtGZo6npMcJWcKv73THninnjHPinPjGtSmtTH9eAU+2Y+CU2ay1LXZHRQwY5DMDHMZgUz1uVt8-ymDw7eAABxFmQ3UtEgtCdcSTe9bfLtdiVYHqHlpN5+DFHeYNfJNrnuDm+a5zBHhEMNcoJ+3CCfk0wi-me-59HAPpAUiYRrpO4DCDOoZzpSK67AwbrwCmH5LiSmYLgAJvgJAEAArhQTQqEh4F8gYxjwEyWaYBhcBsthIpfvee7iE8YTCAof4PAB8JNCeAkJiMFbXnAugiekYkXgO76LuxUEgdIPGztRaGYHREFmFJUbflxNxvEJIrLnxf6mcpBzHiIVniX4V5sTad6rh8DmnIBRmPqB1n7DRslZJ5L79iMg4GW5P4hWZtkcfBaBqRuHyUZsWkLrpzJ7MJRn8aBWqWflh45Zxp7qd8CkSc5NnJLJrB-n8sW1UZwVFZVb4RpFdlJfuFWhd5mDAQ1KjKEAA
13:37:05: [INFO] Add D20 footprint
13:37:05: [INFO] Add SW21 footprint
13:37:05: [INFO] Add D21 footprint
13:37:05: [INFO] Add SW22 footprint
13:37:05: [INFO] Add D22 footprint
13:37:05: [INFO] Add SW23 footprint
13:37:05: [INFO] Add D23 footprint
13:37:05: [INFO] Add SW24 footprint
13:37:05: [INFO] Add D24 footprint
13:37:05: [INFO] Add SW25 footprint
13:37:05: [INFO] Add D25 footprint
13:37:05: [INFO] Add SW26 footprint
13:37:06: [INFO] Add D26 footprint
13:37:06: [INFO] Add SW27 footprint
13:37:06: [INFO] Add D27 footprint
13:37:06: [INFO] Add SW28 footprint
13:37:06: [INFO] Add D28 footprint
13:37:06: [INFO] Add SW29 footprint
13:37:06: [INFO] Add D29 footprint
13:37:06: [INFO] Add SW30 footprint
13:37:06: [INFO] Add D30 footprint
13:37:06: [INFO] Add SW31 footprint
13:37:06: [INFO] Add D31 footprint
13:37:06: [INFO] Add SW32 footprint
13:37:06: [INFO] Add D32 footprint
13:37:06: [INFO] Add SW33 footprint
13:37:06: [INFO] Add D33 footprint
13:37:06: [INFO] Add SW34 footprint
13:37:06: [INFO] Add D34 footprint
13:37:06: [INFO] Add SW35 footprint
13:37:06: [INFO] Add D35 footprint
13:37:06: [INFO] Add SW36 footprint
13:37:06: [INFO] Add D36 footprint
13:37:06: [INFO] Add SW37 footprint
13:37:06: [INFO] Add D37 footprint
13:37:06: [INFO] Add SW38 footprint
13:37:06: [INFO] Add D38 footprint
13:37:06: [INFO] Add SW39 footprint
13:37:06: [INFO] Add D39 footprint
13:37:06: [INFO] Add ST39 footprint
13:37:06: [INFO] Add SW40 footprint
13:37:06: [INFO] Add D40 footprint
13:37:06: [INFO] Add SW41 footprint
13:37:06: [INFO] Add D41 footprint
13:37:06: [INFO] Add SW42 footprint
13:37:07: [INFO] Add D42 footprint
13:37:07: [INFO] Add SW43 footprint
13:37:07: [INFO] Add D43 footprint
13:37:07: [INFO] Add SW44 footprint
13:37:07: [INFO] Add D44 footprint
13:37:07: [INFO] Add SW45 footprint
