=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwDoAMBWANHcBjW2BiAdhNPC3AHd8AmAXwpQwQB0A7d9gZmfLggAe+ZDXqMMKThzY8UfCHnjgCOVWvANsTVtO4T54IfARdUPbIsIBDG7b5Vam8ADZmU9gn1ZB+FEiKYFvjKaupOrjpSnggGlsq2duES7mzR4AC6GABQYIa0SACcRBTUxkhoTp5y3rjBKqF4lbw1Rog05VxOxTE1cQQJNvaliOVd+pk5PvDtABzF2MPIAU40Xvy1SvWhGhSrPeutCO00nRQzzet9pGQlwv4VZ+PZuX0DVkN3NA-YsinasXUGo0KDxItJ-i1fEgACzzDbWAYfaZIL5OX66NhMaqXQENHY-DA0AyHZBoU7YAqEgGba4kfHgSlg9irbEKOpvJEjVEUSmSDEs4lQr63ZHcinJfm8Ca5VrtIpOaFrcCK-bKqmQ4yk8zw5S0oj0hBMIkUQ0XcCmuTSiDQeAAWj8BUC4AAzgBbYIAJwA9gAXAD6AFMcAgYk5MDQUiqUikA6y8vACkgEE63cF6eHI2splzvubPBGMZg460ZkgZin3Upvf6gyGDfmUpgmRj2LGMs9s4mZqsgpsORRU0p01n4yMCghKlV25NwB7hExsB7ZfcKB6bXBTAEKMvhdh17bTLudVswuJjVoMFx7ExodeMGh7JgH1bR+1lib1dhPFeP7ePw+KEwW8X1aUwUBWT9wFWH9sFWP9YPvR9L2nGV8FMXMeBg8AeHg7DEMAqUO1HTcnVeRERRzBVkJfOd4C3RdDj8J013wNAV2wQ5UAofc2KPPogU5UlKhvFDs2QBcHDKXNTWfIjaLgW16NnVoJJY+AnRUpNuPwIhygooSKEVYCiM0zwFjuXNFVkmd5NtU0GOEHtZ3XaEUQ0iztLtY5pM8ADsFcPyXAwXDXCw1wiRA4RJ2C+xikC4pcOKLDigikyoXfL9v3sc5AvOXDziw85UpnTixTzM1KUCylcMpK9IvgEiKDIhJBLc4TqPSIA
13:39:44: [INFO] Add SW56 footprint
13:39:44: [INFO] Add D56 footprint
13:39:44: [INFO] Add SW57 footprint
13:39:44: [INFO] Add D57 footprint
13:39:44: [INFO] Add SW58 footprint
13:39:44: [INFO] Add D58 footprint
13:39:44: [INFO] Add SW59 footprint
13:39:44: [INFO] Add D59 footprint
13:39:45: [INFO] Add SW60 footprint
13:39:45: [INFO] Add D60 footprint
13:39:45: [INFO] Add SW61 footprint
13:39:45: [INFO] Add D61 footprint
13:39:45: [INFO] Add SW62 footprint
13:39:45: [INFO] Add D62 footprint
13:39:45: [INFO] Add SW63 footprint
13:39:45: [INFO] Add D63 footprint
13:39:45: [INFO] Add SW64 footprint
13:39:45: [INFO] Add D64 footprint
13:39:45: [INFO] Add SW65 footprint
13:39:45: [INFO] Add D65 footprint
13:39:45: [INFO] Add SW66 footprint
13:39:45: [INFO] Add D66 footprint
13:39:45: [INFO] Add SW67 footprint
13:39:45: [INFO] Add D67 footprint
13:39:45: [INFO] Add SW68 footprint
13:39:45: [INFO] Add D68 footprint
13:39:45: [INFO] Add SW69 footprint
13:39:45: [INFO] Add D69 footprint
13:39:45: [INFO] Add SW69a footprint
13:39:45: [INFO] Add SW70 footprint
13:39:45: [INFO] Add D70 footprint
13:39:45: [INFO] Add SW71 footprint
13:39:45: [INFO] Add D71 footprint
13:39:45: [INFO] Add SW72 footprint
13:39:45: [INFO] Add D72 footprint
13:39:45: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:45: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:45: [INFO] Layout offset: (24384000, 27622500)
13:39:45: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:45: [INFO] Placing additional elements for SW72
13:39:45: [INFO] Placing additional elements for SW71
13:39:45: [INFO] Placing additional elements for SW70
13:39:45: [INFO] Placing additional elements for SW69a
13:39:45: [INFO] Placing additional elements for SW69
13:39:45: [INFO] Placing additional elements for SW68
13:39:45: [INFO] Placing additional elements for SW67
13:39:45: [INFO] Placing additional elements for SW66
13:39:45: [INFO] Placing additional elements for SW65
13:39:45: [INFO] Placing additional elements for SW64
13:39:45: [INFO] Placing additional elements for SW63
13:39:45: [INFO] Placing additional elements for SW62
13:39:45: [INFO] Placing additional elements for SW61
13:39:45: [INFO] Placing additional elements for SW60
13:39:45: [INFO] Placing additional elements for SW59
13:39:45: [INFO] Placing additional elements for SW58
13:39:45: [INFO] Placing additional elements for SW57
13:39:45: [INFO] Placing additional elements for SW56
13:39:45: [INFO] Placing additional elements for SW55a
13:39:45: [INFO] Placing additional elements for SW55
