=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwBo7gJ6zgBgHQCYVwAHTcAYQAkBJMgaQBkBRAFXEIDNMAODgQ02ABGALoBfQliQI2cCNHgB2cagCsU8MKQAoMFEyDJqDPAC0uAJwrl4NQBYN23fLgEjmMznPXJeGXP3eSPYo-orWar6aOhDGcB5caqgAxqQAxLwZmTLgnPDmfAIigVh+4Cnw4KlJ1TXZuXA8qOz88EJiEkiCpc4IgSrdmL2Eav0hevBDqp2l5ajpmRl1mABsBa1Fw0glUU6DhLEeyMlpNbUc3GtwbdaC6mPOSoSr0juhcAb77hZWT0EO0eMXJ9TBYbkhfPcAoRbsFZIDHqhVpFHDEvjgEoRZpUFoswSUxliqqcUmCupCJmDRnCetZVlS3pNwKsyXDCTj+Od4Ksmi0rhtEVt-rsJsC4rgjmUTsSlvBGjleddCARpOS4AjwAp1K9Aa50GiEtYCBDqfpCAA7TAAFwATgBXACmhr+qsS4At8BtDusmthb0E3vBQtRIPRrrZOJlcG58sK7VQBHxrKlp0jcuasadLIZTvpgMZmtzNMImqzkoq8wWkej6fWcY1gu1PVFh0xybOTQuPIzhGQKpNYUIPBeKMBy3wroO30IAGcALaka0Ae0tAH17UlBCyY+sUIY97uD9hD4Z+eBbEgVAAdM3X283+936-2xNvXA-VD5K8P7+P+-2rqNpguqTp4M7zhUdQKqeyDGn61jIL6gLvuAPCIc4-qDoG2ogRixzluykaujWfJ1sgL5lnMxIpJyDSXIqqDIKWRYMReAwUphhaDNYPCluGlY0URUF1jw2wjs4eA4AoE5ooIRGYPkXa1tY55buesFITgyH5MiALoZJ0khgahDnqJALWs4uB4K66GCDghh6vAtg4AgWnTNq5mYG+hA2fpopOa5pm6Na+iuh58ChbE-mtuWCixXF4DKVqI7BRM9lhVG47eZ5OC3G4IZWdFcwEYQAAW+iaYl9jue4CBpc4XC+agzgmLZuUOWKmUdrKdEiKV5WuVVyXuLJhDpR8TXDYVlRxfFNEKduJHWPkLzCEAA
13:35:48: [INFO] Add SW34 footprint
13:35:48: [INFO] Add D34 footprint
13:35:48: [INFO] Add SW35 footprint
13:35:48: [INFO] Add D35 footprint
13:35:48: [INFO] Add SW36 footprint
13:35:48: [INFO] Add D36 footprint
13:35:48: [INFO] Add SW37 footprint
13:35:48: [INFO] Add D37 footprint
13:35:48: [INFO] Add SW38 footprint
13:35:48: [INFO] Add D38 footprint
13:35:48: [INFO] Add SW39 footprint
13:35:48: [INFO] Add D39 footprint
13:35:48: [INFO] Add SW40 footprint
13:35:48: [INFO] Add D40 footprint
13:35:48: [INFO] Add SW41 footprint
13:35:48: [INFO] Add D41 footprint
13:35:48: [INFO] Add SW42 footprint
13:35:48: [INFO] Add D42 footprint
13:35:48: [INFO] Add SW43 footprint
13:35:49: [INFO] Add D43 footprint
13:35:49: [INFO] Add SW44 footprint
13:35:49: [INFO] Add D44 footprint
13:35:49: [INFO] Add SW45 footprint
13:35:49: [INFO] Add D45 footprint
13:35:49: [INFO] Add SW46 footprint
13:35:49: [INFO] Add D46 footprint
13:35:49: [INFO] Add SW47 footprint
13:35:49: [INFO] Add D47 footprint
13:35:49: [INFO] Add SW48 footprint
13:35:49: [INFO] Add D48 footprint
13:35:49: [INFO] Add SW49 footprint
13:35:49: [INFO] Add D49 footprint
13:35:49: [INFO] Add SW50 footprint
13:35:49: [INFO] Add D50 footprint
13:35:49: [INFO] Add SW51 footprint
13:35:49: [INFO] Add D51 footprint
13:35:49: [INFO] Add SW52 footprint
13:35:49: [INFO] Add D52 footprint
13:35:49: [INFO] Add SW53 footprint
13:35:49: [INFO] Add D53 footprint
13:35:49: [INFO] Add SW54 footprint
13:35:49: [INFO] Add D54 footprint
13:35:49: [INFO] Add SW55 footprint
13:35:49: [INFO] Add D55 footprint
13:35:49: [INFO] Add SW56 footprint
13:35:49: [INFO] Add D56 footprint
13:35:49: [INFO] Add SW57 footprint
13:35:49: [INFO] Add D57 footprint
13:35:49: [INFO] Add SW58 footprint
13:35:49: [INFO] Add D58 footprint
13:35:49: [INFO] Add SW59 footprint
13:35:49: [INFO] Add D59 footprint
13:35:49: [INFO] Add SW60 footprint
13:35:49: [INFO] Add D60 footprint
13:35:49: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:49: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:49: [INFO] Layout offset: (28575000, 24765000)
13:35:49: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:49: [INFO] Placing additional elements for SW60
13:35:49: [INFO] Placing additional elements for SW59
13:35:49: [INFO] Placing additional elements for SW58
13:35:49: [INFO] Placing additional elements for SW57
13:35:49: [INFO] Placing additional elements for SW56
13:35:49: [INFO] Placing additional elements for SW55
13:35:49: [INFO] Placing additional elements for SW54
13:35:49: [INFO] Placing additional elements for SW53
13:35:49: [INFO] Placing additional elements for SW52
13:35:49: [INFO] Placing additional elements for SW51
13:35:49: [INFO] Placing additional elements for SW50
13:35:49: [INFO] Placing additional elements for SW49
13:35:49: [INFO] Placing additional elements for SW48
13:35:49: [INFO] Placing additional elements for SW47
13:35:49: [INFO] Placing additional elements for SW46
13:35:49: [INFO] Placing additional elements for SW45
13:35:49: [INFO] Placing additional elements for SW44
13:35:49: [INFO] Placing additional elements for SW43
13:35:49: [INFO] Placing additional elements for SW42
13:35:49: [INFO] Placing additional elements for SW41
13:35:49: [INFO] Placing additional elements for SW40
13:35:49: [INFO] Placing additional elements for SW39
13:35:49: [INFO] Placing additional elements for SW38
13:35:49: [INFO] Placing additional elements for SW37
13:35:49: [INFO] Placing additional elements for SW36
13:35:49: [INFO] Placing additional elements for SW35
13:35:49: [INFO] Placing additional elements for SW34
13:35:49: [INFO] Placing additional elements for SW33
13:35:49: [INFO] Placing additional elements for SW32
13:35:49: [INFO] Placing additional elements for SW31
13:35:49: [INFO] Placing additional elements for SW30
13:35:49: [INFO] Placing additional elements for SW29
13:35:49: [INFO] Placing additional elements for SW28
13:35:49: [INFO] Placing additional elements for SW27
13:35:49: [INFO] Placing additional elements for SW26
13:35:49: [INFO] Placing additional elements for SW25
13:35:49: [INFO] Placing additional elements for SW24
13:35:49: [INFO] Placing additional elements for SW23
13:35:49: [INFO] Placing additional elements for SW22
13:35:49: [INFO] Placing additional elements for SW21
13:35:49: [INFO] Placing additional elements for SW20
13:35:49: [INFO] Placing additional elements for SW19
13:35:49: [INFO] Placing additional elements for SW18
13:35:49: [INFO] Placing additional elements for SW17
13:35:49: [INFO] Placing additional elements for SW16
13:35:49: [INFO] Placing additional elements for SW15
13:35:49: [INFO] Placing additional elements for SW14
13:35:49: [INFO] Placing additional elements for SW13
13:35:49: [INFO] Placing additional elements for SW12
13:35:49: [INFO] Placing additional elements for SW11
13:35:49: [INFO] Placing additional elements for SW10
13:35:49: [INFO] Placing additional elements for SW9
13:35:49: [INFO] Placing additional elements for SW8
13:35:49: [INFO] Placing additional elements for SW7
13:35:49: [INFO] Placing additional elements for SW6
13:35:49: [INFO] Placing additional elements for SW5
13:35:49: [INFO] Placing additional elements for SW4
13:35:49: [INFO] Placing additional elements for SW3
13:35:49: [INFO] Placing additional elements for SW2
13:35:49: [INFO] Placing additional elements for SW1
13:35:49: [INFO] Routing SW60 with D60
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW60:S2' at (192737500, 93702500) with pad 'D60:2' at (183317500, 96302500) using coordinate system rotated by 0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(192737500, 93702500), (185917500, 93702500)]
13:35:49: [INFO] Adding track segment (B.Cu): [(185917500, 93702500), (183317500, 96302500)]
13:35:49: [INFO] Routing SW59 with D59
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW59:2' at (189786035, 118784483) with pad 'D59:2' at (195825739, 124165557) using coordinate system rotated by 330.0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(189786035, 118784483), (192356034, 123235852)]
13:35:49: [INFO] Adding track segment (B.Cu): [(192356034, 123235852), (195825739, 124165557)]
13:35:49: [INFO] Routing SW58 with D58
13:35:49: [INFO] Using internal autorouter method
13:35:49: [INFO] Routing pad 'SW58:2' at (213478459, 116591391) with pad 'D58:2' at (217919640, 123352301) using coordinate system rotated by 345.0 degree(s)
13:35:49: [INFO] Adding track segment (B.Cu): [(213478459, 116591391), (214808788, 121556250)]
13:35:49: [INFO] Adding track segment (B.Cu): [(214808788, 121556250), (217919640, 123352301)]
13:35:49: [INFO] Routing SW57 with D57
13:35:49: [INFO] Using internal autorouter method
