=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0CCsAaO4DGscBiAQ1LPAF9twAGTBAZgB0A7V1uhcagJnubaDO4ALqYAUGCgEMaLDgCeBGij4588cIVw7dlapy5jJEaPBVJ54JfAC0KgJxWNRJG-f6cdGtzinlKEjULlq6elRe9L60mDy+-vAICIERMQhx2BAhJGSk0QDuBDypnALsLN6iElJmiFY2cPYoNM4EoWH4qQj0RtUJcCr1BE1OXZg+mdLmga2aObkFMijoY1yT2R2d1N0ZflOIyTwr2-S74N2M8Xht8+TUhYnLqQAs9D7GNQFHwTebnuB8CZ7WoqAAcPzmuTy9yWllSfDWew2HX+fF2-QQKgAbPCetEEejrnN3B4YfAeKpjjhXkkqiYiUQ-qkGOMriCUOD1DcocRFuTKcyoutfijBYTapjmlTwCzadRZYTsjy+XAKUdBYxyqwWUCMXIyYgBfL+FqWLKrsiwv8aTxTeaPnrOQytMqDclpTS2TJnlK3U9qDSGHSpAAnGR0HC1H1Ohq2LHNCGM0UGTBBlPPaJ0dCZzBY6KvPMO-boFAMaXdNM4boZk7Zk6FvrFlA43ip-GYGs4Ph1ru54P9eMtQWVmUd6Isnujhv02rx7pcyFQlXul6xC0iq0Ghir56m7rvRu1VBYg3FAMdvdCpHcper9CX3r0sN2THUCUqZ5DOwUk8LpNWkpMCQHNQRzBwc0xft9klIcTmAk5QJOcCTkgot31UXF4N7RDe2Q3tUMPAgHBmQUsNHHDRzw0cCJnIjKS3VdQVNQF10XBY-Q9TBwLQuj1XPJBmKvLINz0U9GMEowRCAA
13:27:54: [INFO] Add D24 footprint
13:27:54: [INFO] Add SW25 footprint
13:27:54: [INFO] Add D25 footprint
13:27:54: [INFO] Add SW26 footprint
13:27:54: [INFO] Add D26 footprint
13:27:54: [INFO] Add SW27 footprint
13:27:54: [INFO] Add D27 footprint
13:27:54: [INFO] Add SW28 footprint
13:27:54: [INFO] Add D28 footprint
13:27:54: [INFO] Add SW29 footprint
13:27:54: [INFO] Add D29 footprint
13:27:54: [INFO] Add SW30 footprint
13:27:54: [INFO] Add D30 footprint
13:27:54: [INFO] Add SW31 footprint
13:27:54: [INFO] Add D31 footprint
13:27:54: [INFO] Add SW32 footprint
13:27:54: [INFO] Add D32 footprint
13:27:54: [INFO] Add SW33 footprint
13:27:54: [INFO] Add D33 footprint
13:27:54: [INFO] Add SW34 footprint
13:27:55: [INFO] Add D34 footprint
13:27:55: [INFO] Add SW35 footprint
13:27:55: [INFO] Add D35 footprint
13:27:55: [INFO] Add SW36 footprint
13:27:55: [INFO] Add D36 footprint
13:27:55: [INFO] Add SW37 footprint
13:27:55: [INFO] Add D37 footprint
13:27:55: [INFO] Add SW38 footprint
13:27:55: [INFO] Add D38 footprint
13:27:55: [INFO] Add SW39 footprint
13:27:55: [INFO] Add D39 footprint
13:27:55: [INFO] Add SW40 footprint
13:27:55: [INFO] Add D40 footprint
13:27:55: [INFO] Add SW41 footprint
13:27:55: [INFO] Add D41 footprint
13:27:55: [INFO] Add SW42 footprint
13:27:55: [INFO] Add D42 footprint
13:27:55: [INFO] Add SW43 footprint
13:27:55: [INFO] Add D43 footprint
13:27:55: [INFO] Add SW44 footprint
13:27:55: [INFO] Add D44 footprint
