=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:05: [INFO] Add SW42 footprint
13:30:05: [INFO] Add D42 footprint
13:30:05: [INFO] Add SW43 footprint
13:30:05: [INFO] Add D43 footprint
13:30:05: [INFO] Add SW44 footprint
13:30:05: [INFO] Add D44 footprint
13:30:05: [INFO] Add SW45 footprint
13:30:06: [INFO] Add D45 footprint
13:30:06: [INFO] Add ST45 footprint
13:30:06: [INFO] Add SW46 footprint
13:30:06: [INFO] Add D46 footprint
13:30:06: [INFO] Add SW47 footprint
13:30:06: [INFO] Add D47 footprint
13:30:06: [INFO] Add SW48 footprint
13:30:06: [INFO] Add D48 footprint
13:30:06: [INFO] Add SW49 footprint
13:30:06: [INFO] Add D49 footprint
13:30:06: [INFO] Add SW50 footprint
13:30:06: [INFO] Add D50 footprint
13:30:06: [INFO] Add SW51 footprint
13:30:06: [INFO] Add D51 footprint
13:30:06: [INFO] Add SW52 footprint
13:30:06: [INFO] Add D52 footprint
13:30:06: [INFO] Add SW53 footprint
13:30:06: [INFO] Add D53 footprint
13:30:06: [INFO] Add SW54 footprint
13:30:06: [INFO] Add D54 footprint
13:30:06: [INFO] Add SW55 footprint
13:30:06: [INFO] Add D55 footprint
13:30:06: [INFO] Add SW56 footprint
13:30:06: [INFO] Add D56 footprint
13:30:06: [INFO] Add SW57 footprint
13:30:06: [INFO] Add D57 footprint
13:30:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:06: [INFO] Add ST57 footprint
13:30:06: [INFO] Add SW58 footprint
13:30:06: [INFO] Add D58 footprint
13:30:06: [INFO] Add SW59 footprint
13:30:06: [INFO] Add D59 footprint
13:30:06: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:30:06: [INFO] Add ST59 footprint
13:30:06: [INFO] Add SW60 footprint
13:30:06: [INFO] Add D60 footprint
13:30:06: [INFO] Add SW61 footprint
13:30:06: [INFO] Add D61 footprint
13:30:06: [INFO] Add SW62 footprint
13:30:06: [INFO] Add D62 footprint
13:30:07: [INFO] Add SW63 footprint
13:30:07: [INFO] Add D63 footprint
13:30:07: [INFO] Add SW64 footprint
13:30:07: [INFO] Add D64 footprint
13:30:07: [INFO] Add SW65 footprint
13:30:07: [INFO] Add D65 footprint
13:30:07: [INFO] Add SW66 footprint
13:30:07: [INFO] Add D66 footprint
13:30:07: [INFO] Add SW67 footprint
13:30:07: [INFO] Add D67 footprint
13:30:07: [INFO] Add SW68 footprint
13:30:07: [INFO] Add D68 footprint
13:30:07: [INFO] Add SW69 footprint
13:30:07: [INFO] Add D69 footprint
13:30:07: [INFO] Add SW70 footprint
13:30:07: [INFO] Add D70 footprint
13:30:07: [INFO] Add SW71 footprint
13:30:07: [INFO] Add D71 footprint
13:30:07: [INFO] Add SW72 footprint
13:30:07: [INFO] Add D72 footprint
13:30:07: [INFO] Add SW73 footprint
13:30:07: [INFO] Add D73 footprint
13:30:07: [INFO] Add SW74 footprint
13:30:07: [INFO] Add D74 footprint
13:30:07: [INFO] Add SW75 footprint
13:30:07: [INFO] Add D75 footprint
13:30:07: [INFO] Add SW76 footprint
