=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0SCsAaO4DGscBiAQ1LPAF9twsEAmAHQDtnmAGTBca2gZlZZMOXALqYAUGCgFeKAOzUAngTYo61fPHCFcuvZWoc63OBGjwAnCgvoqOWm3BjJZggnlKCAWlU274DkdDThNXeAR3Px5OLmwITSIycmoAdwI6f1pGQXZMINM8Am09fX8ADk4AFicJKXNESpQsHGV4HxQ2W2okTkdnOrcmzzbfZsKtEiTiE3A08Kb-BDzQ8aIS3QMcJdiC+oiF7piZnvoVhO0p6dTBrpwT3jOinXXN8BPq-rCG638FBHzwH8dvEnpcZnM4HQ1LdAZxjHFVsUXr8qit6l4EGUUGUxudJklwYM5DD1PkQRN1vh-OpRLUvu5OhpQVNCfAoXQYbxlgi8ZTXlzgdJwqpeOVejMKhFHhMwdd5sSxaceU85Kq1a9JQ9lRTkdQLKjPkLEB1ccyCXLjTDKtycNbBXt3OgxhDHf59f80Sp5KaJmr1W6jnq4TN3Q9DQAnAiNa04eqNNjqFredwIfU4PGynAug62zDGCNuDixgjoE3DOBeUvoHrpp58-wcLU4DjVYLoGbW9uGuNoRZ5mZLJvgJatraYLt0o2NHHU-vUdRD9Sj8DqCcuI2l0XULnwnBcodc5dctcDeCoJa131+uSsyHe-zWyoCZhLPqT+rni3uBXUa38HJMNs0prLquZPgBQEFm0-zUPUVg2OWXhQhYmSYEgMxYDe0RlBhmAWDU65wU0MI9OhhxYXcmA4Yc+HdgQVhyCiZE4AoFGwtRLF4QRp5wFYHJisx4AVGxFQcUJXF0ZYTJXn6t7sjC+pyM+TCksBFwsl+ObgPqOGSbx0kgSUrz6kgyk0mphDXmx2b8UGSkAeZUEVlCYx7LIFRJm0sgKJeiQsgGtEiEAA
13:32:57: [INFO] Add SW19 footprint
13:32:57: [INFO] Add D19 footprint
13:32:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:57: [INFO] Add ST19 footprint
13:32:57: [INFO] Add SW20 footprint
13:32:57: [INFO] Add D20 footprint
13:32:57: [INFO] Add SW21 footprint
13:32:57: [INFO] Add D21 footprint
13:32:57: [INFO] Add SW22 footprint
13:32:57: [INFO] Add D22 footprint
13:32:57: [INFO] Add SW23 footprint
13:32:57: [INFO] Add D23 footprint
13:32:57: [INFO] Add SW24 footprint
13:32:57: [INFO] Add D24 footprint
13:32:57: [INFO] Add SW25 footprint
13:32:57: [INFO] Add D25 footprint
13:32:57: [INFO] Add SW26 footprint
13:32:57: [INFO] Add D26 footprint
13:32:58: [INFO] Add SW27 footprint
13:32:58: [INFO] Add D27 footprint
13:32:58: [INFO] Add SW28 footprint
13:32:58: [INFO] Add D28 footprint
13:32:58: [INFO] Add SW29 footprint
13:32:58: [INFO] Add D29 footprint
13:32:58: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:58: [INFO] Add ST29 footprint
13:32:58: [INFO] Add SW29a footprint
13:32:58: [INFO] Add SW30 footprint
13:32:58: [INFO] Add D30 footprint
13:32:58: [INFO] Add SW31 footprint
13:32:58: [INFO] Add D31 footprint
13:32:58: [INFO] Add SW32 footprint
13:32:58: [INFO] Add D32 footprint
13:32:58: [INFO] Add SW33 footprint
13:32:58: [INFO] Add D33 footprint
13:32:58: [INFO] Add SW34 footprint
13:32:58: [INFO] Add D34 footprint
13:32:58: [INFO] Add SW35 footprint
13:32:58: [INFO] Add D35 footprint
13:32:58: [INFO] Add SW36 footprint
13:32:58: [INFO] Add D36 footprint
13:32:58: [INFO] Add SW37 footprint
13:32:58: [INFO] Add D37 footprint
13:32:58: [INFO] Add ST37 footprint
13:32:58: [INFO] Add SW37a footprint
13:32:58: [INFO] Add SW38 footprint
13:32:58: [INFO] Add D38 footprint
13:32:58: [INFO] Add SW39 footprint
13:32:58: [INFO] Add D39 footprint
13:32:58: [INFO] Add SW40 footprint
13:32:58: [INFO] Add D40 footprint
13:32:58: [INFO] Add SW41 footprint
13:32:58: [INFO] Add D41 footprint
13:32:59: [INFO] Add SW42 footprint
13:32:59: [INFO] Add D42 footprint
13:32:59: [INFO] Add SW43 footprint
13:32:59: [INFO] Add D43 footprint
13:32:59: [INFO] Add SW44 footprint
13:32:59: [INFO] Add D44 footprint
13:32:59: [INFO] Add SW45 footprint
13:32:59: [INFO] Add D45 footprint
13:32:59: [INFO] Add SW46 footprint
13:32:59: [INFO] Add D46 footprint
13:32:59: [INFO] Add SW47 footprint
13:32:59: [INFO] Add D47 footprint
13:32:59: [INFO] Add SW48 footprint
13:32:59: [INFO] Add D48 footprint
13:32:59: [INFO] Add SW49 footprint
13:32:59: [INFO] Add D49 footprint
13:32:59: [INFO] Add SW50 footprint
13:32:59: [INFO] Add D50 footprint
13:32:59: [INFO] Add SW51 footprint
13:32:59: [INFO] Add D51 footprint
13:32:59: [INFO] Add SW52 footprint
13:32:59: [INFO] Add D52 footprint
13:32:59: [INFO] Add SW53 footprint
13:32:59: [INFO] Add D53 footprint
13:32:59: [INFO] Add SW54 footprint
13:32:59: [INFO] Add D54 footprint
13:32:59: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:59: [INFO] Add ST54 footprint
13:32:59: [INFO] Add SW55 footprint
13:32:59: [INFO] Add D55 footprint
13:32:59: [INFO] Add SW56 footprint
13:32:59: [INFO] Add D56 footprint
13:32:59: [INFO] Add SW57 footprint
13:32:59: [INFO] Add D57 footprint
13:33:00: [INFO] Add SW58 footprint
13:33:00: [INFO] Add D58 footprint
13:33:00: [INFO] Add SW59 footprint
13:33:00: [INFO] Add D59 footprint
13:33:00: [INFO] Add SW60 footprint
13:33:00: [INFO] Add D60 footprint
13:33:00: [INFO] Add SW61 footprint
13:33:00: [INFO] Add D61 footprint
13:33:00: [INFO] Add SW62 footprint
13:33:00: [INFO] Add D62 footprint
13:33:00: [INFO] Add SW63 footprint
13:33:00: [INFO] Add D63 footprint
13:33:00: [INFO] Add SW64 footprint
13:33:00: [INFO] Add D64 footprint
13:33:00: [INFO] Add SW65 footprint
13:33:00: [INFO] Add D65 footprint
13:33:00: [INFO] Add SW66 footprint
13:33:00: [INFO] Add D66 footprint
13:33:00: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:00: [INFO] Add ST66 footprint
13:33:00: [INFO] Add SW66a footprint
13:33:00: [INFO] Add SW67 footprint
13:33:00: [INFO] Add D67 footprint
13:33:00: [INFO] Add SW68 footprint
13:33:00: [INFO] Add D68 footprint
13:33:00: [INFO] Add SW69 footprint
13:33:00: [INFO] Add D69 footprint
13:33:00: [INFO] Add SW70 footprint
13:33:00: [INFO] Add D70 footprint
13:33:00: [INFO] Add SW71 footprint
13:33:00: [INFO] Add D71 footprint
13:33:00: [INFO] Add SW72 footprint
13:33:00: [INFO] Add D72 footprint
13:33:00: [INFO] Add SW73 footprint
13:33:00: [INFO] Add D73 footprint
13:33:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:01: [INFO] Layout offset: (34290000, 24765000)
13:33:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:01: [INFO] Placing additional elements for SW73
13:33:01: [INFO] Placing additional elements for SW72
13:33:01: [INFO] Placing additional elements for SW71
13:33:01: [INFO] Placing additional elements for SW70
13:33:01: [INFO] Placing additional elements for SW69
13:33:01: [INFO] Placing additional elements for SW68
13:33:01: [INFO] Placing additional elements for SW67
13:33:01: [INFO] Placing additional elements for SW66a
13:33:01: [INFO] Placing additional elements for SW66
13:33:01: [INFO] Placing additional elements for SW65
13:33:01: [INFO] Placing additional elements for SW64
13:33:01: [INFO] Placing additional elements for SW63
13:33:01: [INFO] Placing additional elements for SW62
13:33:01: [INFO] Placing additional elements for SW61
13:33:01: [INFO] Placing additional elements for SW60
13:33:01: [INFO] Placing additional elements for SW59
13:33:01: [INFO] Placing additional elements for SW58
13:33:01: [INFO] Placing additional elements for SW57
13:33:01: [INFO] Placing additional elements for SW56
13:33:01: [INFO] Placing additional elements for SW55
13:33:01: [INFO] Placing additional elements for SW54
13:33:01: [INFO] Placing additional elements for SW53
13:33:01: [INFO] Placing additional elements for SW52
13:33:01: [INFO] Placing additional elements for SW51
13:33:01: [INFO] Placing additional elements for SW50
13:33:01: [INFO] Placing additional elements for SW49
13:33:01: [INFO] Placing additional elements for SW48
13:33:01: [INFO] Placing additional elements for SW47
13:33:01: [INFO] Placing additional elements for SW46
13:33:01: [INFO] Placing additional elements for SW45
13:33:01: [INFO] Placing additional elements for SW44
13:33:01: [INFO] Placing additional elements for SW43
13:33:01: [INFO] Placing additional elements for SW42
13:33:01: [INFO] Placing additional elements for SW41
13:33:01: [INFO] Placing additional elements for SW40
13:33:01: [INFO] Placing additional elements for SW39
13:33:01: [INFO] Placing additional elements for SW38
13:33:01: [INFO] Placing additional elements for SW37a
13:33:01: [INFO] Placing additional elements for SW37
13:33:01: [INFO] Placing additional elements for SW36
13:33:01: [INFO] Placing additional elements for SW35
13:33:01: [INFO] Placing additional elements for SW34
13:33:01: [INFO] Placing additional elements for SW33
13:33:01: [INFO] Placing additional elements for SW32
13:33:01: [INFO] Placing additional elements for SW31
13:33:01: [INFO] Placing additional elements for SW30
13:33:01: [INFO] Placing additional elements for SW29a
13:33:01: [INFO] Placing additional elements for SW29
13:33:01: [INFO] Placing additional elements for SW28
13:33:01: [INFO] Placing additional elements for SW27
13:33:01: [INFO] Placing additional elements for SW26
13:33:01: [INFO] Placing additional elements for SW25
13:33:01: [INFO] Placing additional elements for SW24
13:33:01: [INFO] Placing additional elements for SW23
13:33:01: [INFO] Placing additional elements for SW22
13:33:01: [INFO] Placing additional elements for SW21
13:33:01: [INFO] Placing additional elements for SW20
13:33:01: [INFO] Placing additional elements for SW19
13:33:01: [INFO] Placing additional elements for SW18
13:33:01: [INFO] Placing additional elements for SW17
13:33:01: [INFO] Placing additional elements for SW16
13:33:01: [INFO] Placing additional elements for SW15
13:33:01: [INFO] Placing additional elements for SW14
13:33:01: [INFO] Placing additional elements for SW13
13:33:01: [INFO] Placing additional elements for SW12
