=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYC+AaO4loIwGYAdAO2OOx3Ay1wBZSSjzwBdNAKDCljgHYqBPbkgB0AVioBjbuADEPeQvDpM2JJTgQp8WRN16lVJobQJ11PGew1LaUTYBsNnjYAcNgJw2ca4zgq-TDE1pGQBDcIizAHduBGVqfHoyNB8VXDtWDghoeD5MGPgcMXicFPVg7Rk9fRKTM1KLKlLrJtt6tEdW51a3Vs9W73a-IcDMUvxy8C1MMIjw6O4i0VqcOgZiUtTwcbsgrkKxSRCFRSoCuCKEcUwAC1iz0wPr8BvHi6pIN4BaESv4hFoSSI4xY7E4OV4R0qc3mZ0Wwh4yyoANSFRm1V0BkwANG4ABjWxaBahN2hM6hO6hN6hP6hMGyNw-jpozRshO8gW8AQwj+DNWQM2k2mshhoSxePSkwhImewqqGPF4zW9BBmXB3BoUJmos5Fx5SMweBSQIBTNZ8uq4qNOBNuClQgRspCOrhXP18SNSFtqKmIQxUg9dSoRoJ4CNxLDbWDHTMRspkepkdpkfphsZQudMN1RURgYm0dWsclauy3Dy4HOlwN4E1XvWRE9Gcq-uz7qompt9cbezlLvy8N5mE1hC7ZR7foVrrg9jbQ46QO7Gl90KzU6W8Q7dfoi4gleK7dwCAXY7n+dPEY7GTBpdyAgdVzX+7nW4Y1sme+rHePZuX6Mn-dyDd51HH9e1XAC9U-XAX2IN89g-ICcCPEDQSyfZIUwQR4F+Z490HGtjVHFlfx0f8KwHKDO23IMlzAuZW3w4dj2IuUWynGdGOA6iWMzejH047xmPfCjEKo186hLdDyywuAcMfKCYIbNACXNFtEOPFSSNmPiIPXA8R2ozTWLI84eCA+wNKbbVwPIp5RMsySIWk+9cPhBTj2JG89WwXSnwI5DqM8rS2IgsyDws0cgroyJ5PsyLUPVXJDkwlytVIy0gMUo1SXNPtbMg9TRxy4KTLLczj2K6LYV8yisqjU8xNgtpmGYIA
13:33:43: [INFO] Add D22 footprint
13:33:43: [INFO] Add SW23 footprint
13:33:43: [INFO] Add D23 footprint
13:33:43: [INFO] Add SW24 footprint
13:33:43: [INFO] Add D24 footprint
13:33:43: [INFO] Add SW25 footprint
13:33:43: [INFO] Add D25 footprint
13:33:43: [INFO] Add SW26 footprint
13:33:43: [INFO] Add D26 footprint
13:33:43: [INFO] Add SW27 footprint
13:33:43: [INFO] Add D27 footprint
13:33:43: [INFO] Add SW28 footprint
13:33:43: [INFO] Add D28 footprint
13:33:43: [INFO] Add SW29 footprint
13:33:43: [INFO] Add D29 footprint
13:33:43: [INFO] Add SW30 footprint
13:33:43: [INFO] Add D30 footprint
13:33:43: [INFO] Add SW30a footprint
13:33:43: [INFO] Add SW31 footprint
13:33:43: [INFO] Add D31 footprint
13:33:43: [INFO] Add SW32 footprint
13:33:43: [INFO] Add D32 footprint
13:33:43: [INFO] Add SW33 footprint
13:33:43: [INFO] Add D33 footprint
13:33:44: [INFO] Add SW34 footprint
13:33:44: [INFO] Add D34 footprint
13:33:44: [INFO] Add SW35 footprint
13:33:44: [INFO] Add D35 footprint
13:33:44: [INFO] Add SW36 footprint
13:33:44: [INFO] Add D36 footprint
13:33:44: [INFO] Add SW37 footprint
13:33:44: [INFO] Add D37 footprint
13:33:44: [INFO] Add SW38 footprint
13:33:44: [INFO] Add D38 footprint
13:33:44: [INFO] Add SW39 footprint
13:33:44: [INFO] Add D39 footprint
13:33:44: [INFO] Add SW40 footprint
13:33:44: [INFO] Add D40 footprint
13:33:44: [INFO] Add SW41 footprint
13:33:44: [INFO] Add D41 footprint
13:33:44: [INFO] Add SW42 footprint
13:33:44: [INFO] Add D42 footprint
13:33:44: [INFO] Add SW43 footprint
13:33:44: [INFO] Add D43 footprint
13:33:44: [INFO] Add SW44 footprint
13:33:44: [INFO] Add D44 footprint
13:33:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:44: [INFO] Add ST44 footprint
13:33:44: [INFO] Add SW44a footprint
13:33:44: [INFO] Add ST44a footprint
13:33:44: [INFO] Add SW45 footprint
13:33:44: [INFO] Add D45 footprint
13:33:44: [INFO] Add SW46 footprint
13:33:44: [INFO] Add D46 footprint
13:33:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:44: [INFO] Add ST46 footprint
13:33:44: [INFO] Add SW46a footprint
13:33:44: [INFO] Add SW47 footprint
13:33:44: [INFO] Add D47 footprint
13:33:44: [INFO] Add SW48 footprint
13:33:45: [INFO] Add D48 footprint
13:33:45: [INFO] Add SW49 footprint
13:33:45: [INFO] Add D49 footprint
13:33:45: [INFO] Add SW50 footprint
13:33:45: [INFO] Add D50 footprint
13:33:45: [INFO] Add SW51 footprint
13:33:45: [INFO] Add D51 footprint
13:33:45: [INFO] Add SW52 footprint
13:33:45: [INFO] Add D52 footprint
13:33:45: [INFO] Add SW53 footprint
13:33:45: [INFO] Add D53 footprint
13:33:45: [INFO] Add SW54 footprint
13:33:45: [INFO] Add D54 footprint
13:33:45: [INFO] Add SW55 footprint
