=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:24:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsBWANHcBPWikBGTbAY33AGIB2Wu8AXy3AQwXCwmnkIDYkATCXDl4VAIaSpjZq2LgAuhgBQYKPkJJqwvPAC0yABzDR2SqQuWO2AGYam2OdZYYB1rvgCcSXmgcvCN1kMQgBmdxEKSilpZgB3fAF-ORRFFTVuAlDmXTgDImE7eFD-QjYIzL4kND9mMvklVQ8eapz8fONmIrgy7ASW2ux6iNMqSytS1wqvAsnCQmd6oKGQ8M5IsWiY8Wdu7L6NarnUxoz8ZGI2-QvB8AFy9cr+Y397hvTmntQrvKNCjXih20rxCIyi4wsMmw92Wn28KBB82cb1hGzMdHogPgAkEtze4VOn00QmYoy2MWc-TgOKE-myC3WZIh5DpU0e+EMWlu9IZ2HpqLJ2x2WK+wOY9LWcAgZIxtCh4HpJw+6haJLIUSFlMOtOYKAeUvAVOJtz1vKJmlYtnw+0N2pNIQFUVl1F29l1q2cptS7veTXAACcvMx-ZkUK1sP7cjjPMxMnoLT89DjeKTwRD5axJS5vY4MGhnKxeAWMC7CSrfj5JlmyjnwGV83UMEWy3HkDroRgs-da-cGx3m8rMm3uZ3nNla9k+wqm2k-UPw2iJNstQN-HrHZtmSvqbi16Oy4H9DGI5VhJHrQu42hcYnQqhbqxDMXPMXCOxgkiW+1r75Ji7G0+jYvo2b6zmc+jXugIL-h2gEdsBHagV+EFIC84olmOGBwdOCHTkhg7fqhwhUjiYrYKa74GoKy4ipo9qfgoQA
14:24:17: [INFO] Adding track segment (B.Cu): [(284480000, 98167500), (287020000, 100707500)]
14:24:17: [INFO] Routing SW57 with D57
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW57:2' at (263399207, 94921653) with pad 'D57:2' at (267109352, 102109755) using coordinate system rotated by 351.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(263399207, 94921653), (264203279, 99998370)]
14:24:17: [INFO] Adding track segment (B.Cu): [(264203279, 99998370), (267109352, 102109755)]
14:24:17: [INFO] Routing SW56 with D56
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW56:2' at (244583744, 97901730) with pad 'D56:2' at (248293889, 105089832) using coordinate system rotated by 351.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(244583744, 97901730), (245387816, 102978446)]
14:24:17: [INFO] Adding track segment (B.Cu): [(245387816, 102978446), (248293889, 105089832)]
14:24:17: [INFO] Routing SW55 with D55
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW55:2' at (225768281, 100881806) with pad 'D55:2' at (229478426, 108069908) using coordinate system rotated by 351.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(225768281, 100881806), (226572353, 105958522)]
14:24:17: [INFO] Adding track segment (B.Cu): [(226572353, 105958522), (229478426, 108069908)]
14:24:17: [INFO] Routing SW54 with D54
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW54:2' at (206952818, 103861883) with pad 'D54:2' at (210662963, 111049985) using coordinate system rotated by 351.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(206952818, 103861883), (207756890, 108938599)]
14:24:17: [INFO] Adding track segment (B.Cu): [(207756890, 108938599), (210662963, 111049985)]
14:24:17: [INFO] Routing SW53 with D53
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW53:2' at (176906832, 104451591) with pad 'D53:2' at (178214143, 112434380) using coordinate system rotated by 9.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(176906832, 104451591), (176102758, 109528309)]
14:24:17: [INFO] Adding track segment (B.Cu): [(176102758, 109528309), (178214143, 112434380)]
14:24:17: [INFO] Routing SW52 with D52
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW52:2' at (158091369, 101471514) with pad 'D52:2' at (159398680, 109454303) using coordinate system rotated by 9.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(158091369, 101471514), (157287295, 106548230)]
