=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDMA2ANHcBPWjUAOLcAY33AGIB2Wu8AXxIQwXCwnPitN78eYYAjOAC6GAFBgo+IUKQAWEnngBaZAE4NTbCyFsOZCpQCGZ8wN3CRgoQCYxk6dHjI7dkgHdZSOwFYdcCFWdjhOYz5+QOCRcSkIFzg5JGoNZXx1JC1o4QMwo24aOlpQ8G94eWoAkhiHOOd8ZARqEi5sU3MzUvKklOrsDzzwwsjeS3APWKcE2XkFFHS1TW0SSbyJ61Dh9s6urx9-QMm66ZlXJCEW7B75Q5IFobKD-vAFqfizpLskBDQ07BUcEyWn2FV8LzeNnyN3BgTeJw+ACd8MRsIlvn5FkCFIoPNg2jxRuMWA5BChSiwFBSMH5HB90X0cqTsMFyTUMFT2bT6jN4ChYasMMyNmyBhzSh5uadEkp8cZdiZus84RgUAAdAB2ms1LEeBMoo3IoLgdhVfm1Wo1urpDXgstwjXBxtN91VFp1wi2BR2uyVYLu2AW5stHve0mRalRn2oFyxqn5KAWcpGRMCLDQ1Oo1MI1I0Nt5cBjKBewQz7Kz7Jz7LzPM+aCQhBeHjLYorYqrYpr0vw9cbzoFgYwaHdGuCevlvuNtwhGEII7H+brDcxAMd-inA9eQ-nnsM+sNfpNm4Wc5Do89olEQA
13:28:43: [INFO] Routing pad 'SW43a:2' at (178907979, 98380032) with pad 'D43:2' at (191924412, 104306166) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Routing SW43 with D43
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW43:2' at (188340282, 97054408) with pad 'D43:2' at (191924412, 104306166) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(188340282, 97054408), (189055631, 102144384)]
13:28:43: [INFO] Adding track segment (B.Cu): [(189055631, 102144384), (191924412, 104306166)]
13:28:43: [INFO] Routing SW42a with D42
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW42a:2' at (140637933, 100249577) with pad 'D42:2' at (135010136, 107214117) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Routing SW42 with D42
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW42:2' at (133563705, 99255359) with pad 'D42:2' at (135010136, 107214117) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Routing SW41a with D41
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW41a:2' at (109982947, 95941299) with pad 'D41:2' at (104355151, 102905840) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Routing SW41 with D41
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW41:2' at (102908720, 94947082) with pad 'D41:2' at (104355151, 102905840) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Routing SW40 with D40
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW40:2' at (63214250, 90741500) with pad 'D40:2' at (65754250, 98421500) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(63214250, 90741500), (63214250, 95881500)]
13:28:43: [INFO] Adding track segment (B.Cu): [(63214250, 95881500), (65754250, 98421500)]
13:28:43: [INFO] Routing SW39 with D39
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW39:2' at (39401750, 90741500) with pad 'D39:2' at (41941750, 98421500) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(39401750, 90741500), (39401750, 95881500)]
13:28:43: [INFO] Adding track segment (B.Cu): [(39401750, 95881500), (41941750, 98421500)]
13:28:43: [INFO] Routing SW38 with D38
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW38:2' at (292004750, 71691500) with pad 'D38:2' at (294544750, 79371500) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(292004750, 71691500), (292004750, 76831500)]
13:28:43: [INFO] Adding track segment (B.Cu): [(292004750, 76831500), (294544750, 79371500)]
13:28:43: [INFO] Routing SW37 with D37
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW37:2' at (270573500, 71691500) with pad 'D37:2' at (273113500, 79371500) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(270573500, 71691500), (270573500, 76831500)]
13:28:43: [INFO] Adding track segment (B.Cu): [(270573500, 76831500), (273113500, 79371500)]
13:28:43: [INFO] Routing SW36 with D36
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW36:2' at (251523500, 71691500) with pad 'D36:2' at (254063500, 79371500) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(251523500, 71691500), (251523500, 76831500)]
13:28:43: [INFO] Adding track segment (B.Cu): [(251523500, 76831500), (254063500, 79371500)]
13:28:43: [INFO] Routing SW35 with D35
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW35:2' at (230492476, 71893088) with pad 'D35:2' at (234076606, 79144846) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(230492476, 71893088), (231207825, 76983064)]
13:28:43: [INFO] Adding track segment (B.Cu): [(231207825, 76983064), (234076606, 79144846)]
13:28:43: [INFO] Routing SW34 with D34
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW34:2' at (211627869, 74544336) with pad 'D34:2' at (215211999, 81796094) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(211627869, 74544336), (212343217, 79634312)]
13:28:43: [INFO] Adding track segment (B.Cu): [(212343217, 79634312), (215211999, 81796094)]
13:28:43: [INFO] Routing SW33 with D33
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW33:2' at (192763262, 77195583) with pad 'D33:2' at (196347392, 84447341) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(192763262, 77195583), (193478610, 82285559)]
13:28:43: [INFO] Adding track segment (B.Cu): [(193478610, 82285559), (196347392, 84447341)]
13:28:43: [INFO] Routing SW32 with D32
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW32:2' at (173898656, 79846831) with pad 'D32:2' at (177482786, 87098589) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(173898656, 79846831), (174614005, 84936807)]
13:28:43: [INFO] Adding track segment (B.Cu): [(174614005, 84936807), (177482786, 87098589)]
13:28:43: [INFO] Routing SW31 with D31
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW31:2' at (145647256, 81716376) with pad 'D31:2' at (147093687, 89675134) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(145647256, 81716376), (144931905, 86806354)]
13:28:43: [INFO] Adding track segment (B.Cu): [(144931905, 86806354), (147093687, 89675134)]
13:28:43: [INFO] Routing SW30 with D30
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW30:2' at (126782650, 79065128) with pad 'D30:2' at (128229081, 87023886) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(126782650, 79065128), (126067300, 84155105)]
13:28:43: [INFO] Adding track segment (B.Cu): [(126067300, 84155105), (128229081, 87023886)]
13:28:43: [INFO] Routing SW29 with D29
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW29:2' at (107918043, 76413881) with pad 'D29:2' at (109364474, 84372639) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(107918043, 76413881), (107202692, 81503858)]
13:28:43: [INFO] Adding track segment (B.Cu): [(107202692, 81503858), (109364474, 84372639)]
13:28:43: [INFO] Routing SW28 with D28
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW28:2' at (89053436, 73762633) with pad 'D28:2' at (90499867, 81721391) using coordinate system rotated by 8.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(89053436, 73762633), (88338085, 78852610)]
13:28:43: [INFO] Adding track segment (B.Cu): [(88338085, 78852610), (90499867, 81721391)]
13:28:43: [INFO] Routing SW27 with D27
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW27:2' at (68453000, 71501000) with pad 'D27:2' at (70993000, 79181000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(68453000, 71501000), (68453000, 76641000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(68453000, 76641000), (70993000, 79181000)]
13:28:43: [INFO] Routing SW26 with D26
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW26:2' at (42259250, 71501000) with pad 'D26:2' at (44799250, 79181000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(42259250, 71501000), (42259250, 76641000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(42259250, 76641000), (44799250, 79181000)]
13:28:43: [INFO] Routing SW25 with D25
13:28:43: [INFO] Using internal autorouter method
