=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQJybgDGe4AxAOw23gC+xC6C4AuugFBhR4DMSKsVzwAtMgIYsZeJRLyFDYgEZ0y8JgjR4ADiQAWFIyyqAbOy49tcZYOF5xhIypYaszdZt7xlyQ8fBmKjcIGSwKAEMo6LdwAHc8ACYA1SoAHQA7TMzmVi9rWz5nE3R0rPKPWIwy7IzKjm4tPGQi+zFkZQDE1warPGU+NrhHSWIwuQV5JSxu816mn1QhkalSckjoqNiExeLwQby4UPXJqa61EO8bZAQAwfNibuCvcY3N7f7UO9KLRquO1YiYYdAL6HqWBY2JCDLBAkbEHZQqh7DCHY6yCinMigi75PAEaF7MEPLAYEno8K0OgIpJIRJEn7zK62BCrV6bLY0+CJOl7IRotYYrHTcCmXFHK56HQBMUk8BCcmC8IciIfRbImWlWqZVSHeVa8o61x4+DIVaInka4himrlVTqJkFJCsrlQvY6Y0SgoCNCu2zuxkQ8AAJ363Sw1hQzsBDlMzrGJ1OIuYiViqlTTHQfDTWd+fXg+iQpnOGawg1L4G62eIg2zjrwhZ0DIrGArYOrpNz9fgUb4morQgrYo7+rrQescbFWAtAQ9iW1GW6AvZHLVUPps6zC6XechUZdsIcEnNnwDDvHeEnQxabMTkzXPI3xDn2-FFMoKpFHr4r-Pf1DYjKOGkoGDGYg8h60h3ooKToPosTMCgOZIZmcwXro0bnPBNZwbE3QoWW6BId2cB6MkxBgthnZUeAYIEeAGDEehcBUIIexijRQg0WK9FCExfzWKxyKupaAbwSRvioGBwJOAmGKfn6XzPkR7BsEAA
13:33:10: [INFO] Add D43 footprint
13:33:10: [INFO] Add SW44 footprint
13:33:10: [INFO] Add D44 footprint
13:33:10: [INFO] Add SW45 footprint
13:33:10: [INFO] Add D45 footprint
13:33:10: [INFO] Add SW46 footprint
13:33:10: [INFO] Add D46 footprint
13:33:10: [INFO] Add SW47 footprint
13:33:10: [INFO] Add D47 footprint
13:33:10: [INFO] Add SW48 footprint
13:33:10: [INFO] Add D48 footprint
13:33:10: [INFO] Add SW49 footprint
13:33:10: [INFO] Add D49 footprint
13:33:10: [INFO] Add SW50 footprint
13:33:10: [INFO] Add D50 footprint
13:33:10: [INFO] Add SW51 footprint
13:33:10: [INFO] Add D51 footprint
13:33:10: [INFO] Add SW52 footprint
13:33:10: [INFO] Add D52 footprint
13:33:11: [INFO] Add SW52a footprint
13:33:11: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:11: [INFO] Add ST52a footprint
13:33:11: [INFO] Add SW53 footprint
13:33:11: [INFO] Add D53 footprint
13:33:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:11: [INFO] Add ST53 footprint
13:33:11: [INFO] Add SW54 footprint
13:33:11: [INFO] Add D54 footprint
13:33:11: [INFO] Add SW55 footprint
13:33:11: [INFO] Add D55 footprint
13:33:11: [INFO] Add SW56 footprint
13:33:11: [INFO] Add D56 footprint
13:33:11: [INFO] Add SW57 footprint
13:33:11: [INFO] Add D57 footprint
13:33:11: [INFO] Add SW58 footprint
13:33:11: [INFO] Add D58 footprint
13:33:11: [INFO] Add SW59 footprint
13:33:11: [INFO] Add D59 footprint
13:33:11: [INFO] Add SW60 footprint
13:33:11: [INFO] Add D60 footprint
