=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:30: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMJp5KkF1Md5w8sfeyKAjDTqZqAkeCHiK1BCIa5mrCh3wBDDZv6YhcmWgDMEoUf0AWeVEUs22XF159yOtBf0pjaD-oBslxnACSAS2qlyaWs5UaAQS1AAccWgAnEkCtAC6aABQYFbwAvFRQrGCaIllqWXp4Fm5CvDIofbcjjhRCMIUBl2YndKYPQPgnXqDaGMjhhI9pn2uMwsUnd7jq+A9fvR2nHgRGhIA7rgIxWg+ADoAdtfXnbTbAczNu8QkHTGWYXv72lMV8yq8xqj2synYLTa7WW51uNyu-S+LX2aj+Qku8LuaHEdTyASaFGOBVQUTMvQg3yhf3QD0wZOG6GGZMm6EmZLm4HQHLJbkw6F54DJ63Q6zJWzgFORv0JuCCKCi6AxcOotIacGeKkhbT+PVK4wBGxSSN2KIkAAsTqTsZQ4dceqr8oEbJrXm89eAiU7weALY1CXJibYzQHAhRICGALRKeUUHywzFXMT+MEvfBUqJDG0Joa1HJ4k6oGXEkJROO08AEXrgOPDSvDOOTSuTOMcyscuMCysCuPrSurSWut5HAusUvx5Xkx0aiG7dMUMnuskGslAtVBUcUStK+FJ0GBl3qX5W9K2q453EQT3rmOYeI0U9SY1p7VRZL3hOPvfq50zw8RYeNDYUR3lmcJCA6lIvhQd7DG+wx3pMb6THeHJvhyd4Cm+Ap3usb79jsf5aEWToltB5zJvuv4OFBfKfBQ6AGugq4EVwbrur6iBjieCZkg6Tw-ixPz-gq1qnvSub1I6Ag+MEtgAJ64FGsmvp8F6OgSmAKfASkbpglYEKeNISHeBkJkZm7lIZk6QY4AFwD4wGWWZ1lSsJFnJFZ5Z3h5znlnWoHwuZt6ib5FFwAYhZUa0tljgacbMQE14Hqxbp-DWAXXOJamJSgskUFpcBKSEyVCZEFBvgab5AuAcGZHmaoaR6spARZplwoylhXi1wVtYF2Kdc1ukVk57X9dsNl8MRMlDXe8RWQMA6EQcjk+aNtYhWtxkbX1OL1epkVNcSQ36VZYyXoNN7gCZp0DUdl2VnNzlnYJVJTd1V0jX1z3fKaxFyitN3bF1l0wRlVyshJ+aAbYwNRCdzlzOdgZw591xck+1G2cRBCOY9o2I4Jv2YLDZGrX1BMk8F3H45DDUHZTw29WjSwSodTr3aj4Ms4tmOTcTuA42ReN9byPOlctpNWZ223M9hMtcxYGQZEAA
13:32:35: [INFO] Add SW53 footprint
13:32:35: [INFO] Add D53 footprint
13:32:35: [INFO] Add SW54 footprint
13:32:35: [INFO] Add D54 footprint
13:32:35: [INFO] Add SW55 footprint
13:32:35: [INFO] Add D55 footprint
13:32:35: [INFO] Add ST55 footprint
13:32:35: [INFO] Add SW55a footprint
13:32:35: [INFO] Add SW56 footprint
13:32:35: [INFO] Add D56 footprint
13:32:35: [INFO] Add SW57 footprint
13:32:35: [INFO] Add D57 footprint
13:32:35: [INFO] Add SW58 footprint
13:32:35: [INFO] Add D58 footprint
13:32:35: [INFO] Add SW59 footprint
13:32:35: [INFO] Add D59 footprint
13:32:35: [INFO] Add SW60 footprint
13:32:35: [INFO] Add D60 footprint
13:32:35: [INFO] Add SW61 footprint
13:32:35: [INFO] Add D61 footprint
13:32:35: [INFO] Add SW62 footprint
13:32:36: [INFO] Add D62 footprint
13:32:36: [INFO] Add SW63 footprint
13:32:36: [INFO] Add D63 footprint
13:32:36: [INFO] Add SW64 footprint
13:32:36: [INFO] Add D64 footprint
13:32:36: [INFO] Add SW65 footprint
13:32:36: [INFO] Add D65 footprint
13:32:36: [INFO] Add SW66 footprint
13:32:36: [INFO] Add D66 footprint
13:32:36: [INFO] Add SW67 footprint
13:32:36: [INFO] Add D67 footprint
13:32:36: [INFO] Add SW68 footprint
13:32:36: [INFO] Add D68 footprint
13:32:36: [INFO] Add SW69 footprint
13:32:36: [INFO] Add D69 footprint
13:32:36: [INFO] Add SW70 footprint
13:32:36: [INFO] Add D70 footprint
13:32:36: [INFO] Add SW71 footprint
13:32:36: [INFO] Add D71 footprint
13:32:36: [INFO] Add SW72 footprint
13:32:36: [INFO] Add D72 footprint
13:32:36: [INFO] Add SW73 footprint
13:32:36: [INFO] Add D73 footprint
13:32:36: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:36: [INFO] Add ST73 footprint
13:32:36: [INFO] Add SW73a footprint
13:32:36: [INFO] Add ST73a footprint
13:32:36: [INFO] Add SW74 footprint
13:32:36: [INFO] Add D74 footprint
13:32:36: [INFO] Add SW75 footprint
13:32:36: [INFO] Add D75 footprint
13:32:36: [INFO] Add SW76 footprint
13:32:36: [INFO] Add D76 footprint
13:32:36: [INFO] Add ST76 footprint
13:32:36: [INFO] Add SW76a footprint
13:32:36: [INFO] Add SW77 footprint
13:32:36: [INFO] Add D77 footprint
13:32:36: [INFO] Add SW78 footprint
13:32:37: [INFO] Add D78 footprint
13:32:37: [INFO] Add SW79 footprint
13:32:37: [INFO] Add D79 footprint
13:32:37: [INFO] Add SW80 footprint
13:32:37: [INFO] Add D80 footprint
13:32:37: [INFO] Add SW81 footprint
13:32:37: [INFO] Add D81 footprint
13:32:37: [INFO] Add SW82 footprint
13:32:37: [INFO] Add D82 footprint
13:32:37: [INFO] Add SW83 footprint
13:32:37: [INFO] Add D83 footprint
13:32:37: [INFO] Add SW84 footprint
13:32:37: [INFO] Add D84 footprint
13:32:37: [INFO] Add SW84a footprint
13:32:37: [INFO] Add SW84b footprint
13:32:37: [INFO] Add SW85 footprint
13:32:37: [INFO] Add D85 footprint
13:32:37: [INFO] Add SW85a footprint
13:32:37: [INFO] Add SW85b footprint
13:32:37: [INFO] Add SW86 footprint
13:32:37: [INFO] Add D86 footprint
13:32:37: [INFO] Add SW87 footprint
13:32:37: [INFO] Add D87 footprint
13:32:37: [INFO] Add SW88 footprint
13:32:37: [INFO] Add D88 footprint
13:32:37: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:37: [INFO] Add ST88 footprint
13:32:37: [INFO] Add SW88a footprint
13:32:37: [INFO] Add SW89 footprint
13:32:37: [INFO] Add D89 footprint
13:32:37: [INFO] Add SW90 footprint
13:32:37: [INFO] Add D90 footprint
13:32:37: [INFO] Add SW91 footprint
13:32:37: [INFO] Add D91 footprint
13:32:37: [INFO] Add SW92 footprint
13:32:37: [INFO] Add D92 footprint
13:32:37: [INFO] Add SW93 footprint
13:32:37: [INFO] Add D93 footprint
13:32:38: [INFO] Add SW94 footprint
13:32:38: [INFO] Add D94 footprint
13:32:38: [INFO] Add SW95 footprint
13:32:38: [INFO] Add D95 footprint
13:32:38: [INFO] Add SW95a footprint
13:32:38: [INFO] Add SW96 footprint
13:32:38: [INFO] Add D96 footprint
13:32:38: [INFO] Add ST96 footprint
13:32:38: [INFO] Add SW96a footprint
13:32:38: [INFO] Add ST96a footprint
13:32:38: [INFO] Add SW96b footprint
13:32:38: [INFO] Add ST96b footprint
13:32:38: [INFO] Add SW97 footprint
13:32:38: [INFO] Add D97 footprint
