=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQHYCsAaO4Ces4AGZdAX23EMyXAF1MAoMKA4hLHfeAWmIA4yFKoXBDqouBGjwExAGwUA7gCYCKQTioJV9JlNbJl5HAkwiKphBP0zihY+EtWL1HY2bSihjuEVrvDspmEuBBzpIs8ACcyADMGqHU4RAq-soJYW56kV7oPn4yaAmx4tg2iMT5qoXpDiXadO4QAE6eqCQUzVxwsR04ngAscRTdbMVJjdnNaj6tBEE4XawUnpUjBgMOVKpisSFUA-uY6Edykx4GAg6mOyaYe2XgAHYEAC7NAK4ApteYhy4nFxnXQXQqbChBW6JB44IL-WHHc7lFADJRpcZQkowlLoup-EIlE4gloEbjsTqeBC9HyebhyZCmTgGQgJKioI58I5RI6yJE5bjoZBXFzsx4veDvb6-TkubkuXnE-n0jKYUUImUIuUIhVNfntFl4tU4mrjDXgEpa83UES0WhAA
13:32:02: [INFO] Add SW19 footprint
13:32:02: [INFO] Add D19 footprint
13:32:02: [INFO] Add SW20 footprint
13:32:02: [INFO] Add D20 footprint
13:32:02: [INFO] Add SW21 footprint
13:32:02: [INFO] Add D21 footprint
13:32:02: [INFO] Add SW22 footprint
13:32:02: [INFO] Add D22 footprint
13:32:02: [INFO] Add SW23 footprint
13:32:02: [INFO] Add D23 footprint
13:32:02: [INFO] Add SW24 footprint
13:32:02: [INFO] Add D24 footprint
13:32:02: [INFO] Add SW25 footprint
13:32:02: [INFO] Add D25 footprint
13:32:02: [INFO] Add SW26 footprint
13:32:02: [INFO] Add D26 footprint
13:32:02: [INFO] Add SW27 footprint
13:32:02: [INFO] Add D27 footprint
13:32:02: [INFO] Add SW28 footprint
13:32:02: [INFO] Add D28 footprint
13:32:03: [INFO] Add SW29 footprint
13:32:03: [INFO] Add D29 footprint
13:32:03: [INFO] Add SW30 footprint
13:32:03: [INFO] Add D30 footprint
13:32:03: [INFO] Add SW31 footprint
13:32:03: [INFO] Add D31 footprint
13:32:03: [INFO] Add SW32 footprint
13:32:03: [INFO] Add D32 footprint
13:32:03: [INFO] Add SW33 footprint
13:32:03: [INFO] Add D33 footprint
13:32:03: [INFO] Add SW34 footprint
13:32:03: [INFO] Add D34 footprint
13:32:03: [INFO] Add SW35 footprint
13:32:03: [INFO] Add D35 footprint
13:32:03: [INFO] Add SW36 footprint
13:32:03: [INFO] Add D36 footprint
13:32:03: [INFO] Add SW37 footprint
13:32:03: [INFO] Add D37 footprint
13:32:03: [INFO] Add SW38 footprint
13:32:03: [INFO] Add D38 footprint
13:32:03: [INFO] Add SW39 footprint
13:32:03: [INFO] Add D39 footprint
13:32:03: [INFO] Add SW40 footprint
13:32:03: [INFO] Add D40 footprint
13:32:03: [INFO] Add SW41 footprint
13:32:03: [INFO] Add D41 footprint
13:32:03: [INFO] Add SW42 footprint
13:32:03: [INFO] Add D42 footprint
13:32:03: [INFO] Add SW43 footprint
13:32:03: [INFO] Add D43 footprint
13:32:03: [INFO] Add SW44 footprint
13:32:03: [INFO] Add D44 footprint
13:32:03: [INFO] Add SW45 footprint
13:32:03: [INFO] Add D45 footprint
13:32:04: [INFO] Add SW46 footprint
13:32:04: [INFO] Add D46 footprint
13:32:04: [INFO] Add SW47 footprint
13:32:04: [INFO] Add D47 footprint
13:32:04: [INFO] Add SW48 footprint
13:32:04: [INFO] Add D48 footprint
13:32:04: [INFO] Add SW49 footprint
13:32:04: [INFO] Add D49 footprint
13:32:04: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:04: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:04: [INFO] Layout offset: (33337500, 38100000)
13:32:04: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:04: [INFO] Placing additional elements for SW49
13:32:04: [INFO] Placing additional elements for SW48
13:32:04: [INFO] Placing additional elements for SW47
13:32:04: [INFO] Placing additional elements for SW46
13:32:04: [INFO] Placing additional elements for SW45
13:32:04: [INFO] Placing additional elements for SW44
13:32:04: [INFO] Placing additional elements for SW43
13:32:04: [INFO] Placing additional elements for SW42
13:32:04: [INFO] Placing additional elements for SW41
13:32:04: [INFO] Placing additional elements for SW40
13:32:04: [INFO] Placing additional elements for SW39
13:32:04: [INFO] Placing additional elements for SW38
13:32:04: [INFO] Placing additional elements for SW37
13:32:04: [INFO] Placing additional elements for SW36
13:32:04: [INFO] Placing additional elements for SW35
13:32:04: [INFO] Placing additional elements for SW34
13:32:04: [INFO] Placing additional elements for SW33
13:32:04: [INFO] Placing additional elements for SW32
13:32:04: [INFO] Placing additional elements for SW31
13:32:04: [INFO] Placing additional elements for SW30
13:32:04: [INFO] Placing additional elements for SW29
13:32:04: [INFO] Placing additional elements for SW28
13:32:04: [INFO] Placing additional elements for SW27
13:32:04: [INFO] Placing additional elements for SW26
13:32:04: [INFO] Placing additional elements for SW25
13:32:04: [INFO] Placing additional elements for SW24
13:32:04: [INFO] Placing additional elements for SW23
13:32:04: [INFO] Placing additional elements for SW22
13:32:04: [INFO] Placing additional elements for SW21
13:32:04: [INFO] Placing additional elements for SW20
13:32:04: [INFO] Placing additional elements for SW19
13:32:04: [INFO] Placing additional elements for SW18
13:32:04: [INFO] Placing additional elements for SW17
13:32:04: [INFO] Placing additional elements for SW16
13:32:04: [INFO] Placing additional elements for SW15
13:32:04: [INFO] Placing additional elements for SW14
13:32:04: [INFO] Placing additional elements for SW13
13:32:04: [INFO] Placing additional elements for SW12
13:32:04: [INFO] Placing additional elements for SW11
13:32:04: [INFO] Placing additional elements for SW10
13:32:04: [INFO] Placing additional elements for SW9
13:32:04: [INFO] Placing additional elements for SW8
13:32:04: [INFO] Placing additional elements for SW7
13:32:04: [INFO] Placing additional elements for SW6
