=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:38:37: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0BmANHcBPWcAGFATi3AGN9wBiAQ3ofAF8yAmDJcAXQwCgwo+NCiRk88ALRFiAVjKV4NcspXMyBDAnBYI0eAA4UAFhktsCDDO58BexCLH4pJOdgXZqSL97XYNBbTgIdyUVZV9wCwCdQXgEIhMzcA0ANkDIjDT1Dmt+XXxkFBTHSSILNyo6BnoIoxyePNjETGxxOGdZeUqw8KT2KwbbApRXXCdpUZCq6vSAd2HTNgxooIpunojMFfy4ogIkzCslrNWp6pqyebiRg8zcobjUUlbxlAQk4s5BnfsWsdKSJdhkhFtg6ts1opqD1KEk5BC7MR0KDwHUjtg5OjgpVvD4gfBWChWCi6mlvk0ECgCJNKudaHN8ITiR9loFsVCYRFRAj8IZ9ElREZ0sUsZCPHSGdcQQLLPcfsgSu0iNKyKIyTZ5VTRm1nMT8fYUfpWeS7Ahii8ASrsEaTuBSLajV8NeAAE4FdjYOwyLWKiQpIk0jkbJIWLTZVjpCwR7JoOVNIxFPqadKYMPYdjR7CYCMm-AJ-Qk5NkORp1EYTPgOQ551e9As0uiUvFCuiauNOz+83gK5wVhJI2Z9ni86S+zMsikNsPODe6m+ib6ymG5Pkt2SBAepqGEy+yk7ipBsIRCyx7JCsgWc9+WW5gxapOnrMYR-gdhX8CYIW3uCGPtkOovnIL51O+chfjWvIiCixQvqIL7FOB7b4KgIL6oSVp2s+camkQMjaq8nQHsOMyLjcE4YF+XBAA
14:38:42: [INFO] Routing pad 'SW60:2' at (116454949, 133794657) with pad 'D60:2' at (117342682, 141834925) using coordinate system rotated by 12.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(116454949, 133794657), (115386282, 138822335)]
14:38:42: [INFO] Adding track segment (B.Cu): [(115386282, 138822335), (117342682, 141834925)]
14:38:42: [INFO] Routing SW59 with D59
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW59:2' at (59690000, 130175000) with pad 'D59:2' at (62230000, 137855000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(59690000, 130175000), (59690000, 135315000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(59690000, 135315000), (62230000, 137855000)]
14:38:42: [INFO] Routing SW58 with D58
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW58:2' at (358775000, 115887500) with pad 'D58:2' at (361315000, 123567500) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(358775000, 115887500), (358775000, 121027500)]
14:38:42: [INFO] Adding track segment (B.Cu): [(358775000, 121027500), (361315000, 123567500)]
14:38:42: [INFO] Routing SW57 with D57
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW57:2' at (329723750, 111125000) with pad 'D57:2' at (332263750, 118805000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(329723750, 111125000), (329723750, 116265000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(329723750, 116265000), (332263750, 118805000)]
14:38:42: [INFO] Routing SW56 with D56
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW56:2' at (284480000, 111125000) with pad 'D56:2' at (287020000, 118805000) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(284480000, 111125000), (284480000, 116265000)]
14:38:42: [INFO] Adding track segment (B.Cu): [(284480000, 116265000), (287020000, 118805000)]
14:38:42: [INFO] Routing SW55 with D55
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW55:2' at (243404946, 116684911) with pad 'D55:2' at (247486202, 123668989) using coordinate system rotated by 348.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(243404946, 116684911), (244473611, 121712589)]
14:38:42: [INFO] Adding track segment (B.Cu): [(244473611, 121712589), (247486202, 123668989)]
14:38:42: [INFO] Routing SW54 with D54
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW54:2' at (176514838, 126111413) with pad 'D54:2' at (177402571, 134151681) using coordinate system rotated by 12.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(176514838, 126111413), (175446171, 131139089)]
