=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQFYC+AaO4GdeNrgAybGE4KkLgC6mAUGOAJ6xwC0xaWOp5RahXCkATMNIBmCZgAsMgkTwDKmGksziN0jfPpNwossKPqcRrecw6r8okcU5Jxos7Phnlj9eHO7T-DpGYHBZFxww9zCvMJsIADt2ABcAJwBXAFNeULlhMMdwVHCE5PSsoiL3Iq8im0LcisD9EIA2cPA29zavNrq2-w7AogB2dtH3Ua9RutGB0YJm8AAOdpX3Fa8VupXZAB14-f3+CggAd3ZRbJXUQ4P446IATjVbo-bnr2e654HnheCINB4LIrnJXvc1MJruChE8yDDIXCEAiaM1AewwjhzvBLkRoXc3pYzhdss9iAjxLRaEA
13:30:22: [INFO] Adding track segment (B.Cu): [(240665000, 123885000), (243205000, 126425000)]
13:30:22: [INFO] Routing SW58 with D58
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW58:2' at (221615000, 118745000) with pad 'D58:2' at (224155000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(221615000, 118745000), (221615000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(221615000, 123885000), (224155000, 126425000)]
13:30:22: [INFO] Routing SW57 with D57
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW57:2' at (202565000, 118745000) with pad 'D57:2' at (205105000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(202565000, 118745000), (202565000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(202565000, 123885000), (205105000, 126425000)]
13:30:22: [INFO] Routing SW56 with D56
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW56:2' at (183515000, 118745000) with pad 'D56:2' at (186055000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(183515000, 118745000), (183515000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(183515000, 123885000), (186055000, 126425000)]
13:30:22: [INFO] Routing SW55a with D55
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW55a:2' at (173990000, 118745000) with pad 'D55:2' at (167005000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Routing SW55 with D55
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW55:2' at (164465000, 118745000) with pad 'D55:2' at (167005000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(164465000, 118745000), (164465000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(164465000, 123885000), (167005000, 126425000)]
13:30:22: [INFO] Routing SW54b with D54
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW54b:2' at (135890000, 118745000) with pad 'D54:2' at (157480000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Routing SW54a with D54
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW54a:2' at (145415000, 118745000) with pad 'D54:2' at (157480000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Routing SW54 with D54
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW54:2' at (154940000, 118745000) with pad 'D54:2' at (157480000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(154940000, 118745000), (154940000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(154940000, 123885000), (157480000, 126425000)]
13:30:22: [INFO] Routing SW53 with D53
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW53:2' at (126365000, 118745000) with pad 'D53:2' at (128905000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(126365000, 118745000), (126365000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(126365000, 123885000), (128905000, 126425000)]
13:30:22: [INFO] Routing SW52 with D52
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW52:2' at (107315000, 118745000) with pad 'D52:2' at (109855000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(107315000, 118745000), (107315000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(107315000, 123885000), (109855000, 126425000)]
13:30:22: [INFO] Routing SW51 with D51
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW51:2' at (88265000, 118745000) with pad 'D51:2' at (90805000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(88265000, 118745000), (88265000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(88265000, 123885000), (90805000, 126425000)]
13:30:22: [INFO] Routing SW50 with D50
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW50:2' at (69215000, 118745000) with pad 'D50:2' at (71755000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(69215000, 118745000), (69215000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(69215000, 123885000), (71755000, 126425000)]
13:30:22: [INFO] Routing SW49 with D49
13:30:22: [INFO] Using internal autorouter method
