=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICcA9wLgAQDYB0AmArAGgeWiAGFADm1wE94EiAWJHcAYyvAGIB2Tr8AXwYKwFwOCM0RtGkqb35YAjMIQR8CYigCcGPrgFyhIpi1YBDU2Zk75C2XLTgAulgBQYPFSLs5DSoRQEvuADuVHLoSNrgXvpKbogAtET+DGK4rFLSEV7WMSrq6ADMmfLRokZc3AzBiKHsWgxZdo4uyu4oGPQUrUm4KWxm5pUhKLURaIKKpeJp6cyj8hOxqm1oc3qK4GNy2ZOp-abrVQihmKuNzq4qREjs3l0B4IfHdbj54waP6M-gr9uLea9BIYnBg-X4fYEveRnZpQKjEBgqfJ+W7xGgoGjqZJGGazWR2WT5dYCGhErAYBznFqIJEQyJYfG4LyE+pYEks8lNC5UJEjBhjBkbLDM3BjNkiskUmEqNFkQxTPbGA5Ar6vYU7CQzJWIFYg1mS1yQKhxeG4FTsNoohBxULqCICJCk9ik4ik9T6qkIc28xlYB0sp0sl0st2cj3mzBY+V7CyCv0xXrTdIxsYB8VB8UhymLcOyw5oT4RV5x9UmaODaoF3Uu+z2IA
13:40:37: [INFO] Routing pad 'SW41:2' at (236356523, 94748705) with pad 'D41:2' at (237802954, 102707463) using coordinate system rotated by 8.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(236356523, 94748705), (235641172, 99838681)]
13:40:37: [INFO] Adding track segment (B.Cu): [(235641172, 99838681), (237802954, 102707463)]
13:40:37: [INFO] Routing SW40 with D40
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW40:2' at (196754750, 90741500) with pad 'D40:2' at (199294750, 98421500) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(196754750, 90741500), (196754750, 95881500)]
13:40:37: [INFO] Adding track segment (B.Cu): [(196754750, 95881500), (199294750, 98421500)]
13:40:37: [INFO] Routing SW39 with D39
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW39:2' at (172942250, 90741500) with pad 'D39:2' at (175482250, 98421500) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(172942250, 90741500), (172942250, 95881500)]
13:40:37: [INFO] Adding track segment (B.Cu): [(172942250, 95881500), (175482250, 98421500)]
13:40:37: [INFO] Routing SW38 with D38
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW38:2' at (423640249, 71501000) with pad 'D38:2' at (426180249, 79181000) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(423640249, 71501000), (423640249, 76641000)]
13:40:37: [INFO] Adding track segment (B.Cu): [(423640249, 76641000), (426180249, 79181000)]
13:40:37: [INFO] Routing SW37 with D37
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW37:2' at (402208999, 71501000) with pad 'D37:2' at (404748999, 79181000) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(402208999, 71501000), (402208999, 76641000)]
13:40:37: [INFO] Adding track segment (B.Cu): [(402208999, 76641000), (404748999, 79181000)]
13:40:37: [INFO] Routing SW36 with D36
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW36:2' at (383158999, 71501000) with pad 'D36:2' at (385698999, 79181000) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(383158999, 71501000), (383158999, 76641000)]
13:40:37: [INFO] Adding track segment (B.Cu): [(383158999, 76641000), (385698999, 79181000)]
13:40:37: [INFO] Routing SW35 with D35
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW35:2' at (362531043, 72704218) with pad 'D35:2' at (366115173, 79955976) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(362531043, 72704218), (363246392, 77794193)]
13:40:37: [INFO] Adding track segment (B.Cu): [(363246392, 77794193), (366115173, 79955976)]
13:40:37: [INFO] Routing SW34 with D34
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW34:2' at (343666436, 75355466) with pad 'D34:2' at (347250566, 82607224) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(343666436, 75355466), (344381784, 80445442)]
13:40:37: [INFO] Adding track segment (B.Cu): [(344381784, 80445442), (347250566, 82607224)]
13:40:37: [INFO] Routing SW33 with D33
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW33:2' at (324801830, 78006714) with pad 'D33:2' at (328385960, 85258472) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(324801830, 78006714), (325517178, 83096690)]
13:40:37: [INFO] Adding track segment (B.Cu): [(325517178, 83096690), (328385960, 85258472)]
13:40:37: [INFO] Routing SW32 with D32
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW32:2' at (305937223, 80657961) with pad 'D32:2' at (309521353, 87909719) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(305937223, 80657961), (306652572, 85747937)]
13:40:37: [INFO] Adding track segment (B.Cu): [(306652572, 85747937), (309521353, 87909719)]
13:40:37: [INFO] Routing SW31 with D31
13:40:37: [INFO] Using internal autorouter method
