=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4Ces4AGNLHAYwPAGIBDO+8AX23EMwQGYAdAO197YJwLQQBZ+fHoPABdTACgweAsQwsK8agHYdupiMyFhcCBpxUylq-pzSDSY60wdHbUa8zoPANg9aPABweAJweCEYGCEKRDtimlLT0dI4A7gRIzLbs3JIChsbxmhZWljZOCF5x4GnwxFqk4AAWKij1meAc7A5yihDQ8AjeLPjwALSqDTVErQ3NtTPtol2yCkojcOMz6glJySxTCCjo7Qj5VWbUJaUn7I6nsTinLiyn7i+ed5i+7-7vQe+hd7hT5REEPCAHI43Tggrw9JQXRJJVIEQ5tFhIM4mcCIq4UdqY6I4TEPcCY57EzBvSmVSnfSm-Sn-SmAynAjHsImFcy6PT7dIkAnZAo4hJ4sqEuGrbnUXY0FHwVAYdqdCLY3FXMqdUmdCkdKmOTq0-X0-WM-XM-Ws-XsnCdUHnHa7BWIBYse0UmVUXk6LXsale8Uq9hS3qiopyl2HZUsJaECS8U5qiGowWxzBIBM8JMiyExnBLHISHOOori-nwbxpgtfLMl9VO5EV1358BLAJ1rEpgbVtuczvJqAtBqIn3+RbC9MIal9iorMPrCbbCPO5vR47p+O5bO3Kp5jc1zPb05c6qp1uFzunjUlF1Kg999BX3Pnh9LbzPvcC9E1rSfhsrk2OD7hOHbHru2IgVOCDPvC3Ytm+hiduCZ49heGbIS+aGIUWkj3CKN7WM294Tk+4EoVMqA-n2H7kVhCETn+dGluYkZrr27aYV+2ETlEmFwahrqIVuxbOI4SxHqJnqCYcOGdtJhGlM2WgTrRUkEY2DDsYhfHgS4MgyEAA
13:32:48: [INFO] Add SW17 footprint
13:32:48: [INFO] Add D17 footprint
13:32:48: [INFO] Add SW18 footprint
13:32:48: [INFO] Add D18 footprint
13:32:48: [INFO] Add SW19 footprint
13:32:48: [INFO] Add D19 footprint
13:32:48: [INFO] Add SW20 footprint
13:32:48: [INFO] Add D20 footprint
13:32:48: [INFO] Add SW21 footprint
13:32:48: [INFO] Add D21 footprint
13:32:48: [INFO] Add SW22 footprint
13:32:48: [INFO] Add D22 footprint
13:32:48: [INFO] Add SW23 footprint
13:32:48: [INFO] Add D23 footprint
13:32:48: [INFO] Add SW24 footprint
13:32:48: [INFO] Add D24 footprint
13:32:48: [INFO] Add SW25 footprint
13:32:48: [INFO] Add D25 footprint
13:32:48: [INFO] Add SW26 footprint
13:32:48: [INFO] Add D26 footprint
13:32:48: [INFO] Add SW27 footprint
13:32:48: [INFO] Add D27 footprint
13:32:48: [INFO] Add SW28 footprint
13:32:48: [INFO] Add D28 footprint
13:32:48: [INFO] Add SW29 footprint
13:32:48: [INFO] Add D29 footprint
13:32:48: [INFO] Add SW30 footprint
13:32:49: [INFO] Add D30 footprint
13:32:49: [INFO] Add SW31 footprint
13:32:49: [INFO] Add D31 footprint
13:32:49: [INFO] Add SW32 footprint
13:32:49: [INFO] Add D32 footprint
13:32:49: [INFO] Add SW33 footprint
13:32:49: [INFO] Add D33 footprint
13:32:49: [INFO] Add SW34 footprint
13:32:49: [INFO] Add D34 footprint
13:32:49: [INFO] Add SW35 footprint
13:32:49: [INFO] Add D35 footprint
13:32:49: [INFO] Add SW36 footprint
13:32:49: [INFO] Add D36 footprint
13:32:49: [INFO] Add SW37 footprint
13:32:49: [INFO] Add D37 footprint
13:32:49: [INFO] Add SW38 footprint
13:32:49: [INFO] Add D38 footprint
13:32:49: [INFO] Add SW39 footprint
13:32:49: [INFO] Add D39 footprint
13:32:49: [INFO] Add SW40 footprint
13:32:49: [INFO] Add D40 footprint
13:32:49: [INFO] Add SW41 footprint
13:32:49: [INFO] Add D41 footprint
13:32:49: [INFO] Add SW42 footprint
13:32:49: [INFO] Add D42 footprint
13:32:49: [INFO] Add SW43 footprint
13:32:49: [INFO] Add D43 footprint
13:32:49: [INFO] Add SW44 footprint
13:32:49: [INFO] Add D44 footprint
13:32:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:49: [INFO] Add ST44 footprint
13:32:49: [INFO] Add SW45 footprint
13:32:49: [INFO] Add D45 footprint
13:32:49: [INFO] Add SW46 footprint
13:32:49: [INFO] Add D46 footprint
13:32:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:49: [INFO] Add ST46 footprint
13:32:49: [INFO] Add SW47 footprint
13:32:49: [INFO] Add D47 footprint
13:32:49: [INFO] Add SW48 footprint
13:32:49: [INFO] Add D48 footprint
13:32:49: [INFO] Add SW49 footprint
13:32:49: [INFO] Add D49 footprint
13:32:50: [INFO] Add SW50 footprint
13:32:50: [INFO] Add D50 footprint
13:32:50: [INFO] Add SW51 footprint
13:32:50: [INFO] Add D51 footprint
13:32:50: [INFO] Add SW52 footprint
13:32:50: [INFO] Add D52 footprint
13:32:50: [INFO] Add SW53 footprint
13:32:50: [INFO] Add D53 footprint
13:32:50: [INFO] Add SW54 footprint
13:32:50: [INFO] Add D54 footprint
13:32:50: [INFO] Add SW55 footprint
13:32:50: [INFO] Add D55 footprint
13:32:50: [INFO] Add SW56 footprint
13:32:50: [INFO] Add D56 footprint
13:32:50: [WARNING] Requested width 0.75u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:32:50: [INFO] Add SW57 footprint
13:32:50: [INFO] Add D57 footprint
13:32:50: [INFO] Add SW58 footprint
13:32:50: [INFO] Add D58 footprint
13:32:50: [INFO] Add SW59 footprint
13:32:50: [INFO] Add D59 footprint
13:32:50: [INFO] Add SW60 footprint
13:32:50: [INFO] Add D60 footprint
13:32:50: [INFO] Add SW61 footprint
13:32:50: [INFO] Add D61 footprint
13:32:50: [INFO] Add SW61a footprint
13:32:50: [INFO] Add SW62 footprint
13:32:50: [INFO] Add D62 footprint
13:32:50: [INFO] Add SW62a footprint
13:32:50: [INFO] Add SW63 footprint
13:32:50: [INFO] Add D63 footprint
13:32:50: [INFO] Add SW63a footprint
13:32:50: [INFO] Add SW64 footprint
13:32:50: [INFO] Add D64 footprint
13:32:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:50: [INFO] Add ST64 footprint
13:32:50: [INFO] Add SW65 footprint
13:32:50: [INFO] Add D65 footprint
13:32:50: [INFO] Add ST65 footprint
13:32:50: [INFO] Add SW65a footprint
13:32:50: [INFO] Add SW65b footprint
13:32:50: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:50: [INFO] Add ST65b footprint
13:32:50: [INFO] Add SW65c footprint
13:32:50: [INFO] Add ST65c footprint
13:32:50: [INFO] Add SW66 footprint
13:32:51: [INFO] Add D66 footprint
13:32:51: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:51: [INFO] Add ST66 footprint
13:32:51: [INFO] Add SW66a footprint
13:32:51: [INFO] Add SW67 footprint
13:32:51: [INFO] Add D67 footprint
13:32:51: [INFO] Add SW68 footprint
13:32:51: [INFO] Add D68 footprint
13:32:51: [INFO] Add SW68a footprint
13:32:51: [WARNING] Requested width 0.75u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:32:51: [INFO] Add SW69 footprint
13:32:51: [INFO] Add D69 footprint
13:32:51: [INFO] Add SW70 footprint
13:32:51: [INFO] Add D70 footprint
13:32:51: [INFO] Add SW71 footprint
13:32:51: [INFO] Add D71 footprint
13:32:51: [INFO] Add SW72 footprint
13:32:51: [INFO] Add D72 footprint
13:32:51: [INFO] Detected layout convertible to matrix annotated keyboard
