=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOAmAXy3AGYMBGAVgB0A7e+8-TOCaeJSbn8YhZowZ1mrMhlJCmGFiXIAWKSJljytYdNkCMANiWi5GAOz6VhgBymt4gJxXVlAAz3DFCvYC6GAFBgoeJDR0Elx4CgA6fCp+cWpTClZ2AMQeXhjydw1lBMN8eIdJLIyHRSLKB3UhYsM9MpztEzqHSybDO1btCmcmr18IAE88R0iqEg4ERCMp6b4SRwxHRP9OFNToGPn68HnredIxefkDjCpjnWOjY-Njm2Ouu63NrSSVoNQxUIINykKhecWsBAAB5DEZjZJrdZzH5KTZ3Up-cqA8Ag+DDKLfCi-YQ7JYAZwAtgEAE4AewALgB9ACmkDcswQmwROJkSiU1MWvT840CbzEhICHzwEWiJAoCyWPNWqQZ4HFW3F1nF+zFGCOqtOqvOqsuquuqtuqvuRoVlGeywmb2QQrC4VFCHl2Po+AlyNRcAiUXBK2mMxCwrBCAAFngXTgWLbRsGIx6SECYwBadH28AurFKNNLd0ReYIKVWm0eu0xR0ZsxsFEB3PgT4ikswrIu-ZciC18JGFNpyrCcUAitSyGyzMkF3WJtiF3qhAuzXT3QT4wL-Vzw1z41r+ovCa+qaF-AjGJpp10F194Ggr15iFrIdmsubyuRw93xvlrdIHe6nABjEjhtCUcswvKMLS4G9-VtX81zyV8VX7ZJP1vdNYKAtFA1AlA+QgotLxrGMIg7EgABs8HJYkAFdqWfOIsnlcAWxrUMD1cbtpDPDDB3SVkyj7cRj3IXiFFMQSTmEhxaiqV0GjEiwZO0dpJJEro5NiTIhHkKT30woI93bFMMhg9TNMfOBk29CZONcNThA0h98yw79bQ7LiKEMmykU6Zl6Fs1DTPQttnKspQNOsAzgvLWIvLoELfOTFzrO8iRYr0ly3MSuDIvCuDzzQ3CBxveLwqnLSC2wgj9JfIzivAAVODJKlaXpFyoo0qL2Qfd0zIQWqEELcrCqyDTZ1iNLopOfEiTqikaTpBJmvC1isnoakOuAkgevAWUMgSsbtQrTqUtcUaNL2iANvqmamtcFrdDZLIVvonxuWvGV1sm3qSGteAjGw0g9JIAATUiKKokhfITP7CIQL64A0xy4EhkCgfgMjKJiJRRnY90If+q9XgcxjIJTWzFp0Yy2yg8BbKUMn2Ip4nuKEWnJRe3hsJ0ZiEBOjHjPsnSys5qmnCUH66Z-Bm3BF8nxZiWzj1FpZ6dlygooVhj8te+HEcB4G0ZIHmH0+fdAq5tUDZZ-H+fhz0GYk4RRjs1nuF0ymNJaIQHd8m3sOGKHwGRuBUdBhBwq-Eq+Rc0OHFcqPrqj9WnegX7cf93Xg-AHnzSNwXWszi3LQJpWSG5rJRnNDW2fh42Gfd+23xM734d9pG0-RwaMGXcOdMj9vlxG8LO5q97wAuxq5rj3u7qEB6E5WQc3sFbC4dTlGQbbj2kuRT4dGVu36FGZsntbPBl4DoP17r6rPiMXeeaOBjPlP1v9dL8at6Yk2hai0ZZy74JreLMXW6r9f4cXAlXQ6pta773Gg-E+OtV56xDq-U6hMEbK2-vOZEfN0C3xQfnMCms0GkGVtAugoxzhwPgE-RB6ceZh2IRg+hBDtL-yHiSaaY9ZQlw3o0KedBqTl0TvyYehYSFALIaMS4VCCB2gQYHNeL8N6D1rI4PByjHp9AwqVABEtSYeSFjtMmhsZZANGsY3yHNcJF1NspLIP0TFE2VpLexBi5ZS0cUWCWqtygyJts4-RWdTG2JpvXNsDNzH13dBzNRQC7FCB+tYWyO1EliFsqNVJcT5YRVsj4lgfjAG2P0RlamWQybZTQXWMxoSKnRPCLE2x3QEmbwrOE5xKSWnHycVkqWFSbGGJ8YfLR-SSahKvsEwxYzfJGEKYYppwgfrjKfHEjpU5DHZKWV45xPj75H0qbM0ZZS34hKOaA90MyQIV2dvI8+SiFnHL-u8dpUthrpJeWk-89zXkq3eQxbM1YrlJwQGfRRyDmmoJwe8AWEsOmoJGZ8+gP04UTNyVLShez-nmUIZXFeCikEZ1cQwyF1poXPMJR85CzSGFtLiT46RGLhQAuEdhfcLdaEX0RR3FhOj9muwRXQH6KiUU-NcdcP5jKsXShxdnNleK6GuNXI860zjsmKv2d4qWtwPAeCAA
13:28:26: [INFO] Add ST42 footprint
13:28:26: [INFO] Add SW42a footprint
13:28:26: [INFO] Add ST42a footprint
13:28:26: [INFO] Add SW42b footprint
13:28:26: [INFO] Add SW42c footprint
13:28:26: [INFO] Add SW43 footprint
13:28:26: [INFO] Add D43 footprint
13:28:26: [INFO] Add SW43a footprint
13:28:27: [INFO] Add SW44 footprint
13:28:27: [INFO] Add D44 footprint
13:28:27: [INFO] Add SW44a footprint
13:28:27: [INFO] Add SW45 footprint
13:28:27: [INFO] Add D45 footprint
13:28:27: [INFO] Add SW45a footprint
13:28:27: [INFO] Add SW46 footprint
13:28:27: [INFO] Add D46 footprint
13:28:27: [INFO] Add SW46a footprint
13:28:27: [INFO] Add SW47 footprint
13:28:27: [INFO] Add D47 footprint
13:28:27: [INFO] Add SW47a footprint
13:28:27: [INFO] Add SW48 footprint
13:28:27: [INFO] Add D48 footprint
13:28:27: [INFO] Add SW48a footprint
13:28:27: [INFO] Add SW49 footprint
13:28:27: [INFO] Add D49 footprint
13:28:27: [INFO] Add SW49a footprint
13:28:27: [INFO] Add SW50 footprint
13:28:27: [INFO] Add D50 footprint
13:28:27: [INFO] Add SW50a footprint
13:28:27: [INFO] Add SW51 footprint
13:28:27: [INFO] Add D51 footprint
13:28:27: [INFO] Add SW51a footprint
13:28:27: [INFO] Add SW52 footprint
13:28:27: [INFO] Add D52 footprint
13:28:27: [INFO] Add SW52a footprint
13:28:27: [INFO] Add SW53 footprint
13:28:27: [INFO] Add D53 footprint
13:28:27: [INFO] Add SW53a footprint
13:28:27: [INFO] Add SW54 footprint
13:28:27: [INFO] Add D54 footprint
13:28:27: [INFO] Add SW54a footprint
13:28:27: [INFO] Add SW54b footprint
13:28:27: [INFO] Add SW55 footprint
13:28:27: [INFO] Add D55 footprint
13:28:27: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:27: [INFO] Add ST55 footprint
13:28:27: [INFO] Add SW55a footprint
13:28:27: [INFO] Add SW55b footprint
13:28:28: [INFO] Add SW56 footprint
13:28:28: [INFO] Add D56 footprint
13:28:28: [INFO] Add SW56a footprint
13:28:28: [INFO] Add SW57 footprint
13:28:28: [INFO] Add D57 footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:28: [INFO] Add ST57 footprint
13:28:28: [INFO] Add SW57a footprint
13:28:28: [INFO] Add SW57b footprint
13:28:28: [INFO] Add ST57b footprint
13:28:28: [INFO] Add SW58 footprint
13:28:28: [INFO] Add D58 footprint
13:28:28: [INFO] Add SW58a footprint
13:28:28: [INFO] Add SW59 footprint
13:28:28: [INFO] Add D59 footprint
13:28:28: [INFO] Add SW59a footprint
13:28:28: [INFO] Add SW60 footprint
13:28:28: [INFO] Add D60 footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:28: [INFO] Add ST60 footprint
13:28:28: [INFO] Add SW60a footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:28: [INFO] Add ST60a footprint
13:28:28: [INFO] Add SW60b footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:28: [INFO] Add ST60b footprint
13:28:28: [INFO] Add SW60c footprint
13:28:28: [INFO] Add ST60c footprint
13:28:28: [INFO] Add SW61 footprint
13:28:28: [INFO] Add D61 footprint
13:28:28: [INFO] Add ST61 footprint
13:28:28: [INFO] Add SW61a footprint
13:28:28: [INFO] Add SW61b footprint
13:28:28: [INFO] Add SW61c footprint
13:28:28: [INFO] Add ST61c footprint
13:28:28: [INFO] Add SW61d footprint
13:28:28: [INFO] Add ST61d footprint
13:28:28: [INFO] Add SW61e footprint
13:28:28: [INFO] Add SW62 footprint
13:28:28: [INFO] Add D62 footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:28: [INFO] Add ST62 footprint
13:28:28: [INFO] Add SW62a footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:28: [INFO] Add ST62a footprint
13:28:28: [INFO] Add SW62b footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:28: [INFO] Add ST62b footprint
13:28:28: [INFO] Add SW62c footprint
13:28:28: [INFO] Add ST62c footprint
13:28:28: [INFO] Add SW63 footprint
13:28:28: [INFO] Add D63 footprint
13:28:28: [INFO] Add SW63a footprint
13:28:28: [INFO] Add SW64 footprint
13:28:28: [INFO] Add D64 footprint
13:28:28: [INFO] Add SW64a footprint
13:28:28: [INFO] Add SW64b footprint
13:28:28: [INFO] Add SW65 footprint
13:28:29: [INFO] Add D65 footprint
13:28:29: [INFO] Add SW66 footprint
13:28:29: [INFO] Add D66 footprint
13:28:29: [INFO] Add SW66a footprint
13:28:29: [INFO] Add SW66b footprint
13:28:29: [INFO] Add SW67 footprint
13:28:29: [INFO] Add D67 footprint
13:28:29: [INFO] Add SW67a footprint
13:28:29: [INFO] Add SW67b footprint
13:28:29: [INFO] Add SW68 footprint
13:28:29: [INFO] Add D68 footprint
13:28:29: [INFO] Add SW68a footprint
13:28:29: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:29: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:29: [INFO] Layout offset: (28575000, 23812500)
13:28:29: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:29: [INFO] Placing additional elements for SW68a
13:28:29: [INFO] Placing additional elements for SW68
13:28:29: [INFO] Placing additional elements for SW67b
13:28:29: [INFO] Placing additional elements for SW67a
13:28:29: [INFO] Placing additional elements for SW67
13:28:29: [INFO] Placing additional elements for SW66b
13:28:29: [INFO] Placing additional elements for SW66a
13:28:29: [INFO] Placing additional elements for SW66
13:28:29: [INFO] Placing additional elements for SW65
13:28:29: [INFO] Placing additional elements for SW64b
13:28:29: [INFO] Placing additional elements for SW64a
13:28:29: [INFO] Placing additional elements for SW64
13:28:29: [INFO] Placing additional elements for SW63a
13:28:29: [INFO] Placing additional elements for SW63
13:28:29: [INFO] Placing additional elements for SW62c
13:28:29: [INFO] Placing additional elements for SW62b
13:28:29: [INFO] Placing additional elements for SW62a
13:28:29: [INFO] Placing additional elements for SW62
13:28:29: [INFO] Placing additional elements for SW61e
