=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwBYB0BWANHcBjW2BiAQxNPAF8twkMAmAHQDsmmBmDABnCwgGcBbfOABOAewAuAfQCmOBAgpUaDZqvYIWqzU2lcAuhgBQYKPlroqAT3wcUtTNgFDu2AO74E6Stg6cXEPHhwAhxQsMUfDAUqX1oXcF9WeN8kZIw0NIA2eJpspXScjFT8pJ5cIWJSEnj3eE80b3BMOINjCGh4cwdwWsQUAHYGqgQ-MsDCMPDGkejsEbjhjFK5oviRjMW87EwtpoKqTGK4AIr+s-Oaszsh7aXtRl8uMo64W3tGmg0tB6j-Ho9ro1MKx7r4FK0TONglVqlRep53lRaJx7jN4sivpo0c8bNc4VdEdhkRxUaNjuUgiFJnhGplfkilujVgyNkSMLs6Rz9tg6UdwHTlidKTCiJc6gMbvy6OAIe0rt14YCqOwnrdMapifF1PdNWMKtS8Pj4Jkldh2GgdWShYQRWK+oTwOxlo7pWVFQ7kS0jCYXqwJVZcQ7MOqmBi-u7JdrvmG9ZSDXbzA72EhLbMXRbo-Tyb1zINGuxMqmZXogA
13:39:36: [INFO] Routing SW39 with D39
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW39:2' at (264477500, 75882500) with pad 'D39:2' at (267017500, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(264477500, 75882500), (264477500, 81022500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(264477500, 81022500), (267017500, 83562500)]
13:39:36: [INFO] Routing SW38 with D38
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW38:2' at (283527500, 75882500) with pad 'D38:2' at (286067500, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(283527500, 75882500), (283527500, 81022500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(283527500, 81022500), (286067500, 83562500)]
13:39:36: [INFO] Routing SW37a with D37
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW37a:2' at (324008750, 75882500) with pad 'D37:2' at (317023750, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Routing SW37 with D37
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW37:2' at (314483750, 75882500) with pad 'D37:2' at (317023750, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(314483750, 75882500), (314483750, 81022500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(314483750, 81022500), (317023750, 83562500)]
13:39:36: [INFO] Routing SW36 with D36
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW36:2' at (321627500, 56832500) with pad 'D36:2' at (324167500, 64512500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(321627500, 56832500), (321627500, 61972500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(321627500, 61972500), (324167500, 64512500)]
13:39:36: [INFO] Routing SW35 with D35
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW35:2' at (121602500, 113982500) with pad 'D35:2' at (124142500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(121602500, 113982500), (121602500, 119122500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(121602500, 119122500), (124142500, 121662500)]
13:39:36: [INFO] Routing SW34 with D34
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW34:2' at (240665000, 56832500) with pad 'D34:2' at (243205000, 64512500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(240665000, 56832500), (240665000, 61972500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(240665000, 61972500), (243205000, 64512500)]
13:39:36: [INFO] Routing SW33 with D33
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW33:2' at (259715000, 56832500) with pad 'D33:2' at (262255000, 64512500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(259715000, 56832500), (259715000, 61972500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(259715000, 61972500), (262255000, 64512500)]
13:39:36: [INFO] Routing SW32 with D32
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW32:2' at (278765000, 56832500) with pad 'D32:2' at (281305000, 64512500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(278765000, 56832500), (278765000, 61972500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(278765000, 61972500), (281305000, 64512500)]
13:39:36: [INFO] Routing SW31 with D31
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW31:2' at (297815000, 56832500) with pad 'D31:2' at (300355000, 64512500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(297815000, 56832500), (297815000, 61972500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(297815000, 61972500), (300355000, 64512500)]
13:39:36: [INFO] Routing SW30a with D30
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW30a:S2' at (330850000, 35600000) with pad 'D30:2' at (328930000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(330850000, 35600000), (330850000, 38780000)]
13:39:36: [INFO] Adding track segment (B.Cu): [(330850000, 38780000), (328930000, 40700000)]
