=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1KAdAOwYeoXAwgHddLUKATXABcATgFcApuUxNG9FmzgQc8cHizqNZCtQCMM5mlbbD+uYYVU0AZlPzjAFlvn22XKuIkKXeD3SYB8CISUuBORoquKngAhrFxWpjUAGxhFtQEqcYAHJmJaACcuUpuhB4EFt5wvvxCYpIURZH4GpohunSyBuGWOnqdZt26CLk9Nv12Ecr4ZeVe3Lz+tcEN4+YAumgAUGBQuMgobTROOgrFUS3qCT3HaSarJ8ZjMrq3jvenTapx8YcoN8Ypd7GDJAvI5UFnZoXK7UQqgnodZ5oB55Xr-VHDCGfGLfaIVPaHHRPWQvYw6N4yJLI246P79KkozgEsmAynUjbbCDQeD7CgAT3mCD82JmMKOq0oHymqguOEJTklxkxSMVeWJBlVlgpJJoUpKuLxvwVt1ZOs16WN2UtkxKsrFcJVNMRZppfUdZOVLpc0px3zFROt4HQpo1NO1DCp5uRdLZUZ0IfokZpINj4A5O25iFQIR0uu9tuhOepFFz3VzVgsufslbQKBrSRrs0wuayNfyNZ0mtzvQ74UhX1xV276vouc16AdsjHHerJejHYbc50KdkBDzEUzPCFcx5RYD-W7H0zViQ1EwAAtmc3kSuGGvGbsfEghXvb-Q133H1Vnwcl2+1xWLibj+r6mGus4boKwqXruf5gbWR5QRQMGIKB-RroukFPi+cHoWg5TplyewLOAlQ6NmFAIOu-ZqIWlHFpgVHdFRgGMWgEHgFRdb0ZhnH4RYVGtvR7b0Z2AnIiifE6J+PoGvi8Dkb+bH7jIVGqjRdohFR5LibSumYTRclaTe8HqV+5HbpgPqijucAWdBexeKwCkkeezl2RQkDuQAtFuSngFYyIjtpiEuWe2JybZinGSpshMaFdmuVeUn-s4WHfjhympaxRHYf52mpRBuVZgQDmwVl8EEVsGbEcKZFIKVISBWZPqaRQgWSYF3SBaxAXsRYgXcZggW8YFTZ9UJw0FANyKah1D7WWU8lZplfWxQwal6ucdFTTp7Xzvt8ZbfgRmHalZnAZZ2JtbtnobQxxXRYdd30PF+ZRJFmD1atHXBWlxV+U1Jl4Q+maKchyUddlCWA2d8FFV+fkQ+Va2pUNAMgXDeENoRpG4PZIT2OKMgdcdMo7eARNurIpNAUhVn6oOtnIKtRPOgwzVk7RLRXET3RE71RMcUTQ2U2gvFE+NROTWLImYFTmpU9TDBs1zn14y5jUUFTL2q+90xLYTQWmHrNrbTzRvkqYWTrmLtLW7bVMGRFg6W+dMM-hQrXQszlvhvQNug7gJ7hbJrva8DMj3h7rOR6u-3mSRi0eBYKEIG78MJeDF7JVTqXO5dZWoRHy6VWm1XFbyDMfUzX345jmDoOz9BNx833+egyst9RGuJat6Ava3+vkzztlJA3Qa1qYQ9mydte909jezdPPf1R3aDgjIM80aKISd4PtudyOM+T1b-T5D33sWxQncxrIF-jsizth36e9x3ePeF17Baj3XKOd-7C+Qd4Ah2-jXV+N937vgeojCendUqfkLm-UueEcqJ3XigqOCFcaZiruAAUeUopwOJrITubd6792RCvB87c34HwWj-TQY9iF3wYGQ4evp4hEMoZ2ah5CXKUM3qQmBtDIHST4S4URS91rdxODg2qRD17NwHhYTuK9Pxrzoeormdox5v1Yd3GSjM-SKOQcohOmjIFCLYQnZOJBkEH26EfbR8ieRJ2MVwv+iUlErzQZY6RvidE+y8QQfRgSOHq38afcxfj67r2sd3NBdiiBXH3uE6Rx9rDl05F+PBV8mFeOzuAAIcAgj1GkP0dACMX4-DESvBGUSB71KCb-XuoTIEGKqfw7xb8EldIieHaRB9qmMMuIomogQ6ghGaa4uyJ5Sr8igpbLuVM1bz0qMgLW8tjb9FWbMokDU6oUP8krE2FjjmW11ucgRJydkyD5mmNYQA
13:36:22: [INFO] Add SW14a footprint
13:36:22: [INFO] Add SW15 footprint
13:36:22: [INFO] Add D15 footprint
13:36:22: [INFO] Add SW16 footprint
13:36:22: [INFO] Add D16 footprint
13:36:22: [INFO] Add SW17 footprint
13:36:22: [INFO] Add D17 footprint
13:36:22: [INFO] Add SW17a footprint
13:36:22: [INFO] Add ST17a footprint
13:36:22: [INFO] Add SW18 footprint
13:36:22: [INFO] Add D18 footprint
13:36:22: [INFO] Add SW19 footprint
13:36:22: [INFO] Add D19 footprint
13:36:22: [INFO] Add SW20 footprint
13:36:22: [INFO] Add D20 footprint
13:36:22: [INFO] Add SW21 footprint
13:36:22: [INFO] Add D21 footprint
13:36:22: [INFO] Add SW22 footprint
13:36:22: [INFO] Add D22 footprint
13:36:22: [INFO] Add SW23 footprint
13:36:23: [INFO] Add D23 footprint
13:36:23: [INFO] Add SW24 footprint
13:36:23: [INFO] Add D24 footprint
13:36:23: [INFO] Add SW25 footprint
13:36:23: [INFO] Add D25 footprint
13:36:23: [INFO] Add SW26 footprint
13:36:23: [INFO] Add D26 footprint
13:36:23: [INFO] Add SW27 footprint
13:36:23: [INFO] Add D27 footprint
13:36:23: [INFO] Add SW28 footprint
13:36:23: [INFO] Add D28 footprint
13:36:23: [INFO] Add SW29 footprint
13:36:23: [INFO] Add D29 footprint
13:36:23: [INFO] Add SW30 footprint
13:36:23: [INFO] Add D30 footprint
13:36:23: [INFO] Add SW31 footprint
13:36:23: [INFO] Add D31 footprint
13:36:23: [INFO] Add SW32 footprint
13:36:23: [INFO] Add D32 footprint
13:36:23: [INFO] Add SW32a footprint
13:36:23: [INFO] Add ST32a footprint
13:36:23: [INFO] Add SW33 footprint
13:36:23: [INFO] Add D33 footprint
13:36:23: [INFO] Add SW34 footprint
13:36:23: [INFO] Add D34 footprint
13:36:23: [INFO] Add SW35 footprint
13:36:23: [INFO] Add D35 footprint
13:36:23: [INFO] Add SW36 footprint
13:36:23: [INFO] Add D36 footprint
13:36:23: [INFO] Add SW36a footprint
13:36:23: [INFO] Add ST36a footprint
13:36:23: [INFO] Add SW37 footprint
13:36:23: [INFO] Add D37 footprint
13:36:23: [INFO] Add SW38 footprint
13:36:23: [INFO] Add D38 footprint
13:36:23: [INFO] Add SW39 footprint
13:36:24: [INFO] Add D39 footprint
13:36:24: [INFO] Add SW40 footprint
13:36:24: [INFO] Add D40 footprint
13:36:24: [INFO] Add SW41 footprint
13:36:24: [INFO] Add D41 footprint
13:36:24: [INFO] Add SW42 footprint
13:36:24: [INFO] Add D42 footprint
13:36:24: [INFO] Add SW43 footprint
13:36:24: [INFO] Add D43 footprint
13:36:24: [INFO] Add SW44 footprint
13:36:24: [INFO] Add D44 footprint
13:36:24: [INFO] Add SW45 footprint
13:36:24: [INFO] Add D45 footprint
13:36:24: [INFO] Add SW46 footprint
13:36:24: [INFO] Add D46 footprint
13:36:24: [INFO] Add SW47 footprint
13:36:24: [INFO] Add D47 footprint
13:36:24: [INFO] Add SW48 footprint
13:36:24: [INFO] Add D48 footprint
13:36:24: [INFO] Add SW49 footprint
13:36:24: [INFO] Add D49 footprint
13:36:24: [INFO] Add SW50 footprint
13:36:24: [INFO] Add D50 footprint
13:36:24: [INFO] Add SW51 footprint
13:36:24: [INFO] Add D51 footprint
13:36:24: [INFO] Add SW52 footprint
13:36:24: [INFO] Add D52 footprint
13:36:24: [INFO] Add SW53 footprint
13:36:24: [INFO] Add D53 footprint
13:36:24: [INFO] Add SW54 footprint
13:36:24: [INFO] Add D54 footprint
13:36:24: [INFO] Add SW54a footprint
13:36:24: [INFO] Add ST54a footprint
13:36:24: [INFO] Add SW55 footprint
13:36:24: [INFO] Add D55 footprint
13:36:25: [INFO] Add SW56 footprint
13:36:25: [INFO] Add D56 footprint
13:36:25: [INFO] Add SW57 footprint
