=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYA0dwE9ZwAwDoAmAVjXAGNtwBiAQzvvAF9SSkAdAO085xQXBYoAHNy4de-ALooAUGHKUqAdhWqmpXjgFwI0eAlIV41eg2boJ2iEfRUy9h+osoCVqNgQ5z4EgBZtPihEbjYmpjQBAO7YBN4kSqI8KFrScuAGWmi62PhKJOjR+nhE3gb8WQrGdg72TukubnpwAJzF3qj+pKjBXShIIYrhEaSFiG29SuCpwOAEyY05eEj54KMIeHnec+U6lbY1tVsNFU2tSt5KKJ3olz27ocqqKlExhCWkl-3T1oPhdQDM8xOixWowIb28gJ2PyqBwokOOu1OeC8pCEVwC6LuMNsQxe8HBmzRKASYk4GQW8HwxBGHg273Q6PYZI4ZUxwkSrL4U1kM18QKRizytKKxG8-OhqzpYtI-NcwP01NB0oZ4GaiIgawhpHV-wC6v833AACcPLx0MamoCLVh4L43qQmrkVra4ABaf4O9APOF1Xh6jQYwN3cC8fqByZGprrGXoAwBuNBxMhgxfXnZIqquYJ2ZJ3MhuZpuQZuCxUiAnOA67gQEhwFF+RNcE072-Ux1fkJnHUX0i0v08VBTlzFLp9zwT0rB54we+Yfcio+g74sZE9D85mibY84sm7BuzykS0ecErJpu5su-eE1UkTLoEg7QLyh8oPVR68D3r38CoJ+oF9fzfHdG0-VVLh-S4n0uQDLnfMdz09VFGQFcB0SfdFAPReDd3PG8+0vbx1XvbtaD+IjuUkSQgA
13:37:53: [INFO] Add D48 footprint
13:37:53: [INFO] Add SW49 footprint
13:37:53: [INFO] Add D49 footprint
13:37:53: [INFO] Add SW50 footprint
13:37:53: [INFO] Add D50 footprint
13:37:53: [INFO] Add SW51 footprint
13:37:53: [INFO] Add D51 footprint
13:37:53: [INFO] Add SW52 footprint
13:37:53: [INFO] Add D52 footprint
13:37:53: [INFO] Add SW53 footprint
13:37:53: [INFO] Add D53 footprint
13:37:53: [INFO] Add SW54 footprint
13:37:53: [INFO] Add D54 footprint
13:37:53: [INFO] Add SW55 footprint
13:37:53: [INFO] Add D55 footprint
13:37:53: [INFO] Add SW56 footprint
13:37:53: [INFO] Add D56 footprint
13:37:53: [INFO] Add SW57 footprint
13:37:53: [INFO] Add D57 footprint
13:37:53: [INFO] Add SW58 footprint
13:37:53: [INFO] Add D58 footprint
13:37:53: [INFO] Add SW59 footprint
13:37:53: [INFO] Add D59 footprint
13:37:53: [INFO] Add SW60 footprint
13:37:53: [INFO] Add D60 footprint
13:37:53: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:53: [INFO] Add ST60 footprint
13:37:53: [INFO] Add SW61 footprint
13:37:53: [INFO] Add D61 footprint
13:37:53: [INFO] Add SW62 footprint
13:37:54: [INFO] Add D62 footprint
13:37:54: [INFO] Add SW63 footprint
13:37:54: [INFO] Add D63 footprint
13:37:54: [INFO] Add SW64 footprint
13:37:54: [INFO] Add D64 footprint
13:37:54: [INFO] Add SW65 footprint
13:37:54: [INFO] Add D65 footprint
13:37:54: [INFO] Add SW66 footprint
13:37:54: [INFO] Add D66 footprint
13:37:54: [INFO] Add SW67 footprint
13:37:54: [INFO] Add D67 footprint
13:37:54: [INFO] Add SW68 footprint
13:37:54: [INFO] Add D68 footprint
13:37:54: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:54: [INFO] Add ST68 footprint
13:37:54: [INFO] Add SW69 footprint
13:37:54: [INFO] Add D69 footprint
13:37:54: [INFO] Add SW70 footprint
13:37:54: [INFO] Add D70 footprint
13:37:54: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:54: [INFO] Add ST70 footprint
13:37:54: [INFO] Add SW71 footprint
13:37:54: [INFO] Add D71 footprint
13:37:54: [INFO] Add SW72 footprint
13:37:54: [INFO] Add D72 footprint
13:37:54: [INFO] Add SW73 footprint
13:37:54: [INFO] Add D73 footprint
13:37:54: [INFO] Add SW74 footprint
13:37:54: [INFO] Add D74 footprint
13:37:54: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:54: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:54: [INFO] Layout offset: (28575000, 23812500)
13:37:54: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:54: [INFO] Placing additional elements for SW74
13:37:54: [INFO] Placing additional elements for SW73
13:37:54: [INFO] Placing additional elements for SW72
13:37:54: [INFO] Placing additional elements for SW71
13:37:54: [INFO] Placing additional elements for SW70
13:37:54: [INFO] Placing additional elements for SW69
13:37:54: [INFO] Placing additional elements for SW68
13:37:54: [INFO] Placing additional elements for SW67
13:37:54: [INFO] Placing additional elements for SW66
13:37:54: [INFO] Placing additional elements for SW65
13:37:54: [INFO] Placing additional elements for SW64
13:37:54: [INFO] Placing additional elements for SW63
13:37:54: [INFO] Placing additional elements for SW62
13:37:54: [INFO] Placing additional elements for SW61
13:37:54: [INFO] Placing additional elements for SW60
13:37:54: [INFO] Placing additional elements for SW59
13:37:54: [INFO] Placing additional elements for SW58
13:37:54: [INFO] Placing additional elements for SW57
13:37:54: [INFO] Placing additional elements for SW56
13:37:54: [INFO] Placing additional elements for SW55
13:37:54: [INFO] Placing additional elements for SW54
13:37:54: [INFO] Placing additional elements for SW53
13:37:54: [INFO] Placing additional elements for SW52
13:37:54: [INFO] Placing additional elements for SW51
13:37:54: [INFO] Placing additional elements for SW50
13:37:54: [INFO] Placing additional elements for SW49
13:37:54: [INFO] Placing additional elements for SW48
13:37:54: [INFO] Placing additional elements for SW47
13:37:54: [INFO] Placing additional elements for SW46
13:37:54: [INFO] Placing additional elements for SW45
13:37:54: [INFO] Placing additional elements for SW44
13:37:54: [INFO] Placing additional elements for SW43
13:37:54: [INFO] Placing additional elements for SW42
13:37:54: [INFO] Placing additional elements for SW41
13:37:54: [INFO] Placing additional elements for SW40
13:37:54: [INFO] Placing additional elements for SW39
13:37:54: [INFO] Placing additional elements for SW38
13:37:54: [INFO] Placing additional elements for SW37
13:37:54: [INFO] Placing additional elements for SW36
13:37:54: [INFO] Placing additional elements for SW35
13:37:54: [INFO] Placing additional elements for SW34
13:37:54: [INFO] Placing additional elements for SW33
13:37:54: [INFO] Placing additional elements for SW32
13:37:54: [INFO] Placing additional elements for SW31
13:37:54: [INFO] Placing additional elements for SW30
13:37:54: [INFO] Placing additional elements for SW29
13:37:54: [INFO] Placing additional elements for SW28
13:37:54: [INFO] Placing additional elements for SW27
13:37:54: [INFO] Placing additional elements for SW26
13:37:54: [INFO] Placing additional elements for SW25
13:37:54: [INFO] Placing additional elements for SW24
13:37:54: [INFO] Placing additional elements for SW23
13:37:54: [INFO] Placing additional elements for SW22
13:37:54: [INFO] Placing additional elements for SW21
13:37:54: [INFO] Placing additional elements for SW20
13:37:54: [INFO] Placing additional elements for SW19
13:37:54: [INFO] Placing additional elements for SW18
13:37:54: [INFO] Placing additional elements for SW17
13:37:54: [INFO] Placing additional elements for SW16
13:37:54: [INFO] Placing additional elements for SW15
13:37:54: [INFO] Placing additional elements for SW14
13:37:54: [INFO] Placing additional elements for SW13
13:37:54: [INFO] Placing additional elements for SW12
13:37:54: [INFO] Placing additional elements for SW11
13:37:54: [INFO] Placing additional elements for SW10
13:37:54: [INFO] Placing additional elements for SW9
13:37:54: [INFO] Placing additional elements for SW8
13:37:54: [INFO] Placing additional elements for SW7
13:37:54: [INFO] Placing additional elements for SW6
13:37:54: [INFO] Placing additional elements for SW5
13:37:54: [INFO] Placing additional elements for SW4
13:37:54: [INFO] Placing additional elements for SW3
13:37:54: [INFO] Placing additional elements for SW2
13:37:54: [INFO] Placing additional elements for SW1
13:37:54: [INFO] Routing SW74 with D74
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW74:2' at (364490000, 128270000) with pad 'D74:2' at (367030000, 135950000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(364490000, 128270000), (364490000, 133410000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(364490000, 133410000), (367030000, 135950000)]
13:37:54: [INFO] Routing SW73 with D73
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW73:2' at (343058750, 128270000) with pad 'D73:2' at (345598750, 135950000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(343058750, 128270000), (343058750, 133410000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(343058750, 133410000), (345598750, 135950000)]
13:37:54: [INFO] Routing SW72 with D72
13:37:54: [INFO] Using internal autorouter method
