=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3EjgGwA6AdueQAw4Lh4QDGs+AxAIadfi76FKUKZGnQC6OAFBgoLBCgx5wATxZV5i5vHCskuvT0U0q9OBGjw1mDS22M79g-hEnwNNC5oBmDzgAsJs1V0bEMcDB8iAJl4NBQkEPwiHGNFJLoGaLhLBPAk91ScbwL-AvCM8yzg3lziKIq1HKSkcHEpQPg5BXwVC2DrLQ4uTkdwBGSozTZ7B2qx9Pwx-IXClzGS5bLlyPKWWPjqwhS+WhdCJYIVxUJ1i82mG0GhlwB3XYOcASFqcZ3ervBJrZpsxqgBOD4tSTAcBoCG-Sr-QGPbiKV4deTVWFHe4DYEgxSw+YwnDnWFFfCwm6wu6ZPY5AAcP3wjKJjPOjPJ4EZN0Zmy5tQyaMQGMUjOa8IasxozVa0M8cNMmQa-TYQ2GqNkcRy8uxAIeeJG8qJ8vO8s58pu8ppFTpYKZ4HBRPB53BnPBN3BNKRen0GpiVUU4O2ivq6nwSINszGMqh4F8CvaCJV2jV7BeuwD+HjuojwJG8aJ8fO8c58Zu8etGf2igQRlWzhrbnrlwWNHWONVavT6OrrbCkLamQQ9LDyhYAFo1PFkzofc0o7VZRAenBJ31w-q89UFOKQ0FEQ9U93hZht0yIEK5KfFAp5hfNdf8Aolh2gdNj1ecgpPIJyGNdUKsSPuACi+L+ZD-nUVb-IBWoLjmh5dn6wo5AgcxRJeIoLIsA7SBUyCjiua7ThuAxzvONZjJyaF+KsYzhEumQYOuY69FYpFTHmyFAV+fjgehgoPrxP5fBBJyiKIQA
13:41:24: [INFO] Add SW81 footprint
13:41:24: [INFO] Add D81 footprint
13:41:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:41:24: [INFO] Add ST81 footprint
13:41:24: [INFO] Add SW82 footprint
13:41:24: [INFO] Add D82 footprint
13:41:24: [INFO] Add SW83 footprint
13:41:24: [INFO] Add D83 footprint
13:41:24: [INFO] Add SW84 footprint
13:41:24: [INFO] Add D84 footprint
13:41:24: [INFO] Add SW85 footprint
13:41:24: [INFO] Add D85 footprint
13:41:24: [INFO] Add SW86 footprint
13:41:24: [INFO] Add D86 footprint
13:41:24: [INFO] Add SW87 footprint
13:41:24: [INFO] Add D87 footprint
13:41:24: [INFO] Add SW88 footprint
13:41:24: [INFO] Add D88 footprint
13:41:24: [INFO] Detected layout convertible to matrix annotated keyboard
13:41:24: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:41:24: [INFO] Layout offset: (38100000, 38100000)
13:41:24: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:41:24: [INFO] Placing additional elements for SW88
13:41:24: [INFO] Placing additional elements for SW87
13:41:24: [INFO] Placing additional elements for SW86
13:41:24: [INFO] Placing additional elements for SW85
13:41:24: [INFO] Placing additional elements for SW84
13:41:24: [INFO] Placing additional elements for SW83
13:41:24: [INFO] Placing additional elements for SW82
13:41:24: [INFO] Placing additional elements for SW81
13:41:24: [INFO] Placing additional elements for SW80
13:41:24: [INFO] Placing additional elements for SW79
13:41:24: [INFO] Placing additional elements for SW78
