=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwA4C+AaO4AMaEFYAdAO2OJwXA21wDZSSjzwBdNAKDCljgCYA6AOx4qAT25Y+wzAGNu4AMQBDZSvDpMOLJQ25tEaPAk8p4WfAUDLVtVRw89XeAj44Zc+dM9ebOgCzbqPACcGmC0AQcDOAkTM0wlFWUfagBOMIQtW1wKLIR7DH1xSSo4hS9vdWoEAGZ0-1yg3NCCx2i+YxL3RKTK8jTcpBZ2Tij+IVEivEqENEzMGZy4QsN22Pdyz2SZ-Pm0WqoZ+t3G3ebdiIO0Qcv+3YyAhcXwBZ3n3H27o4hShMSAgHduDxprR6GRZpEisYQQgLndBqwOMteIIplQeBD0boWlEjCZAU5JJUMTtvusNskMR9wBijjS0Cd6Wd6XD6ddMBjbvT7liEE8MXkAgLqQKvuACYgiby6AxiDM5si8Z1zL9VMTcKyBezkc5xm4VVZrFQJc4OpgABZA432Qkmc02xBUSAOgC0eMq1VBsqICyGSNaYzWKu6imSnrm4E9i0Vq2N3F1aMwntJpnJ5TDewCnrpnsZnuZntZnvZkbQXKjEajTyjryjHzJBsNrIl-GhVCjMvo8shKzNqeD3QzsKzuG1rQkev78Q2sg9uF8YJ9ukRnB+IYB8dWlV8aB4i4FDh+M+SO+q++xS3HxX18XX28xmB30avfZbW6oO733oxCqnZQp950jujI7syO6sjuJY7lyT4Rk+TxPq8T5imug5xvAgb3vgi7hj2cDVC46GSkIWGEN6UaHmmFQfl69AUSuyI8EqmBiPAbqosqt6DlhEQMQGHEsdw7FtpgwgRsIz64rGmAmlKom7ouO7iXsikPhAsmJuAwgLt6SmUSqx5ETQlQSVgqm-qhfxEc4mkSV+9B6VQEk6Q5aniputm4GRrlaHxUQICk0ngKxcDsSRTm0AEEmshJCLDMiJghRO+IeSZCm6ReWkqRlz4aWlLkME++nThSRnvvJGSqc+lmqNZ5VZXkVUOLJIkNQVxBFS0LWedhOV+iM3ApYSrXCPZhW7s1m4jdlrkpt1+WqSmR6lTJ3A0PVpmLcVCjrnVPVjR1E1dalEUIO1RCflFXlbX5g11dNB0XZmx3DZ5Z4ZfW7mvQtH3bR4K1fXA63TZVv0tDVSR7WljVgxV52npNtrQ95421Ld8BDZKD2qWK80Re9rm41Nnnw2gKFUZsZUg2ZGXkwOVmrUjp2PTuRPfadpNs1jPUo4d-jo3AmM2WlLMMldBPjSc6knfJpNS3+-3pkRAjQzTrnyxDoZQ8zqny3lHO6ywzBAA
13:27:49: [INFO] Add SW8 footprint
13:27:49: [INFO] Add D8 footprint
13:27:49: [INFO] Add SW9 footprint
13:27:49: [INFO] Add D9 footprint
13:27:49: [INFO] Add SW10 footprint
13:27:49: [INFO] Add D10 footprint
13:27:49: [INFO] Add SW11 footprint
13:27:49: [INFO] Add D11 footprint
13:27:49: [INFO] Add SW12 footprint
13:27:49: [INFO] Add D12 footprint
13:27:49: [INFO] Add SW13 footprint
13:27:49: [INFO] Add D13 footprint
13:27:49: [INFO] Add SW14 footprint
13:27:49: [INFO] Add D14 footprint
13:27:49: [INFO] Add SW14a footprint
13:27:49: [INFO] Add SW15 footprint
13:27:49: [INFO] Add D15 footprint
13:27:49: [INFO] Add SW15a footprint
13:27:49: [INFO] Add SW16 footprint
13:27:49: [INFO] Add D16 footprint
13:27:49: [INFO] Add SW17 footprint
13:27:49: [INFO] Add D17 footprint
13:27:49: [INFO] Add SW18 footprint
13:27:49: [INFO] Add D18 footprint
13:27:49: [INFO] Add SW19 footprint
13:27:49: [INFO] Add D19 footprint
13:27:49: [INFO] Add SW20 footprint
13:27:49: [INFO] Add D20 footprint
13:27:49: [INFO] Add SW21 footprint
13:27:49: [INFO] Add D21 footprint
13:27:49: [INFO] Add SW22 footprint
13:27:50: [INFO] Add D22 footprint
13:27:50: [INFO] Add SW23 footprint
13:27:50: [INFO] Add D23 footprint
13:27:50: [INFO] Add SW24 footprint
13:27:50: [INFO] Add D24 footprint
13:27:50: [INFO] Add SW25 footprint
13:27:50: [INFO] Add D25 footprint
13:27:50: [INFO] Add SW26 footprint
13:27:50: [INFO] Add D26 footprint
13:27:50: [INFO] Add SW27 footprint
13:27:50: [INFO] Add D27 footprint
13:27:50: [INFO] Add SW28 footprint
13:27:50: [INFO] Add D28 footprint
13:27:50: [INFO] Add SW29 footprint
13:27:50: [INFO] Add D29 footprint
13:27:50: [INFO] Add SW30 footprint
13:27:50: [INFO] Add D30 footprint
13:27:50: [INFO] Add SW31 footprint
13:27:50: [INFO] Add D31 footprint
13:27:50: [INFO] Add SW32 footprint
13:27:50: [INFO] Add D32 footprint
13:27:50: [INFO] Add SW33 footprint
13:27:50: [INFO] Add D33 footprint
13:27:50: [INFO] Add ST33 footprint
13:27:50: [INFO] Add SW34 footprint
13:27:50: [INFO] Add D34 footprint
13:27:50: [INFO] Add SW35 footprint
13:27:50: [INFO] Add D35 footprint
13:27:50: [INFO] Add SW36 footprint
13:27:50: [INFO] Add D36 footprint
13:27:50: [INFO] Add SW37 footprint
13:27:50: [INFO] Add D37 footprint
