=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ0CMBRcE08SkQULZ4s7buE7i6+AEwTO8mVgDMC1RPwAWdTuXV1B5QDZ1p5YwA6AOxs38hYvX4o0qEZKxXbPh91LkVNTYogAc-uBk8FSMtAgA7uSyIZ7edtb44gC6WABQwOCyXE5RFDR0ifDsNCkqxTzOCIhCwilF0gh1HYVYSp29EkVqdHXDCEV6-ZM9Rv2zPeb9i7wMrm4SlXDVwSNe6Tacjg2lQW1Y4SXk23R8TSysFVeUsnHgABZJFfJV5Qhv31s6CQAQBaKgvFK0NI+KTgHL5FYuNzuFJaAj7axoo4BaK-cCbaqxSH1RFNFqCDxo7q0bpovoQazkAAuACcAK4AU2JfXAaLG4FoYwZzPZXLoaOmtGmaPmtHmaOWjSY90YGySzx2CChGMOEROeNuSGRyEp5wxtGxkUCBtW5OgxOMOrEcLyYCVa3QKWM6J8Nixequjx+RLojBJ7rtHm93TD3W9PLDPO9-LD-O90zD0298zDs1JRuRap+ELo3sdvusRSO4DD0JsVYDP1wXrNFYtjbKr02sg1LfL6XaHfBmvAZYxRXp+KeJYQtfHA3hbtKKhSoR96TqloJNToa-YGM3EUNiBVqqDcEYq9UB-Dx+NRa2O4Qa+oN+ra-7PkPi4gAE9yGCeIfPAySluuPhUh27Den8SQtqE5rOj+VrwHUCRPCOa64DeHT5ieKoPgAnFeKg4Ueqz3ue2xXp+NhdC6CIoXAK67uBdEDE4x6ng+7DNqxpEVnUk53oWNE3vIWRZEAA
13:30:00: [INFO] Add D33 footprint
13:30:00: [INFO] Add SW34 footprint
13:30:00: [INFO] Add D34 footprint
13:30:00: [INFO] Add SW35 footprint
13:30:00: [INFO] Add D35 footprint
13:30:00: [INFO] Add SW36 footprint
13:30:00: [INFO] Add D36 footprint
13:30:00: [INFO] Add SW37 footprint
13:30:00: [INFO] Add D37 footprint
13:30:00: [INFO] Add SW38 footprint
13:30:00: [INFO] Add D38 footprint
13:30:00: [INFO] Add SW39 footprint
13:30:00: [INFO] Add D39 footprint
13:30:00: [INFO] Add SW40 footprint
13:30:00: [INFO] Add D40 footprint
13:30:00: [INFO] Add SW41 footprint
13:30:00: [INFO] Add D41 footprint
13:30:00: [INFO] Add SW42 footprint
13:30:00: [INFO] Add D42 footprint
13:30:00: [INFO] Add SW43 footprint
13:30:00: [INFO] Add D43 footprint
13:30:00: [INFO] Add SW44 footprint
13:30:00: [INFO] Add D44 footprint
13:30:00: [INFO] Add SW45 footprint
13:30:00: [INFO] Add D45 footprint
13:30:01: [INFO] Add SW46 footprint
13:30:01: [INFO] Add D46 footprint
13:30:01: [INFO] Add SW47 footprint
13:30:01: [INFO] Add D47 footprint
13:30:01: [INFO] Add SW48 footprint
13:30:01: [INFO] Add D48 footprint
13:30:01: [INFO] Add SW49 footprint
13:30:01: [INFO] Add D49 footprint
13:30:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:01: [INFO] Add ST49 footprint
13:30:01: [INFO] Add SW49a footprint
13:30:01: [INFO] Add ST49a footprint
13:30:01: [INFO] Add SW50 footprint
13:30:01: [INFO] Add D50 footprint
13:30:01: [INFO] Add SW50a footprint
