=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:20:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAVm3AF0UAoMKWOAJjXAE9GBaDAOkIHZSJTCia44+RgEZhWACzjJ8AGzDyCvA3gzW5MdTpK45dB3jc+g2SlKKtcOWptVa9M3AsCT4AMaNwAMT8wSHg1hh2fvCBPrFxYaxYUnYEcFJMTsmaUegBAIYFhQlkKBEG9KkIrO4WCIKsOTFxscXgUhSaqcSsyhTlRiymXLxewu1indJjKBoS9qo9MylTi-quRt41I1as7baT8I6Ltv3sw5bejfmFBa3tEdn+Ac0t01lzqenCve8QVze3b6lFyGexVIbmXh1S5PF5+YQsHAHODddD8PrreyDM6Qi4I0TLbT42ZGBZopbInTktag1Kbc6jVgsfYfRhHcknTFbC4NJ4AvKtFgPOZXOGClC-exfVjoyX-AGtdFlTGVarnaG86LPF6tKpI1lEYSEDG0xjY7mM9BVCYGtLCKok+ZGim2qngY00iqMem4y3gKosozs93OU4W+roeU3XXAx5asX2iWEtIZVjGuV8hXO5Wm+AIHg+jy8dJCVhyAnI-g8DDCACcBNOqTkBbVvp26HL+o21brJvoACdGAgsOh+11WKleL0IQ4eFJwb4niFQsJy6QADoAOy3W6wwogAAszaubDvt5usDaIABnAC2-n7AHsAC4AfQApj4pMkTxvz7uJTPIDz3fHMvXgKdWDvfxWnLORgL3ZMpB7MsZgQpNTkHcxhwnLh82nHEPCYasoPvaInzfT9v1aes-zPdopGA4D30laDonEcAj3gVN0HreD-03cYONo4D7hBcCPHw3t+PopNKRQ3i0IEsTKEoIA
14:21:00: [INFO] Routing SW55 with D55
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW55:2' at (216112893, 126265615) with pad 'D55:2' at (222152597, 131646689) using coordinate system rotated by 330.0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(216112893, 126265615), (218682890, 130716983)]
14:21:00: [INFO] Adding track segment (B.Cu): [(218682890, 130716983), (222152597, 131646689)]
14:21:00: [INFO] Routing SW54 with D54
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW54:2' at (240665000, 116363750) with pad 'D54:2' at (243205000, 124043750) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(240665000, 116363750), (240665000, 121503750)]
14:21:00: [INFO] Adding track segment (B.Cu): [(240665000, 121503750), (243205000, 124043750)]
14:21:00: [INFO] Routing SW53 with D53
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW53:2' at (259715000, 113982500) with pad 'D53:2' at (262255000, 121662500) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(259715000, 113982500), (259715000, 119122500)]
14:21:00: [INFO] Adding track segment (B.Cu): [(259715000, 119122500), (262255000, 121662500)]
14:21:00: [INFO] Routing SW52 with D52
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW52:2' at (231140000, 94932500) with pad 'D52:2' at (233680000, 102612500) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(231140000, 94932500), (231140000, 100072500)]
14:21:00: [INFO] Adding track segment (B.Cu): [(231140000, 100072500), (233680000, 102612500)]
14:21:00: [INFO] Routing SW51 with D51
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW51:2' at (250190000, 92551250) with pad 'D51:2' at (252730000, 100231250) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(250190000, 92551250), (250190000, 97691250)]
14:21:00: [INFO] Adding track segment (B.Cu): [(250190000, 97691250), (252730000, 100231250)]
14:21:00: [INFO] Routing SW50 with D50
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW50:2' at (269240000, 90170000) with pad 'D50:2' at (271780000, 97850000) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(269240000, 90170000), (269240000, 95310000)]
14:21:00: [INFO] Adding track segment (B.Cu): [(269240000, 95310000), (271780000, 97850000)]
14:21:00: [INFO] Routing SW49 with D49
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW49:2' at (288290000, 92551250) with pad 'D49:2' at (290830000, 100231250) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(288290000, 92551250), (288290000, 97691250)]
14:21:00: [INFO] Adding track segment (B.Cu): [(288290000, 97691250), (290830000, 100231250)]
14:21:00: [INFO] Routing SW48 with D48
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW48:2' at (307340000, 97313750) with pad 'D48:2' at (309880000, 104993750) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(307340000, 97313750), (307340000, 102453750)]
14:21:00: [INFO] Adding track segment (B.Cu): [(307340000, 102453750), (309880000, 104993750)]
14:21:00: [INFO] Routing SW47 with D47
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW47:2' at (326390000, 97313750) with pad 'D47:2' at (328930000, 104993750) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(326390000, 97313750), (326390000, 102453750)]
14:21:00: [INFO] Adding track segment (B.Cu): [(326390000, 102453750), (328930000, 104993750)]
14:21:00: [INFO] Routing SW46 with D46
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW46:2' at (231140000, 75882500) with pad 'D46:2' at (233680000, 83562500) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(231140000, 75882500), (231140000, 81022500)]
14:21:00: [INFO] Adding track segment (B.Cu): [(231140000, 81022500), (233680000, 83562500)]
14:21:00: [INFO] Routing SW45 with D45
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW45:2' at (250190000, 73501250) with pad 'D45:2' at (252730000, 81181250) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(250190000, 73501250), (250190000, 78641250)]
14:21:00: [INFO] Adding track segment (B.Cu): [(250190000, 78641250), (252730000, 81181250)]
14:21:00: [INFO] Routing SW44 with D44
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW44:2' at (269240000, 71120000) with pad 'D44:2' at (271780000, 78800000) using coordinate system rotated by 0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(269240000, 71120000), (269240000, 76260000)]
14:21:01: [INFO] Adding track segment (B.Cu): [(269240000, 76260000), (271780000, 78800000)]
14:21:01: [INFO] Routing SW43 with D43
14:21:01: [INFO] Using internal autorouter method
14:21:01: [INFO] Routing pad 'SW43:2' at (288290000, 73501250) with pad 'D43:2' at (290830000, 81181250) using coordinate system rotated by 0 degree(s)
14:21:01: [INFO] Adding track segment (B.Cu): [(288290000, 73501250), (288290000, 78641250)]
