=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:24: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwBo7gMa1QYgOx-+AL4rgAMSpAOgHY03kCM4KE08pAdAEwCsJG8cFjQjRREozq1qjZqnJcp9JEwlIAzEpkq5ZJAi2yWUTJ179MQgIY3b4+Uh6GdagGzPVDnB93kAHD7GbHBmfKgC2KJixA4AnIEODAwJegyK0sqeqZoZ2p6sptxh6JZYtnYxqQa5sgC6SABQYCbwyKgAnoXm4aX4BJXkVDUUchARQlEiugAmmAAuAE4ArgCmAyrOpL5I6VKD2zl7I2rVR1tqTsPncAXsHMXjZeVW9nruV9veH2oB33GboxaIXuFkEwkmr0YyT+qV20n2agYh3hx0SpxR11uwO6JTBzxe6wYPG2DFcJJwgOCoUJfhJsW2XGuei4THqTSxbXAnTuOMekwwlQYqPAQqyQq4uiF6kl+hlxJIQrJCqQFOVtOV9OVDCZorFKglxke+N0AHdMFxBSp0TQuKisdStfLUKKlc6VKqbkCHW6GOqfZq3YyZSzKeaiqDIhDLUitLb8rjsMbo9bqHHwGzmsFOWb4Ax7pVbZiExMoyQ02WdrpbdKKwgq45667wLaPc2kH62wG29r60lewbPTm4HmeAWVMiaMgi1Twz08c9XnGnd2m3GPfbZ8XwVFFyoO3Gu7ag4bSsaSAALc1jllaPx2r1Fa-QqR3+PBPM4B6lfmmzB5nGXvAtqoCaEq5iCqDnmBw4kJA0EALTeuA6jjloyCso0mZ-puRoLiQQ7-sUoHYZ+JAADbzMsawkChQxSChb7YURJGjjRFBaLRgJ8qWqAMboKEDshGj8bKbHLihTYoa2KEdihXYMUyDHxo8fR4L+QGPmxMa5FOobwOoEFbj+lQMbJKjyTs07Ybyp4LiZOzPtIr56cCn72WkaE6BmWKEfh1msagU5aK4LiBRsuQhYxdzMRpvCVEFEX3txO7xZWJDIDWYV1ulDY5U2yCtsgHbIF26FMuhym2eU6lwFwHBuTlHm5HwVngXFjWuj5OHfjx4DocV5m6Mgx6eipqm6IBtWpTeuSxPeM42fO1XTY5NBzVF2IxcO9UBX1+paHwWToRO1CHemmEcn5bW7S1WhCkWBGaagh13fej3tc9OyvUWyViFdcCuE94B8F8Uj3VxVV2P9hGVIddHSODxjvTdKirdQiODv5sP7bkGMQMj2PaWD81dCjRK6IdTaHeuD6LZGO7-RaJCHfEuQ4MKfAjV1dPWHZzMOVo63neyQKctym3Q-m-PwzQooU+FxPxo9KNwrLoVjD1DMgZgODY6DCPq1uZ7a+BZNo3L-NNYrgLK4TJ0W56wQGV+YLGZbvxSOzWQs1oXvprUQA
13:41:30: [INFO] Add SW71 footprint
13:41:30: [INFO] Add D71 footprint
13:41:30: [INFO] Add SW72 footprint
13:41:30: [INFO] Add D72 footprint
13:41:30: [INFO] Add SW73 footprint
13:41:30: [INFO] Add D73 footprint
13:41:30: [INFO] Add SW74 footprint
13:41:30: [INFO] Add D74 footprint
13:41:30: [INFO] Add SW75 footprint
13:41:30: [INFO] Add D75 footprint
13:41:30: [INFO] Add SW76 footprint
13:41:30: [INFO] Add D76 footprint
13:41:30: [INFO] Add SW77 footprint
13:41:30: [INFO] Add D77 footprint
13:41:30: [INFO] Add SW78 footprint
13:41:30: [INFO] Add D78 footprint
13:41:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:30: [INFO] Add ST78 footprint
13:41:30: [INFO] Add SW78a footprint
13:41:30: [INFO] Add ST78a footprint
13:41:30: [INFO] Add SW79 footprint
13:41:31: [INFO] Add D79 footprint
13:41:31: [INFO] Add SW80 footprint
13:41:31: [INFO] Add D80 footprint
13:41:31: [INFO] Add SW81 footprint
13:41:31: [INFO] Add D81 footprint
13:41:31: [INFO] Add SW82 footprint
13:41:31: [INFO] Add D82 footprint
13:41:31: [INFO] Add SW83 footprint
13:41:31: [INFO] Add D83 footprint
13:41:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:31: [INFO] Add ST83 footprint
13:41:31: [INFO] Add SW83a footprint
13:41:31: [INFO] Add SW84 footprint
13:41:31: [INFO] Add D84 footprint
13:41:31: [INFO] Add SW85 footprint
13:41:31: [INFO] Add D85 footprint
13:41:31: [INFO] Add SW86 footprint
13:41:31: [INFO] Add D86 footprint
13:41:31: [INFO] Add SW87 footprint
13:41:31: [INFO] Add D87 footprint
13:41:31: [INFO] Add SW88 footprint
13:41:31: [INFO] Add D88 footprint
13:41:31: [INFO] Add SW89 footprint
13:41:31: [INFO] Add D89 footprint
13:41:31: [INFO] Add SW90 footprint
13:41:31: [INFO] Add D90 footprint
13:41:31: [INFO] Add SW91 footprint
13:41:31: [INFO] Add D91 footprint
13:41:31: [INFO] Add SW92 footprint
13:41:31: [INFO] Add D92 footprint
13:41:31: [INFO] Add SW93 footprint
13:41:31: [INFO] Add D93 footprint
13:41:31: [INFO] Add SW94 footprint
13:41:31: [INFO] Add D94 footprint
13:41:31: [INFO] Add SW95 footprint
13:41:32: [INFO] Add D95 footprint
13:41:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:41:32: [INFO] Add ST95 footprint
13:41:32: [INFO] Add SW95a footprint
13:41:32: [INFO] Add SW96 footprint
13:41:32: [INFO] Add D96 footprint
