=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCTyAOgDsvXqDpfIymZY1EjEJM6ISCQ+3p6uWh5xvsigALqQAFDA5jx8AvxCCEjQ4iX66CF4hKTk3LQ2tuQOeGER5CWGlfW8BYWRJcbFkKbDsh0KZZBBw2oTmhPaU3rLXaDlQ+vIoxgtcG0DyEmxJf65DY2WRVtIMxjYeEQEUAg99IwM9qHh5AAWjs0OK0CGQEL8gftyJgIQBaGrtBBEI6xLzldJZHKUCz5ArXJH+UBIir3ajwurYy5XZrfOgIwmQLrnXp9PGicRI0b08aIybkJEzelzHkLHlLPnICr0pBrIlDJnvD5fR7hSJE45xU6cLF5Sms25ah77Z7kvJ9Kiq7YozxojLZUAiUrkB3Eqr4H6vCmXJVwJ6kSIOohW-Fat5m64OzkO7n23kIB0Ch1CmMimNiuMS8TOtbOuXai6Nb1hWn+7Yh7EfT4ltxlnVeqvKW2Y0MsyISR0INsuw1kj21gvU4F0tuB5KeB0EtsiK3jrV7A7kNsSaft+VhgdwOityAqZdnPNWL3r+cd5BT0cz4LdkEm2gV5RbpCczuKBeBdHZEnK2oIACepPd+40LqR4qk6DJBqkYFnrERLvpihq+qCoB-tUAFziCW4jrEzriJOy4uuhQ4jPhNa0GuCB7CIW7ql4OGvju56QZUlEPuAJHBG8wEUd8RFINBcQ4Y2n4+mhPGYcuax4YxjKgIRW5LtJpHMri66IdREmzo4W4MdhDKacqxavtoGkcZ6-bcYOD78bRelCa6iHkChbpIehfqvlhAlssErlEdZY5ecx3xuSeCm6bmzYqRZcDyKBJ46Z54VmU0UVhMFoCdh5Nm5j5VnLmIdkIaJwJpcOy47LJQW+WV+lGiVxGMeVEWCKpsXpQo1XeZV2kdYFBm8WxDVKUBh4pa1GU9bsXVGX5EbpGkQA
13:31:28: [INFO] Add D12 footprint
13:31:28: [INFO] Add SW13 footprint
13:31:28: [INFO] Add D13 footprint
13:31:28: [INFO] Add SW14 footprint
13:31:28: [INFO] Add D14 footprint
13:31:28: [INFO] Add SW15 footprint
13:31:28: [INFO] Add D15 footprint
13:31:28: [INFO] Add SW16 footprint
13:31:28: [INFO] Add D16 footprint
13:31:28: [INFO] Add SW17 footprint
13:31:28: [INFO] Add D17 footprint
13:31:28: [INFO] Add ST17 footprint
13:31:28: [INFO] Add SW17a footprint
13:31:28: [INFO] Add SW18 footprint
13:31:28: [INFO] Add D18 footprint
13:31:28: [INFO] Add SW19 footprint
13:31:28: [INFO] Add D19 footprint
13:31:28: [INFO] Add SW20 footprint
13:31:28: [INFO] Add D20 footprint
13:31:28: [INFO] Add SW21 footprint
13:31:29: [INFO] Add D21 footprint
13:31:29: [INFO] Add SW22 footprint
13:31:29: [INFO] Add D22 footprint
13:31:29: [INFO] Add SW23 footprint
13:31:29: [INFO] Add D23 footprint
13:31:29: [INFO] Add SW24 footprint
13:31:29: [INFO] Add D24 footprint
13:31:29: [INFO] Add SW25 footprint
13:31:29: [INFO] Add D25 footprint
13:31:29: [INFO] Add SW26 footprint
13:31:29: [INFO] Add D26 footprint
13:31:29: [INFO] Add SW27 footprint
13:31:29: [INFO] Add D27 footprint
13:31:29: [INFO] Add SW28 footprint
13:31:29: [INFO] Add D28 footprint
13:31:29: [INFO] Add SW29 footprint
13:31:29: [INFO] Add D29 footprint
13:31:29: [INFO] Add SW30 footprint
13:31:29: [INFO] Add D30 footprint
13:31:29: [INFO] Add SW31 footprint
13:31:29: [INFO] Add D31 footprint
13:31:29: [INFO] Add SW32 footprint
13:31:29: [INFO] Add D32 footprint
13:31:29: [INFO] Add SW33 footprint
13:31:29: [INFO] Add D33 footprint
13:31:29: [INFO] Add SW34 footprint
13:31:29: [INFO] Add D34 footprint
13:31:29: [INFO] Add SW35 footprint
13:31:29: [INFO] Add D35 footprint
13:31:29: [INFO] Add SW36 footprint
13:31:29: [INFO] Add D36 footprint
13:31:29: [INFO] Add SW37 footprint
13:31:29: [INFO] Add D37 footprint
13:31:29: [INFO] Add SW38 footprint
13:31:29: [INFO] Add D38 footprint
13:31:29: [INFO] Add SW39 footprint
13:31:29: [INFO] Add D39 footprint
13:31:30: [INFO] Add SW40 footprint
13:31:30: [INFO] Add D40 footprint
13:31:30: [INFO] Add SW41 footprint
13:31:30: [INFO] Add D41 footprint
13:31:30: [INFO] Add SW42 footprint
13:31:30: [INFO] Add D42 footprint
13:31:30: [INFO] Add SW43 footprint
13:31:30: [INFO] Add D43 footprint
13:31:30: [INFO] Add SW44 footprint
13:31:30: [INFO] Add D44 footprint
13:31:30: [INFO] Add SW45 footprint
13:31:30: [INFO] Add D45 footprint
13:31:30: [INFO] Add SW46 footprint
13:31:30: [INFO] Add D46 footprint
13:31:30: [INFO] Add SW47 footprint
13:31:30: [INFO] Add D47 footprint
13:31:30: [INFO] Add SW48 footprint
13:31:30: [INFO] Add D48 footprint
13:31:30: [INFO] Add SW49 footprint
13:31:30: [INFO] Add D49 footprint
13:31:30: [INFO] Add SW50 footprint
13:31:30: [INFO] Add D50 footprint
13:31:30: [INFO] Add SW51 footprint
13:31:30: [INFO] Add D51 footprint
13:31:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:30: [INFO] Add ST51 footprint
13:31:30: [INFO] Add SW51a footprint
13:31:30: [INFO] Add ST51a footprint
13:31:30: [INFO] Add SW52 footprint
13:31:30: [INFO] Add D52 footprint
13:31:30: [INFO] Add SW53 footprint
13:31:30: [INFO] Add D53 footprint
13:31:30: [INFO] Add SW54 footprint
13:31:30: [INFO] Add D54 footprint
13:31:30: [INFO] Add SW55 footprint
13:31:30: [INFO] Add D55 footprint
13:31:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:30: [INFO] Add ST55 footprint
13:31:30: [INFO] Add SW55a footprint
13:31:30: [INFO] Add SW56 footprint
13:31:30: [INFO] Add D56 footprint
13:31:30: [INFO] Add SW57 footprint
13:31:30: [INFO] Add D57 footprint
13:31:31: [INFO] Add SW58 footprint
13:31:31: [INFO] Add D58 footprint
13:31:31: [INFO] Add SW59 footprint
13:31:31: [INFO] Add D59 footprint
13:31:31: [INFO] Add SW60 footprint
13:31:31: [INFO] Add D60 footprint
13:31:31: [INFO] Add SW61 footprint
13:31:31: [INFO] Add D61 footprint
13:31:31: [INFO] Add SW62 footprint
13:31:31: [INFO] Add D62 footprint
13:31:31: [INFO] Add SW63 footprint
13:31:31: [INFO] Add D63 footprint
13:31:31: [INFO] Add SW64 footprint
13:31:31: [INFO] Add D64 footprint
13:31:31: [INFO] Add SW65 footprint
13:31:31: [INFO] Add D65 footprint
13:31:31: [INFO] Add SW66 footprint
13:31:31: [INFO] Add D66 footprint
13:31:31: [INFO] Add SW67 footprint
13:31:31: [INFO] Add D67 footprint
13:31:31: [INFO] Add SW68 footprint
13:31:31: [INFO] Add D68 footprint
13:31:31: [INFO] Add SW69 footprint
13:31:31: [INFO] Add D69 footprint
13:31:31: [INFO] Add SW70 footprint
13:31:31: [INFO] Add D70 footprint
13:31:31: [INFO] Add SW71 footprint
13:31:31: [INFO] Add D71 footprint
