=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcBDQ8LCaeZE8c+KqSHCGTAIyt22FgGYpnfAA5UaRtgkopzDIvlR8yYk37ZKAQwuXR6nVpYBOLRMdNMLuAu5FVTFgicY-r4YYgGhALoYAFBg+vCETHheRmQUlMIiauAykkwJchxxcPbeWTmaebZMObqFJlSWVkwA7viEWQn2ADoAdr29fnpccGKllUHYORPgCaHVIUMGSLz16RnkHRjdfTssc5Nb-bsLkTGeI97GaY0WWq3woz7YmGx1aesbTAAsGAUeRSV0FlMBVsD9as8qv97hcnuAftsjhIJudHlkftNMNMfvsIKsbmYtAALNrAkJHXpYxYPS6pATUWg0O74UYpcAk+ItNg03hE7kjJiQfkAWkMcJQhx2vQkuKKYqu9IJ1nAmDEFJ6qvAp1iw2Q6BaLJUWQlr3+qw+yoAbL9qSMxcaMKDwNaIXi0oymQb4mNsBLETtkbbHgrTBastbphLptbZcNWeKdOqZUHliGGjdlRK1VKNSdorEYYQfeBFKx1QkUXx3utlaW-qi9XD7I69PiM164EXiFlm4p1VNW+6PbWtim2eaa1lS9Nm9NS7LVh6nRzO1kxDL1RHbUX9XTTEqe+SczGtfnzjwO-G1xJTRAYVfxLIg43L8X1y3Cve3yxXVX6UvlXfCFwDEBwnGcW15T3QQaw7dpxGRdUMScPZbRkFQ0wZRlAI3Y88zOXAlnHa522wL9uyYUtCHLBYmGbaic1mIMdzhUs+xzHJZXIptEw42j-mGLsVmrDJAL8JD+JAxCcxxU8CIAJxZH5sHk4ZlPAeSkk7VNsDjRJ8GFIsZBQLIWC+OTYi00UkEURQ1xtQo9Og8wM3s8ztXOHJsCs5BFBM4I0As1FMLDSp3LPQj4Gs2yygcgSWVi8KCOGLzIrgaL-OwBJAo8ooJG8gz7W+DAksswqbLs1w4tRMlSs8-Sot8zL4QwHKIqctLrIo7BrTqzrfMq31qryh0+pShr0qa8NWqCvKJq61iStmnyKsPesRropbcvGgrGps5rS0Cx8Zu2pZeBWsRUrbRpmRpbqpOGidRNfe7QK29r8FSla-Lg693oUgyxHU1SWXQtlhkMpAWF29KjOaiRLVmiH0Oh-qKswg9gkRxzDVRp7MmCTRTqir4ofmpqMdc8QTo+qKizxkSCYORHifSlHydWypsfimkEE2InafS0nUe+5qcja5KDPpjn7swFnBeFdmYeiwaWu51EofRFtWeFYWOb8skJZ1KWyeVoqhvlyWoqVtGYqYa11byzX7e1hW9bN-aHSN85IZF8r7ubS3jet03bdV0tHbjZ3sFLAWrfStBQ9Fv6juwZtvaKSG2Quq6SJul64XfIOfcTv29p+5yLTgo1jpZ8IgA
13:32:12: [INFO] Add ROW2 net
13:32:12: [INFO] Add ROW3 net
13:32:12: [INFO] Add ROW4 net
13:32:12: [INFO] Add ROW5 net
13:32:12: [INFO] Add ROW6 net
13:32:12: [INFO] Add ROW7 net
13:32:12: [INFO] Add ROW8 net
13:32:12: [INFO] Add ROW9 net
13:32:12: [INFO] Add SW1 footprint
13:32:12: [INFO] Add D1 footprint
13:32:12: [INFO] Add SW2 footprint
13:32:12: [INFO] Add D2 footprint
13:32:12: [INFO] Add SW3 footprint
13:32:12: [INFO] Add D3 footprint
13:32:12: [INFO] Add SW4 footprint
13:32:12: [INFO] Add D4 footprint
13:32:12: [INFO] Add SW5 footprint
13:32:12: [INFO] Add D5 footprint
13:32:12: [INFO] Add SW6 footprint
13:32:12: [INFO] Add D6 footprint
13:32:12: [INFO] Add SW7 footprint
13:32:12: [INFO] Add D7 footprint
13:32:12: [INFO] Add SW8 footprint
13:32:13: [INFO] Add D8 footprint
13:32:13: [INFO] Add SW9 footprint
13:32:13: [INFO] Add D9 footprint
13:32:13: [INFO] Add SW10 footprint
13:32:13: [INFO] Add D10 footprint
13:32:13: [INFO] Add SW11 footprint
13:32:13: [INFO] Add D11 footprint
13:32:13: [INFO] Add SW12 footprint
13:32:13: [INFO] Add D12 footprint
13:32:13: [INFO] Add SW13 footprint
13:32:13: [INFO] Add D13 footprint
13:32:13: [INFO] Add SW14 footprint
13:32:13: [INFO] Add D14 footprint
13:32:13: [INFO] Add SW15 footprint
13:32:13: [INFO] Add D15 footprint
13:32:13: [INFO] Add SW16 footprint
13:32:13: [INFO] Add D16 footprint
13:32:13: [INFO] Add SW17 footprint
13:32:13: [INFO] Add D17 footprint
13:32:13: [INFO] Add SW18 footprint
13:32:13: [INFO] Add D18 footprint
13:32:13: [INFO] Add SW19 footprint
13:32:13: [INFO] Add D19 footprint
13:32:13: [INFO] Add SW20 footprint
13:32:13: [INFO] Add D20 footprint
13:32:13: [INFO] Add SW21 footprint
13:32:13: [INFO] Add D21 footprint
13:32:13: [INFO] Add SW22 footprint
13:32:13: [INFO] Add D22 footprint
13:32:13: [INFO] Add SW23 footprint
13:32:13: [INFO] Add D23 footprint
13:32:13: [INFO] Add SW24 footprint
13:32:14: [INFO] Add D24 footprint
13:32:14: [INFO] Add SW25 footprint
13:32:14: [INFO] Add D25 footprint
13:32:14: [INFO] Add SW26 footprint
13:32:14: [INFO] Add D26 footprint
13:32:14: [INFO] Add SW27 footprint
13:32:14: [INFO] Add D27 footprint
13:32:14: [INFO] Add SW28 footprint
13:32:14: [INFO] Add D28 footprint
13:32:14: [INFO] Add SW29 footprint
13:32:14: [INFO] Add D29 footprint
13:32:14: [INFO] Add ST29 footprint
13:32:14: [INFO] Add SW29a footprint
