=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcCMAZwsJp4BGPVTbc-cAXQwCgwpY4AmVLcATzYFoKADgDs6bu1pFWZJHirgALFLjE2QytwCcKtbPndSpWg2Z64KLtj7xBSUeOwpd4AMZtwAYhE-f4BQBsLiRwilZuHp4AhjGx-twiLu7wXq5p6fHYQiZMLDZwdg7cydjevj6E2ADubKSa2HhJkekZCsYE0iGkYY7gpJIdqhEpZeWV4DWyvaS4BKYsIcjO1gIUCGLFzS3uCriklebk9X2N+-PmnMu8q-ZiCpL7nbVyCsqPQyEavTrvhy+GxjOuXMliu+UKd24zl+w1KsTi3AAFs9ekEYSEekiUQpEjCSqltplwNkgWZrrZhBtsPjovCouNJnA6r1TgdYQSWkTAWyuj02g82TS6fTuIzmW09vRgTJEOFwWsqezPNsdtxcOwebUKNNGhrzjLLtx5bdepINU99K8MOaPupjjobX8DNRjHrpSFQUabg4FM5HTKAsdsm6ycaitTIsKGdjuLrBVtOW1rZqyHzDGb4yMo6KY9R1VKySFA2CbgF2FdkVNAhgECnQuFK0zjola-rFnKboqaSqibhaxamdq2o1W+62IaVhSTfca3W6s6lLOB18FDp+7bLQDZ222J7JwVKb1nOvzMWFNlR6HvV3I3To1XY0uht3CUmTzLusd+k+IEK7zmHzzbcx3gJYvSndZelwRQ5yHQxGhgnd4AnckD2nCQMBggd5ytLCNzgFdtEwud-hdYikLgbVwLQyEGmIwx6Pwz9pkkPC+mggsWAAJzYBBGmwLii3CLj8jCctuC6ORqP4HCoQwFBM1KcoKmrBT9T-eFxkbdhdnkxSvGUkQtPHGcFOkDS4itNSQI4Ui+j0-UeNsPjuEE2pcGwEJ+A81CZKkiMRkMolEjM59b0088HJs7zVz08zIiCrFkLaYxQt-cKEWwbThyiwsBAQfkHLoIA
13:31:55: [INFO] Adding track segment (B.Cu): [(261022743, 156878636), (264492449, 157808341)]
13:31:55: [INFO] Routing SW70 with D70
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW70:2' at (374015000, 116363750) with pad 'D70:2' at (376555000, 124043750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 116363750), (374015000, 121503750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 121503750), (376555000, 124043750)]
13:31:55: [INFO] Routing SW69 with D69
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW69:2' at (374015000, 97313750) with pad 'D69:2' at (376555000, 104993750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 97313750), (374015000, 102453750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 102453750), (376555000, 104993750)]
13:31:55: [INFO] Routing SW68 with D68
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW68:2' at (374015000, 78263750) with pad 'D68:2' at (376555000, 85943750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 78263750), (374015000, 83403750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 83403750), (376555000, 85943750)]
13:31:55: [INFO] Routing SW67 with D67
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW67:2' at (374015000, 59213750) with pad 'D67:2' at (376555000, 66893750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 59213750), (374015000, 64353750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(374015000, 64353750), (376555000, 66893750)]
13:31:55: [INFO] Routing SW66 with D66
13:31:55: [INFO] Using internal autorouter method
