=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxKY75YCMd4AulgFBhSxx6po0CeXALQ90NAMZdwAYhRz54bLgJ5icCJPgzxO3YpoFGJTvDo9qy+kWObc0gIaOna8AHcuCJbToBmNaS4eBAtwABZ6UOY2DjJuKhp3UyovOixVGylpXT0U+n8TODMkPFyGF1S6a3VwWxknZwSuOmSaCr9jWKCQisiWdgD4Lsak9C8ENPzarOzJMbyOrgBOFtxxsxc1o2qp+QVhxCRgud98zsO+XCn6x31ViKj+tw9zrx8JjK1p7NvwN62BuDLEJ-dLbTLXewuRKFXiveiMPoxJoANgEwlEwPofkREEE8BE532zRC4VUOIKdAu4DxcAJoxo4TKDKsLkZ2OiEAATk1xrhObFQrwaJyachgjRYkJmuLcDSpULLpkZrMDFh2pZIqq0C4CMiHkj8c16bhUlVwKl1easJqTVhteTJcS5mbxpbxjbwON7RyCvKSjQ3ma3pa3h63t7Ho7ihJwdcoU0VmFCJNMrs5PH4J5mTaNLH6j9whGONzDbzwPymtKqSKuG9cJLkGJZcJkFSpsqfgQUDqsOQe4se+sHcIfC9Wlg9ePu+O++OB+Ohz7JaP-XdJ3dp3dZ3cB8P8Y3MevflhN8ft8fd0uR4TFZ806foQevOF17nPhCMzCSVhd0wgA
13:31:12: [INFO] Add SW23 footprint
13:31:12: [INFO] Add D23 footprint
13:31:12: [INFO] Add SW24 footprint
13:31:12: [INFO] Add D24 footprint
13:31:12: [INFO] Add SW25 footprint
13:31:12: [INFO] Add D25 footprint
13:31:12: [INFO] Add SW26 footprint
13:31:12: [INFO] Add D26 footprint
13:31:12: [INFO] Add SW27 footprint
13:31:12: [INFO] Add D27 footprint
13:31:12: [INFO] Add SW28 footprint
13:31:12: [INFO] Add D28 footprint
13:31:12: [INFO] Add SW29 footprint
13:31:12: [INFO] Add D29 footprint
13:31:12: [INFO] Add SW30 footprint
13:31:12: [INFO] Add D30 footprint
13:31:12: [INFO] Add SW31 footprint
13:31:13: [INFO] Add D31 footprint
13:31:13: [INFO] Add SW32 footprint
13:31:13: [INFO] Add D32 footprint
13:31:13: [INFO] Add SW33 footprint
13:31:13: [INFO] Add D33 footprint
13:31:13: [INFO] Add SW34 footprint
13:31:13: [INFO] Add D34 footprint
13:31:13: [INFO] Add SW35 footprint
13:31:13: [INFO] Add D35 footprint
13:31:13: [INFO] Add SW36 footprint
13:31:13: [INFO] Add D36 footprint
13:31:13: [INFO] Add SW37 footprint
13:31:13: [INFO] Add D37 footprint
13:31:13: [INFO] Add SW38 footprint
13:31:13: [INFO] Add D38 footprint
13:31:13: [INFO] Add SW39 footprint
13:31:13: [INFO] Add D39 footprint
13:31:13: [INFO] Add SW40 footprint
