=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:17:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoBMBWANHcBjW2BiAQxNPAF8twEMFwBdDAKDCnwEYBmJTbAT3wBaZAE40lbDXYpwVKZwbNWA+MKQJxVdrUUsI0eFyoq4asVTzxwBHLbsUtGdu1lwIlwgHZvP1+ADuHEiemtjaXLqsBnBcwby4+NakZFSBhqih4ChOKAA6AHYFBTR0VNlcRYX5Ja76+MjxaXAoGRJZOZXFTpF1hgAsGalBmZxOCox64ABO0Z5U0YJoPMb16vEe1j6+bVK1CVY2drYOkhgyE1FCS57a2BvEyUR+Teytji5Y7omHRyfg2uclL1TAA2CzfR5PIbpEJtcp7e5HY5ws49NiqMF3CGPZ7DNqjFwXCAzDgtdbfJF4HZOQlA9GIQb8IIaFHONFTUlUEnwbghLkmbijbALZB8pmqbjoakKOQYPp+GhoBUYEFokU8NraGVhOV+bRKxyqi7tbXteVlDAG7DZI106KvdDgg6Q3HwFD4y1+Uaqz70wQDRp4qijcZ0jmqaRc+1k-n4FpCv28+ImQQtR1Yg6Uv40TzKgAcypEyvYdCJiY1jlzjgLjiL71LdqEAwQKKr1owNfbdfbJbVTfUTsILo9bYgLziHu7Y6D2AJpfoQA
14:17:32: [INFO] Adding track segment (B.Cu): [(321627500, 72072500), (321627500, 77212500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(321627500, 77212500), (324167500, 79752500)]
14:17:32: [INFO] Routing SW39a with D39
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW39a:2' at (309721250, 72072500) with pad 'D39:2' at (302736250, 79752500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Routing SW39 with D39
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW39:2' at (300196250, 72072500) with pad 'D39:2' at (302736250, 79752500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(300196250, 72072500), (300196250, 77212500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(300196250, 77212500), (302736250, 79752500)]
14:17:32: [INFO] Routing SW38 with D38
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW38:2' at (278765000, 72072500) with pad 'D38:2' at (281305000, 79752500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(278765000, 72072500), (278765000, 77212500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(278765000, 77212500), (281305000, 79752500)]
14:17:32: [INFO] Routing SW37 with D37
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW37:2' at (255039128, 73531701) with pad 'D37:2' at (259120384, 80515779) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(255039128, 73531701), (256107793, 78559379)]
14:17:32: [INFO] Adding track segment (B.Cu): [(256107793, 78559379), (259120384, 80515779)]
14:17:32: [INFO] Routing SW36 with D36
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW36:2' at (236405416, 77492419) with pad 'D36:2' at (240486672, 84476497) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(236405416, 77492419), (237474081, 82520098)]
14:17:32: [INFO] Adding track segment (B.Cu): [(237474081, 82520098), (240486672, 84476497)]
14:17:32: [INFO] Routing SW35 with D35
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW35:2' at (217771704, 81453136) with pad 'D35:2' at (221852960, 88437214) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(217771704, 81453136), (218840369, 86480815)]
14:17:32: [INFO] Adding track segment (B.Cu): [(218840369, 86480815), (221852960, 88437214)]
14:17:32: [INFO] Routing SW34 with D34
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW34:2' at (199137992, 85413854) with pad 'D34:2' at (203219248, 92397932) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(199137992, 85413854), (200206657, 90441532)]
14:17:32: [INFO] Adding track segment (B.Cu): [(200206657, 90441532), (203219248, 92397932)]
14:17:32: [INFO] Routing SW33 with D33
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW33:2' at (166979216, 86886334) with pad 'D33:2' at (167866949, 94926602) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(166979216, 86886334), (165910550, 91914011)]
14:17:32: [INFO] Adding track segment (B.Cu): [(165910550, 91914011), (167866949, 94926602)]
14:17:32: [INFO] Routing SW32 with D32
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW32:2' at (148345504, 82925616) with pad 'D32:2' at (149233237, 90965884) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(148345504, 82925616), (147276837, 87953292)]
14:17:32: [INFO] Adding track segment (B.Cu): [(147276837, 87953292), (149233237, 90965884)]
14:17:32: [INFO] Routing SW31 with D31
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW31:2' at (129711792, 78964899) with pad 'D31:2' at (130599525, 87005167) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(129711792, 78964899), (128643125, 83992576)]
14:17:32: [INFO] Adding track segment (B.Cu): [(128643125, 83992576), (130599525, 87005167)]
14:17:32: [INFO] Routing SW30 with D30
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW30:2' at (111078080, 75004181) with pad 'D30:2' at (111965813, 83044449) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(111078080, 75004181), (110009413, 80031858)]
14:17:32: [INFO] Adding track segment (B.Cu): [(110009413, 80031858), (111965813, 83044449)]
14:17:32: [INFO] Routing SW29 with D29
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW29:2' at (88265000, 72072500) with pad 'D29:2' at (90805000, 79752500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(88265000, 72072500), (88265000, 77212500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(88265000, 77212500), (90805000, 79752500)]
14:17:32: [INFO] Routing SW28 with D28
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW28:2' at (62071250, 72072500) with pad 'D28:2' at (64611250, 79752500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(62071250, 72072500), (62071250, 77212500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(62071250, 77212500), (64611250, 79752500)]
14:17:32: [INFO] Routing SW27 with D27
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW27:2' at (309721250, 53022500) with pad 'D27:2' at (312261250, 60702500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(309721250, 53022500), (309721250, 58162500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(309721250, 58162500), (312261250, 60702500)]
14:17:32: [INFO] Routing SW26 with D26
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW26:2' at (283527500, 53022500) with pad 'D26:2' at (286067500, 60702500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(283527500, 53022500), (283527500, 58162500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(283527500, 58162500), (286067500, 60702500)]
14:17:32: [INFO] Routing SW25 with D25
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW25:2' at (260395266, 52917630) with pad 'D25:2' at (264476522, 59901708) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(260395266, 52917630), (261463931, 57945307)]
14:17:32: [INFO] Adding track segment (B.Cu): [(261463931, 57945307), (264476522, 59901708)]
14:17:32: [INFO] Routing SW24 with D24
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW24:2' at (241761554, 56878348) with pad 'D24:2' at (245842810, 63862426) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(241761554, 56878348), (242830219, 61906027)]
14:17:32: [INFO] Adding track segment (B.Cu): [(242830219, 61906027), (245842810, 63862426)]
14:17:32: [INFO] Routing SW23 with D23
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW23:2' at (223127842, 60839066) with pad 'D23:2' at (227209098, 67823144) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(223127842, 60839066), (224196508, 65866745)]
14:17:32: [INFO] Adding track segment (B.Cu): [(224196508, 65866745), (227209098, 67823144)]
14:17:32: [INFO] Routing SW22 with D22
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW22:2' at (204494130, 64799783) with pad 'D22:2' at (208575386, 71783861) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(204494130, 64799783), (205562796, 69827462)]
14:17:32: [INFO] Adding track segment (B.Cu): [(205562796, 69827462), (208575386, 71783861)]
14:17:32: [INFO] Routing SW21 with D21
14:17:32: [INFO] Using internal autorouter method
