=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATExAB6xz0B0LAVlqkEKNKhrMALO3Bd4ffAhFJIa9ZLpYAbEy3I9+AByGsATlny4uXkOXcKVSpoaFaDRu6z02X+gGZLbhs7KAdEdQ1sZnoZPwFTel0-A2I5YP5QlUQnZ2itegsvFjdmFkYAXSwAKDBwAE8MwXz6Aj1WzwRW3y6sQLSrG2baVri4EnDItU1WhJGddqxU3pN5ot76UvAOzu3vHr2AxdjjuY3k8bCyHNy9AHduFhbvZAAdADsPj6FSziaBZ6FRYlYGVGp1bJTaD5FgEL6fd74Law3awg6w-zwj6w37peBDLLhXLke7cPgA2iwsYTa5QzSws7gWEXJlLPSw1YIWHrVmbdneVH7flHSneMa8xkoi400TE0kKWwwl5Y97aNoDf5KoGikE6sG1GWqKaafxwhEfJF6U27U0HU2Y83vHFBfGZYRE260B4K5AUhCm6lXUR0-Kmxmmlmm5bgU2cmPmK3eLbWm1C2jW-r+sWJ+hnQ1icTyuAsTKh5WOtWEKoGoNGyKaKRm+GtLaN3aNg6Nh3w024wZu+zXOVex6l2iNqQqxu4yHG-KNlmN6ONuONnlt1sCvRtzveTPgNvitt52s3JxFku++febQq5Dqy5WPjDBAdqvg-Mh2g-FUtvRCehfwfcAhBYFVe3-PpwIfP5XUEd0h09BBvR4RVvywSdHSMYChAEFVsNxFDyXyIRbywmDTzpEd4GQEik3wijsmHZCyTQhAAMw+ECMg3MGMI1i-RAm8+Jdawx3Y7weVArZQP1OorCkAcGn+ajUJfITOIRbDOggIjxKEvDyJ08A9PU0iGOM2d61U7R9IA3ALNkJikJM1izL3Ry0lMwSOM8y5vLo3ijNkAL0KSRzqzqRp4AAWhsX1aAAC0eJUHMdBhRNhBBkvgJ5RW7BEUXASLYJ4ZB9I6N5HQA44jBVGqSrxHhsMHURxAkVTn1CHLiy9NgFW6-qeFoDghri-TrSq+E1TkiBorgcaEtaxxzySlLxybBEOkytbcuvAqPmtYqPya+h7wQebxvg5aIjndNhIrbxjprJ9aEu+KfO8IDdlA6DZqaxTQnepTQtfDCpyejbDPhNtRLMXgltPZjXJ9QS2zI+F73bbw6sdLHnqi7hxsJWk7rBtLm1YTL9ugthGpQvKJIpraqa89aJIO95bWKiogA
13:38:17: [INFO] Add Net-(D94-A) net
13:38:17: [INFO] Add Net-(D95-A) net
13:38:17: [INFO] Add Net-(D96-A) net
13:38:17: [INFO] Add Net-(D97-A) net
13:38:17: [INFO] Add Net-(D98-A) net
13:38:17: [INFO] Add Net-(D99-A) net
13:38:17: [INFO] Add ROW0 net
13:38:17: [INFO] Add ROW1 net
13:38:17: [INFO] Add ROW2 net
13:38:17: [INFO] Add ROW3 net
13:38:17: [INFO] Add ROW4 net
13:38:17: [INFO] Add ROW5 net
13:38:17: [INFO] Add SW1 footprint
13:38:17: [INFO] Add D1 footprint
13:38:17: [INFO] Add SW2 footprint
13:38:17: [INFO] Add D2 footprint
13:38:17: [INFO] Add SW3 footprint
13:38:17: [INFO] Add D3 footprint
13:38:17: [INFO] Add SW4 footprint
13:38:17: [INFO] Add D4 footprint
13:38:17: [INFO] Add SW5 footprint
13:38:17: [INFO] Add D5 footprint
13:38:17: [INFO] Add SW6 footprint
13:38:17: [INFO] Add D6 footprint
13:38:17: [INFO] Add SW7 footprint
13:38:17: [INFO] Add D7 footprint
13:38:17: [INFO] Add SW8 footprint
13:38:17: [INFO] Add D8 footprint
13:38:17: [INFO] Add SW9 footprint
13:38:18: [INFO] Add D9 footprint
13:38:18: [INFO] Add SW10 footprint
13:38:18: [INFO] Add D10 footprint
13:38:18: [INFO] Add SW11 footprint
13:38:18: [INFO] Add D11 footprint
13:38:18: [INFO] Add SW12 footprint
13:38:18: [INFO] Add D12 footprint
13:38:18: [INFO] Add SW13 footprint
13:38:18: [INFO] Add D13 footprint
13:38:18: [INFO] Add SW14 footprint
13:38:18: [INFO] Add D14 footprint
13:38:18: [INFO] Add SW15 footprint
13:38:18: [INFO] Add D15 footprint
13:38:18: [INFO] Add SW16 footprint
13:38:18: [INFO] Add D16 footprint
13:38:18: [INFO] Add SW17 footprint
13:38:18: [INFO] Add D17 footprint
13:38:18: [INFO] Add SW18 footprint
13:38:18: [INFO] Add D18 footprint
13:38:18: [INFO] Add SW19 footprint
13:38:18: [INFO] Add D19 footprint
13:38:18: [INFO] Add SW20 footprint
13:38:18: [INFO] Add D20 footprint
13:38:18: [INFO] Add SW21 footprint
13:38:18: [INFO] Add D21 footprint
13:38:18: [INFO] Add SW22 footprint
13:38:18: [INFO] Add D22 footprint
13:38:18: [INFO] Add SW23 footprint
13:38:18: [INFO] Add D23 footprint
13:38:18: [INFO] Add SW24 footprint
13:38:18: [INFO] Add D24 footprint
13:38:18: [INFO] Add SW25 footprint
13:38:18: [INFO] Add D25 footprint
13:38:18: [INFO] Add SW26 footprint
13:38:18: [INFO] Add D26 footprint
13:38:18: [INFO] Add SW27 footprint
13:38:18: [INFO] Add D27 footprint
13:38:18: [INFO] Add SW28 footprint
13:38:19: [INFO] Add D28 footprint
13:38:19: [INFO] Add SW29 footprint
13:38:19: [INFO] Add D29 footprint
13:38:19: [INFO] Add SW30 footprint
13:38:19: [INFO] Add D30 footprint
13:38:19: [INFO] Add SW31 footprint
13:38:19: [INFO] Add D31 footprint
13:38:19: [INFO] Add SW32 footprint
13:38:19: [INFO] Add D32 footprint
13:38:19: [INFO] Add SW33 footprint
13:38:19: [INFO] Add D33 footprint
13:38:19: [INFO] Add SW34 footprint
13:38:19: [INFO] Add D34 footprint
13:38:19: [INFO] Add SW35 footprint
13:38:19: [INFO] Add D35 footprint
13:38:19: [INFO] Add SW36 footprint
13:38:19: [INFO] Add D36 footprint
13:38:19: [INFO] Add SW37 footprint
13:38:19: [INFO] Add D37 footprint
13:38:19: [INFO] Add ST37 footprint
13:38:19: [INFO] Add SW37a footprint
13:38:19: [INFO] Add SW38 footprint
13:38:19: [INFO] Add D38 footprint
13:38:19: [INFO] Add SW39 footprint
13:38:19: [INFO] Add D39 footprint
13:38:19: [INFO] Add SW40 footprint
13:38:19: [INFO] Add D40 footprint
13:38:19: [INFO] Add SW41 footprint
13:38:19: [INFO] Add D41 footprint
13:38:19: [INFO] Add SW42 footprint
13:38:19: [INFO] Add D42 footprint
13:38:19: [INFO] Add SW42a footprint
13:38:19: [INFO] Add ST42a footprint
13:38:19: [INFO] Add SW43 footprint
13:38:19: [INFO] Add D43 footprint
13:38:19: [INFO] Add SW44 footprint
13:38:19: [INFO] Add D44 footprint
13:38:19: [INFO] Add SW45 footprint
13:38:20: [INFO] Add D45 footprint
13:38:20: [INFO] Add SW45a footprint
13:38:20: [INFO] Add ST45a footprint
13:38:20: [INFO] Add SW46 footprint
13:38:20: [INFO] Add D46 footprint
13:38:20: [INFO] Add SW47 footprint
13:38:20: [INFO] Add D47 footprint
13:38:20: [INFO] Add SW48 footprint
13:38:20: [INFO] Add D48 footprint
13:38:20: [INFO] Add SW49 footprint
13:38:20: [INFO] Add D49 footprint
13:38:20: [INFO] Add SW50 footprint
13:38:20: [INFO] Add D50 footprint
13:38:20: [INFO] Add SW51 footprint
13:38:20: [INFO] Add D51 footprint
13:38:20: [INFO] Add SW52 footprint
13:38:20: [INFO] Add D52 footprint
13:38:20: [INFO] Add SW53 footprint
13:38:20: [INFO] Add D53 footprint
13:38:20: [INFO] Add SW54 footprint
