=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJBADgF8twCMAmcLCaeEpNC7agRk-rkf2Q1M2AMb5wAYhTSZ4duE4ZOAFnABdDACgwUfJ1TDc+ALRESJSmPiSAhnftzK1ArwhXsEkV++OOS17rwnERsTkp0DODutvZ2vlRKCLwJKupaOkxwnCgGlHjwpkicNJbiUjLS8SWpGtr8Qax5JmYWomWxcZQA7nqs8ooukdGe3l7xijyRmcFIBP1Kk9gTEXzgPQ2hS4lpdYFZrUYFRMWl1uUV8QhKqrUZvUJNR0jmpx4dNsnrWQbyJYOrw1GY1+-im+AAnH1KNV-uBqos3GUKpVuvgaEghCDijs7kFXjFYp80RjNuArv9EWcgWJ5FcEXtIehaUoKVF2h0iQ0mZQ6TxbvUsihHnBCtzsHSkvy9opsPkRUQHtgvvpScoMC4pdMAGzC0Wq8LJNWcJKUI03dIQABOehK2EtmWUuTtcpVuv01DaVKB8WoJr8qjCaGS1C1OIFhVJihWCgwfpjAa2Qc1zRJIOjJTjJQTcIwSYtewVpKu0aucau2aued2mUL+Ik705331K0pHmpjZo8jVCdbBIcXdzYfA1oKJzt02QhkyxkdisOIvddfb8moKGDGBI6-B6+CQ+njrFMdDlEUa5PG+Sim3593yYKjtJJWP2BKZ5fF+hGG3d5FB8MLtmVF4HRQ81TfXt6w5ICmwHb980tAD0Eoac0BJYV9CQz0229AdnzJDA8KuN98M3Hkv3UNQgA
13:36:49: [INFO] Routing pad 'SW65:2' at (282511176, 114582802) with pad 'D65:2' at (286592432, 121566880) using coordinate system rotated by 348.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(282511176, 114582802), (283579841, 119610480)]
13:36:49: [INFO] Adding track segment (B.Cu): [(283579841, 119610480), (286592432, 121566880)]
13:36:49: [INFO] Routing SW64 with D64
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW64:2' at (242914539, 122999328) with pad 'D64:2' at (246995795, 129983406) using coordinate system rotated by 348.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(242914539, 122999328), (243983205, 128027007)]
13:36:49: [INFO] Adding track segment (B.Cu): [(243983205, 128027007), (246995795, 129983406)]
13:36:49: [INFO] Routing SW63 with D63
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW63:2' at (212342288, 109915675) with pad 'D63:2' at (216423544, 116899753) using coordinate system rotated by 348.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(212342288, 109915675), (213410953, 114943352)]
13:36:49: [INFO] Adding track segment (B.Cu): [(213410953, 114943352), (216423544, 116899753)]
13:36:49: [INFO] Routing SW62 with D62
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW62:2' at (192696449, 127521148) with pad 'D62:2' at (193584182, 135561416) using coordinate system rotated by 12.0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(192696449, 127521148), (191627782, 132548825)]
