=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ArDlOUpE85nfgExF5YDMX4+ACz981LqXJVq2bgDYRWZOPBl4ARhozwsgvx1rlqipro7Op3nqzCLY4iskmEOpfaNV20iwA4rATis1QgBdLAAoMHAAT0cvBDVdOgSDJKxzeMtUmwy7DPlU1zgJdSdwZESEcpTKtP5yvjpy7LKsXIhoeCQAQx7e-gB3cnYtcuQAHQA7Scn8QjdHTzoOhERmFhGsX0asAO2gw3INfARl7t6e1hrZaamJ-GqW8duZrANQiIhBkrjwdgr2hirNbQLR-B5-dK-TIIP7NP65KH5IoOb5abwVcDoh7oyHohoIdHNdEI9FI4rGRYIL5wDSU8D9TjfOgkRlwAC0Hh+6MK5M5aM2-HRuwJrxC4Uip0Q5wudGpGmQPx4-3onSBa0u4CVDyVkKV+M11n4SoRSrJKJppT8GKtDytkKt+qtzStbRVKzQ6FlQ0oni0VqU7wlgOlXQG3t9dEEyslwJBkde-CjkKj+qjzSjrqMGh+QQxuYeuchuf1ueauddkpDYfg7EoCq0ueuzwmCTmyKzPtoJ0BHtQGtzwvJteObrO52rFvrSXwTZuyX4uaec4Tgc+h1KtDb4Fo1TXqLotHSANVsYntanCFo2WPKyrWlomfXXdHapYXvgPE7DYS7Bukz+bY3mOfTvhaEbxAk170uu4HgGoCSunKX5JAkZpIbB8GKAc8CcksPa9v2CRbBBOwLskgHmkceGqneKGvH+ExgsoMbAmeyEkb+zZMcEwRAA
13:31:35: [INFO] Add SW3 footprint
13:31:35: [INFO] Add D3 footprint
13:31:35: [INFO] Add SW4 footprint
13:31:35: [INFO] Add D4 footprint
13:31:35: [INFO] Add SW5 footprint
13:31:35: [INFO] Add D5 footprint
13:31:35: [INFO] Add SW6 footprint
13:31:35: [INFO] Add D6 footprint
13:31:35: [INFO] Add SW7 footprint
13:31:35: [INFO] Add D7 footprint
13:31:35: [INFO] Add SW8 footprint
13:31:35: [INFO] Add D8 footprint
13:31:35: [INFO] Add SW9 footprint
13:31:35: [INFO] Add D9 footprint
13:31:35: [INFO] Add SW10 footprint
13:31:35: [INFO] Add D10 footprint
13:31:35: [INFO] Add SW11 footprint
13:31:35: [INFO] Add D11 footprint
13:31:35: [INFO] Add SW12 footprint
13:31:35: [INFO] Add D12 footprint
13:31:35: [INFO] Add SW13 footprint
13:31:36: [INFO] Add D13 footprint
13:31:36: [INFO] Add SW14 footprint
13:31:36: [INFO] Add D14 footprint
13:31:36: [INFO] Add SW15 footprint
13:31:36: [INFO] Add D15 footprint
13:31:36: [INFO] Add SW16 footprint
13:31:36: [INFO] Add D16 footprint
13:31:36: [INFO] Add SW17 footprint
13:31:36: [INFO] Add D17 footprint
13:31:36: [INFO] Add SW18 footprint
13:31:36: [INFO] Add D18 footprint
13:31:36: [INFO] Add SW19 footprint
13:31:36: [INFO] Add D19 footprint
13:31:36: [INFO] Add SW20 footprint
13:31:36: [INFO] Add D20 footprint
13:31:36: [INFO] Add SW21 footprint
13:31:36: [INFO] Add D21 footprint
13:31:36: [INFO] Add SW22 footprint
13:31:36: [INFO] Add D22 footprint
13:31:36: [INFO] Add SW23 footprint
13:31:36: [INFO] Add D23 footprint
13:31:36: [INFO] Add SW24 footprint
13:31:36: [INFO] Add D24 footprint
13:31:36: [INFO] Add SW25 footprint
13:31:36: [INFO] Add D25 footprint
13:31:36: [INFO] Add SW26 footprint
13:31:36: [INFO] Add D26 footprint
13:31:36: [INFO] Add SW27 footprint
13:31:36: [INFO] Add D27 footprint
13:31:36: [INFO] Add SW28 footprint
13:31:36: [INFO] Add D28 footprint
13:31:36: [INFO] Add SW29 footprint
13:31:37: [INFO] Add D29 footprint
13:31:37: [INFO] Add SW30 footprint
13:31:37: [INFO] Add D30 footprint
13:31:37: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:37: [INFO] Add ST30 footprint
13:31:37: [INFO] Add SW31 footprint
13:31:37: [INFO] Add D31 footprint
13:31:37: [INFO] Add SW32 footprint
13:31:37: [INFO] Add D32 footprint
13:31:37: [INFO] Add SW33 footprint
13:31:37: [INFO] Add D33 footprint
13:31:37: [INFO] Add SW34 footprint
13:31:37: [INFO] Add D34 footprint
13:31:37: [INFO] Add SW35 footprint
13:31:37: [INFO] Add D35 footprint
13:31:37: [INFO] Add SW36 footprint
13:31:37: [INFO] Add D36 footprint
13:31:37: [INFO] Add SW37 footprint
13:31:37: [INFO] Add D37 footprint
13:31:37: [INFO] Add SW38 footprint
13:31:37: [INFO] Add D38 footprint
13:31:37: [INFO] Add SW39 footprint
13:31:37: [INFO] Add D39 footprint
13:31:37: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:37: [INFO] Add ST39 footprint
13:31:37: [INFO] Add SW40 footprint
13:31:37: [INFO] Add D40 footprint
13:31:37: [INFO] Add SW41 footprint
13:31:37: [INFO] Add D41 footprint
13:31:37: [INFO] Add SW42 footprint
13:31:37: [INFO] Add D42 footprint
13:31:37: [INFO] Add SW43 footprint
13:31:37: [INFO] Add D43 footprint
13:31:37: [INFO] Add SW44 footprint
13:31:37: [INFO] Add D44 footprint
13:31:38: [INFO] Add SW45 footprint
13:31:38: [INFO] Add D45 footprint
13:31:38: [INFO] Add SW46 footprint
13:31:38: [INFO] Add D46 footprint
13:31:38: [INFO] Add SW47 footprint
13:31:38: [INFO] Add D47 footprint
13:31:38: [INFO] Add SW48 footprint
13:31:38: [INFO] Add D48 footprint
13:31:38: [INFO] Add SW49 footprint
13:31:38: [INFO] Add D49 footprint
13:31:38: [INFO] Add SW50 footprint
13:31:38: [INFO] Add D50 footprint
13:31:38: [INFO] Add SW51 footprint
13:31:38: [INFO] Add D51 footprint
13:31:38: [INFO] Add SW52 footprint
13:31:38: [INFO] Add D52 footprint
13:31:38: [INFO] Add SW53 footprint
13:31:38: [INFO] Add D53 footprint
13:31:38: [INFO] Add SW54 footprint
13:31:38: [INFO] Add D54 footprint
13:31:38: [INFO] Add SW55 footprint
13:31:38: [INFO] Add D55 footprint
13:31:38: [INFO] Add SW56 footprint
13:31:38: [INFO] Add D56 footprint
13:31:38: [INFO] Add SW57 footprint
13:31:38: [INFO] Add D57 footprint
13:31:38: [INFO] Add SW58 footprint
13:31:38: [INFO] Add D58 footprint
13:31:38: [INFO] Add ST58 footprint
13:31:38: [INFO] Add SW58a footprint
13:31:38: [INFO] Add SW59 footprint
13:31:38: [INFO] Add D59 footprint
13:31:38: [INFO] Add SW60 footprint
13:31:39: [INFO] Add D60 footprint
13:31:39: [INFO] Add SW61 footprint
13:31:39: [INFO] Add D61 footprint
13:31:39: [INFO] Add SW62 footprint
13:31:39: [INFO] Add D62 footprint
13:31:39: [INFO] Add SW63 footprint
13:31:39: [INFO] Add D63 footprint
13:31:39: [INFO] Add SW64 footprint
13:31:39: [INFO] Add D64 footprint
13:31:39: [INFO] Add SW65 footprint
13:31:39: [INFO] Add D65 footprint
13:31:39: [INFO] Add SW66 footprint
13:31:39: [INFO] Add D66 footprint
13:31:39: [INFO] Add SW67 footprint
13:31:39: [INFO] Add D67 footprint
13:31:39: [INFO] Add SW68 footprint
13:31:39: [INFO] Add D68 footprint
13:31:39: [INFO] Add SW69 footprint
13:31:39: [INFO] Add D69 footprint
13:31:39: [INFO] Add SW70 footprint
13:31:39: [INFO] Add D70 footprint
13:31:39: [INFO] Add SW71 footprint
13:31:39: [INFO] Add D71 footprint
13:31:39: [INFO] Add SW72 footprint
13:31:39: [INFO] Add D72 footprint
13:31:39: [INFO] Add SW73 footprint
13:31:39: [INFO] Add D73 footprint
13:31:39: [INFO] Add SW74 footprint
13:31:39: [INFO] Add D74 footprint
13:31:39: [INFO] Add SW75 footprint
13:31:39: [INFO] Add D75 footprint
13:31:40: [INFO] Add SW76 footprint
13:31:40: [INFO] Add D76 footprint
13:31:40: [INFO] Add SW77 footprint
13:31:40: [INFO] Add D77 footprint
13:31:40: [INFO] Add SW78 footprint
13:31:40: [INFO] Add D78 footprint
13:31:40: [INFO] Add SW79 footprint
13:31:40: [INFO] Add D79 footprint
13:31:40: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:40: [INFO] Add ST79 footprint
13:31:40: [INFO] Add SW80 footprint
13:31:40: [INFO] Add D80 footprint
13:31:40: [INFO] Add SW81 footprint
13:31:40: [INFO] Add D81 footprint
13:31:40: [INFO] Add SW82 footprint
13:31:40: [INFO] Add D82 footprint
13:31:40: [INFO] Add SW83 footprint
13:31:40: [INFO] Add D83 footprint
13:31:40: [INFO] Add SW84 footprint
13:31:40: [INFO] Add D84 footprint
13:31:40: [INFO] Add SW85 footprint
13:31:40: [INFO] Add D85 footprint
13:31:40: [INFO] Add SW86 footprint
13:31:40: [INFO] Add D86 footprint
13:31:40: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:40: [INFO] Add ST86 footprint
13:31:40: [INFO] Add SW86a footprint
13:31:40: [INFO] Add SW87 footprint
13:31:40: [INFO] Add D87 footprint
13:31:40: [INFO] Add SW88 footprint
13:31:40: [INFO] Add D88 footprint
13:31:40: [INFO] Add SW89 footprint
13:31:40: [INFO] Add D89 footprint
13:31:40: [WARNING] Requested width 3.25u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:31:40: [INFO] Add SW90 footprint
13:31:40: [INFO] Add D90 footprint
13:31:40: [WARNING] Unexpected stabilizer width 3.25u, no footprint will be set
13:31:40: [INFO] Add SW90a footprint
13:31:40: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:40: [INFO] Add ST90a footprint
13:31:41: [INFO] Add SW91 footprint
13:31:41: [INFO] Add D91 footprint
13:31:41: [INFO] Add SW92 footprint
13:31:41: [INFO] Add D92 footprint
13:31:41: [INFO] Add SW93 footprint
13:31:41: [INFO] Add D93 footprint
13:31:41: [INFO] Add SW94 footprint
13:31:41: [INFO] Add D94 footprint
13:31:41: [INFO] Add SW95 footprint
13:31:41: [INFO] Add D95 footprint
13:31:41: [INFO] Add SW96 footprint
13:31:41: [INFO] Add D96 footprint
13:31:41: [INFO] Add SW97 footprint
13:31:41: [INFO] Add D97 footprint
13:31:41: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:41: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:41: [INFO] Layout offset: (28575000, 28575000)
13:31:41: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:41: [INFO] Placing additional elements for SW97
13:31:41: [INFO] Placing additional elements for SW96
13:31:41: [INFO] Placing additional elements for SW95
13:31:41: [INFO] Placing additional elements for SW94
13:31:41: [INFO] Placing additional elements for SW93
13:31:41: [INFO] Placing additional elements for SW92
13:31:41: [INFO] Placing additional elements for SW91
13:31:41: [INFO] Placing additional elements for SW90a
13:31:41: [INFO] Placing additional elements for SW90
13:31:41: [INFO] Placing additional elements for SW89
13:31:41: [INFO] Placing additional elements for SW88
13:31:41: [INFO] Placing additional elements for SW87
13:31:41: [INFO] Placing additional elements for SW86a
13:31:41: [INFO] Placing additional elements for SW86
13:31:41: [INFO] Placing additional elements for SW85
13:31:41: [INFO] Placing additional elements for SW84
13:31:41: [INFO] Placing additional elements for SW83
13:31:41: [INFO] Placing additional elements for SW82
13:31:41: [INFO] Placing additional elements for SW81
13:31:41: [INFO] Placing additional elements for SW80
13:31:41: [INFO] Placing additional elements for SW79
13:31:41: [INFO] Placing additional elements for SW78
13:31:41: [INFO] Placing additional elements for SW77
13:31:41: [INFO] Placing additional elements for SW76
13:31:41: [INFO] Placing additional elements for SW75
13:31:41: [INFO] Placing additional elements for SW74
13:31:41: [INFO] Placing additional elements for SW73
13:31:41: [INFO] Placing additional elements for SW72
13:31:41: [INFO] Placing additional elements for SW71
13:31:41: [INFO] Placing additional elements for SW70
13:31:41: [INFO] Placing additional elements for SW69
13:31:41: [INFO] Placing additional elements for SW68
13:31:41: [INFO] Placing additional elements for SW67
13:31:41: [INFO] Placing additional elements for SW66
13:31:41: [INFO] Placing additional elements for SW65
13:31:41: [INFO] Placing additional elements for SW64
13:31:41: [INFO] Placing additional elements for SW63
13:31:41: [INFO] Placing additional elements for SW62
13:31:41: [INFO] Placing additional elements for SW61
13:31:41: [INFO] Placing additional elements for SW60
13:31:41: [INFO] Placing additional elements for SW59
13:31:41: [INFO] Placing additional elements for SW58a
13:31:41: [INFO] Placing additional elements for SW58
13:31:41: [INFO] Placing additional elements for SW57
13:31:41: [INFO] Placing additional elements for SW56
13:31:41: [INFO] Placing additional elements for SW55
13:31:41: [INFO] Placing additional elements for SW54
13:31:41: [INFO] Placing additional elements for SW53
13:31:41: [INFO] Placing additional elements for SW52
13:31:41: [INFO] Placing additional elements for SW51
13:31:41: [INFO] Placing additional elements for SW50
13:31:41: [INFO] Placing additional elements for SW49
13:31:41: [INFO] Placing additional elements for SW48
13:31:41: [INFO] Placing additional elements for SW47
13:31:41: [INFO] Placing additional elements for SW46
13:31:41: [INFO] Placing additional elements for SW45
13:31:41: [INFO] Placing additional elements for SW44
13:31:41: [INFO] Placing additional elements for SW43
13:31:41: [INFO] Placing additional elements for SW42
13:31:41: [INFO] Placing additional elements for SW41
13:31:41: [INFO] Placing additional elements for SW40
13:31:41: [INFO] Placing additional elements for SW39
13:31:41: [INFO] Placing additional elements for SW38
13:31:41: [INFO] Placing additional elements for SW37
13:31:41: [INFO] Placing additional elements for SW36
13:31:41: [INFO] Placing additional elements for SW35
13:31:41: [INFO] Placing additional elements for SW34
13:31:41: [INFO] Placing additional elements for SW33
13:31:41: [INFO] Placing additional elements for SW32
13:31:41: [INFO] Placing additional elements for SW31
13:31:41: [INFO] Placing additional elements for SW30
13:31:41: [INFO] Placing additional elements for SW29
13:31:41: [INFO] Placing additional elements for SW28
13:31:41: [INFO] Placing additional elements for SW27
13:31:41: [INFO] Placing additional elements for SW26
13:31:41: [INFO] Placing additional elements for SW25
13:31:41: [INFO] Placing additional elements for SW24
13:31:41: [INFO] Placing additional elements for SW23
13:31:41: [INFO] Placing additional elements for SW22
13:31:41: [INFO] Placing additional elements for SW21
13:31:41: [INFO] Placing additional elements for SW20
13:31:41: [INFO] Placing additional elements for SW19
13:31:41: [INFO] Placing additional elements for SW18
13:31:41: [INFO] Placing additional elements for SW17
13:31:41: [INFO] Placing additional elements for SW16
13:31:41: [INFO] Placing additional elements for SW15
13:31:41: [INFO] Placing additional elements for SW14
13:31:41: [INFO] Placing additional elements for SW13
13:31:41: [INFO] Placing additional elements for SW12
13:31:41: [INFO] Placing additional elements for SW11
13:31:41: [INFO] Placing additional elements for SW10
13:31:41: [INFO] Placing additional elements for SW9
13:31:41: [INFO] Placing additional elements for SW8
13:31:41: [INFO] Placing additional elements for SW7
13:31:41: [INFO] Placing additional elements for SW6
13:31:41: [INFO] Placing additional elements for SW5
13:31:41: [INFO] Placing additional elements for SW4
13:31:41: [INFO] Placing additional elements for SW3
13:31:41: [INFO] Placing additional elements for SW2
13:31:41: [INFO] Placing additional elements for SW1
13:31:41: [INFO] Routing SW97 with D97
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW97:2' at (416877500, 137795000) with pad 'D97:2' at (419417500, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(416877500, 137795000), (416877500, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(416877500, 142935000), (419417500, 145475000)]
13:31:41: [INFO] Routing SW96 with D96
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW96:2' at (397827500, 137795000) with pad 'D96:2' at (400367500, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(397827500, 137795000), (397827500, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(397827500, 142935000), (400367500, 145475000)]
13:31:41: [INFO] Routing SW95 with D95
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW95:2' at (378777500, 137795000) with pad 'D95:2' at (381317500, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(378777500, 137795000), (378777500, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(378777500, 142935000), (381317500, 145475000)]
13:31:41: [INFO] Routing SW94 with D94
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW94:2' at (352583750, 137795000) with pad 'D94:2' at (355123750, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(352583750, 137795000), (352583750, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(352583750, 142935000), (355123750, 145475000)]
13:31:41: [INFO] Routing SW93 with D93
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW93:2' at (328771250, 137795000) with pad 'D93:2' at (331311250, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(328771250, 137795000), (328771250, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(328771250, 142935000), (331311250, 145475000)]
13:31:41: [INFO] Routing SW92 with D92
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW92:2' at (304958750, 137795000) with pad 'D92:2' at (307498750, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(304958750, 137795000), (304958750, 142935000)]
13:31:41: [INFO] Adding track segment (B.Cu): [(304958750, 142935000), (307498750, 145475000)]
13:31:41: [INFO] Routing SW91 with D91
13:31:41: [INFO] Using internal autorouter method
13:31:41: [INFO] Routing pad 'SW91:2' at (281146250, 137795000) with pad 'D91:2' at (283686250, 145475000) using coordinate system rotated by 0 degree(s)
13:31:41: [INFO] Adding track segment (B.Cu): [(281146250, 137795000), (281146250, 142935000)]
