=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYB0CCsAaO4Ces4BGNdAX23CU0IBZwKrD16dGA2cAXUwCgwoCyEhXzxUAdjIVC1OtOrN5hDtz4Ro8IRnI4EsluD1MDRlb34bExDCILEkO8DQVdz6wam0UstAz8U4PmZq4ABOdgDMFJYRKJK28AC0ABwoDgyYSCzu8PaOjAZUCIWYESVyrJjMqhYEsfE4okRpjjJZSgYyxfJl8hXgMgEDmMG18PVYOADudihSupkm1EvdC70L-XrVbgLjcZPgM7n7jlHtOFGEBlGr4FHrd5j9UdshltYHR81eOM5IADoAOyBQKMBmchBBwMBYOwOTgnk+ghIjj+UNBiwozluzgezn6ziGzlG8ImFC+H0cWAB0KBf2yh1mP3APnRgPpcMZx2ZWAQbI5cAgFJR3ie-Mxgq5iBFgSq4qyNVJ+wSCOE01m8xZmXFV1FkNp7OWor5BohDOFmqwNB15uRPLlpuWit2cDJ6uOlu1jturO9to9VMwJqh2L8Yr9nK+CBlWvQ4uKzpiyvdzU9NJDpTD+oz6yFGsDwehuLD1sduallNFcbLYbY4rKibqyYrc0D6aLTyz4oqeYDxu7JYHVaHkuF9rrjrozvCSUIURw7yojQIiTYrYyHAy4hKyRKAE4SoRzpRqLrKoQEztFyq8vJt-Jd-ID0pjzJCGfhhf-YhWtQImyqAVK9BFiGxlySCRNTff8DQKDI5wAp1gPgPc5hVRJEUcPRNwWe8FkfBZnwWI8lnfUjVl7VMsL-Nk2lcN5BGccC4Aw5sxwOAALQRyWKD0KA43iiGiQTWOZS4YKhN96LGOBUIaPAV0wigohwx48MeAjHiIx4SOU09v2jMSaINOjG00ecFIgk49IvWikIYlC1UslilNldTnHczBNOcbSIWPCEz0o6NJFRahCyBM5pPhBBowOJpWPk4UQqxMK2UucFjKhdKzNkpz4sRclkWS2U9zZalv0rWUjzKiVKMqrV3xq846pjHxwsBcrIyZT0EINcqctQsDnIKlNgs9Uq+qNUd8z1dsgR8LNs2hBa9Xalbpr7KqJOW+yZMGpFNGskqap9ag5o6oMKvXKqlvmy7VpOq6eu2u7Lwc3L7WSGryyS8bvqzc6sB+mabv+h7JuBzaGpei6G2Qj6DuaYqtS+yb+iwCaoStAGap7Fsetui70dStGnsDXqsc7ThOCAA
13:34:16: [INFO] Add D5 footprint
13:34:16: [INFO] Add SW6 footprint
13:34:16: [INFO] Add D6 footprint
13:34:16: [INFO] Add SW7 footprint
13:34:16: [INFO] Add D7 footprint
13:34:16: [INFO] Add SW8 footprint
13:34:16: [INFO] Add D8 footprint
13:34:16: [INFO] Add SW9 footprint
13:34:16: [INFO] Add D9 footprint
13:34:16: [INFO] Add SW10 footprint
13:34:16: [INFO] Add D10 footprint
13:34:16: [INFO] Add SW11 footprint
13:34:17: [INFO] Add D11 footprint
13:34:17: [INFO] Add SW12 footprint
13:34:17: [INFO] Add D12 footprint
13:34:17: [INFO] Add SW13 footprint
13:34:17: [INFO] Add D13 footprint
13:34:17: [INFO] Add SW14 footprint
13:34:17: [INFO] Add D14 footprint
13:34:17: [INFO] Add SW15 footprint
13:34:17: [INFO] Add D15 footprint
13:34:17: [INFO] Add SW16 footprint
13:34:17: [INFO] Add D16 footprint
13:34:17: [INFO] Add SW17 footprint
13:34:17: [INFO] Add D17 footprint
13:34:17: [INFO] Add SW18 footprint
13:34:17: [INFO] Add D18 footprint
13:34:17: [INFO] Add SW19 footprint
13:34:17: [INFO] Add D19 footprint
13:34:17: [INFO] Add SW20 footprint
13:34:17: [INFO] Add D20 footprint
13:34:17: [INFO] Add SW21 footprint
13:34:17: [INFO] Add D21 footprint
13:34:17: [INFO] Add SW22 footprint
13:34:17: [INFO] Add D22 footprint
13:34:17: [INFO] Add SW23 footprint
13:34:17: [INFO] Add D23 footprint
13:34:17: [INFO] Add SW24 footprint
13:34:17: [INFO] Add D24 footprint
13:34:17: [INFO] Add SW25 footprint
13:34:17: [INFO] Add D25 footprint
13:34:17: [INFO] Add SW26 footprint
13:34:17: [INFO] Add D26 footprint
13:34:18: [INFO] Add SW27 footprint
13:34:18: [INFO] Add D27 footprint
13:34:18: [INFO] Add SW28 footprint
13:34:18: [INFO] Add D28 footprint
13:34:18: [INFO] Add SW29 footprint
13:34:18: [INFO] Add D29 footprint
13:34:18: [INFO] Add SW30 footprint
13:34:18: [INFO] Add D30 footprint
13:34:18: [INFO] Add SW31 footprint
13:34:18: [INFO] Add D31 footprint
13:34:18: [INFO] Add ST31 footprint
13:34:18: [INFO] Add SW31a footprint
13:34:18: [INFO] Add SW32 footprint
13:34:18: [INFO] Add D32 footprint
13:34:18: [INFO] Add SW33 footprint
