=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiAQxNPAF8twAGDa8K2gRgbgmnmqU2z3nAIohwiowwJWEPoRyy5o7LQDMrGhgAsq2mi0YAbLpS6AHLoCcupvTFMWNiTZU3NWKfgGkyVAO74ElRQwmNAAdADtw8NprNih8LjQAtSYjVzjOVB5cdwI5eSTmUIji5ks9SJKg8ABdDAAoMHTETKppD08iBXAmOlUeu1iOOASffCZuJJ6HWLbcvLxJjCdsHpcVjB0qHoMtjFT1012LXas+oIHuoOnLpmWbtbd+Yg7VX3hxxJOiip6Y9niJid9v93txWjlhCJRqCEFkABZ+HwSUHw5FwHrYSBogC0XFhSQQQW+xX6NXqjSGyHQ4KeHU6BN6VEJAxBwzB2De6MyDOmjxk8y6hLuhLW4EJm2whJ2kr2qkJhxlxxlpyZ5zlV3Vt0k2SekKErz8SHxquCFXCv21QxGvBydMFQWBTWtOv5eXtTHUZrCpNqDT57U8Bphn2wSnEXuZ2tm8wWVDDSgjVTSVvZLoDZCSYZi4DDLKdqc5yGNofDxXChL+abmbszGlUYYlOf09dlcYwCqbSqbKpLthbTGuueW-uegehXPQtY9lrGgN7Rl9FLGZlTAE98LjuW2mAZF6yqVl1-BN8XwOpGdhz3mU1lOeNT+eEF6s9q70aQ2els+LxA3w+NN+lbRgK456O+STnsYgFRraLzjh8EFXNBaRvh+V4JmWYQvnuTRMMYa4blwk5UFejZXtKn4pGSfpNGg75UEecAnres5oaWFS5q+rGIRhHFJjMOQxkGcAoIhUGYZxaSzHa8FzpRT4Sfxv7cSRQS8cUnE4UMdGwrJ-4KXx1znup4Rhry4B-mxnqKeZwFuqBYnfrZsFjhys7-rYTmqFeBkaeIXHBohtxeVp+A6SxKKIb5plLN5X6KcOFkqZeAEJTBTxCeORZseUaUoYaxEpeJfGJdJcFuZFqmeXlKUDt+iWoUFJlYbF1TVEAA
13:41:24: [INFO] Placing additional elements for SW63
13:41:24: [INFO] Placing additional elements for SW62
13:41:24: [INFO] Placing additional elements for SW61
13:41:24: [INFO] Placing additional elements for SW60
13:41:24: [INFO] Placing additional elements for SW59
13:41:24: [INFO] Placing additional elements for SW58
13:41:24: [INFO] Placing additional elements for SW57
13:41:24: [INFO] Placing additional elements for SW56
13:41:24: [INFO] Placing additional elements for SW55a
13:41:24: [INFO] Placing additional elements for SW55
13:41:24: [INFO] Placing additional elements for SW54
13:41:24: [INFO] Placing additional elements for SW53
13:41:24: [INFO] Placing additional elements for SW52
13:41:24: [INFO] Placing additional elements for SW51a
13:41:24: [INFO] Placing additional elements for SW51
13:41:24: [INFO] Placing additional elements for SW50
13:41:24: [INFO] Placing additional elements for SW49
13:41:24: [INFO] Placing additional elements for SW48
13:41:24: [INFO] Placing additional elements for SW47
13:41:24: [INFO] Placing additional elements for SW46
13:41:24: [INFO] Placing additional elements for SW45
13:41:24: [INFO] Placing additional elements for SW44
13:41:24: [INFO] Placing additional elements for SW43
13:41:24: [INFO] Placing additional elements for SW42
13:41:24: [INFO] Placing additional elements for SW41
13:41:24: [INFO] Placing additional elements for SW40
13:41:24: [INFO] Placing additional elements for SW39
13:41:24: [INFO] Placing additional elements for SW38
13:41:24: [INFO] Placing additional elements for SW37
13:41:24: [INFO] Placing additional elements for SW36
13:41:24: [INFO] Placing additional elements for SW35
13:41:24: [INFO] Placing additional elements for SW34
13:41:24: [INFO] Placing additional elements for SW33
13:41:24: [INFO] Placing additional elements for SW32
13:41:24: [INFO] Placing additional elements for SW31
13:41:24: [INFO] Placing additional elements for SW30
13:41:24: [INFO] Placing additional elements for SW29
13:41:24: [INFO] Placing additional elements for SW28
13:41:24: [INFO] Placing additional elements for SW27
13:41:24: [INFO] Placing additional elements for SW26
13:41:24: [INFO] Placing additional elements for SW25
13:41:24: [INFO] Placing additional elements for SW24
13:41:24: [INFO] Placing additional elements for SW23
13:41:24: [INFO] Placing additional elements for SW22
13:41:24: [INFO] Placing additional elements for SW21
13:41:24: [INFO] Placing additional elements for SW20
13:41:24: [INFO] Placing additional elements for SW19
13:41:24: [INFO] Placing additional elements for SW18
13:41:24: [INFO] Placing additional elements for SW17
13:41:24: [INFO] Placing additional elements for SW16a
13:41:24: [INFO] Placing additional elements for SW16
13:41:24: [INFO] Placing additional elements for SW15
13:41:24: [INFO] Placing additional elements for SW14
13:41:24: [INFO] Placing additional elements for SW13
13:41:24: [INFO] Placing additional elements for SW12
13:41:24: [INFO] Placing additional elements for SW11
13:41:24: [INFO] Placing additional elements for SW10
13:41:24: [INFO] Placing additional elements for SW9
13:41:24: [INFO] Placing additional elements for SW8
13:41:24: [INFO] Placing additional elements for SW7
13:41:24: [INFO] Placing additional elements for SW6
13:41:24: [INFO] Placing additional elements for SW5
13:41:24: [INFO] Placing additional elements for SW4
13:41:24: [INFO] Placing additional elements for SW3
13:41:24: [INFO] Placing additional elements for SW2
