=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsA2ANHcBPWikBmFLcAY33AGIBDO+8Ugd3wEZUBfUhDBRuCNHisATElYlsLYZ24ZWhcAF0MAKDBR8yQgA5mbWdla9+ECvGpkr18FyPzTm4e0nlKtenX7hpcF3fBjBWU1DSECEUJ9GRQAkRMsQTYxHXipA1jSeOCVdST4ZAQAFmi-Q3AovkSnP0JxAE5S-1IonNCIACdwsVdwgFpkIpLsPAKiV3NsKmsbAJ5WELyagaQAdlXSUbKEOIdcsPwV+rQA1sWD+D72BQCShf3O8IkkEV7DsWLNrXG5+RFz-JwK5IHSrAJBf4PZbsMFZP4A8BdNiYbD9MQiDYjfB1YineFQtHiW749qItg8bBIgqkcJoF5pXDYpD1YzpeAiYloAA6ADtebzjFUBMtChzSCU+AT8HTXl8xplsCUUPy+Tygt4StzVQK9qSqXAGd0XgrwDxFFKZLKsZdkKDfv9qk8kDs5EUEeEisa5UDbTpfihvDw0O78OjXFsVq9wRhzaSnVbGTaQbD7A7hU6XfY3Ra4J6ExHfdGA9VJtRPF5SAALDLRrUqnhCwHAiluCzTGYUWsq3nzEPsr3Wn3G3axpbx8OHW0p8DxNOA9iZmcYbNx-B5idJnR+uHF7BROuq3s5lADxNDibucs0bzVmJ4g89kw5sPelarC9tjudloxvtlfOTsmeJzjUC54iuY5rqeBYgtue4YLuS4PjyR6rv2AFJlG4q-jm7AYUOdrYSBGbEhBGgdIcrAtvqLbhKsayNIOdKrFEbIGsSqzdjy8SSmhcD0e+3rICaJScdq3EONhOhcdkCL6qw640ocdRYdg8y8ZBlyKYOKyEWpGD1I4JFyKw9x8X0MobgRcGmhgqyBhgOh-n0KlWZGJpBBpFxAtpZ66dOxiGY6BiLkEZmaUClmvr6pClh4ng3jWpDGGJ9YJOmlHOrF7hfrYyV2Vxvb5U5OYudBgGqUuVHOb5MF6UuQUZTIi7ZOF3kWeVm42fEqWHpJ2DxCV5lRTpwnZW2V6JXeP69Y+XlNq50VrB+Uy5Xi1WlbVgH1VEjXzs661tU2I1+YWM2Ff1FSOc5i2jcO2EbeZW2btOJR7aBB0PfcShAA
13:42:04: [INFO] Adding track segment (B.Cu): [(147060923, 122309680), (146168371, 127371591)]
13:42:04: [INFO] Adding track segment (B.Cu): [(146168371, 127371591), (148228716, 130314069)]
13:42:04: [INFO] Routing SW61 with D61
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW61:2' at (128714218, 116612256) with pad 'D61:2' at (129882011, 124616645) using coordinate system rotated by 10.0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(128714218, 116612256), (127821665, 121674167)]
13:42:04: [INFO] Adding track segment (B.Cu): [(127821665, 121674167), (129882011, 124616645)]
13:42:04: [INFO] Routing SW60 with D60
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW60:2' at (110383670, 110865382) with pad 'D60:2' at (111551463, 118869771) using coordinate system rotated by 10.0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(110383670, 110865382), (109491117, 115927293)]
13:42:04: [INFO] Adding track segment (B.Cu): [(109491117, 115927293), (111551463, 118869771)]
13:42:04: [INFO] Routing SW59 with D59
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW59:2' at (91193043, 109996260) with pad 'D59:2' at (92360836, 118000649) using coordinate system rotated by 10.0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(91193043, 109996260), (90300490, 115058170)]
13:42:04: [INFO] Adding track segment (B.Cu): [(90300490, 115058170), (92360836, 118000649)]
13:42:04: [INFO] Routing SW58 with D58
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW58:2' at (70358000, 109220000) with pad 'D58:2' at (72898000, 116900000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(70358000, 109220000), (70358000, 114360000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(70358000, 114360000), (72898000, 116900000)]
13:42:04: [INFO] Routing SW57 with D57
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW57:2' at (184206887, 128859515) with pad 'D57:2' at (185374680, 136863904) using coordinate system rotated by 10.0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(184206887, 128859515), (183314334, 133921426)]
13:42:04: [INFO] Adding track segment (B.Cu): [(183314334, 133921426), (185374680, 136863904)]
13:42:04: [INFO] Routing SW56 with D56
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW56:2' at (329628500, 90170000) with pad 'D56:2' at (332168500, 97850000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(329628500, 90170000), (329628500, 95310000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(329628500, 95310000), (332168500, 97850000)]
13:42:04: [INFO] Routing SW55 with D55
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW55:2' at (305816000, 90170000) with pad 'D55:2' at (308356000, 97850000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(305816000, 90170000), (305816000, 95310000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(305816000, 95310000), (308356000, 97850000)]
13:42:04: [INFO] Routing SW54 with D54
13:42:04: [INFO] Using internal autorouter method
